,comment,toxic
24,"Россия изменяет систему экономической отчетности. Результаты улучшаются После нескольких лет снижения показателей, свидетельствующих о падении уровня жизни в России, российская служба государственной статистики приостановила выпуск своих ежемесячных отчетов о реальных доходах населения или доходах, скорректированных с учетом инфляции , - сообщает The New York Times. Экономисты уже настороженно следили за службой, которая называется Росстат, после того, как в декабре был назначен новый директор - вскоре после того, как президент Владимир Путин раскритиковал то, что он назвал плохим качеством государственной статистики. Последовал поток новых, оптимистичных экономических данных. Новый директор Павел Малков пересмотрел данные по валовому внутреннему продукту за последние годы, чтобы показать, например, что на самом деле 2016 год не был годом рецессии в России, но продемонстрировал умеренный рост , - сообщается в статье. В прошлом месяце агентство обнародовало свою оценку роста в 2018 году, согласно которой экономические результаты оказались лучшими за шесть лет: рост на 2,3 процента, что намного выше единодушной оценки независимых аналитиков в 1,7 процента. Даже экономисты российских государственных банков были настроены скептически. Служба объяснила значительную часть неожиданного роста случайным бумом строительства в декабре , - пишет газета. Росстат преподнес много сюрпризов , - сказал в телефонном интервью Владимир Тихомиров, главный экономист BCS Global Markets. Пересмотренные версии и отчеты с показателями, превышающими независимые оценки, ставят под сомнение то, является ли это чисто статистическим событием или приукрашиванием статистики, чтобы показать немного лучшую картину . Как пишет издание, прекращение ежемесячных обновлений информации о реальных доходах стало новым намеком на манипулирование статистикой . Реальные доходы снижались каждый год с 2014 года, хотя в 2018 году был бы отмечен незначительный рост, если бы не разовый бонус, выплаченный пенсионерам в предыдущем году. В среду служба опубликовала свой первый ежемесячный отчет без данных о реальных доходах , - указывает издание. - Игорь Ваган, представитель статистического агентства, отрицает, что за изменением методологии кроется какая-либо политическая мотивация. Теперь агентство предлагает публиковать данные о доходах ежеквартально или ежегодно .
",0.0
25,"Казимирко вроде писал книжечку, про дегенеративные и маргинальные идеологии, интересно он себя вместе с Егоркой, Каминцом и прочими внесет? Если не внесет будет непорядок.
",4.0
26,"Даёт в жёппу хачам и прочим ниграм
",1.0
27,"Вау, да сегодня годовщина же! Самобился таки, так еще так хитро, со связанными за спиной руками.
",4.0
28,"Похрюкай мне тут, животное немытое.
",4.0
29,"руссошвайне искренне верит в мечтающих прихода хрюске мира русских людей истребляется самими этническими русскими и русскоязычными на республиках экс-совка продолжает искренне верить в мечтающих прихода хрюске мира русских людей
",2.0
30,"Про элегантные и релевантные похороны было куда лучше.
",0.0
31,"А Аргентина не дно разве как и остальная латинопиндосская параша? Там в отличие от расейской параши хотя бы климат норм. Ну а вообще, с её деньгами, в любой дыре жизнь будет раем казаться.
",2.0
32,"Блять, с посадкой на бутылку и Чечнёй это уже пиздец какой-то. В чём прикол, объясните? Тверк или усы гитлера это ещё можно понять, а эта хуйня какие эмоции должна вызывать???
",2.0
33,"Пыня тоже геноцидил чеченцев во вторую кампанию, потом геноцидил грузин, сейчас геноцидит украинцев. Где бомбардировщики НАТО?
",2.0
34,"Вот с этого На видосе другой чел, просто похож
",0.0
35,"С начала года свыше 40 тысяч россиян объявили себя самозанятыми, однако вскоре столкнулись с блокировками своих счетов со стороны банков, которые запрещают физическим лицам использовать личные счета для ведения бизнеса. Об этом пишет портал Banki.Ru. По словам налоговых экспертов, кредитные организации не всегда знают, как квалифицировать деятельность самозанятых. Они получают доход на свои личные карты, хотя использование счета физлица для предпринимательской деятельности обычно прямо запрещается в договоре обслуживания. В итоге самозанятые россияне столкнулись с блокировками счетов. Человек открыл счет, и в итоге ему счет заблокировали и карту тоже. При этом ему не могут открыть счет как индивидуальному предпринимателю (ИП), потому что для этого необходимо предоставить свидетельство о регистрации в качестве ИП. А самозанятый в ЕГРИП Единый государственный реестр индивидуальных предпринимателей не регистрируется, там уведомительный порядок , - рассказал глава комитета по налогам московского отделения Опоры России Сергей Зеленов. По его словам, с такими сложностями недавно столкнулся клиент Сбербанка из Рязани. Еще один бизнесмен из Красноярска рассказал, что его личные счета оказались заблокированы из-за подозрений в нарушении антиотмывочного законодательства. В судебном споре со Сбербанком он пытается доказать, что переводил деньги на свои карты из-за специфики бизнеса. Вчитавшись в условия обслуживания счетов физлиц, мужчина обнаружил странное противоречие: самозанятый гражданин может принимать деньги от физических и юридических лиц на счет физического лица, используя его в предпринимательских целях, что прямо запрещено законодательством. Согласно определению Минюста, самозанятые граждане ведут предпринимательскую деятельность на личном участии . Они не зарегистрированы в качестве ИП, но сообщили о своем бизнесе в налоговую службу. При этом в федеральном законе не указано, что операции самозанятых являются предпринимательской деятельностью, в отличие от индивидуальных предпринимателей. В то же время множественные переводы от других физлиц или компаний, характерные для самозанятых, могут настораживать руководство банков, а тарифы на обслуживание для физлиц ниже, чем для предпринимателей. По данным Федеральной налоговой службы (ФНС), к середине марта число самозанятых в России превысило 40 тысяч человек. Глава ведомства Михаил Мишустин связал успех с появлением налога на профессиональный доход. С 2019 года россияне, работающие на себя, могут перейти на новый режим налогообложения при соблюдении ряда условий. Среди них, например, доход до 2,4 млн рублей в год и ведение деятельности в четырех экспериментальных регионах. Этот налоговый режим могут выбрать и индивидуальные предприниматели, которые, впрочем, должны будут по-прежнему проводить операции по счетам, открытым для ИП. Новый сбор можно уплачивать с помощью специального мобильного приложения Мой налог . В пресс-службе ФНС пояснили, что по закону самозанятые не обязаны уведомлять банк о своем статусе и не ограничены в том, как получать доход: наличными, переводами на счет или на карты. Юристы отмечают, что под контроль банков не попадают операции на сумму выше 2,4 миллиона рублей в год, или 200 тысяч рублей в месяц, однако в дальнейшем ситуация может измениться. По словам экспертов, кредитные организации формально не требуют от самозанятых сообщать о своей деятельности, но советуют сделать это, чтобы снять риски, связанные с непроведением операций по счету клиента. Для этого физическому лицу стоит направить в банк уведомление о работе со счетом в режиме самозанятого. Кроме того, банки могут в любой момент потребовать у клиента объяснить характер финансовых операций в рамках 115-ФЗ. Если самозанятый не сообщил в кредитную организацию о своем статусе, банк не узнает, для каких целей будет в дальнейшем использоваться счет, и нетипичные операции сразу вызовут подозрение, что может стать основанием для блокировки транзакций, дистанционных сервисов, карт и счетов. В дальнейшем клиенту может грозить расторжение договора о банковском обслуживании и занесение в черный список. Представители Альфа-банка , Тинькофф банка , Совкомбанка и Росбанка заявляют, что риск блокировок невелик, а российское законодательство распространяется на всех клиентов, в том числе на самозанятых. Альфа-банк и Тинькофф банк уже внесли в свои договоры изменения, согласно которым операции клиентов, связанные с осуществлением предпринимательской деятельности с применением налога на профессиональный доход, разрешены как для физических лиц, так и для индивидуальных предпринимателей. Однако для подстраховки специалисты советуют открыть отдельный счет, на который будут поступать только доходы, связанные с бизнесом: все поступления на выбранную карту будут учтены как средства от профессиональной деятельности и на основании этой суммы будет рассчитан налог. Не исключено, что в дальнейшем старые договоры обслуживания перезаключаться не будут, а новым клиентам - самозанятым предложат усовершенствованные соглашения. Напомним, закон о налоге на самозанятых был подписан в ноябре прошлого года. Под самозанятыми понимаются граждане, не имеющие работодателя и наемных работников, но предоставляющие услуги или создающие некий продукт, доход от которых составляет не более 2,4 миллиона рублей в год, то есть не более 200 тысяч рублей в месяц. Закон вступил в силу с 1 января 2019 года в Москве, Подмосковье, Калужской области и Татарстане. Если эксперимент пройдет успешно, его распространят на всю Россию. Эксперимент продлится до 2029 года. Закон предполагает, что работающие на себя граждане будут платить налог в 4 от дохода. Если же заказчиками самозанятого выступают юрлица или индивидуальные предприниматели, то ставка налога составит 6 . С нарушителей нового налогового режима в первый раз будет взыскиваться штраф в размере 20 от суммы, на которую не был выставлен чек (но не менее 1000 рублей). В случае рецидива будет отниматься 100 дохода, который не был официально учтен. При этом штрафовать будут только зарегистрированных самозанятых граждан. Ряд исключений, прописанных в законе, не дадут перейти на новый налоговый режим лицам, торгующим подакцизными товарами и товарами, подлежащими обязательной маркировке. Не подпадают под закон также лица, осуществляющие перепродажу товаров, имущественных прав , а также те, кто занимается добычей или продажей полезных ископаемых. Кроме того, на эксперимент не смогут перейти арбитражные управляющие, медиаторы, оценщики, нотариусы и адвокаты частной практики. Участники эксперимента освобождаются от уплаты налога на доходы физических лиц (НДФЛ) в отношении доходов, полученных от профессиональной деятельности. Также они не уплачивают НДС, за исключением ситуации при ввозе товаров на территорию РФ. Ожидается, что 63 от введенного налога будет направлено в региональные бюджеты, оставшиеся 37 - в бюджет Федерального фонда ОМС. Налоговый режим для самозанятых может распространиться по всей России не ранее 2020 года. К тому времени особый режим налогообложения обретет статус отдельной статьи в Налоговом кодексе и уже не будет считаться экспериментом. Согласно Налоговому кодексу, к услугам самозанятых относятся, например, уход за детьми, уборка, ремонт одежды, репетиторство, парикмахерские услуги, педикюр и маникюр на дому, проведение экскурсий. По оценкам Минтруда, в России 12 млн самозанятых, эксперты называют цифру в 20 млн. Подробнее:
",0.0
36,"И добавлю, что важно понимать отличие монополии от абсолютной монополии , ибо последняя крайне мало вероятна в природе, как и абсолютная конкуренция которая вообще по своей сути представляет коммунизм в чистом виде .
",0.0
37,"САМ ЖЕ НАНЯЛ САМ ЖЕ ПОЖАЛОВАЛСЯ СМОТРИТЕ, Я НЕ ПОЛИТИЧЕСКИЙ ПЕДОФИЛ! ТЕПЕРЬ ВЫ ВИДИТЕ?! ВИДИТЕ?!?!
",2.0
38,"Какие же хохлы незалежные дегенераты, пиздец просто.
",1.0
39,"Тито на них нет! Усташей, албанцев - косоваров, босняков - ублюдков, они не судят, курвы!
",4.0
40,"А вот и шизики из зогача протекли
",3.0
41,"Проверим Ватоадмина хамство Чек, постоянно перебивает гостей стримов чсв Чек, просто в каждой бочке затычка любовь ходить в гости без приглашения Наверняка любит, но из-за вежливости не ходит. ватность в терминальной стадии Ну тут и говорить не о чем. Всё сходится.
",4.0
42,"Если что-то выглядит как лахта, гавкает как лахта и дергает себе анус как лахта, зачем искать под кроватью шизиков, это по факту лахта и есть.
",1.0
43,"Почему в спидорашке так много красножопых? У русни как и у латиносов какое-то странное влечение к грязным штанам и сапогу в жопе.
",2.0
44,"Сука, как же я обосрался с этого шерлока, до слёз блять
",3.0
45,"Ты просто шизик. Скройся.
",3.0
46,"Пиздец дёшево все равно. 1000 рублей час за симпатичную и чистую оксанку. В России хохлухи только за отсос от 500 рублей берут, да и то - крокодилы на трассе.
",2.0
47,"Вот так власть борется с настоящим инакомыслием.
",0.0
48,"Это типичный белый мужчина. Запомни, чурки Кавказа это однорасцы с хохлами и русскими. Ориентация у них тоже пидорашкинская.
",4.0
49,"Этим писюном переебали столько тян, сколько ты за 10 жизней не переебёшь.
",4.0
50,"Гуру будет презиком Почему будет ? Он и так ещё тот гондон.
",2.0
51,"Да похуй вообще. У хохлов видел что?
",2.0
52,"Сдохла тварь да и хуй с ней. На её руках кровь русских людей.
",2.0
53,"Я вообще иногда удивляюсь, как наши родители выросли в то жуткое и ужасное время и вообще завели детей.
",0.0
54,"чаю. Давно заметил, вот эта вся петушиная хуета с запретить!!11 обычно исходит либо от малолетних даунов, либо вообще от даунов, которые мир видят либо белым, либо черным.
",4.0
55,"РРЯЯЯЯ, КУБАНОИДЫ НЕ РУССКИЕ, НАХУЙ ВЫ НУЖНЫ КАК ЭТО ОТДЕЛЯТЬСЯ, ЭТО ЖЕ ИСКОННО РУССКИЕ ЗЕМЛИ, ВЫХОД К ЧЕРНОМУ МОРЮ, ПЕТР ПЕРВЫЙ, РОССИЮШКА, ИМПЕРИЯ!
",1.0
56,"Естественный отбор в действии. Очередной рыцарь отправился по реке Рейн на вечные игры.
",4.0
57,"А почему его так хейтят? Объясните, может я просто тупой.
",4.0
58,"Петро Пидорошенко уже выступил со срочным заявлением, что это москали взорвали, чтобы его главсвином пидорашки не выбрали?
",2.0
59,"Кукарек кукарек Как я понимаю, по делу сказать нечего?)
",3.0
60,"Кстати, тупая шутка про коран Кому как. Мне зашла соседка за солью, товарищ майор , хоть и подача была быдловата.
",3.0
61,"ОП хуй такой неравнодушный, что это становится подозрительно. Что, чмош, уже стал объектом травли? Так нехуй было своим ебалом светить на весь харкач. В стародавние времена это называлось деанон, и многие сознательно скрывали свои данные в беседах или замыливали фотки, на которых засветились. Мода сорить фактами из своей личной жизн пошла из социалок, уверен на все сто процентов. Так что страдай, уёбина, или пиздуй нахой отсюдова в свои быдлоглазники или откуда ты там выползло.
",3.0
62,"Меня так умиляет, как в его паблике называют своих подписчков - чидакеры . Маленькие милые чидакеры.
",3.0
63,"Зачем эти продажные, жирнолысые хуемрази, когда есть такая фапабельная милфочка? Будет лучший президент за всю историю.
",2.0
64,"Пиздешь подпиндоссной либерасни. Благодаря полезным санкциям, Россия вырвалась в лидеры в сфере высокотехнологичного производства.
",2.0
65,"Если бы сьемки сделали полгода назад, то и опубликовали бы полгода назад. Логично.
",0.0
66,"Просто модер такой же куколд
",3.0
67,"В путин - крошка цахес, мелкий клоп, вонючка ленградская. Он мне не государь и не царь. Я терплю его сущствование только благодаря насилию государства. А так для меня, убежденного сторонника республики, этот прохиндей никто. просто мерзавец, подлец и мелкий хуебес. ты же можешь вылизываьб яйки своему хозяину сколько хочешь. Холоп, лакей и хам. Вот кто ты, лахтопидар на самом деле.
",2.0
68,"Это ШВЯТАЯ лужа, русня ебучая! И грязь в ней лечебная. Знаменитые Канзасские источники.
",1.0
69,"Собаки ебаные твари нахуй они нужны где отлов бродячих псов
",3.0
70,"нах разговаривать публично со своим же агентом????
",4.0
71,"Если пользователь нарушает правила, его нужно банить. Если модератор легитимный тред с обычной нейтральной шапкой превращает в флейм-тред, его нужно лишать модераторских полномочий.
",0.0
72,"Что ты этим болдом хотел сказать, дебил?
",3.0
73,"Фейк это всё. И уже уходящая мода. Как когда-то была волна хиппи. Мейнстримом всегда было и будет традиционное общество.
",0.0
74,"Ну окей, парламент пусть будет, но как пыня будет влиять на ту кучу долбоебов в парламенте если он будет всего лишь одним из членов оного?
",2.0
75,"Этот расеянин уплатит за всё. Проблема не выбить дерьма из макак, а получить прибыль. С абхазии никаких профитов, с сирии тоже, с драмнбаса тоже. Говна выбили и путин хуй забил посадив на гум иглу.
",2.0
76,"Прекрасный пример того, как успех и деньги лишают креатива.
",0.0
77,"Умысла на уничтожение чужого имущества у них не было. Опять таки спорно. Лично я считаю что понятие умысла надо убрать вообще, по дефолту считать что все что делается, делается умышлено. Оставить разве что аффектное состояние, потому что его можно определить в четких медицинских терминах, а не думал не думал.
",0.0
78,"Блядь Егор это 25 или сколько там летний геймер, которому писечка впервые перепала только недавно. Свершений нет, образования нет, популярен среди люмпенов и школьников. Почему он не учитывает экономический фактор. Действительно - почему?
",3.0
79,"Вольнова же повесили на параше, ты про что?
",4.0
80,"Когда тред прощания с хохлами будет?
",1.0
81,"Дима, если кому-то здесь и ссут в лицо, так это твоей мамаше-шлюхе.
",3.0
82,"Скотопоносным скрепоублюдкам опять неприятна, ахаха
",2.0
83,"Ну так пустое здание (!!!) и два китайца - это и есть весь офис Трансформатора Только пруфов не завезли.
",0.0
84,"Казимирка странный. Сдеанонили и похуй. Надо было за языком следить просто, не пиздеть про пьютина и подобные вещи. И бояться деанона не стоило бы. В итоге всё проебал. Книжки его говном будут. Никто не будет читать про Морровинд. Тем более уже все разобрали, например было несколько эфиров на zigafolk.fm. там с точки зрения концепций разобрали лор этой игры. Жаль что записи нет нигде. Казимирка, если ты читаешь этот пост, то задумайся на секунду. Лучше заработать 170 за месяц на патреоне, чем 0 за год написания книги.
",0.0
85,"Ролики - кал с убогой актерской игрой, стримы - заебись.
",4.0
86,"Полон тред хохлят и окатышей Леши Пынькина. А теперь давайте хором ХРЯ ПИДАРАХА ЛАХТАДЫРКА ОЛЬКА ПЛЮС-ПЯТНАЦАТЬ ХРЮ ХРЮ ХВИИИИИИИИИ
",1.0
87,"та шо там хаварить, скатился пожилая скумбрия. маска все чаще слетает. раньше был нормальным а сейчас стал натуралом. ой то есть хеем.
",3.0
88,"Нахуй иди, я тебе весь тред что ли читать буду? Пидор, бешбармак тебе в хычин!
",1.0
89,"Назови мне страну, которая никого не убила за всю историю, хуйло. Башкиркостан
",2.0
90,"Пиздец, эта хуйня заебала, так что подпишусь.
",4.0
91,"А Его Свинейшество побрезговал: ручку-то отряхнул. И потом ещё об штанину вытер.
",4.0
92,"идея хорошая, но никто так делать не будет хохлы
",2.0
93,"нам При чем твой Барнаул к хохлам?
",2.0
94,"Бля, я перданул и обосрал шорты.
",4.0
95,"Это все клевета, но даже если не клевета, то Гуру делает это все лулзовее и экспрессивнее других, поэтому все равно велик
",0.0
96,"Лол, пидораха обязательно пририсовывает триколор к свинье, чтобы никто не дай бог не подумал, что это украинец.
",2.0
97,"Вот уж кого не жалко, так это спасибоевного хуесоса, созданного в рамках пиара путина вместе со всеми другими кликбейтными говновидосами типа путин облапал тысячу сисек .
",2.0
98,"Верни скрывалку, обезьяна!!!
",1.0
99,"орет с дегенератов постит Сартра Самокритично
",2.0
100,"дали тред про аниме нихачу обсуждать аниме, хачу другую хуйню Сасуга, долбоеб с нерелейтедом.
",3.0
101,"А зачем тогда ДС эта обуза? Зачем ему регионы, если бы без них он только выиграл? Потому что жители ДС ответственные люди и не могут бросить на произвол судьбы жителей провинции. Люди в регионах банально погибнут без дотаций Москвы.
",0.0
102,"А мразота продолжает устанавливать свои тоталитарные порядки
",3.0
103,"Microsoft Office, продукты Adobe и 1С. С чем из этого не совместим Линух?
",0.0
104,"Пиздеж все это. Реальный уровень у пыни не более 10 . Я вообще доверяю не очень ВЦИОМу всяким Росстатам. В любой очереди в Пятёрочке или у подъезда достовернее сведения кроют пыню хуями, не замечают роста зарплат, и не живут больше 65
",0.0
105,"у меня треха с рождения и 12 см член я победитель по жизни живу на 9к рублей в месяц
",0.0
106,"Очередной тупой дегенерат, хайпанувший на шлюрыгине и засравшийся на хейте колумбайн-шутанов. Несет редкостную хуйню, но при этом в комментах его облизывают его друзья с фейсбука (5-10). Скорее всего, трет комменты . Имхо - заслуживает гораздо больше дизов, чем у него есть.
",3.0
107,"Но дебил это ты, по тому что это фантазии. Вывод нужно обосновывать, а ты этого не сможешь сделать, чушок.
",3.0
108,"d никто не читает, тем более админы модеры абу иди нахуй, не можешь борду привести в нормальное состояние педалик был лучше
",4.0
109,"Хз если честно, как по мне он очень много воды льёт, очень мало конкретики и очень большие скачки во времени. Как историки мне больше нравится Жуков, Соколовский, Фурсов. Это из профессиональных. Из науч-поперов ютубовских тот же Нестор поинтереснее будет ибо делает ставку на содержание и суть, а не на объяснение каких-то культурных особенностей отдельно взятого региона.
",0.0
110,"И до хохлов добралось?
",1.0
111,"левые радикалы нацисты
",1.0
112,"Заебали, вам смешно, а мне из за этого долбоеба придется своего друга бить. Он теперь постоянно ко всем лезет и пока по ебальнику не выхватит, не успокоится.
",3.0
113,"если создашь тут тред посвященный ей, то я скину.
",4.0
114,"Это же пизда будет объебосы сразу вмякие повылазят, будут шастать по улицам, повысится криминал, дтп и всякая другая хуйня
",3.0
115,"А что с ним не так? Заводы мы вывезли к себе, за счет домбассян получили прирост к росстату, хохлы в жопе, осталось только территорию захватить чтобы выкачивать сланцевый газ. Ну можно и не сейчас захватывать, газ от этого не испортится, лет через 10-15-20 напасть под предлогом социальной помощи. Еще одно Приднестровье, пойдет, главное чтобы не выебывались.
",2.0
116,"У-ух, ненавижу, блядь, хохлов.
",1.0
