film	category	director	actor	duration	release_year	rating
Tonari_no_Totoro	Comedy	HayaoMiyazaki	ChikaSakamoto	86	1988	8.1
Tonari_no_Totoro	Family	HayaoMiyazaki	ChikaSakamoto	86	1988	8.1
Tonari_no_Totoro	Animation	HayaoMiyazaki	ShigesatoItoi	86	1988	8.1
Tonari_no_Totoro	Comedy	HayaoMiyazaki	ShigesatoItoi	86	1988	8.1
Tonari_no_Totoro	Family	HayaoMiyazaki	ShigesatoItoi	86	1988	8.1
The_Iron_Giant	Animation	BradBird	EliMarienthal	86	1999	8.1
The_Iron_Giant	Action	BradBird	EliMarienthal	86	1999	8.1
The_Iron_Giant	Adventure	BradBird	EliMarienthal	86	1999	8.1
The_Iron_Giant	Animation	BradBird	HarryConnickJr.	86	1999	8.1
The_Iron_Giant	Action	BradBird	HarryConnickJr.	86	1999	8.1
The_Iron_Giant	Adventure	BradBird	HarryConnickJr.	86	1999	8.1
The_Iron_Giant	Animation	BradBird	JenniferAniston	86	1999	8.1
The_Iron_Giant	Action	BradBird	JenniferAniston	86	1999	8.1
The_Iron_Giant	Adventure	BradBird	JenniferAniston	86	1999	8.1
The_Iron_Giant	Animation	BradBird	VinDiesel	86	1999	8.1
The_Iron_Giant	Action	BradBird	VinDiesel	86	1999	8.1
The_Iron_Giant	Adventure	BradBird	VinDiesel	86	1999	8.1
What_We_Do_in_the_Shadows	Comedy	JemaineClement	JemaineClement	86	2014	7.6
What_We_Do_in_the_Shadows	Horror	JemaineClement	JemaineClement	86	2014	7.6
What_We_Do_in_the_Shadows	Comedy	JemaineClement	TaikaWaititi	86	2014	7.6
What_We_Do_in_the_Shadows	Horror	JemaineClement	TaikaWaititi	86	2014	7.6
What_We_Do_in_the_Shadows	Comedy	JemaineClement	CoriGonzalez-Macuer	86	2014	7.6
What_We_Do_in_the_Shadows	Horror	JemaineClement	CoriGonzalez-Macuer	86	2014	7.6
What_We_Do_in_the_Shadows	Comedy	JemaineClement	JonnyBrugh	86	2014	7.6
What_We_Do_in_the_Shadows	Horror	JemaineClement	JonnyBrugh	86	2014	7.6
The_Killing_Fields	Biography	RolandJoffé	SamWaterston	141	1984	7.8
The_Killing_Fields	Drama	RolandJoffé	SamWaterston	141	1984	7.8
The_Killing_Fields	History	RolandJoffé	SamWaterston	141	1984	7.8
The_Killing_Fields	Biography	RolandJoffé	HaingS.Ngor	141	1984	7.8
The_Killing_Fields	Drama	RolandJoffé	HaingS.Ngor	141	1984	7.8
The_Killing_Fields	History	RolandJoffé	HaingS.Ngor	141	1984	7.8
The_Killing_Fields	Biography	RolandJoffé	JohnMalkovich	141	1984	7.8
The_Killing_Fields	Drama	RolandJoffé	JohnMalkovich	141	1984	7.8
The_Killing_Fields	History	RolandJoffé	JohnMalkovich	141	1984	7.8
The_Killing_Fields	Biography	RolandJoffé	JulianSands	141	1984	7.8
The_Killing_Fields	Drama	RolandJoffé	JulianSands	141	1984	7.8
The_Killing_Fields	History	RolandJoffé	JulianSands	141	1984	7.8
Rio_Bravo	Western	HowardHawks	JohnWayne	141	1959	8.0
Rio_Bravo	Western	HowardHawks	DeanMartin	141	1959	8.0
Rio_Bravo	Western	HowardHawks	RickyNelson	141	1959	8.0
Rio_Bravo	Western	HowardHawks	AngieDickinson	141	1959	8.0
Letters_from_Iwo_Jima	Action	ClintEastwood	KenWatanabe	141	2006	7.9
Letters_from_Iwo_Jima	Adventure	ClintEastwood	KenWatanabe	141	2006	7.9
Letters_from_Iwo_Jima	Drama	ClintEastwood	KenWatanabe	141	2006	7.9
Letters_from_Iwo_Jima	Action	ClintEastwood	KazunariNinomiya	141	2006	7.9
Letters_from_Iwo_Jima	Adventure	ClintEastwood	KazunariNinomiya	141	2006	7.9
Letters_from_Iwo_Jima	Drama	ClintEastwood	KazunariNinomiya	141	2006	7.9
Letters_from_Iwo_Jima	Action	ClintEastwood	TsuyoshiIhara	141	2006	7.9
Letters_from_Iwo_Jima	Adventure	ClintEastwood	TsuyoshiIhara	141	2006	7.9
Letters_from_Iwo_Jima	Drama	ClintEastwood	TsuyoshiIhara	141	2006	7.9
Letters_from_Iwo_Jima	Action	ClintEastwood	RyôKase	141	2006	7.9
Letters_from_Iwo_Jima	Adventure	ClintEastwood	RyôKase	141	2006	7.9
Letters_from_Iwo_Jima	Drama	ClintEastwood	RyôKase	141	2006	7.9
Dare_mo_shiranai	Drama	HirokazuKoreeda	YûyaYagira	141	2004	8.0
Dare_mo_shiranai	Drama	HirokazuKoreeda	AyuKitaura	141	2004	8.0
Dare_mo_shiranai	Drama	HirokazuKoreeda	HieiKimura	141	2004	8.0
Dare_mo_shiranai	Drama	HirokazuKoreeda	MomokoShimizu	141	2004	8.0
Asuran	Action	Vetrimaaran	Dhanush	141	2019	8.5
Asuran	Drama	Vetrimaaran	Dhanush	141	2019	8.5
Asuran	Action	Vetrimaaran	ManjuWarrier	141	2019	8.5
Asuran	Drama	Vetrimaaran	ManjuWarrier	141	2019	8.5
Asuran	Action	Vetrimaaran	PrakashRaj	141	2019	8.5
Asuran	Drama	Vetrimaaran	PrakashRaj	141	2019	8.5
Asuran	Action	Vetrimaaran	Pasupathy	141	2019	8.5
Asuran	Drama	Vetrimaaran	Pasupathy	141	2019	8.5
Catch_Me_If_You_Can	Biography	StevenSpielberg	LeonardoDiCaprio	141	2002	8.1
Catch_Me_If_You_Can	Crime	StevenSpielberg	LeonardoDiCaprio	141	2002	8.1
Catch_Me_If_You_Can	Drama	StevenSpielberg	LeonardoDiCaprio	141	2002	8.1
Catch_Me_If_You_Can	Biography	StevenSpielberg	TomHanks	141	2002	8.1
Catch_Me_If_You_Can	Crime	StevenSpielberg	TomHanks	141	2002	8.1
Catch_Me_If_You_Can	Drama	StevenSpielberg	TomHanks	141	2002	8.1
Catch_Me_If_You_Can	Biography	StevenSpielberg	ChristopherWalken	141	2002	8.1
Catch_Me_If_You_Can	Crime	StevenSpielberg	ChristopherWalken	141	2002	8.1
Catch_Me_If_You_Can	Drama	StevenSpielberg	ChristopherWalken	141	2002	8.1
Catch_Me_If_You_Can	Biography	StevenSpielberg	MartinSheen	141	2002	8.1
Catch_Me_If_You_Can	Crime	StevenSpielberg	MartinSheen	141	2002	8.1
Catch_Me_If_You_Can	Drama	StevenSpielberg	MartinSheen	141	2002	8.1
La_grande_bellezza	Drama	PaoloSorrentino	ToniServillo	141	2013	7.7
La_grande_bellezza	Drama	PaoloSorrentino	CarloVerdone	141	2013	7.7
La_grande_bellezza	Drama	PaoloSorrentino	SabrinaFerilli	141	2013	7.7
La_grande_bellezza	Drama	PaoloSorrentino	CarloBuccirosso	141	2013	7.7
Mr._Nobody	Drama	JacoVanDormael	JaredLeto	141	2009	7.8
Mr._Nobody	Fantasy	JacoVanDormael	JaredLeto	141	2009	7.8
Mr._Nobody	Romance	JacoVanDormael	JaredLeto	141	2009	7.8
Mr._Nobody	Drama	JacoVanDormael	SarahPolley	141	2009	7.8
Mr._Nobody	Fantasy	JacoVanDormael	SarahPolley	141	2009	7.8
Mr._Nobody	Romance	JacoVanDormael	SarahPolley	141	2009	7.8
Mr._Nobody	Drama	JacoVanDormael	DianeKruger	141	2009	7.8
Mr._Nobody	Fantasy	JacoVanDormael	DianeKruger	141	2009	7.8
Mr._Nobody	Romance	JacoVanDormael	DianeKruger	141	2009	7.8
Mr._Nobody	Drama	JacoVanDormael	Linh-DanPham	141	2009	7.8
Mr._Nobody	Fantasy	JacoVanDormael	Linh-DanPham	141	2009	7.8
Mr._Nobody	Romance	JacoVanDormael	Linh-DanPham	141	2009	7.8
Changeling	Biography	ClintEastwood	AngelinaJolie	141	2008	7.8
Changeling	Crime	ClintEastwood	AngelinaJolie	141	2008	7.8
Changeling	Drama	ClintEastwood	AngelinaJolie	141	2008	7.8
Changeling	Biography	ClintEastwood	ColmFeore	141	2008	7.8
Changeling	Crime	ClintEastwood	ColmFeore	141	2008	7.8
Changeling	Drama	ClintEastwood	ColmFeore	141	2008	7.8
Changeling	Biography	ClintEastwood	AmyRyan	141	2008	7.8
Changeling	Crime	ClintEastwood	AmyRyan	141	2008	7.8
Changeling	Drama	ClintEastwood	AmyRyan	141	2008	7.8
Changeling	Biography	ClintEastwood	GattlinGriffith	141	2008	7.8
Changeling	Crime	ClintEastwood	GattlinGriffith	141	2008	7.8
Changeling	Drama	ClintEastwood	GattlinGriffith	141	2008	7.8
La_leggenda_del_pianista_sulloceano	Drama	GiuseppeTornatore	TimRoth	169	1998	8.0
La_leggenda_del_pianista_sulloceano	Music	GiuseppeTornatore	TimRoth	169	1998	8.0
La_leggenda_del_pianista_sulloceano	Romance	GiuseppeTornatore	TimRoth	169	1998	8.0
La_leggenda_del_pianista_sulloceano	Drama	GiuseppeTornatore	PruittTaylorVince	169	1998	8.0
La_leggenda_del_pianista_sulloceano	Music	GiuseppeTornatore	PruittTaylorVince	169	1998	8.0
La_leggenda_del_pianista_sulloceano	Romance	GiuseppeTornatore	PruittTaylorVince	169	1998	8.0
La_leggenda_del_pianista_sulloceano	Drama	GiuseppeTornatore	MélanieThierry	169	1998	8.0
La_leggenda_del_pianista_sulloceano	Music	GiuseppeTornatore	MélanieThierry	169	1998	8.0
La_leggenda_del_pianista_sulloceano	Romance	GiuseppeTornatore	MélanieThierry	169	1998	8.0
La_leggenda_del_pianista_sulloceano	Drama	GiuseppeTornatore	BillNunn	169	1998	8.0
La_leggenda_del_pianista_sulloceano	Music	GiuseppeTornatore	BillNunn	169	1998	8.0
La_leggenda_del_pianista_sulloceano	Romance	GiuseppeTornatore	BillNunn	169	1998	8.0
The_Hobbit:_An_Unexpected_Journey	Adventure	PeterJackson	MartinFreeman	169	2012	7.8
The_Hobbit:_An_Unexpected_Journey	Fantasy	PeterJackson	MartinFreeman	169	2012	7.8
The_Hobbit:_An_Unexpected_Journey	Adventure	PeterJackson	IanMcKellen	169	2012	7.8
The_Hobbit:_An_Unexpected_Journey	Fantasy	PeterJackson	IanMcKellen	169	2012	7.8
The_Hobbit:_An_Unexpected_Journey	Adventure	PeterJackson	RichardArmitage	169	2012	7.8
The_Hobbit:_An_Unexpected_Journey	Fantasy	PeterJackson	RichardArmitage	169	2012	7.8
The_Hobbit:_An_Unexpected_Journey	Adventure	PeterJackson	AndySerkis	169	2012	7.8
The_Hobbit:_An_Unexpected_Journey	Fantasy	PeterJackson	AndySerkis	169	2012	7.8
Saving_Private_Ryan	Drama	StevenSpielberg	TomHanks	169	1998	8.6
Saving_Private_Ryan	War	StevenSpielberg	TomHanks	169	1998	8.6
Saving_Private_Ryan	Drama	StevenSpielberg	MattDamon	169	1998	8.6
Saving_Private_Ryan	War	StevenSpielberg	MattDamon	169	1998	8.6
Saving_Private_Ryan	Drama	StevenSpielberg	TomSizemore	169	1998	8.6
Saving_Private_Ryan	War	StevenSpielberg	TomSizemore	169	1998	8.6
Saving_Private_Ryan	Drama	StevenSpielberg	EdwardBurns	169	1998	8.6
Saving_Private_Ryan	War	StevenSpielberg	EdwardBurns	169	1998	8.6
Interstellar	Adventure	ChristopherNolan	MatthewMcConaughey	169	2014	8.6
Interstellar	Drama	ChristopherNolan	MatthewMcConaughey	169	2014	8.6
Interstellar	Sci-Fi	ChristopherNolan	MatthewMcConaughey	169	2014	8.6
Interstellar	Adventure	ChristopherNolan	AnneHathaway	169	2014	8.6
Interstellar	Drama	ChristopherNolan	AnneHathaway	169	2014	8.6
Interstellar	Sci-Fi	ChristopherNolan	AnneHathaway	169	2014	8.6
Interstellar	Adventure	ChristopherNolan	JessicaChastain	169	2014	8.6
Interstellar	Drama	ChristopherNolan	JessicaChastain	169	2014	8.6
Interstellar	Sci-Fi	ChristopherNolan	JessicaChastain	169	2014	8.6
Interstellar	Adventure	ChristopherNolan	MackenzieFoy	169	2014	8.6
Interstellar	Drama	ChristopherNolan	MackenzieFoy	169	2014	8.6
Interstellar	Sci-Fi	ChristopherNolan	MackenzieFoy	169	2014	8.6
Groundhog_Day	Comedy	HaroldRamis	BillMurray	101	1993	8.1
Groundhog_Day	Drama	HaroldRamis	BillMurray	101	1993	8.1
Groundhog_Day	Fantasy	HaroldRamis	BillMurray	101	1993	8.1
Groundhog_Day	Comedy	HaroldRamis	AndieMacDowell	101	1993	8.1
Groundhog_Day	Drama	HaroldRamis	AndieMacDowell	101	1993	8.1
Groundhog_Day	Fantasy	HaroldRamis	AndieMacDowell	101	1993	8.1
Groundhog_Day	Comedy	HaroldRamis	ChrisElliott	101	1993	8.1
Groundhog_Day	Drama	HaroldRamis	ChrisElliott	101	1993	8.1
Groundhog_Day	Fantasy	HaroldRamis	ChrisElliott	101	1993	8.1
Groundhog_Day	Comedy	HaroldRamis	StephenTobolowsky	101	1993	8.1
Groundhog_Day	Drama	HaroldRamis	StephenTobolowsky	101	1993	8.1
Groundhog_Day	Fantasy	HaroldRamis	StephenTobolowsky	101	1993	8.1
Isle_of_Dogs	Animation	WesAnderson	BryanCranston	101	2018	7.8
Isle_of_Dogs	Adventure	WesAnderson	BryanCranston	101	2018	7.8
Isle_of_Dogs	Comedy	WesAnderson	BryanCranston	101	2018	7.8
Isle_of_Dogs	Animation	WesAnderson	KoyuRankin	101	2018	7.8
Isle_of_Dogs	Adventure	WesAnderson	KoyuRankin	101	2018	7.8
Isle_of_Dogs	Comedy	WesAnderson	KoyuRankin	101	2018	7.8
Isle_of_Dogs	Animation	WesAnderson	EdwardNorton	101	2018	7.8
Isle_of_Dogs	Adventure	WesAnderson	EdwardNorton	101	2018	7.8
Isle_of_Dogs	Comedy	WesAnderson	EdwardNorton	101	2018	7.8
Isle_of_Dogs	Animation	WesAnderson	BobBalaban	101	2018	7.8
Isle_of_Dogs	Adventure	WesAnderson	BobBalaban	101	2018	7.8
Isle_of_Dogs	Comedy	WesAnderson	BobBalaban	101	2018	7.8
Kubo_and_the_Two_Strings	Animation	TravisKnight	CharlizeTheron	101	2016	7.7
Kubo_and_the_Two_Strings	Action	TravisKnight	CharlizeTheron	101	2016	7.7
Kubo_and_the_Two_Strings	Adventure	TravisKnight	CharlizeTheron	101	2016	7.7
Kubo_and_the_Two_Strings	Animation	TravisKnight	ArtParkinson	101	2016	7.7
Kubo_and_the_Two_Strings	Action	TravisKnight	ArtParkinson	101	2016	7.7
Kubo_and_the_Two_Strings	Adventure	TravisKnight	ArtParkinson	101	2016	7.7
Kubo_and_the_Two_Strings	Animation	TravisKnight	MatthewMcConaughey	101	2016	7.7
Kubo_and_the_Two_Strings	Action	TravisKnight	MatthewMcConaughey	101	2016	7.7
Kubo_and_the_Two_Strings	Adventure	TravisKnight	MatthewMcConaughey	101	2016	7.7
Kubo_and_the_Two_Strings	Animation	TravisKnight	RalphFiennes	101	2016	7.7
Kubo_and_the_Two_Strings	Action	TravisKnight	RalphFiennes	101	2016	7.7
Kubo_and_the_Two_Strings	Adventure	TravisKnight	RalphFiennes	101	2016	7.7
The_Others	Horror	AlejandroAmenábar	NicoleKidman	101	2001	7.6
The_Others	Mystery	AlejandroAmenábar	NicoleKidman	101	2001	7.6
The_Others	Thriller	AlejandroAmenábar	NicoleKidman	101	2001	7.6
The_Others	Horror	AlejandroAmenábar	ChristopherEccleston	101	2001	7.6
The_Others	Mystery	AlejandroAmenábar	ChristopherEccleston	101	2001	7.6
The_Others	Thriller	AlejandroAmenábar	ChristopherEccleston	101	2001	7.6
The_Others	Horror	AlejandroAmenábar	FionnulaFlanagan	101	2001	7.6
The_Others	Mystery	AlejandroAmenábar	FionnulaFlanagan	101	2001	7.6
The_Others	Thriller	AlejandroAmenábar	FionnulaFlanagan	101	2001	7.6
The_Others	Horror	AlejandroAmenábar	AlakinaMann	101	2001	7.6
The_Others	Mystery	AlejandroAmenábar	AlakinaMann	101	2001	7.6
The_Others	Thriller	AlejandroAmenábar	AlakinaMann	101	2001	7.6
The_Machinist	Drama	BradAnderson	ChristianBale	101	2004	7.7
The_Machinist	Thriller	BradAnderson	ChristianBale	101	2004	7.7
The_Machinist	Drama	BradAnderson	JenniferJasonLeigh	101	2004	7.7
The_Machinist	Thriller	BradAnderson	JenniferJasonLeigh	101	2004	7.7
The_Machinist	Drama	BradAnderson	AitanaSánchez-Gijón	101	2004	7.7
The_Machinist	Thriller	BradAnderson	AitanaSánchez-Gijón	101	2004	7.7
The_Machinist	Drama	BradAnderson	JohnSharian	101	2004	7.7
The_Machinist	Thriller	BradAnderson	JohnSharian	101	2004	7.7
Hunt_for_the_Wilderpeople	Adventure	TaikaWaititi	SamNeill	101	2016	7.8
Hunt_for_the_Wilderpeople	Comedy	TaikaWaititi	SamNeill	101	2016	7.8
Hunt_for_the_Wilderpeople	Drama	TaikaWaititi	SamNeill	101	2016	7.8
Hunt_for_the_Wilderpeople	Adventure	TaikaWaititi	JulianDennison	101	2016	7.8
Hunt_for_the_Wilderpeople	Comedy	TaikaWaititi	JulianDennison	101	2016	7.8
Hunt_for_the_Wilderpeople	Drama	TaikaWaititi	JulianDennison	101	2016	7.8
Hunt_for_the_Wilderpeople	Adventure	TaikaWaititi	RimaTeWiata	101	2016	7.8
Hunt_for_the_Wilderpeople	Comedy	TaikaWaititi	RimaTeWiata	101	2016	7.8
Hunt_for_the_Wilderpeople	Drama	TaikaWaititi	RimaTeWiata	101	2016	7.8
Hunt_for_the_Wilderpeople	Adventure	TaikaWaititi	RachelHouse	101	2016	7.8
Hunt_for_the_Wilderpeople	Comedy	TaikaWaititi	RachelHouse	101	2016	7.8
Hunt_for_the_Wilderpeople	Drama	TaikaWaititi	RachelHouse	101	2016	7.8
Gake_no_ue_no_Ponyo	Animation	HayaoMiyazaki	CateBlanchett	101	2008	7.6
Gake_no_ue_no_Ponyo	Adventure	HayaoMiyazaki	CateBlanchett	101	2008	7.6
Gake_no_ue_no_Ponyo	Comedy	HayaoMiyazaki	CateBlanchett	101	2008	7.6
Gake_no_ue_no_Ponyo	Animation	HayaoMiyazaki	MattDamon	101	2008	7.6
Gake_no_ue_no_Ponyo	Adventure	HayaoMiyazaki	MattDamon	101	2008	7.6
Gake_no_ue_no_Ponyo	Comedy	HayaoMiyazaki	MattDamon	101	2008	7.6
Gake_no_ue_no_Ponyo	Animation	HayaoMiyazaki	LiamNeeson	101	2008	7.6
Gake_no_ue_no_Ponyo	Adventure	HayaoMiyazaki	LiamNeeson	101	2008	7.6
Gake_no_ue_no_Ponyo	Comedy	HayaoMiyazaki	LiamNeeson	101	2008	7.6
Gake_no_ue_no_Ponyo	Animation	HayaoMiyazaki	TomokoYamaguchi	101	2008	7.6
Gake_no_ue_no_Ponyo	Adventure	HayaoMiyazaki	TomokoYamaguchi	101	2008	7.6
Gake_no_ue_no_Ponyo	Comedy	HayaoMiyazaki	TomokoYamaguchi	101	2008	7.6
Little_Miss_Sunshine	Comedy	JonathanDayton	SteveCarell	101	2006	7.8
Little_Miss_Sunshine	Drama	JonathanDayton	SteveCarell	101	2006	7.8
Little_Miss_Sunshine	Comedy	JonathanDayton	ToniCollette	101	2006	7.8
Little_Miss_Sunshine	Drama	JonathanDayton	ToniCollette	101	2006	7.8
Little_Miss_Sunshine	Comedy	JonathanDayton	GregKinnear	101	2006	7.8
Little_Miss_Sunshine	Drama	JonathanDayton	GregKinnear	101	2006	7.8
Little_Miss_Sunshine	Comedy	JonathanDayton	AbigailBreslin	101	2006	7.8
Little_Miss_Sunshine	Drama	JonathanDayton	AbigailBreslin	101	2006	7.8
Strangers_on_a_Train	Crime	AlfredHitchcock	FarleyGranger	101	1951	7.9
Strangers_on_a_Train	Drama	AlfredHitchcock	FarleyGranger	101	1951	7.9
Strangers_on_a_Train	Film-Noir	AlfredHitchcock	FarleyGranger	101	1951	7.9
Strangers_on_a_Train	Crime	AlfredHitchcock	RobertWalker	101	1951	7.9
Strangers_on_a_Train	Drama	AlfredHitchcock	RobertWalker	101	1951	7.9
Strangers_on_a_Train	Film-Noir	AlfredHitchcock	RobertWalker	101	1951	7.9
Strangers_on_a_Train	Crime	AlfredHitchcock	RuthRoman	101	1951	7.9
Strangers_on_a_Train	Drama	AlfredHitchcock	RuthRoman	101	1951	7.9
Strangers_on_a_Train	Film-Noir	AlfredHitchcock	RuthRoman	101	1951	7.9
Strangers_on_a_Train	Crime	AlfredHitchcock	LeoG.Carroll	101	1951	7.9
Strangers_on_a_Train	Drama	AlfredHitchcock	LeoG.Carroll	101	1951	7.9
Strangers_on_a_Train	Film-Noir	AlfredHitchcock	LeoG.Carroll	101	1951	7.9
Mou_gaan_dou	Action	AndrewLau	AndyLau	101	2002	8.0
Mou_gaan_dou	Crime	AndrewLau	AndyLau	101	2002	8.0
Mou_gaan_dou	Drama	AndrewLau	AndyLau	101	2002	8.0
Mou_gaan_dou	Action	AndrewLau	TonyChiu-WaiLeung	101	2002	8.0
Mou_gaan_dou	Crime	AndrewLau	TonyChiu-WaiLeung	101	2002	8.0
Mou_gaan_dou	Drama	AndrewLau	TonyChiu-WaiLeung	101	2002	8.0
Mou_gaan_dou	Action	AndrewLau	AnthonyChau-SangWong	101	2002	8.0
Mou_gaan_dou	Crime	AndrewLau	AnthonyChau-SangWong	101	2002	8.0
Mou_gaan_dou	Drama	AndrewLau	AnthonyChau-SangWong	101	2002	8.0
Mou_gaan_dou	Action	AndrewLau	EricTsang	101	2002	8.0
Mou_gaan_dou	Crime	AndrewLau	EricTsang	101	2002	8.0
Mou_gaan_dou	Drama	AndrewLau	EricTsang	101	2002	8.0
The_Lost_Weekend	Drama	BillyWilder	RayMilland	101	1945	7.9
The_Lost_Weekend	Film-Noir	BillyWilder	RayMilland	101	1945	7.9
The_Lost_Weekend	Drama	BillyWilder	JaneWyman	101	1945	7.9
The_Lost_Weekend	Film-Noir	BillyWilder	JaneWyman	101	1945	7.9
The_Lost_Weekend	Drama	BillyWilder	PhillipTerry	101	1945	7.9
The_Lost_Weekend	Film-Noir	BillyWilder	PhillipTerry	101	1945	7.9
The_Lost_Weekend	Drama	BillyWilder	HowardDaSilva	101	1945	7.9
The_Lost_Weekend	Film-Noir	BillyWilder	HowardDaSilva	101	1945	7.9
Peeping_Tom	Drama	MichaelPowell	KarlheinzBöhm	101	1960	7.6
Peeping_Tom	Horror	MichaelPowell	KarlheinzBöhm	101	1960	7.6
Peeping_Tom	Thriller	MichaelPowell	KarlheinzBöhm	101	1960	7.6
Peeping_Tom	Drama	MichaelPowell	AnnaMassey	101	1960	7.6
Peeping_Tom	Horror	MichaelPowell	AnnaMassey	101	1960	7.6
Peeping_Tom	Thriller	MichaelPowell	AnnaMassey	101	1960	7.6
Peeping_Tom	Drama	MichaelPowell	MoiraShearer	101	1960	7.6
Peeping_Tom	Horror	MichaelPowell	MoiraShearer	101	1960	7.6
Peeping_Tom	Thriller	MichaelPowell	MoiraShearer	101	1960	7.6
Peeping_Tom	Drama	MichaelPowell	MaxineAudley	101	1960	7.6
Peeping_Tom	Horror	MichaelPowell	MaxineAudley	101	1960	7.6
Peeping_Tom	Thriller	MichaelPowell	MaxineAudley	101	1960	7.6
Serbuan_maut	Action	GarethEvans	IkoUwais	101	2011	7.6
Serbuan_maut	Crime	GarethEvans	IkoUwais	101	2011	7.6
Serbuan_maut	Thriller	GarethEvans	IkoUwais	101	2011	7.6
Serbuan_maut	Action	GarethEvans	AnandaGeorge	101	2011	7.6
Serbuan_maut	Crime	GarethEvans	AnandaGeorge	101	2011	7.6
Serbuan_maut	Thriller	GarethEvans	AnandaGeorge	101	2011	7.6
Serbuan_maut	Action	GarethEvans	RaySahetapy	101	2011	7.6
Serbuan_maut	Crime	GarethEvans	RaySahetapy	101	2011	7.6
Serbuan_maut	Thriller	GarethEvans	RaySahetapy	101	2011	7.6
Serbuan_maut	Action	GarethEvans	DonnyAlamsyah	101	2011	7.6
Serbuan_maut	Crime	GarethEvans	DonnyAlamsyah	101	2011	7.6
Serbuan_maut	Thriller	GarethEvans	DonnyAlamsyah	101	2011	7.6
This_Is_England	Crime	ShaneMeadows	ThomasTurgoose	101	2006	7.7
This_Is_England	Drama	ShaneMeadows	ThomasTurgoose	101	2006	7.7
This_Is_England	Crime	ShaneMeadows	StephenGraham	101	2006	7.7
This_Is_England	Drama	ShaneMeadows	StephenGraham	101	2006	7.7
This_Is_England	Crime	ShaneMeadows	JoHartley	101	2006	7.7
This_Is_England	Drama	ShaneMeadows	JoHartley	101	2006	7.7
This_Is_England	Crime	ShaneMeadows	AndrewShim	101	2006	7.7
This_Is_England	Drama	ShaneMeadows	AndrewShim	101	2006	7.7
Wreck-It_Ralph	Animation	RichMoore	JohnC.Reilly	101	2012	7.7
Wreck-It_Ralph	Adventure	RichMoore	JohnC.Reilly	101	2012	7.7
Wreck-It_Ralph	Comedy	RichMoore	JohnC.Reilly	101	2012	7.7
Wreck-It_Ralph	Animation	RichMoore	JackMcBrayer	101	2012	7.7
Wreck-It_Ralph	Adventure	RichMoore	JackMcBrayer	101	2012	7.7
