Character,Item,Position,PickRate,Timing,Count
Anti-Mage,Tango,Semi Support,0.83,Start,1
Anti-Mage,Faerie Fire,Semi Support,0.46,Start,1
Anti-Mage,Iron Branch,Semi Support,0.46,Start,2
Anti-Mage,Blood Grenade,Semi Support,0.46,Start,1
Anti-Mage,Orb of Venom,Semi Support,0.42,Start,1
Anti-Mage,Iron Branch,Semi Support,0.38,Start,3
Anti-Mage,Circlet,Semi Support,0.33,Start,1
Anti-Mage,Quelling Blade,Semi Support,0.25,Start,1
Anti-Mage,Sentry Ward,Semi Support,0.25,Start,1
Anti-Mage,Observer Ward,Semi Support,0.21,Start,1
Anti-Mage,Enchanted Mango,Semi Support,0.17,Start,1
Anti-Mage,Slippers of Agility,Semi Support,0.17,Start,1
Anti-Mage,Observer and Sentry Wards,Semi Support,0.17,Start,1
Anti-Mage,Iron Branch,Semi Support,0.12,Start,1
Anti-Mage,Wraith Band,Semi Support,0.38,Early Game,1
Anti-Mage,Orb of Corrosion,Semi Support,0.5,Early Game,1
Anti-Mage,Wraith Band,Semi Support,0.17,Early Game,2
Anti-Mage,Boots of Speed,Semi Support,0.83,Early Game,1
Anti-Mage,Magic Wand,Semi Support,0.58,Early Game,1
Anti-Mage,Power Treads,Semi Support,0.88,Early Game,1
Anti-Mage,Vanguard,Semi Support,0.29,Mid Game,1
Anti-Mage,Diffusal Blade,Semi Support,0.42,Mid Game,1
Anti-Mage,Crimson Guard,Semi Support,0.13,Mid Game,1
Anti-Mage,Morbid Mask,Semi Support,0.13,Mid Game,1
Anti-Mage,Aghanim's Shard,Semi Support,0.44,Mid Game,1
Anti-Mage,Yasha,Semi Support,0.64,Mid Game,1
Anti-Mage,Battle Fury,Semi Support,0.18,Mid Game,1
Anti-Mage,Heaven's Halberd,Semi Support,0.11,Mid Game,1
Anti-Mage,Manta Style,Semi Support,1.0,Mid Game,1
Anti-Mage,Black King Bar,Semi Support,0.22,Mid Game,1
Anti-Mage,Skull Basher,Semi Support,0.75,Late Game,1
Anti-Mage,Assault Cuirass,Semi Support,0.14,Late Game,1
Anti-Mage,Desolator,Semi Support,0.33,Late Game,1
Anti-Mage,Tango,Full Support,0.88,Start,1
Anti-Mage,Iron Branch,Full Support,0.85,Start,1
Anti-Mage,Circlet,Full Support,0.68,Start,1
Anti-Mage,Quelling Blade,Full Support,0.65,Start,1
Anti-Mage,Magic Stick,Full Support,0.32,Start,1
Anti-Mage,Sentry Ward,Full Support,0.26,Start,1
Anti-Mage,Slippers of Agility,Full Support,0.18,Start,1
Anti-Mage,Blood Grenade,Full Support,0.18,Start,1
Anti-Mage,Faerie Fire,Full Support,0.15,Start,1
Anti-Mage,Orb of Venom,Full Support,0.15,Start,1
Anti-Mage,Observer and Sentry Wards,Full Support,0.15,Start,1
Anti-Mage,Power Treads,Full Support,0.64,Early Game,1
Anti-Mage,Boots of Speed,Full Support,0.56,Early Game,1
Anti-Mage,Magic Wand,Full Support,0.36,Early Game,1
Anti-Mage,Wraith Band,Full Support,0.33,Early Game,1
Anti-Mage,Orb of Corrosion,Full Support,0.19,Early Game,1
Anti-Mage,Yasha,Full Support,0.53,Mid Game,1
Anti-Mage,Battle Fury,Full Support,0.47,Mid Game,1
Anti-Mage,Manta Style,Full Support,0.41,Mid Game,1
Anti-Mage,Power Treads,Full Support,0.18,Mid Game,1
Anti-Mage,Aghanim's Scepter,Full Support,0.18,Mid Game,1
Anti-Mage,Eye of Skadi,Full Support,0.18,Mid Game,1
Anti-Mage,Wraith Band,Full Support,0.15,Mid Game,1
Anti-Mage,Aghanim's Shard,Full Support,0.15,Mid Game,1
Anti-Mage,Abyssal Blade,Full Support,0.43,Late Game,1
Anti-Mage,Skull Basher,Full Support,0.43,Late Game,1
Anti-Mage,Bloodthorn,Full Support,0.29,Late Game,1
Anti-Mage,Butterfly,Full Support,0.29,Late Game,1
Anti-Mage,Monkey King Bar,Full Support,0.14,Late Game,1
Anti-Mage,Yasha,Full Support,0.14,Late Game,1
Anti-Mage,Battle Fury,Full Support,0.14,Late Game,1
Anti-Mage,Khanda,Full Support,0.14,Late Game,1
Anti-Mage,Manta Style,Full Support,0.14,Late Game,1
Anti-Mage,Black King Bar,Full Support,0.14,Late Game,1
Axe,Tango,Carry,0.68,Start,1
Axe,Quelling Blade,Carry,0.53,Start,1
Axe,Iron Branch,Carry,0.42,Start,1
Axe,Gauntlets of Strength,Carry,0.32,Start,1
Axe,Ring of Protection,Carry,0.21,Start,1
Axe,Circlet,Carry,0.16,Start,1
Axe,Magic Stick,Carry,0.11,Start,1
Axe,Boots of Speed,Carry,0.67,Early Game,1
Axe,Vanguard,Carry,0.48,Early Game,1
Axe,Phase Boots,Carry,0.33,Early Game,1
Axe,Bracer,Carry,0.22,Early Game,1
Axe,Blade Mail,Carry,0.22,Early Game,1
Axe,Magic Wand,Carry,0.15,Early Game,1
Axe,Blink Dagger,Carry,0.11,Early Game,1
Axe,Blink Dagger,Carry,0.85,Mid Game,1
Axe,Blade Mail,Carry,0.65,Mid Game,1
Axe,Aghanim's Shard,Carry,0.5,Mid Game,1
Axe,Black King Bar,Carry,0.5,Mid Game,1
Axe,Boots of Speed,Carry,0.27,Mid Game,1
Axe,Boots of Travel,Carry,0.19,Mid Game,1
Axe,Eternal Shroud,Carry,0.12,Mid Game,1
Axe,Bloodstone,Carry,0.12,Mid Game,1
Axe,Refresher Orb,Carry,0.43,Late Game,1
Axe,Black King Bar,Carry,0.29,Late Game,1
Axe,Bloodstone,Carry,0.29,Late Game,1
Axe,Aghanim's Scepter,Carry,0.29,Late Game,1
Axe,Tiara of Selemene,Carry,0.14,Late Game,1
Axe,Boots of Travel,Carry,0.14,Late Game,1
Axe,Overwhelming Blink,Carry,0.14,Late Game,1
Axe,Sange,Carry,0.14,Late Game,1
Axe,Lotus Orb,Carry,0.14,Late Game,1
Axe,Tango,Mid,0.67,Start,1
Axe,Observer Ward,Mid,0.47,Start,1
Axe,Gauntlets of Strength,Mid,0.4,Start,1
Axe,Iron Branch,Mid,0.4,Start,2
Axe,Quelling Blade,Mid,0.4,Start,1
Axe,Ring of Protection,Mid,0.33,Start,1
Axe,Circlet,Mid,0.2,Start,1
Axe,Iron Branch,Mid,0.2,Start,1
Axe,Gauntlets of Strength,Mid,0.2,Start,2
Axe,Faerie Fire,Mid,0.13,Start,1
Axe,Iron Branch,Mid,0.13,Start,3
Axe,Bracer,Mid,0.88,Early Game,1
Axe,Boots of Speed,Mid,0.82,Early Game,1
Axe,Phase Boots,Mid,0.96,Early Game,1
Axe,Blade Mail,Mid,0.87,Mid Game,1
Axe,Blink Dagger,Mid,0.7,Mid Game,1
Axe,Aghanim's Shard,Mid,0.57,Mid Game,1
Axe,Black King Bar,Mid,0.8,Mid Game,1
Axe,Aghanim's Scepter,Mid,0.29,Mid Game,1
Axe,Bloodstone,Mid,0.33,Mid Game,1
Axe,Shadow Blade,Mid,0.17,Mid Game,1
Axe,Boots of Travel,Mid,0.17,Mid Game,1
Axe,Refresher Orb,Mid,1.0,Late Game,1
Axe,Tango,Semi Support,0.97,Start,1
Axe,Iron Branch,Semi Support,0.55,Start,2
Axe,Blood Grenade,Semi Support,0.41,Start,1
Axe,Gauntlets of Strength,Semi Support,0.38,Start,1
Axe,Quelling Blade,Semi Support,0.34,Start,1
Axe,Circlet,Semi Support,0.34,Start,1
Axe,Ring of Protection,Semi Support,0.17,Start,1
Axe,Sentry Ward,Semi Support,0.17,Start,1
Axe,Observer and Sentry Wards,Semi Support,0.17,Start,1
Axe,Magic Stick,Semi Support,0.14,Start,1
Axe,Ring of Protection,Semi Support,0.14,Start,2
Axe,Faerie Fire,Semi Support,0.1,Start,1
Axe,Iron Branch,Semi Support,0.1,Start,1
Axe,Observer Ward,Semi Support,0.1,Start,1
Axe,Healing Salve,Semi Support,0.1,Start,1
Axe,Bracer,Semi Support,0.41,Early Game,1
Axe,Boots of Speed,Semi Support,0.97,Early Game,1
Axe,Urn of Shadows,Semi Support,0.31,Early Game,1
Axe,Wind Lace,Semi Support,0.24,Early Game,1
Axe,Tranquil Boots,Semi Support,0.21,Early Game,1
Axe,Vanguard,Semi Support,0.14,Early Game,1
Axe,Magic Wand,Semi Support,0.62,Early Game,1
Axe,Phase Boots,Semi Support,0.4,Mid Game,1
Axe,Spirit Vessel,Semi Support,0.21,Mid Game,1
Axe,Blink Dagger,Semi Support,0.95,Mid Game,1
Axe,Blade Mail,Semi Support,0.83,Mid Game,1
Axe,Aghanim's Shard,Semi Support,0.46,Mid Game,1
Axe,Black King Bar,Semi Support,0.42,Mid Game,1
Axe,Lotus Orb,Semi Support,0.15,Mid Game,1
Axe,Bloodstone,Semi Support,0.11,Late Game,1
Axe,Aghanim's Scepter,Semi Support,1.0,Late Game,1
Axe,Ghost Scepter,Semi Support,0.25,Late Game,1
Axe,Heart of Tarrasque,Semi Support,0.2,Late Game,1
Axe,Tango,Full Support,0.75,Start,1
Axe,Ring of Protection,Full Support,0.55,Start,1
Axe,Blood Grenade,Full Support,0.55,Start,1
Axe,Iron Branch,Full Support,0.5,Start,1
Axe,Observer and Sentry Wards,Full Support,0.3,Start,1
Axe,Sentry Ward,Full Support,0.3,Start,1
Axe,Faerie Fire,Full Support,0.2,Start,1
Axe,Gauntlets of Strength,Full Support,0.2,Start,1
Axe,Circlet,Full Support,0.15,Start,1
Axe,Enchanted Mango,Full Support,0.15,Start,1
Axe,Magic Stick,Full Support,0.1,Start,1
Axe,Quelling Blade,Full Support,0.1,Start,1
Axe,Ring of Regen,Full Support,0.1,Start,1
Axe,Orb of Venom,Full Support,0.1,Start,1
Axe,Boots of Speed,Full Support,0.77,Early Game,1
Axe,Vanguard,Full Support,0.36,Early Game,1
Axe,Wind Lace,Full Support,0.32,Early Game,1
Axe,Tranquil Boots,Full Support,0.23,Early Game,1
Axe,Magic Wand,Full Support,0.23,Early Game,1
Axe,Phase Boots,Full Support,0.18,Early Game,1
Axe,Bracer,Full Support,0.14,Early Game,1
Axe,Blink Dagger,Full Support,0.9,Mid Game,1
Axe,Blade Mail,Full Support,0.71,Mid Game,1
Axe,Aghanim's Shard,Full Support,0.43,Mid Game,1
Axe,Black King Bar,Full Support,0.29,Mid Game,1
Axe,Phase Boots,Full Support,0.19,Mid Game,1
Axe,Magic Wand,Full Support,0.19,Mid Game,1
Axe,Aghanim's Scepter,Full Support,0.14,Mid Game,1
Axe,Black King Bar,Full Support,0.4,Late Game,1
Axe,Boots of Bearing,Full Support,0.2,Late Game,1
Axe,Sange and Yasha,Full Support,0.2,Late Game,1
Axe,Refresher Orb,Full Support,0.2,Late Game,1
Axe,Boots of Travel,Full Support,0.2,Late Game,1
Axe,Heart of Tarrasque,Full Support,0.2,Late Game,1
Axe,Boots of Travel 2,Full Support,0.2,Late Game,1
Axe,Aghanim's Scepter,Full Support,0.2,Late Game,1
Axe,Bloodstone,Full Support,0.2,Late Game,1
Bane,Iron Branch,Carry,1.0,Start,1
Bane,Circlet,Carry,0.57,Start,1
Bane,Gauntlets of Strength,Carry,0.43,Start,1
Bane,Tango,Carry,0.43,Start,1
Bane,Magic Wand,Carry,0.29,Start,1
Bane,Faerie Fire,Carry,0.29,Start,1
Bane,Boots of Speed,Carry,1.0,Early Game,1
Bane,Soul Ring,Carry,0.86,Early Game,1
Bane,Magic Wand,Carry,0.71,Early Game,1
Bane,Phylactery,Carry,0.57,Early Game,1
Bane,Null Talisman,Carry,0.43,Early Game,1
Bane,Wraith Band,Carry,0.29,Early Game,1
Bane,Power Treads,Carry,0.29,Early Game,1
Bane,Aghanim's Scepter,Carry,0.14,Early Game,1
Bane,Bracer,Carry,0.14,Early Game,1
Bane,Aghanim's Shard,Carry,0.86,Mid Game,1
Bane,Kaya,Carry,0.86,Mid Game,1
Bane,Aghanim's Scepter,Carry,0.71,Mid Game,1
Bane,Yasha and Kaya,Carry,0.57,Mid Game,1
Bane,Maelstrom,Carry,0.29,Mid Game,1
Bane,Aether Lens,Carry,0.29,Mid Game,1
Bane,Octarine Core,Carry,0.29,Mid Game,1
Bane,Kaya and Sange,Carry,0.29,Mid Game,1
Bane,Shadow Blade,Carry,0.14,Mid Game,1
Bane,Power Treads,Carry,0.14,Mid Game,1
Bane,Force Staff,Carry,0.14,Mid Game,1
Bane,Hurricane Pike,Carry,0.14,Mid Game,1
Bane,Khanda,Carry,0.14,Mid Game,1
Bane,Black King Bar,Carry,0.14,Mid Game,1
Bane,Yasha,Carry,0.14,Mid Game,1
Bane,Octarine Core,Carry,1.0,Late Game,1
Bane,Black King Bar,Carry,0.33,Late Game,1
Bane,Khanda,Carry,0.33,Late Game,1
Bane,Silver Edge,Carry,0.33,Late Game,1
Bane,Mjollnir,Carry,0.33,Late Game,1
Bane,Observer Ward,Mid,0.71,Start,1
Bane,Tango,Mid,0.61,Start,1
Bane,Circlet,Mid,0.31,Start,2
Bane,Iron Branch,Mid,0.29,Start,3
Bane,Mantle of Intelligence,Mid,0.27,Start,1
Bane,Iron Branch,Mid,0.25,Start,2
Bane,Circlet,Mid,0.17,Start,1
Bane,Null Talisman,Mid,0.17,Start,1
Bane,Iron Branch,Mid,0.16,Start,4
Bane,Faerie Fire,Mid,0.11,Start,1
Bane,Null Talisman,Mid,0.42,Early Game,1
Bane,Bottle,Mid,0.41,Early Game,1
Bane,Null Talisman,Mid,0.32,Early Game,2
Bane,Ring of Basilius,Mid,0.38,Early Game,1
Bane,Magic Wand,Mid,0.64,Early Game,1
Bane,Boots of Speed,Mid,0.87,Early Game,1
Bane,Arcane Boots,Mid,0.59,Early Game,1
Bane,Power Treads,Mid,0.15,Early Game,1
Bane,Wind Lace,Mid,0.1,Mid Game,1
Bane,Phylactery,Mid,0.4,Mid Game,1
Bane,Aether Lens,Mid,0.39,Mid Game,1
Bane,Aghanim's Shard,Mid,0.34,Mid Game,1
Bane,Aghanim's Scepter,Mid,0.92,Mid Game,1
Bane,Blink Dagger,Mid,0.7,Mid Game,1
Bane,Yasha,Mid,0.19,Mid Game,1
Bane,Manta Style,Mid,0.15,Mid Game,1
Bane,Boots of Travel,Mid,0.15,Mid Game,1
Bane,Shadow Blade,Mid,0.46,Mid Game,1
Bane,Tiara of Selemene,Mid,0.3,Mid Game,1
Bane,Kaya,Mid,0.25,Mid Game,1
Bane,Khanda,Mid,0.4,Mid Game,1
Bane,Octarine Core,Mid,0.39,Mid Game,1
Bane,Black King Bar,Mid,0.17,Mid Game,1
Bane,Yasha and Kaya,Mid,0.17,Late Game,1
Bane,Ghost Scepter,Mid,0.17,Late Game,1
Bane,Silver Edge,Mid,0.5,Late Game,1
Bane,Ethereal Blade,Mid,0.33,Late Game,1
Bane,Iron Branch,Off Lane,0.63,Start,3
Bane,Tango,Off Lane,0.6,Start,1
Bane,Circlet,Off Lane,0.31,Start,1
Bane,Circlet,Off Lane,0.29,Start,2
Bane,Magic Wand,Off Lane,0.26,Start,1
Bane,Iron Branch,Off Lane,0.2,Start,2
Bane,Magic Stick,Off Lane,0.2,Start,1
Bane,Mantle of Intelligence,Off Lane,0.14,Start,1
Bane,Faerie Fire,Off Lane,0.14,Start,1
Bane,Observer Ward,Off Lane,0.14,Start,1
Bane,Enchanted Mango,Off Lane,0.11,Start,1
Bane,Bracer,Off Lane,0.17,Early Game,1
Bane,Null Talisman,Off Lane,0.14,Early Game,2
Bane,Magic Wand,Off Lane,0.89,Early Game,1
Bane,Bottle,Off Lane,0.11,Early Game,1
Bane,Null Talisman,Off Lane,0.4,Early Game,1
Bane,Ring of Basilius,Off Lane,0.54,Early Game,1
Bane,Boots of Speed,Off Lane,0.83,Early Game,1
Bane,Arcane Boots,Off Lane,0.66,Early Game,1
Bane,Power Treads,Off Lane,0.26,Early Game,1
Bane,Phylactery,Off Lane,0.19,Mid Game,1
Bane,Aghanim's Scepter,Off Lane,0.92,Mid Game,1
Bane,Aether Lens,Off Lane,0.45,Mid Game,1
Bane,Aghanim's Shard,Off Lane,0.29,Mid Game,1
Bane,Kaya,Off Lane,0.29,Mid Game,1
Bane,Force Staff,Off Lane,0.14,Mid Game,1
Bane,Blink Dagger,Off Lane,0.77,Mid Game,1
Bane,Shadow Blade,Off Lane,0.33,Mid Game,1
Bane,Tiara of Selemene,Off Lane,0.36,Mid Game,1
Bane,Hurricane Pike,Off Lane,0.14,Mid Game,1
Bane,Octarine Core,Off Lane,0.43,Late Game,1
Bane,Boots of Travel,Off Lane,0.25,Late Game,1
Bane,Black King Bar,Off Lane,0.5,Late Game,1
Bane,Ethereal Blade,Off Lane,0.14,Late Game,1
Bane,Moon Shard,Off Lane,0.14,Late Game,1
Bane,Kaya and Sange,Off Lane,0.14,Late Game,1
Bane,Daedalus,Off Lane,0.17,Late Game,1
Bane,Tango,Semi Support,0.95,Start,1
Bane,Blood Grenade,Semi Support,0.88,Start,1
Bane,Sentry Ward,Semi Support,0.55,Start,1
Bane,Circlet,Semi Support,0.55,Start,1
Bane,Iron Branch,Semi Support,0.5,Start,2
Bane,Observer and Sentry Wards,Semi Support,0.42,Start,1
Bane,Magic Stick,Semi Support,0.37,Start,1
Bane,Enchanted Mango,Semi Support,0.28,Start,1
Bane,Iron Branch,Semi Support,0.26,Start,1
Bane,Faerie Fire,Semi Support,0.19,Start,1
Bane,Circlet,Semi Support,0.13,Start,2
Bane,Iron Branch,Semi Support,0.11,Start,3
Bane,Boots of Speed,Semi Support,0.98,Early Game,1
Bane,Magic Wand,Semi Support,0.84,Early Game,1
Bane,Ring of Basilius,Semi Support,0.66,Early Game,1
Bane,Bracer,Semi Support,0.21,Early Game,1
Bane,Wind Lace,Semi Support,0.21,Early Game,1
Bane,Arcane Boots,Semi Support,0.83,Early Game,1
Bane,Aether Lens,Semi Support,0.57,Mid Game,1
Bane,Glimmer Cape,Semi Support,0.42,Mid Game,1
Bane,Aghanim's Shard,Semi Support,0.43,Mid Game,1
Bane,Blink Dagger,Semi Support,0.53,Mid Game,1
Bane,Aghanim's Scepter,Semi Support,0.75,Mid Game,1
Bane,Ghost Scepter,Semi Support,0.19,Mid Game,1
Bane,Lotus Orb,Semi Support,0.2,Late Game,1
Bane,Black King Bar,Semi Support,0.11,Late Game,1
Bane,Aeon Disk,Semi Support,1.0,Late Game,1
Bane,Boots of Travel,Semi Support,0.5,Late Game,1
Bane,Maelstrom,Semi Support,0.5,Late Game,1
Bloodseeker,Tango,Mid,0.81,Start,1
Bloodseeker,Quelling Blade,Mid,0.79,Start,1
Bloodseeker,Circlet,Mid,0.71,Start,1
Bloodseeker,Observer Ward,Mid,0.57,Start,1
Bloodseeker,Iron Branch,Mid,0.47,Start,2
Bloodseeker,Slippers of Agility,Mid,0.33,Start,1
Bloodseeker,Magic Stick,Mid,0.26,Start,1
Bloodseeker,Faerie Fire,Mid,0.24,Start,1
Bloodseeker,Iron Branch,Mid,0.21,Start,1
Bloodseeker,Iron Branch,Mid,0.21,Start,3
Bloodseeker,Wraith Band,Mid,0.19,Early Game,2
Bloodseeker,Wraith Band,Mid,0.47,Early Game,1
Bloodseeker,Bottle,Mid,0.14,Early Game,1
Bloodseeker,Orb of Corrosion,Mid,0.1,Early Game,1
Bloodseeker,Boots of Speed,Mid,0.95,Early Game,1
Bloodseeker,Null Talisman,Mid,0.21,Early Game,1
Bloodseeker,Magic Wand,Mid,0.83,Early Game,1
Bloodseeker,Power Treads,Mid,0.22,Early Game,1
Bloodseeker,Phase Boots,Mid,0.71,Early Game,1
Bloodseeker,Dagon,Mid,0.25,Mid Game,1
Bloodseeker,Blade Mail,Mid,0.41,Mid Game,1
Bloodseeker,Maelstrom,Mid,0.2,Mid Game,1
Bloodseeker,Rod of Atos,Mid,0.18,Mid Game,1
Bloodseeker,Dagon,Mid,0.17,Mid Game,1
Bloodseeker,Radiance,Mid,0.23,Mid Game,1
Bloodseeker,Gleipnir,Mid,0.12,Mid Game,1
Bloodseeker,Dagon,Mid,0.18,Mid Game,1
Bloodseeker,Dagon,Mid,0.15,Mid Game,1
Bloodseeker,Yasha,Mid,0.13,Mid Game,1
Bloodseeker,Dagon,Mid,0.17,Mid Game,1
Bloodseeker,Aghanim's Shard,Mid,0.47,Mid Game,1
Bloodseeker,Eternal Shroud,Mid,0.14,Mid Game,1
Bloodseeker,Aghanim's Scepter,Mid,0.5,Mid Game,1
Bloodseeker,Black King Bar,Mid,0.83,Mid Game,1
Bloodseeker,Eul's Scepter of Divinity,Mid,0.14,Mid Game,1
Bloodseeker,Blink Dagger,Mid,0.22,Mid Game,1
Bloodseeker,Sange and Yasha,Mid,0.25,Mid Game,1
Bloodseeker,Kaya and Sange,Mid,0.19,Mid Game,1
Bloodseeker,Octarine Core,Mid,0.33,Mid Game,1
Bloodseeker,Bloodstone,Mid,0.5,Late Game,1
Bloodseeker,Linken's Sphere,Mid,0.17,Late Game,1
Bloodseeker,Tango,Off Lane,0.6,Start,1
Bloodseeker,Quelling Blade,Off Lane,0.59,Start,1
Bloodseeker,Circlet,Off Lane,0.41,Start,1
Bloodseeker,Iron Branch,Off Lane,0.39,Start,2
Bloodseeker,Iron Branch,Off Lane,0.33,Start,3
Bloodseeker,Slippers of Agility,Off Lane,0.29,Start,1
Bloodseeker,Magic Wand,Off Lane,0.26,Start,1
Bloodseeker,Magic Stick,Off Lane,0.23,Start,1
Bloodseeker,Iron Branch,Off Lane,0.2,Start,1
Bloodseeker,Faerie Fire,Off Lane,0.15,Start,1
Bloodseeker,Circlet,Off Lane,0.12,Start,2
Bloodseeker,Wraith Band,Off Lane,0.43,Early Game,1
Bloodseeker,Magic Wand,Off Lane,0.76,Early Game,1
Bloodseeker,Null Talisman,Off Lane,0.12,Early Game,1
Bloodseeker,Boots of Speed,Off Lane,0.87,Early Game,1
Bloodseeker,Power Treads,Off Lane,0.17,Early Game,1
Bloodseeker,Phase Boots,Off Lane,0.69,Early Game,1
Bloodseeker,Wind Lace,Off Lane,0.11,Early Game,1
Bloodseeker,Dagon,Off Lane,0.24,Mid Game,1
Bloodseeker,Rod of Atos,Off Lane,0.15,Mid Game,1
Bloodseeker,Blade Mail,Off Lane,0.55,Mid Game,1
Bloodseeker,Maelstrom,Off Lane,0.23,Mid Game,1
Bloodseeker,Tiara of Selemene,Off Lane,0.11,Mid Game,1
Bloodseeker,Dagon,Off Lane,0.18,Mid Game,1
Bloodseeker,Radiance,Off Lane,0.16,Mid Game,1
Bloodseeker,Mjollnir,Off Lane,0.1,Mid Game,1
Bloodseeker,Dagon,Off Lane,0.29,Mid Game,1
Bloodseeker,Dagon,Off Lane,0.2,Mid Game,1
Bloodseeker,Aghanim's Shard,Off Lane,0.32,Mid Game,1
Bloodseeker,Black King Bar,Off Lane,0.74,Mid Game,1
Bloodseeker,Yasha,Off Lane,0.14,Mid Game,1
Bloodseeker,Veil of Discord,Off Lane,0.11,Mid Game,1
Bloodseeker,Dagon,Off Lane,0.23,Mid Game,1
Bloodseeker,Aghanim's Scepter,Off Lane,0.59,Mid Game,1
Bloodseeker,Shiva's Guard,Off Lane,0.14,Mid Game,1
Bloodseeker,Skull Basher,Off Lane,0.11,Mid Game,1
Bloodseeker,Octarine Core,Off Lane,0.4,Mid Game,1
Bloodseeker,Aeon Disk,Off Lane,0.17,Late Game,1
Bloodseeker,Boots of Travel 2,Off Lane,0.25,Late Game,1
Bloodseeker,Refresher Orb,Off Lane,0.5,Late Game,1
Bloodseeker,Boots of Speed,Semi Support,0.5,Start,1
Bloodseeker,Blood Grenade,Semi Support,0.5,Start,1
Bloodseeker,Observer Ward,Semi Support,0.5,Start,1
Bloodseeker,Tango,Semi Support,0.5,Start,1
Bloodseeker,Faerie Fire,Semi Support,0.5,Start,1
Bloodseeker,Iron Branch,Semi Support,0.5,Start,1
Bloodseeker,Circlet,Semi Support,0.5,Start,1
