Character,HeroStats,Damage,Deny,EPM,GPM,Heal,LastHits
Invoker 8054705111,Invoker 8054705111 stats,17897,19,747,674,0,211
Bounty Hunter 8054705111,Bounty Hunter 8054705111 stats,8703,4,549,455,400,29
Dragon Knight 8054705111,Dragon Knight 8054705111 stats,30570,7,966,878,0,429
Bristleback 8054705111,Bristleback 8054705111 stats,16070,9,660,474,0,220
Hoodwink 8054705111,Hoodwink 8054705111 stats,14379,2,328,281,0,77
Puck 8054705111,Puck 8054705111 stats,13260,8,504,450,0,204
Alchemist 8054705111,Alchemist 8054705111 stats,16188,9,603,694,0,324
Enchantress 8054705111,Enchantress 8054705111 stats,15588,1,338,263,269,54
Terrorblade 8054769333,Terrorblade 8054769333 stats,16588,7,684,630,37,436
Batrider 8054769333,Batrider 8054769333 stats,13271,1,480,309,0,141
Magnus 8054769333,Magnus 8054769333 stats,10456,8,604,487,0,287
Snapfire 8054769333,Snapfire 8054769333 stats,15220,8,466,369,4794,132
Puck 8054769333,Puck 8054769333 stats,28318,9,784,615,0,417
Morphling 8054769333,Morphling 8054769333 stats,29191,3,862,795,1943,417
Tidehunter 8054769333,Tidehunter 8054769333 stats,14255,3,770,551,0,269
Phoenix 8054769333,Phoenix 8054769333 stats,13673,3,558,416,3112,90
Lina 8054769333,Lina 8054769333 stats,17590,12,962,717,110,428
Shadow Demon 8054769333,Shadow Demon 8054769333 stats,8856,0,444,314,4645,54
Clockwerk 8054861702,Clockwerk 8054861702 stats,14079,1,587,324,0,41
Dawnbreaker 8054861702,Dawnbreaker 8054861702 stats,21485,6,997,663,6464,418
Invoker 8054861702,Invoker 8054861702 stats,32988,31,730,660,0,348
Muerta 8054861702,Muerta 8054861702 stats,15516,15,561,371,0,110
Razor 8054861702,Razor 8054861702 stats,19940,17,849,704,0,505
Shadow Fiend 8054861702,Shadow Fiend 8054861702 stats,26348,18,809,668,0,521
Ogre Magi 8054861702,Ogre Magi 8054861702 stats,15079,2,379,260,0,72
Earth Spirit 8054861702,Earth Spirit 8054861702 stats,19401,1,432,401,0,267
Gyrocopter 8054861702,Gyrocopter 8054861702 stats,20130,2,342,244,0,94
Beastmaster 8054861702,Beastmaster 8054861702 stats,14279,15,536,501,0,308
Bristleback 8054965291,Bristleback 8054965291 stats,20500,13,804,642,0,414
Hoodwink 8054965291,Hoodwink 8054965291 stats,18063,3,428,331,0,135
Zeus 8054965291,Zeus 8054965291 stats,33996,6,623,511,106,305
Razor 8054965291,Razor 8054965291 stats,18960,5,707,558,0,417
Clockwerk 8054965291,Clockwerk 8054965291 stats,8450,2,406,257,192,56
Drow Ranger 8054965291,Drow Ranger 8054965291 stats,23130,11,943,691,0,400
Chen 8054965291,Chen 8054965291 stats,6785,5,519,428,17395,189
Primal Beast 8054965291,Primal Beast 8054965291 stats,11476,19,788,587,0,382
Batrider 8054965291,Batrider 8054965291 stats,13432,3,501,317,0,122
Viper 8054965291,Viper 8054965291 stats,28552,10,735,618,322,378
Alchemist 8055089269,Alchemist 8055089269 stats,23219,1,914,855,0,389
Tidehunter 8055089269,Tidehunter 8055089269 stats,16002,3,776,518,4454,232
Phoenix 8055089269,Phoenix 8055089269 stats,13891,1,498,391,2278,80
Sniper 8055089269,Sniper 8055089269 stats,35744,11,833,758,0,384
Shadow Demon 8055089269,Shadow Demon 8055089269 stats,11058,0,492,329,638,53
Naga Siren 8055089269,Naga Siren 8055089269 stats,6358,0,346,338,125,157
Timbersaw 8055089269,Timbersaw 8055089269 stats,22059,7,647,522,0,327
Lina 8055089269,Lina 8055089269 stats,25348,10,803,586,0,343
Dark Willow 8055089269,Dark Willow 8055089269 stats,10670,14,365,280,0,61
Monkey King 8055089269,Monkey King 8055089269 stats,15827,11,743,603,400,371
Morphling 8055231335,Morphling 8055231335 stats,18409,20,843,875,774,339
Lich 8055231335,Lich 8055231335 stats,8411,4,378,313,592,36
Invoker 8055231335,Invoker 8055231335 stats,11431,10,520,449,0,127
Muerta 8055231335,Muerta 8055231335 stats,10076,5,460,368,0,62
Magnus 8055231335,Magnus 8055231335 stats,12269,8,627,569,0,195
Beastmaster 8055231335,Beastmaster 8055231335 stats,6812,10,405,439,0,181
Phoenix 8055231335,Phoenix 8055231335 stats,11191,0,316,268,3032,53
Void Spirit 8055231335,Void Spirit 8055231335 stats,12620,6,431,483,0,176
Terrorblade 8055231335,Terrorblade 8055231335 stats,8522,9,518,531,29,270
Enchantress 8055231335,Enchantress 8055231335 stats,13453,0,297,266,130,57
Jakiro 8055285102,Jakiro 8055285102 stats,10828,2,536,344,0,83
Primal Beast 8055285102,Primal Beast 8055285102 stats,21020,3,712,574,125,271
Nature'S Prophet 8055285102,Nature'S Prophet 8055285102 stats,45524,25,1057,937,0,565
Tusk 8055285102,Tusk 8055285102 stats,12651,4,583,357,0,65
Monkey King 8055285102,Monkey King 8055285102 stats,27266,16,862,695,0,377
Alchemist 8055285102,Alchemist 8055285102 stats,18843,7,748,718,0,393
Pugna 8055285102,Pugna 8055285102 stats,15951,1,473,286,5013,88
Beastmaster 8055285102,Beastmaster 8055285102 stats,20551,5,800,567,0,338
Muerta 8055285102,Muerta 8055285102 stats,20135,4,436,307,0,92
Viper 8055285102,Viper 8055285102 stats,16463,14,520,499,0,314
Magnus 8055384655,Magnus 8055384655 stats,4603,10,565,528,0,295
Lich 8055384655,Lich 8055384655 stats,13108,4,359,259,0,47
Queen Of Pain 8055384655,Queen Of Pain 8055384655 stats,17276,8,426,450,0,181
Dark Willow 8055384655,Dark Willow 8055384655 stats,12521,4,226,242,0,35
Dawnbreaker 8055384655,Dawnbreaker 8055384655 stats,11659,10,582,476,2447,242
Sven 8055384655,Sven 8055384655 stats,16884,6,914,791,0,383
Doom 8055384655,Doom 8055384655 stats,15799,2,724,688,0,226
Pugna 8055384655,Pugna 8055384655 stats,24234,2,610,491,4907,74
Timbersaw 8055384655,Timbersaw 8055384655 stats,30028,2,935,726,212,261
Rubick 8055384655,Rubick 8055384655 stats,12028,2,587,416,125,46
Chaos Knight 8056476228,Chaos Knight 8056476228 stats,17629,13,826,736,0,500
Batrider 8056476228,Batrider 8056476228 stats,15587,3,594,382,0,127
Monkey King 8056476228,Monkey King 8056476228 stats,43551,14,1003,696,0,340
Pugna 8056476228,Pugna 8056476228 stats,24946,1,701,450,8733,99
Magnus 8056476228,Magnus 8056476228 stats,20025,10,803,578,0,306
Alchemist 8056476228,Alchemist 8056476228 stats,27956,7,707,723,0,351
Lina 8056476228,Lina 8056476228 stats,24152,4,692,569,0,396
Beastmaster 8056476228,Beastmaster 8056476228 stats,21217,7,695,577,0,318
Rubick 8056476228,Rubick 8056476228 stats,9343,3,421,323,125,79
Clockwerk 8056476228,Clockwerk 8056476228 stats,13270,2,488,269,592,32
Slark 8056585402,Slark 8056585402 stats,60906,23,1029,733,0,456
Tiny 8056585402,Tiny 8056585402 stats,46776,4,902,660,0,439
Beastmaster 8056585402,Beastmaster 8056585402 stats,31825,13,796,612,0,413
Lion 8056585402,Lion 8056585402 stats,16612,2,513,322,0,38
Chen 8056585402,Chen 8056585402 stats,10943,7,634,423,12684,155
Morphling 8056585402,Morphling 8056585402 stats,31935,15,844,709,2090,632
Tusk 8056585402,Tusk 8056585402 stats,10552,3,391,261,0,80
Sniper 8056585402,Sniper 8056585402 stats,48335,21,666,622,0,490
Batrider 8056585402,Batrider 8056585402 stats,17930,2,525,304,400,138
Primal Beast 8056585402,Primal Beast 8056585402 stats,32444,4,623,412,125,289
Terrorblade 8056728116,Terrorblade 8056728116 stats,40679,24,729,782,55,824
Batrider 8056728116,Batrider 8056728116 stats,20393,3,630,345,0,207
Sniper 8056728116,Sniper 8056728116 stats,50571,16,629,595,0,514
Lion 8056728116,Lion 8056728116 stats,13673,4,492,286,0,74
Earth Spirit 8056728116,Earth Spirit 8056728116 stats,57623,5,720,516,0,356
Magnus 8056728116,Magnus 8056728116 stats,42020,7,1094,807,0,652
Huskar 8056728116,Huskar 8056728116 stats,46127,7,1042,720,0,477
Tidehunter 8056728116,Tidehunter 8056728116 stats,33061,2,815,614,0,441
Clockwerk 8056728116,Clockwerk 8056728116 stats,33921,2,677,402,6690,130
Shadow Demon 8056728116,Shadow Demon 8056728116 stats,18323,3,707,403,5673,95
Crystal Maiden 8056889752,Crystal Maiden 8056889752 stats,9919,3,317,233,0,48
Alchemist 8056889752,Alchemist 8056889752 stats,13008,5,550,633,0,338
Sand King 8056889752,Sand King 8056889752 stats,12300,0,487,413,0,223
Bristleback 8056889752,Bristleback 8056889752 stats,28682,10,565,501,0,256
Hoodwink 8056889752,Hoodwink 8056889752 stats,14140,4,343,257,195,74
Dawnbreaker 8056889752,Dawnbreaker 8056889752 stats,19028,17,895,677,3130,287
Batrider 8056889752,Batrider 8056889752 stats,12552,3,525,411,0,105
Tiny 8056889752,Tiny 8056889752 stats,24753,5,764,613,106,233
Morphling 8056889752,Morphling 8056889752 stats,37703,11,991,832,1737,323
Ogre Magi 8056889752,Ogre Magi 8056889752 stats,10074,1,549,359,0,35
Dawnbreaker 8056960913,Dawnbreaker 8056960913 stats,20533,7,747,556,3113,405
Tusk 8056960913,Tusk 8056960913 stats,9538,1,361,248,0,100
Earth Spirit 8056960913,Earth Spirit 8056960913 stats,19291,6,517,430,0,339
Drow Ranger 8056960913,Drow Ranger 8056960913 stats,22428,9,775,624,125,467
Shadow Demon 8056960913,Shadow Demon 8056960913 stats,6520,0,340,227,615,65
Enchantress 8056960913,Enchantress 8056960913 stats,10563,5,702,581,1240,341
Alchemist 8056960913,Alchemist 8056960913 stats,16993,11,864,888,0,551
Timbersaw 8056960913,Timbersaw 8056960913 stats,32194,11,971,684,110,414
Bristleback 8056960913,Bristleback 8056960913 stats,30368,9,1166,804,0,553
Lion 8056960913,Lion 8056960913 stats,9323,3,551,311,0,39
Sven 8054595004,Sven 8054595004 stats,16987,3,512,550,0,258
Invoker 8054595004,Invoker 8054595004 stats,14488,9,569,464,0,195
Doom 8054595004,Doom 8054595004 stats,13311,3,405,445,0,150
Lion 8054595004,Lion 8054595004 stats,10206,2,244,265,0,30
Ogre Magi 8054595004,Ogre Magi 8054595004 stats,13065,10,320,268,0,39
Meepo 8054595004,Meepo 8054595004 stats,14926,2,1046,785,0,386
Templar Assassin 8054595004,Templar Assassin 8054595004 stats,26522,13,935,755,0,320
Magnus 8054595004,Magnus 8054595004 stats,10519,10,459,467,0,187
Shadow Demon 8054595004,Shadow Demon 8054595004 stats,20101,3,456,357,450,50
Crystal Maiden 8054595004,Crystal Maiden 8054595004 stats,16775,4,431,333,0,44
Ursa 8054665063,Ursa 8054665063 stats,51845,2,1065,830,0,696
Venomancer 8054665063,Venomancer 8054665063 stats,74486,0,963,734,8,663
Doom 8054665063,Doom 8054665063 stats,33381,6,910,635,0,343
Tusk 8054665063,Tusk 8054665063 stats,19959,4,786,428,0,200
Pugna 8054665063,Pugna 8054665063 stats,26204,2,696,439,7872,123
Clockwerk 8054665063,Clockwerk 8054665063 stats,27030,4,530,354,0,97
Razor 8054665063,Razor 8054665063 stats,48768,6,886,685,0,617
Pangolier 8054665063,Pangolier 8054665063 stats,48723,4,809,571,220,505
Dragon Knight 8054665063,Dragon Knight 8054665063 stats,51393,12,917,656,0,640
Lina 8054665063,Lina 8054665063 stats,29328,5,638,506,195,417
Tusk 8054761555,Tusk 8054761555 stats,5911,4,383,312,0,20
Magnus 8054761555,Magnus 8054761555 stats,9180,17,614,554,0,144
Tiny 8054761555,Tiny 8054761555 stats,21231,15,703,651,554,206
Batrider 8054761555,Batrider 8054761555 stats,11094,0,456,370,195,60
Drow Ranger 8054761555,Drow Ranger 8054761555 stats,18180,20,742,760,0,242
Gyrocopter 8054761555,Gyrocopter 8054761555 stats,13394,4,360,413,0,146
Ember Spirit 8054761555,Ember Spirit 8054761555 stats,9680,5,414,372,0,123
Doom 8054761555,Doom 8054761555 stats,6244,4,386,363,125,127
Earthshaker 8054761555,Earthshaker 8054761555 stats,7810,2,344,263,0,52
Disruptor 8054761555,Disruptor 8054761555 stats,4128,1,222,200,0,8
Lifestealer 8054846912,Lifestealer 8054846912 stats,9267,5,480,504,498,239
Sniper 8054846912,Sniper 8054846912 stats,22624,14,453,474,0,213
Mars 8054846912,Mars 8054846912 stats,8087,6,373,339,0,139
Muerta 8054846912,Muerta 8054846912 stats,10821,2,241,251,0,44
Elder Titan 8054846912,Elder Titan 8054846912 stats,8429,3,497,274,0,30
Templar Assassin 8054846912,Templar Assassin 8054846912 stats,15285,17,801,758,0,338
Invoker 8054846912,Invoker 8054846912 stats,18386,24,613,534,0,166
Tiny 8054846912,Tiny 8054846912 stats,13947,8,494,482,0,160
Pugna 8054846912,Pugna 8054846912 stats,15916,4,403,337,9926,50
Ogre Magi 8054846912,Ogre Magi 8054846912 stats,14579,0,391,304,0,23
Phoenix 8054936496,Phoenix 8054936496 stats,13697,4,641,420,5492,174
Wraith King 8054936496,Wraith King 8054936496 stats,30487,10,833,730,0,614
Sand King 8054936496,Sand King 8054936496 stats,44496,3,1019,646,367,463
Bristleback 8054936496,Bristleback 8054936496 stats,40965,4,979,682,0,420
Rubick 8054936496,Rubick 8054936496 stats,14480,0,549,365,0,151
Lich 8054936496,Lich 8054936496 stats,18577,4,492,287,0,107
Magnus 8054936496,Magnus 8054936496 stats,15314,14,680,498,0,450
Earth Spirit 8054936496,Earth Spirit 8054936496 stats,40311,4,789,602,0,549
Techies 8054936496,Techies 8054936496 stats,55201,0,547,353,0,166
Drow Ranger 8054936496,Drow Ranger 8054936496 stats,36549,10,756,596,0,535
Dragon Knight 8055088008,Dragon Knight 8055088008 stats,50173,10,876,793,0,480
Pangolier 8055088008,Pangolier 8055088008 stats,33490,3,877,597,0,326
Terrorblade 8055088008,Terrorblade 8055088008 stats,21891,2,661,615,0,324
Clockwerk 8055088008,Clockwerk 8055088008 stats,46748,2,623,455,1546,113
Phoenix 8055088008,Phoenix 8055088008 stats,31709,5,592,432,5011,135
Meepo 8055088008,Meepo 8055088008 stats,29148,3,845,796,0,566
Storm Spirit 8055088008,Storm Spirit 8055088008 stats,16628,4,617,467,212,286
Doom 8055088008,Doom 8055088008 stats,15511,3,473,457,0,221
Batrider 8055088008,Batrider 8055088008 stats,15145,1,424,342,0,162
Ogre Magi 8055088008,Ogre Magi 8055088008 stats,14570,1,396,257,0,49
Alchemist 8055187485,Alchemist 8055187485 stats,17664,8,786,832,0,392
Keeper Of The Light 8055187485,Keeper Of The Light 8055187485 stats,13883,1,549,492,6081,284
Death Prophet 8055187485,Death Prophet 8055187485 stats,13570,5,432,399,0,212
Muerta 8055187485,Muerta 8055187485 stats,16875,7,310,257,192,49
Tusk 8055187485,Tusk 8055187485 stats,6471,1,301,207,125,30
Chen 8055187485,Chen 8055187485 stats,6930,3,419,358,9718,74
Necrophos 8055187485,Necrophos 8055187485 stats,14788,7,643,540,6324,240
Invoker 8055187485,Invoker 8055187485 stats,21114,21,711,576,0,251
Batrider 8055187485,Batrider 8055187485 stats,14884,3,544,371,0,93
Dragon Knight 8055187485,Dragon Knight 8055187485 stats,27405,11,770,667,0,339
Morphling 8055284959,Morphling 8055284959 stats,13796,10,552,580,376,399
Earth Spirit 8055284959,Earth Spirit 8055284959 stats,20948,2,426,375,0,217
Doom 8055284959,Doom 8055284959 stats,9002,3,298,406,0,171
Muerta 8055284959,Muerta 8055284959 stats,11764,5,271,239,0,57
Undying 8055284959,Undying 8055284959 stats,7053,3,293,206,1731,45
Phoenix 8055284959,Phoenix 8055284959 stats,12758,1,639,470,2279,129
Wraith King 8055284959,Wraith King 8055284959 stats,18426,18,726,636,0,304
Lina 8055284959,Lina 8055284959 stats,22199,20,727,664,0,357
Magnus 8055284959,Magnus 8055284959 stats,19171,4,688,652,0,313
Shadow Demon 8055284959,Shadow Demon 8055284959 stats,13576,4,587,413,1955,106
Chen 8055385235,Chen 8055385235 stats,5327,3,278,336,7906,110
Dawnbreaker 8055385235,Dawnbreaker 8055385235 stats,26127,11,702,583,6043,371
Ember Spirit 8055385235,Ember Spirit 8055385235 stats,39970,8,666,586,0,345
Tusk 8055385235,Tusk 8055385235 stats,10929,2,295,244,0,22
Morphling 8055385235,Morphling 8055385235 stats,24650,5,831,709,2549,451
Alchemist 8055385235,Alchemist 8055385235 stats,28017,8,890,916,0,527
Storm Spirit 8055385235,Storm Spirit 8055385235 stats,42338,13,916,706,0,390
Timbersaw 8055385235,Timbersaw 8055385235 stats,47169,5,975,702,0,394
Clockwerk 8055385235,Clockwerk 8055385235 stats,22244,6,609,419,0,98
Pugna 8055385235,Pugna 8055385235 stats,19360,3,540,402,4033,78
Morphling 8055489134,Morphling 8055489134 stats,20591,6,891,795,0,502
Monkey King 8055489134,Monkey King 8055489134 stats,22329,8,709,545,0,304
Beastmaster 8055489134,Beastmaster 8055489134 stats,22327,5,803,640,0,354
Hoodwink 8055489134,Hoodwink 8055489134 stats,10617,1,474,312,0,68
Ogre Magi 8055489134,Ogre Magi 8055489134 stats,11406,1,473,286,0,22
Batrider 8055489134,Batrider 8055489134 stats,11605,5,408,270,0,88
Weaver 8055489134,Weaver 8055489134 stats,17410,11,655,545,125,315
Lina 8055489134,Lina 8055489134 stats,21784,5,684,608,0,449
Razor 8055489134,Razor 8055489134 stats,17357,22,609,545,0,379
Tusk 8055489134,Tusk 8055489134 stats,9088,1,472,304,0,97
Beastmaster 8054594883,Beastmaster 8054594883 stats,4957,12,543,468,0,172
Techies 8054594883,Techies 8054594883 stats,6990,0,272,206,0,37
Earth Spirit 8054594883,Earth Spirit 8054594883 stats,8357,1,326,327,8,119
Terrorblade 8054594883,Terrorblade 8054594883 stats,5626,5,476,502,0,255
Phoenix 8054594883,Phoenix 8054594883 stats,5036,2,276,237,676,45
Alchemist 8054594883,Alchemist 8054594883 stats,9752,4,714,894,0,262
Doom 8054594883,Doom 8054594883 stats,6287,5,686,584,0,141
Pugna 8054594883,Pugna 8054594883 stats,9937,1,452,393,1460,54
Dragon Knight 8054594883,Dragon Knight 8054594883 stats,15542,6,850,770,0,271
Muerta 8054594883,Muerta 8054594883 stats,7454,6,419,312,0,45
Gyrocopter 8054644399,Gyrocopter 8054644399 stats,25302,11,585,552,0,361
Ogre Magi 8054644399,Ogre Magi 8054644399 stats,16183,5,390,321,125,79
Tiny 8054644399,Tiny 8054644399 stats,18461,9,516,449,0,249
Shadow Demon 8054644399,Shadow Demon 8054644399 stats,16832,1,412,263,2254,75
