Character,Item,ItemCount
Batrider 8054761555,force_staff,1
Batrider 8054761555,circlet,1
Batrider 8054761555,ogre_axe,1
Batrider 8054761555,boots,1
Drow Ranger 8054761555,magic_wand,1
Drow Ranger 8054761555,hurricane_pike,1
Drow Ranger 8054761555,black_king_bar,1
Drow Ranger 8054761555,Falcon Blade,1
Drow Ranger 8054761555,sange_and_yasha,1
Drow Ranger 8054761555,power_treads,1
Gyrocopter 8054761555,magic_wand,1
Gyrocopter 8054761555,ultimate_scepter,1
Gyrocopter 8054761555,dragon_lance,1
Gyrocopter 8054761555,branches,1
Gyrocopter 8054761555,phase_boots,1
Gyrocopter 8054761555,Falcon Blade,1
Ember Spirit 8054761555,magic_wand,1
Ember Spirit 8054761555,maelstrom,1
Ember Spirit 8054761555,bottle,1
Ember Spirit 8054761555,blight_stone,1
Ember Spirit 8054761555,phase_boots,1
Ember Spirit 8054761555,Mage Slayer,1
Doom 8054761555,empty,1
Doom 8054761555,magic_wand,1
Doom 8054761555,bracer,1
Doom 8054761555,phase_boots,1
Doom 8054761555,black_king_bar,1
Doom 8054761555,ancient_janggo,1
Earthshaker 8054761555,empty,1
Earthshaker 8054761555,blink,1
Earthshaker 8054761555,magic_wand,1
Earthshaker 8054761555,wind_lace,1
Earthshaker 8054761555,tranquil_boots,1
Earthshaker 8054761555,enchanted_mango,1
Disruptor 8054761555,magic_wand,1
Disruptor 8054761555,ward_sentry,1
Disruptor 8054761555,wind_lace,1
Disruptor 8054761555,ogre_axe,1
Disruptor 8054761555,smoke_of_deceit,1
Disruptor 8054761555,boots,1
Lifestealer 8054846912,magic_stick,1
Lifestealer 8054846912,sange,1
Lifestealer 8054846912,bracer,1
Lifestealer 8054846912,radiance,1
Lifestealer 8054846912,phase_boots,1
Lifestealer 8054846912,armlet,1
Sniper 8054846912,magic_wand,1
Sniper 8054846912,wraith_band,1
Sniper 8054846912,dragon_lance,1
Sniper 8054846912,blade_of_alacrity,1
Sniper 8054846912,invis_sword,1
Sniper 8054846912,power_treads,1
Mars 8054846912,blink,1
Mars 8054846912,magic_wand,1
Mars 8054846912,bracer,1
Mars 8054846912,soul_ring,1
Mars 8054846912,phase_boots,1
Mars 8054846912,wind_lace,1
Muerta 8054846912,empty,2
Muerta 8054846912,magic_wand,1
Muerta 8054846912,null_talisman,1
Muerta 8054846912,rod_of_atos,1
Muerta 8054846912,tranquil_boots,1
Elder Titan 8054846912,magic_wand,1
Elder Titan 8054846912,empty,1
Elder Titan 8054846912,tranquil_boots,1
Elder Titan 8054846912,ring_of_basilius,1
Elder Titan 8054846912,ancient_janggo,1
Elder Titan 8054846912,smoke_of_deceit,1
Templar Assassin 8054846912,blink,1
Templar Assassin 8054846912,desolator,1
Templar Assassin 8054846912,dragon_lance,1
Templar Assassin 8054846912,greater_crit,1
Templar Assassin 8054846912,black_king_bar,1
Templar Assassin 8054846912,power_treads,1
Invoker 8054846912,wraith_band,2
Invoker 8054846912,dragon_lance,1
Invoker 8054846912,black_king_bar,1
Invoker 8054846912,Witch Blade,1
Invoker 8054846912,power_treads,1
Tiny 8054846912,blink,1
Tiny 8054846912,magic_wand,1
Tiny 8054846912,null_talisman,1
Tiny 8054846912,Khanda,1
Tiny 8054846912,ogre_axe,1
Tiny 8054846912,power_treads,1
Pugna 8054846912,blink,1
Pugna 8054846912,magic_wand,1
Pugna 8054846912,aether_lens,1
Pugna 8054846912,arcane_boots,1
Pugna 8054846912,smoke_of_deceit,1
Pugna 8054846912,glimmer_cape,1
Ogre Magi 8054846912,empty,1
Ogre Magi 8054846912,magic_wand,1
Ogre Magi 8054846912,solar_crest,1
Ogre Magi 8054846912,arcane_boots,1
Ogre Magi 8054846912,smoke_of_deceit,1
Ogre Magi 8054846912,vanguard,1
Phoenix 8054936496,cyclone,1
Phoenix 8054936496,solar_crest,1
Phoenix 8054936496,tranquil_boots,1
Phoenix 8054936496,gem,1
Phoenix 8054936496,pipe,1
Phoenix 8054936496,glimmer_cape,1
Wraith King 8054936496,radiance,1
Wraith King 8054936496,refresher,1
Wraith King 8054936496,assault,1
Wraith King 8054936496,black_king_bar,1
Wraith King 8054936496,armlet,1
Wraith King 8054936496,Swift Blink,1
Sand King 8054936496,blink,1
Sand King 8054936496,Parasma,1
Sand King 8054936496,refresher,1
Sand King 8054936496,black_king_bar,1
Sand King 8054936496,shivas_guard,1
Sand King 8054936496,bloodstone,1
Bristleback 8054936496,Wind Waker,1
Bristleback 8054936496,null_talisman,1
Bristleback 8054936496,black_king_bar,1
Bristleback 8054936496,bloodstone,1
Bristleback 8054936496,sange_and_yasha,1
Bristleback 8054936496,power_treads,1
Rubick 8054936496,blink,1
Rubick 8054936496,Wind Waker,1
Rubick 8054936496,dust,1
Rubick 8054936496,aether_lens,1
Rubick 8054936496,tranquil_boots,1
Rubick 8054936496,smoke_of_deceit,1
Lich 8054936496,magic_wand,1
Lich 8054936496,pers,1
Lich 8054936496,solar_crest,1
Lich 8054936496,dust,1
Lich 8054936496,tranquil_boots,1
Lich 8054936496,glimmer_cape,1
Magnus 8054936496,empty,1
Magnus 8054936496,blink,1
Magnus 8054936496,assault,1
Magnus 8054936496,black_king_bar,1
Magnus 8054936496,satanic,1
Magnus 8054936496,power_treads,1
Earth Spirit 8054936496,dagon_2,1
Earth Spirit 8054936496,ultimate_scepter,1
Earth Spirit 8054936496,refresher,1
Earth Spirit 8054936496,black_king_bar,1
Earth Spirit 8054936496,shivas_guard,1
Earth Spirit 8054936496,blade_mail,1
Techies 8054936496,blink,1
Techies 8054936496,force_staff,1
Techies 8054936496,aether_lens,1
Techies 8054936496,null_talisman,1
Techies 8054936496,arcane_boots,1
Techies 8054936496,point_booster,1
Drow Ranger 8054936496,hurricane_pike,1
Drow Ranger 8054936496,ultimate_scepter,1
Drow Ranger 8054936496,greater_crit,1
Drow Ranger 8054936496,black_king_bar,1
Drow Ranger 8054936496,silver_edge,1
Drow Ranger 8054936496,power_treads,1
Dragon Knight 8055088008,monkey_king_bar,1
Dragon Knight 8055088008,greater_crit,1
Dragon Knight 8055088008,black_king_bar,1
Dragon Knight 8055088008,armlet,1
Dragon Knight 8055088008,sange_and_yasha,1
Dragon Knight 8055088008,sphere,1
Pangolier 8055088008,blink,1
Pangolier 8055088008,octarine_core,1
Pangolier 8055088008,ultimate_scepter,1
Pangolier 8055088008,diffusal_blade,1
Pangolier 8055088008,sphere,1
Pangolier 8055088008,power_treads,1
Terrorblade 8055088008,skadi,1
Terrorblade 8055088008,orchid,1
Terrorblade 8055088008,black_king_bar,1
Terrorblade 8055088008,aegis,1
Terrorblade 8055088008,sange_and_yasha,1
Terrorblade 8055088008,power_treads,1
Clockwerk 8055088008,cyclone,1
Clockwerk 8055088008,force_staff,1
Clockwerk 8055088008,ultimate_scepter,1
Clockwerk 8055088008,vladmir,1
Clockwerk 8055088008,tranquil_boots,1
Clockwerk 8055088008,gem,1
Phoenix 8055088008,Aeon Disk,1
Phoenix 8055088008,lotus_orb,1
Phoenix 8055088008,solar_crest,1
Phoenix 8055088008,tranquil_boots,1
Phoenix 8055088008,ward_dispenser,1
Phoenix 8055088008,gem,1
Meepo 8055088008,skadi,1
Meepo 8055088008,blink,1
Meepo 8055088008,butterfly,1
Meepo 8055088008,ultimate_scepter,1
Meepo 8055088008,sange_and_yasha,1
Meepo 8055088008,power_treads,1
Storm Spirit 8055088008,orchid,1
Storm Spirit 8055088008,Kaya,1
Storm Spirit 8055088008,ultimate_scepter,1
Storm Spirit 8055088008,null_talisman,1
Storm Spirit 8055088008,black_king_bar,1
Storm Spirit 8055088008,power_treads,1
Doom 8055088008,blink,1
Doom 8055088008,magic_wand,1
Doom 8055088008,phase_boots,1
Doom 8055088008,black_king_bar,1
Doom 8055088008,shivas_guard,1
Doom 8055088008,ancient_janggo,1
Batrider 8055088008,empty,1
Batrider 8055088008,blink,1
Batrider 8055088008,cyclone,1
Batrider 8055088008,magic_wand,1
Batrider 8055088008,ultimate_scepter,1
Batrider 8055088008,boots,1
Ogre Magi 8055088008,empty,1
Ogre Magi 8055088008,ghost,1
Ogre Magi 8055088008,force_staff,1
Ogre Magi 8055088008,arcane_boots,1
Ogre Magi 8055088008,ward_dispenser,1
Ogre Magi 8055088008,smoke_of_deceit,1
Alchemist 8055187485,talisman_of_evasion,1
Alchemist 8055187485,blink,1
Alchemist 8055187485,assault,1
Alchemist 8055187485,black_king_bar,1
Alchemist 8055187485,sange_and_yasha,1
Alchemist 8055187485,power_treads,1
Keeper Of The Light 8055187485,sheepstick,1
Keeper Of The Light 8055187485,empty,1
Keeper Of The Light 8055187485,magic_wand,1
Keeper Of The Light 8055187485,Spirit Vessel,1
Keeper Of The Light 8055187485,octarine_core,1
Keeper Of The Light 8055187485,travel_boots,1
Death Prophet 8055187485,null_talisman,1
Death Prophet 8055187485,black_king_bar,1
Death Prophet 8055187485,ogre_axe,1
Death Prophet 8055187485,Witch Blade,1
Death Prophet 8055187485,point_booster,1
Death Prophet 8055187485,power_treads,1
Muerta 8055187485,magic_wand,1
Muerta 8055187485,dust,1
Muerta 8055187485,ward_sentry,1
Muerta 8055187485,rod_of_atos,1
Muerta 8055187485,tranquil_boots,1
Muerta 8055187485,ancient_janggo,1
Tusk 8055187485,blink,1
Tusk 8055187485,magic_wand,1
Tusk 8055187485,dust,1
Tusk 8055187485,ward_observer,1
Tusk 8055187485,void_stone,1
Tusk 8055187485,boots,1
Chen 8055187485,empty,1
Chen 8055187485,Boots of Bearing,1
Chen 8055187485,magic_wand,1
Chen 8055187485,flask,1
Chen 8055187485,guardian_greaves,1
Chen 8055187485,ward_dispenser,1
Necrophos 8055187485,lotus_orb,1
Necrophos 8055187485,sange,1
Necrophos 8055187485,magic_wand,1
Necrophos 8055187485,pipe,1
Necrophos 8055187485,blade_mail,1
Necrophos 8055187485,power_treads,1
Invoker 8055187485,magic_wand,1
Invoker 8055187485,hurricane_pike,1
Invoker 8055187485,wraith_band,1
Invoker 8055187485,manta,1
Invoker 8055187485,black_king_bar,1
Invoker 8055187485,power_treads,1
Batrider 8055187485,blink,1
Batrider 8055187485,rapier,1
Batrider 8055187485,force_staff,1
Batrider 8055187485,black_king_bar,1
Batrider 8055187485,boots,1
Batrider 8055187485,gem,1
Dragon Knight 8055187485,greater_crit,1
Dragon Knight 8055187485,assault,1
Dragon Knight 8055187485,black_king_bar,1
Dragon Knight 8055187485,aegis,1
Dragon Knight 8055187485,armlet,1
Dragon Knight 8055187485,power_treads,1
Morphling 8055284959,magic_wand,1
Morphling 8055284959,Khanda,1
Morphling 8055284959,vladmir,1
Morphling 8055284959,manta,1
Morphling 8055284959,black_king_bar,1
Morphling 8055284959,power_treads,1
Earth Spirit 8055284959,dust,1
Earth Spirit 8055284959,platemail,1
Earth Spirit 8055284959,black_king_bar,1
Earth Spirit 8055284959,power_treads,1
Earth Spirit 8055284959,veil_of_discord,1
Earth Spirit 8055284959,blade_mail,1
Doom 8055284959,blink,1
Doom 8055284959,dust,1
Doom 8055284959,phase_boots,1
Doom 8055284959,black_king_bar,1
Doom 8055284959,ancient_janggo,1
Doom 8055284959,pipe,1
Muerta 8055284959,blink,1
Muerta 8055284959,magic_stick,1
Muerta 8055284959,dust,1
Muerta 8055284959,rod_of_atos,1
Muerta 8055284959,arcane_boots,1
Muerta 8055284959,wind_lace,1
Undying 8055284959,dust,1
Undying 8055284959,arcane_boots,1
Undying 8055284959,wind_lace,1
Undying 8055284959,ward_dispenser,1
Undying 8055284959,smoke_of_deceit,1
Undying 8055284959,glimmer_cape,1
Phoenix 8055284959,cyclone,1
Phoenix 8055284959,ward_dispenser,1
Phoenix 8055284959,Great Healing Lotus,1
Phoenix 8055284959,tranquil_boots,1
Phoenix 8055284959,shivas_guard,1
Phoenix 8055284959,pipe,1
Wraith King 8055284959,blink,1
Wraith King 8055284959,desolator,1
Wraith King 8055284959,abyssal_blade,1
Wraith King 8055284959,black_king_bar,1
Wraith King 8055284959,armlet,1
Wraith King 8055284959,power_treads,1
Lina 8055284959,sheepstick,1
Lina 8055284959,ultimate_scepter,1
Lina 8055284959,null_talisman,1
Lina 8055284959,travel_boots,1
Lina 8055284959,invis_sword,1
Lina 8055284959,sphere,1
Magnus 8055284959,blink,1
Magnus 8055284959,Harpoon,1
Magnus 8055284959,black_king_bar,1
Magnus 8055284959,aegis,1
Magnus 8055284959,sphere,1
Magnus 8055284959,power_treads,1
Shadow Demon 8055284959,sheepstick,1
Shadow Demon 8055284959,blink,1
Shadow Demon 8055284959,magic_wand,1
Shadow Demon 8055284959,force_staff,1
Shadow Demon 8055284959,Great Healing Lotus,1
Shadow Demon 8055284959,arcane_boots,1
Chen 8055385235,Boots of Bearing,1
Chen 8055385235,Blood Grenade,1
Chen 8055385235,ghost,1
Chen 8055385235,solar_crest,1
Chen 8055385235,ward_dispenser,1
Chen 8055385235,glimmer_cape,1
Dawnbreaker 8055385235,Nullifier,1
Dawnbreaker 8055385235,dust,1
Dawnbreaker 8055385235,soul_ring,1
Dawnbreaker 8055385235,phase_boots,1
Dawnbreaker 8055385235,black_king_bar,1
Dawnbreaker 8055385235,bloodthorn,1
Ember Spirit 8055385235,cyclone,1
Ember Spirit 8055385235,ultimate_scepter,1
Ember Spirit 8055385235,phase_boots,1
Ember Spirit 8055385235,black_king_bar,1
Ember Spirit 8055385235,Mage Slayer,1
Ember Spirit 8055385235,shivas_guard,1
Tusk 8055385235,blink,1
Tusk 8055385235,magic_wand,1
Tusk 8055385235,mithril_hammer,1
Tusk 8055385235,ogre_axe,1
Tusk 8055385235,ward_dispenser,1
Tusk 8055385235,boots,1
Morphling 8055385235,skadi,1
Morphling 8055385235,greater_crit,1
Morphling 8055385235,vladmir,1
Morphling 8055385235,manta,1
Morphling 8055385235,black_king_bar,1
Morphling 8055385235,power_treads,1
Alchemist 8055385235,radiance,1
Alchemist 8055385235,assault,1
Alchemist 8055385235,manta,1
Alchemist 8055385235,black_king_bar,1
Alchemist 8055385235,Overwhelming Blink,1
Alchemist 8055385235,power_treads,1
Storm Spirit 8055385235,sheepstick,1
Storm Spirit 8055385235,orchid,1
Storm Spirit 8055385235,Kaya and Sange,1
Storm Spirit 8055385235,black_king_bar,1
Storm Spirit 8055385235,gem,1
Storm Spirit 8055385235,power_treads,1
Timbersaw 8055385235,sheepstick,1
Timbersaw 8055385235,blink,1
Timbersaw 8055385235,ultimate_scepter,1
Timbersaw 8055385235,arcane_boots,1
Timbersaw 8055385235,black_king_bar,1
Timbersaw 8055385235,shivas_guard,1
Clockwerk 8055385235,empty,1
Clockwerk 8055385235,ghost,1
Clockwerk 8055385235,force_staff,1
Clockwerk 8055385235,ultimate_scepter,1
Clockwerk 8055385235,phase_boots,1
Clockwerk 8055385235,ancient_janggo,1
Pugna 8055385235,magic_wand,1
Pugna 8055385235,solar_crest,1
Pugna 8055385235,force_staff,1
Pugna 8055385235,arcane_boots,1
Pugna 8055385235,invis_sword,1
Pugna 8055385235,gem,1
Morphling 8055489134,hurricane_pike,1
Morphling 8055489134,butterfly,1
Morphling 8055489134,greater_crit,1
Morphling 8055489134,black_king_bar,1
Morphling 8055489134,sphere,1
Morphling 8055489134,power_treads,1
Monkey King 8055489134,wraith_band,1
Monkey King 8055489134,basher,1
Monkey King 8055489134,black_king_bar,1
Monkey King 8055489134,Orb of Corrosion,1
Monkey King 8055489134,Gleipnir,1
Monkey King 8055489134,power_treads,1
Beastmaster 8055489134,blink,1
Beastmaster 8055489134,ultimate_scepter,1
Beastmaster 8055489134,refresher,1
Beastmaster 8055489134,black_king_bar,1
Beastmaster 8055489134,shivas_guard,1
Beastmaster 8055489134,boots,1
Hoodwink 8055489134,empty,1
Hoodwink 8055489134,orchid,1
Hoodwink 8055489134,magic_wand,1
Hoodwink 8055489134,force_staff,1
Hoodwink 8055489134,arcane_boots,1
Hoodwink 8055489134,gem,1
Ogre Magi 8055489134,magic_wand,1
Ogre Magi 8055489134,solar_crest,1
Ogre Magi 8055489134,force_staff,1
Ogre Magi 8055489134,dust,1
Ogre Magi 8055489134,arcane_boots,1
Ogre Magi 8055489134,ward_dispenser,1
Batrider 8055489134,blink,1
Batrider 8055489134,force_staff,1
Batrider 8055489134,wind_lace,1
Batrider 8055489134,ogre_axe,1
Batrider 8055489134,ward_dispenser,1
Batrider 8055489134,boots,1
Weaver 8055489134,magic_wand,1
Weaver 8055489134,hurricane_pike,1
Weaver 8055489134,greater_crit,1
Weaver 8055489134,Falcon Blade,1
Weaver 8055489134,Gleipnir,1
Weaver 8055489134,power_treads,1
Lina 8055489134,cyclone,1
Lina 8055489134,ultimate_scepter,1
Lina 8055489134,null_talisman,1
Lina 8055489134,travel_boots,1
Lina 8055489134,invis_sword,1
Lina 8055489134,sphere,1
Razor 8055489134,wraith_band,1
Razor 8055489134,heavens_halberd,1
Razor 8055489134,manta,1
Razor 8055489134,black_king_bar,1
Razor 8055489134,Falcon Blade,1
Razor 8055489134,power_treads,1
Tusk 8055489134,Aeon Disk,1
Tusk 8055489134,blink,1
Tusk 8055489134,dust,1
Tusk 8055489134,null_talisman,1
Tusk 8055489134,tranquil_boots,1
Tusk 8055489134,ancient_janggo,1
Beastmaster 8054594883,blink,1
Beastmaster 8054594883,magic_wand,1
Beastmaster 8054594883,ultimate_scepter,1
Beastmaster 8054594883,null_talisman,1
Beastmaster 8054594883,ogre_axe,1
Beastmaster 8054594883,power_treads,1
Techies 8054594883,empty,1
Techies 8054594883,magic_wand,1
Techies 8054594883,dust,1
Techies 8054594883,empty,1
Techies 8054594883,soul_ring,1
Techies 8054594883,tranquil_boots,1
Earth Spirit 8054594883,magic_wand,1
Earth Spirit 8054594883,flask,1
Earth Spirit 8054594883,bottle,1
Earth Spirit 8054594883,Spirit Vessel,1
Earth Spirit 8054594883,ogre_axe,1
Earth Spirit 8054594883,boots,1
Terrorblade 8054594883,magic_stick,1
Terrorblade 8054594883,bracer,1
Terrorblade 8054594883,Healing Lotus,1
Terrorblade 8054594883,dragon_lance,1
Terrorblade 8054594883,manta,1
Terrorblade 8054594883,power_treads,1
Phoenix 8054594883,empty,1
Phoenix 8054594883,magic_wand,1
Phoenix 8054594883,helm_of_iron_will,1
Phoenix 8054594883,tranquil_boots,1
Phoenix 8054594883,ward_dispenser,1
Phoenix 8054594883,smoke_of_deceit,1
Alchemist 8054594883,blink,1
Alchemist 8054594883,radiance,1
Alchemist 8054594883,assault,1
Alchemist 8054594883,phase_boots,1
Alchemist 8054594883,ogre_axe,1
Alchemist 8054594883,sange_and_yasha,1
Doom 8054594883,magic_wand,1
Doom 8054594883,phase_boots,1
Doom 8054594883,crimson_guard,1
Doom 8054594883,ancient_janggo,1
Doom 8054594883,pipe,1
Doom 8054594883,gem,1
Pugna 8054594883,magic_wand,1
Pugna 8054594883,ward_sentry,1
Pugna 8054594883,empty,1
Pugna 8054594883,arcane_boots,1
Pugna 8054594883,wind_lace,1
Pugna 8054594883,glimmer_cape,1
Dragon Knight 8054594883,blink,1
Dragon Knight 8054594883,magic_wand,1
Dragon Knight 8054594883,hurricane_pike,1
Dragon Knight 8054594883,Mage Slayer,1
Dragon Knight 8054594883,sange_and_yasha,1
Dragon Knight 8054594883,power_treads,1
Muerta 8054594883,Blood Grenade,1
Muerta 8054594883,magic_wand,1
Muerta 8054594883,null_talisman,1
Muerta 8054594883,rod_of_atos,1
Muerta 8054594883,wind_lace,1
Muerta 8054594883,tranquil_boots,1
Gyrocopter 8054644399,ultimate_scepter,1
Gyrocopter 8054644399,greater_crit,1
Gyrocopter 8054644399,black_king_bar,1
Gyrocopter 8054644399,Falcon Blade,1
Gyrocopter 8054644399,lifesteal,1
Gyrocopter 8054644399,power_treads,1
Ogre Magi 8054644399,empty,1
Ogre Magi 8054644399,hand_of_midas,1
Ogre Magi 8054644399,solar_crest,1
Ogre Magi 8054644399,ward_sentry,1
Ogre Magi 8054644399,arcane_boots,1
Ogre Magi 8054644399,smoke_of_deceit,1
Tiny 8054644399,blink,1
Tiny 8054644399,magic_wand,1
Tiny 8054644399,Khanda,1
Tiny 8054644399,soul_ring,1
Tiny 8054644399,black_king_bar,1
Tiny 8054644399,power_treads,1
Shadow Demon 8054644399,blink,1
Shadow Demon 8054644399,dust,1
Shadow Demon 8054644399,ward_observer,1
Shadow Demon 8054644399,point_booster,1
Shadow Demon 8054644399,arcane_boots,1
Shadow Demon 8054644399,smoke_of_deceit,1
Doom 8054644399,blink,1
Doom 8054644399,platemail,1
Doom 8054644399,phase_boots,1
Doom 8054644399,black_king_bar,1
Doom 8054644399,ancient_janggo,1
Doom 8054644399,sange_and_yasha,1
Dragon Knight 8054644399,blink,1
Dragon Knight 8054644399,greater_crit,1
Dragon Knight 8054644399,assault,1
Dragon Knight 8054644399,black_king_bar,1
Dragon Knight 8054644399,sange_and_yasha,1
Dragon Knight 8054644399,satanic,1
Batrider 8054644399,blink,1
Batrider 8054644399,magic_wand,1
Batrider 8054644399,force_staff,1
Batrider 8054644399,black_king_bar,1
Batrider 8054644399,tranquil_boots,1
Batrider 8054644399,gem,1
Centaur Warrunner 8054644399,blink,1
Centaur Warrunner 8054644399,magic_wand,1
Centaur Warrunner 8054644399,bracer,1
Centaur Warrunner 8054644399,shivas_guard,1
Centaur Warrunner 8054644399,pipe,1
Centaur Warrunner 8054644399,blade_mail,1
Weaver 8054644399,Blood Grenade,1
Weaver 8054644399,cyclone,1
Weaver 8054644399,magic_wand,1
Weaver 8054644399,Spirit Vessel,1
Weaver 8054644399,ultimate_scepter,1
Weaver 8054644399,ward_dispenser,1
Invoker 8054644399,hurricane_pike,1
Invoker 8054644399,wraith_band,1
Invoker 8054644399,black_king_bar,1
Invoker 8054644399,Witch Blade,1
Invoker 8054644399,sphere,1
Invoker 8054644399,power_treads,1
Jakiro 8054705111,empty,1
Jakiro 8054705111,magic_wand,1
Jakiro 8054705111,solar_crest,1
Jakiro 8054705111,force_staff,1
Jakiro 8054705111,arcane_boots,1
Jakiro 8054705111,ward_dispenser,1
Slardar 8054705111,blink,1
Slardar 8054705111,magic_wand,1
Slardar 8054705111,ultimate_scepter,1
Slardar 8054705111,black_king_bar,1
Slardar 8054705111,Orb of Corrosion,1
Slardar 8054705111,power_treads,1
Invoker 8054705111,sheepstick,1
Invoker 8054705111,hurricane_pike,1
Invoker 8054705111,wraith_band,1
Invoker 8054705111,manta,1
Invoker 8054705111,Witch Blade,1
Invoker 8054705111,power_treads,1
Bounty Hunter 8054705111,lotus_orb,1
Bounty Hunter 8054705111,magic_wand,1
Bounty Hunter 8054705111,Spirit Vessel,1
Bounty Hunter 8054705111,tranquil_boots,1
Bounty Hunter 8054705111,ancient_janggo,1
