subject,predicate,object
Daily_cabbage_soup,hasIngredient,Meat
A_pike_perch_from_the_Vestimo_river,hasIngredient,Species
Far_Eastern_dumplings_with_smelt,belongsToRegion,Sakhalin_Region
Reindeer_Roulades,hasIngredient,Species
Wheat_wire_rod_with_porcini_mushrooms,belongsToRegion,Ryazan_region
A_pike_perch_from_the_Vestimo_river,hasIngredient,oil
Muksun_in_sour_cream,belongsToRegion,Krasnoyarsk_Region
The_fisherman's_catch,hasIngredient,Fish
Reindeer_Roulades,hasIngredient,oil
Novomikhailovskaya_cutlet,hasIngredient,Meat
Reindeer_Roulades,hasIngredient,Vegetables
The_Udmurt_Republic,belongsToRegion,The_Udmurt_Republic
Lapshaen_kurka_sil,belongsToRegion,The_Udmurt_Republic
The_fisherman's_catch,hasIngredient,Flour_dough_cereals
The_Fireman's_cutlet,belongsToRegion,Tverskaya_region
Far_Eastern_dumplings_with_smelt,hasRecipe,Far_Eastern_Dumplings_with_Smelt_Recipe
Venison_in_black_currant_berries,hasIngredient,Flour_dough_cereals
The_fisherman's_catch,hasRecipe,Fisherman’s_Catch_Ravioli_with_Seafood_and_Roe_Recipe
Daily_cabbage_soup,hasIngredient,Dairy_products
Daily_cabbage_soup,hasRecipe,Overnight_Cabbage_Soup_Recipe
Reindeer_Roulades,hasRecipe,Venison_Roulades_Recipe
Cheeks_with_grecha,hasIngredient,Flour_dough_cereals
Far_Eastern_dumplings_with_smelt,hasIngredient,Species
Fish_in_Donetsk,hasIngredient,Species
Gubenka,hasRecipe,Gubenka_Recipe
Kundums_in_creamy_mushroom_sauce,hasRecipe,Kundyumy_in_Creamy_Mushroom_Sauce_Recipe
The_Yeniseiskaya_ear_consists_of_three_types_of_fish,hasIngredient,Species
Muksun_in_sour_cream,hasIngredient,Species
Lapshaen_kurka_sil,hasIngredient,Flour_dough_cereals
Reindeer_Roulades,hasIngredient,Meat
Wheat_wire_rod_with_porcini_mushrooms,hasIngredient,Mushrooms
Kundums_in_creamy_mushroom_sauce,hasIngredient,Dairy_products
A_pike_perch_from_the_Vestimo_river,belongsToRegion,Yaroslavl_region
Fish_in_Donetsk,hasIngredient,Vegetables
Far_Eastern_dumplings_with_smelt,hasIngredient,Fish
The_Yeniseiskaya_ear_consists_of_three_types_of_fish,hasIngredient,Vegetables
Novomikhailovskaya_cutlet,hasIngredient,Dairy_products
Muksun_in_sour_cream,hasIngredient,Fish
Kundums_in_creamy_mushroom_sauce,hasIngredient,Flour_dough_cereals
Wheat_wire_rod_with_porcini_mushrooms,hasRecipe,Wheat_Katenka_with_Porcini_Mushrooms_Recipe
The_Fireman's_cutlet,hasIngredient,Species
Gubenka,hasIngredient,Species
Venison_in_black_currant_berries,belongsToRegion,HMAO
Banquet_Roll,hasIngredient,oil
Gubenka,belongsToRegion,Ryazan_region
A_pike_perch_from_the_Vestimo_river,hasIngredient,Fish
Banquet_Roll,hasIngredient,Vegetables
Gubenka,hasIngredient,Vegetables
Novomikhailovskaya_cutlet,hasIngredient,Species
Venison_in_black_currant_berries,hasRecipe,Venison_in_Black_Currant_Berries_Recipe
Novomikhailovskaya_cutlet,hasIngredient,Vegetables
Fish_in_Donetsk,belongsToRegion,Donetsk_region
Banquet_Roll,hasIngredient,Meat
The_fisherman's_catch,hasIngredient,Species
The_Fireman's_cutlet,hasIngredient,Meat
The_Yeniseiskaya_ear_consists_of_three_types_of_fish,hasRecipe,Turkey_with_Homemade_Noodles_Recipe
Lugansk_Republic,belongsToRegion,Lugansk_Republic
Novomikhailovskaya_cutlet,hasRecipe,Novomikhaylovskaya_Cutlet_Recipe
Venison_in_black_currant_berries,hasIngredient,Species
