Game,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,53000000,2860000,100000,850000,8840000
Super Mario Kart,SNES,1992,Racing,Nintendo,3540000,1240000,3810000,180000,8760000
FIFA 16,PS4,2015,Sports,Electronic Arts,1110000,66000000,6000000,1260000,8490000
Wii Party,Wii,2010,Misc,Nintendo,1790000,3530000,2490000,680000,8490000
Halo 2,XB,2004,Shooter,Microsoft Game Studios,6820000,1530000,5000000,8000000,8490000
Mario Party 8,Wii,2007,Misc,Nintendo,3810000,2300000,1580000,730000,8420000
Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,2910000,1860000,3140000,430000,8330000
FIFA Soccer 13,PS3,2012,Action,Electronic Arts,16000000,55000000,130000,21000000,8240000
The Sims 3,PC,2009,Simulation,Electronic Arts,980000,6420000,0,710000,8109999.999999999
GoldenEye 007,N64,1997,Shooter,Nintendo,5800000,21000000,130000,150000,89000000
Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,2580000,3900000,660000,910000,86000000
Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,2910000,27000000,2730000,330000,85000000
Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,2280000,1720000,3630000,230000,7860000
Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo,2820000,1780000,2690000,550000,7840000
Pac-Man,2600,1982,Puzzle,Atari,7280000,450000,0,8000000,7810000
Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,2900000,2830000,240000,1750000,7720000
Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3660000,2420000,980000,640000,7690000
Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,2930000,3290000,220000,1230000,7670000
Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,2800000,3300000,140000,1370000,7600000
The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,4099999.9999999995,1890000,1450000,160000,7600000
Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,3780000,2170000,1310000,310000,7580000
Super Mario Bros. 2,NES,1988,Platform,Nintendo,5390000,1180000,700000,190000,7460000
Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,3240000,1350000,2420000,430000,7450000
Call of Duty: World at War,X360,2008,Shooter,Activision,4790000,1900000,0,690000,7370000
Battlefield 3,X360,2011,Shooter,Electronic Arts,4460000,2130000,6000000,690000,7340000
The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,3830000,2190000,600000,700000,7310000
Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision,4520000,29000000,1000000,670000,7300000
Just Dance,Wii,2009,Misc,Ubisoft,3510000,33000000,0,730000,7270000
Battlefield 3,PS3,2011,Shooter,Electronic Arts,2850000,2930000,350000,1100000,7230000
Need for Speed Underground,PS2,2003,Racing,Electronic Arts,3270000,2830000,8000000,12000000,7200000
Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,3270000,2220000,1400000,290000,7160000
Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,3680000,1750000,1420000,280000,7130000
Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,4410000,14000000,1390000,220000,77000000
Mario Kart 8,WiiU,2014,Racing,Nintendo,3130000,27000000,1270000,490000,6960000
Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,2470000,3150000,240000,1100000,6960000
Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo,4120000,1770000,870000,190000,6950000
Just Dance 4,Wii,2012,Misc,Ubisoft,4139999.9999999995,2210000,0,560000,6910000
FIFA 14,PS3,2013,Sports,Electronic Arts,780000,4320000,7000000,1730000,6900000
Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,2710000,32000000,8000000,19000000,6900000
Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,2930000,2750000,170000,990000,6830000
Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,2770000,2800000,190000,16000000,6830000
Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment,3230000,2350000,940000,300000,6820000
Zumba Fitness,Wii,2010,Sports,505 Games,3500000,2640000,0,670000,6810000
Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,4150000000000005,1920000,6000000,640000,6760000
Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,3270000,2250000,210000,1000000,6730000
Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,3100000,2300000,280000,14000000,6720000
FIFA 12,PS3,2011,Sports,Electronic Arts,840000,4320000,110000,1420000,6690000
Big Brain Academy,DS,2005,Misc,Nintendo,1670000,2780000,1600000,620000,6670000
Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,2790000,2610000,170000,13000000,6600000
FIFA 15,PS4,2014,Sports,Electronic Arts,790000,4290000,5000000,1470000,6590000
Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,3250000,1840000,13000000,470000,6590000
The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,2550000,2710000,250000,15000000,6560000
The Legend of Zelda,NES,1986,Action,Nintendo,3740000,930000,1690000,140000,6510000
Assassin's Creed III,PS3,2012,Action,Ubisoft,2640000,2560000,160000,1140000,6500000
Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,4980000,1300000,8000000,7000000,6430000
Pokémon Emerald Version,GBA,2004,Role-Playing,Nintendo,2570000,1580000,26000000,210000,6410000
Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,3640000,1200000,1490000,7000000,6400000
Pokémon Crystal Version,GB,2000,Role-Playing,Nintendo,2550000,1560000,1290000,990000,6390000
Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,4340000,1350000,6000000,610000,6360000
Red Dead Redemption,X360,2010,Action,Take-Two Interactive,3700000,1970000,9000000,570000,6340000
Super Mario Sunshine,GC,2002,Platform,Nintendo,41000000,1260000,870000,170000,6310000
Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom,2470000,830000,2870000,120000,6300000
World of Warcraft,PC,2004,Role-Playing,Activision,7000000,6210000,0,0,6280000
Driver,PS,1999,Action,GT Interactive,3110000,2800000,2000000,330000,6270000
Kinect Sports,X360,2010,Sports,Microsoft Game Studios,3920000,1780000,3000000,510000,6240000
Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,45000000,1620000,7000000,490000,6240000
Gears of War,X360,2006,Shooter,Microsoft Game Studios,3540000,1900000,7000000,600000,6110000
Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,2450000,21000000,870000,720000,65000000
Sonic the Hedgehog 2,GEN,1992,Platform,Sega,4470000,1200000,160000,190000,63000000
Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,2630000,1740000,830000,830000,63000000
Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,3180000,1830000,780000,240000,63000000
The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,2410000,2280000,280000,11000000,5990000
Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,1880000,0,2330000,1740000,5950000
LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,2800000,25000000,170000,900000,5920000
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,660000,690000,4350000,150000,5840000
LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,3660000,1630000,0,530000,5830000
Resident Evil 2,PS,1998,Action,Virgin Interactive,1880000,1470000,22000000,450000,5820000
Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,2260000,1890000,1360000,230000,5740000
Cooking Mama,DS,2006,Simulation,505 Games,3130000,1940000,7000000,580000,5720000
Destiny,PS4,2014,Shooter,Activision,2490000,25000000,160000,960000,5650000
Tetris,NES,1988,Puzzle,Nintendo,2970000,690000,1810000,110000,5580000
Assassin's Creed II,PS3,2009,Action,Ubisoft,2540000,1950000,210000,870000,5570000
Super Smash Bros.,N64,1999,Fighting,Nintendo,2950000,600000,1970000,4000000,5550000
Assassin's Creed,X360,2007,Adventure,Ubisoft,3280000,1650000,7000000,550000,5550000
Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,2700000,1910000,110000,800000,5530000
Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,2990000,1920000,100000,510000,5510000
Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,470000,570000,4130000,340000,5500000
Super Mario Advance,GBA,2001,Platform,Nintendo,3140000,1240000,910000,200000,5490000
Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,2620000,1640000,990000,230000,5470000
Super Mario World,GBA,2001,Platform,Nintendo,3210000,1110000,950000,200000,5460000
Pokemon Stadium,N64,1999,Strategy,Nintendo,3180000,1240000,940000,9000000,5450000
Call of Duty: World at War,PS3,2008,Shooter,Activision,2720000,1870000,0,840000,5430000
Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive,27000000,2290000,240000,820000,5420000
Minecraft,PS3,2014,Misc,Sony Computer Entertainment,1970000,2510000,0,940000,5420000
Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix,1740000,1240000,1870000,520000,5360000
Dr. Mario,GB,1989,Puzzle,Nintendo,2180000,960000,2000000,200000,5340000
Pokemon Pinball,GB,1999,Misc,Nintendo,32000000,1120000,11000000,160000,5310000
Assassin's Creed III,X360,2012,Action,Ubisoft,3130000,1710000,3000000,440000,5300000
Final Fantasy IX,PS,2000,Role-Playing,SquareSoft,1620000,770000,2780000,140000,5300000
Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts,1920000,18000000,2110000,170000,5290000
Donkey Kong 64,N64,1999,Platform,Nintendo,3330000,790000,19000000,6000000,5270000
Assassin's Creed II,X360,2009,Action,Ubisoft,3100000,1560000,8000000,510000,5270000
Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo,1220000,2480000,13000000,520000,5260000
Tomb Raider II,PS,1997,Action,Eidos Interactive,2300000,2460000,200000,280000,5240000
Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,Square Enix,650000,750000,3610000,200000,5210000
Diablo III,PC,2012,Role-Playing,Activision,2430000,2150000,0,620000,5200000
Super Mario Bros. 3,GBA,2003,Platform,Nintendo,2930000,1250000,830000,200000,5200000
New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,2320000,1300000,1270000,310000,5190000
Super Mario Land 3: Wario Land,GB,1994,Platform,Nintendo,2490000,980000,1570000,150000,5190000
FIFA Soccer 13,X360,2012,Action,Electronic Arts,18000000,3480000,3000000,580000,5180000
The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo,1900000,1830000,950000,490000,5170000
Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,Nintendo,2100000,740000,2200000,110000,5150000
Tomodachi Life,3DS,2013,Simulation,Nintendo,960000,22000000,1890000,280000,5150000
Mario & Sonic at the Olympic Games,DS,2008,Sports,Sega,1640000,2480000,440000,580000,5140000
Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts,1980000,2230000,130000,800000,5130000
Kirby's Dream Land,GB,1992,Platform,Nintendo,2710000,610000,1700000,110000,5130000
Fable III,X360,2010,Role-Playing,Microsoft Game Studios,3590000,1110000,5000000,380000,5130000
Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,3210000,1530000,1000000,380000,5130000
Microsoft Flight Simulator,PC,1996,Simulation,Microsoft Game Studios,3220000,1690000,0,200000,5120000
Guitar Hero II,PS2,2006,Misc,RedOctane,3810000,630000,0,680000,5120000
Resident Evil 5,PS3,2009,Action,Capcom,1960000,1430000,18000000,650000,5110000
Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive,2660000,21000000,0,410000,58000000
Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive,1700000,22000000,160000,1210000,58000000
FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,600000,3290000,6000000,1130000,58000000
Super Mario Bros.,GB,1999,Platform,Nintendo,3400000,1300000,150000,220000,57000000
Resident Evil,PS,1996,Action,Virgin Interactive,25000000,1160000,1110000,730000,55000000
Tony Hawk's Pro Skater,PS,1999,Sports,Activision,3420000,1380000,2000000,200000,52000000
Super Smash Bros. for Wii U and 3DS,WiiU,2014,Fighting,Nintendo,2590000,16000000,800000,570000,52000000
Warzone 2100,PS,1999,Strategy,Eidos Interactive,2790000,1890000,0,330000,51000000
Spyro the Dragon,PS,1998,Platform,Sony Computer Entertainment,3360000,1360000,7000000,210000,5000000
Link's Crossbow Training,Wii,2007,Shooter,Nintendo,36000000,1180000,290000,460000,5000000
Guitar Hero III: Legends of Rock,PS2,2007,Misc,Activision,3490000,1000000,1000000,1480000,4980000
Fallout 3,X360,2008,Role-Playing,Bethesda Softworks,3390000,13000000,9000000,440000,4960000
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007,Role-Playing,Nintendo,1850000,1200000,1540000,370000,4960000
Uncharted: Drake's Fortune,PS3,2007,Action,Sony Computer Entertainment,2310000,1730000,120000,780000,4940000
Madden NFL 06,PS2,2005,Sports,Electronic Arts,3980000,260000,1000000,660000,4910000
LEGO Star Wars: The Complete Saga,DS,2007,Action,LucasArts,2890000,1540000,0,460000,4900000
Diddy Kong Racing,N64,1997,Racing,Nintendo,2910000,990000,890000,100000,4880000
Monster Hunter Freedom 3,PSP,2010,Role-Playing,Capcom,0,0,4870000,0,4870000
Dr. Mario,NES,1990,Puzzle,Nintendo,2620000,600000,1520000,100000,4850000
God of War III,PS3,2010,Action,Sony Computer Entertainment,2740000,1360000,120000,630000,4840000
StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision,2560000,1680000,0,590000,4830000
Assassin's Creed,PS3,2007,Adventure,Ubisoft,1910000,2000000,9000000,830000,4830000
FIFA 15,PS3,2014,Sports,Electronic Arts,570000,3140000,4000000,17000000,4820000
Crash Team Racing,PS,1999,Racing,Sony Computer Entertainment,2570000,1570000,440000,210000,4790000
FIFA 17,PS4,2016,Sports,Electronic Arts,280000,3750000,6000000,690000,4770000
Batman: Arkham City,X360,2011,Action,Warner Bros. Interactive Entertainment,2990000,1310000,4000000,410000,4760000
Driver 2,PS,2000,Action,Atari,2360000,2100000,2000000,250000,4730000
The Simpsons: Hit & Run,PS2,2003,Racing,Vivendi Games,1730000,2190000,0,790000,4700000
Tony Hawk's Pro Skater 2,PS,2000,Sports,Activision,35000000,1410000,2000000,200000,4680000
Animal Crossing: City Folk,Wii,2008,Simulation,Nintendo,1870000,1120000,1320000,370000,4680000
The Lord of the Rings: The Two Towers,PS2,2002,Action,Electronic Arts,1940000,1950000,8000000,700000,4670000
Forza Motorsport 4,X360,2011,Racing,Microsoft Game Studios,28000000,24000000,6000000,470000,4640000
Tomb Raider,PS,1996,Action,Eidos Interactive,2290000,1970000,130000,240000,4630000
Guitar Hero III: Legends of Rock,Wii,2007,Misc,Activision,36000000,1120000,0,440000,4620000
The Legend of Zelda: A Link to the Past,SNES,1991,Action,Nintendo,2420000,910000,1150000,130000,4610000
The Legend of Zelda: The Wind Waker,GC,2002,Action,Nintendo,2600000,990000,890000,130000,4600000
Mario & Sonic at the Olympic Winter Games,Wii,2009,Sports,Sega,1890000,1990000,220000,480000,4580000
Luigi's Mansion: Dark Moon,3DS,2013,Action,Nintendo,1780000,1390000,1100000,300000,4580000
Splatoon,WiiU,2015,Shooter,Nintendo,1550000,1150000,1440000,430000,4570000
The Last of Us,PS4,2014,Action,Sony Computer Entertainment,1780000,1870000,7000000,820000,4550000
Guitar Hero III: Legends of Rock,X360,2007,Misc,Activision,3190000,920000,1000000,420000,4530000
Madden NFL 2005,PS2,2004,Sports,Electronic Arts,4179999.9999999995,260000,1000000,8000000,4530000
Pitfall!,2600,1981,Platform,Activision,4210000,240000,0,5000000,4500000
Madden NFL 07,PS2,2006,Sports,Electronic Arts,3630000,240000,1000000,610000,4490000
Spider-Man: The Movie,PS2,2002,Action,Activision,2710000,1510000,3000000,230000,4480000
Dragon Quest VII: Warriors of Eden,PS,2000,Role-Playing,Enix Corporation,200000,140000,4099999.9999999995,2000000,4470000
Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment,1960000,1690000,8000000,740000,4470000
Call of Duty: Advanced Warfare,PS3,2014,Shooter,Activision,1540000,1940000,190000,770000,4450000
God of War,PS2,2005,Action,Sony Computer Entertainment,2710000,1290000,2000000,430000,4450000
Nintendo Land,WiiU,2012,Misc,Nintendo,2550000,1110000,460000,330000,4440000
Michael Jackson: The Experience,Wii,2010,Misc,Ubisoft,2670000,1350000,1000000,390000,4420000
Tony Hawk's Pro Skater 3,PS2,2001,Sports,Activision,2660000,1290000,1000000,460000,4410000
Winning Eleven: Pro Evolution Soccer 2007,PS2,2006,Sports,Konami Digital Entertainment,100000,2390000,15000000,860000,4390000
The Elder Scrolls IV: Oblivion,X360,2006,Role-Playing,Take-Two Interactive,2820000,15000000,130000,400000,4390000
Zelda II: The Adventure of Link,NES,1987,Adventure,Nintendo,2190000,500000,1610000,8000000,4380000
Need for Speed: Most Wanted,PS2,2005,Racing,Electronic Arts,23000000,1790000,8000000,470000,4370000
Resistance: Fall of Man,PS3,2006,Shooter,Sony Computer Entertainment,1730000,1730000,140000,750000,4350000
Sonic the Hedgehog,GEN,1991,Platform,Sega,33000000,910000,260000,130000,4340000
Kingdom Hearts II,PS2,2005,Role-Playing,Square Enix,2200000,580000,1380000,170000,4330000
FIFA 14,X360,2013,Sports,Electronic Arts,920000,2930000,1000000,460000,4310000
Call of Duty: Advanced Warfare,X360,2014,Shooter,Activision,2750000,1180000,0,370000,4310000
Asteroids,2600,1980,Shooter,Atari,4000000,260000,0,5000000,4310000
Fable II,X360,2008,Role-Playing,Microsoft Game Studios,2510000,1270000,110000,410000,4310000
Halo 5: Guardians,XOne,2015,Shooter,Microsoft Game Studios,2640000,1200000,3000000,390000,4260000
Super Mario 3D World,WiiU,2013,Platform,Nintendo,2110000,1110000,720000,300000,4250000
Batman: Arkham Asylum,PS3,2009,Action,Eidos Interactive,2230000,1340000,7000000,610000,4250000
Assassin's Creed: Revelations,PS3,2011,Action,Ubisoft,1410000,22000000,100000,720000,4240000
Namco Museum,GBA,2001,Misc,Namco Bandai Games,3000000,1110000,5000000,7000000,4240000
Metal Gear Solid 3: Snake Eater,PS2,2004,Action,Konami Digital Entertainment,1460000,0,830000,1930000,4230000
Daxter,PSP,2006,Platform,Sony Computer Entertainment,2450000,12000000,0,750000,4220000
Warcraft II: Tides of Darkness,PC,1995,Strategy,Activision,1700000,2270000,0,230000,4210000
The Legend of Zelda: Ocarina of Time,3DS,2011,Action,Nintendo,23000000,1270000,620000,300000,4210000
FIFA Soccer 06,PS2,2005,Sports,Electronic Arts,780000,2550000,4000000,840000,4210000
EyeToy Play,PS2,2003,Misc,Sony Computer Entertainment,880000,2300000,200000,830000,4200000
Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,1300000,27000000,180000,650000,4200000
Gran Turismo 5 Prologue,PS3,2007,Racing,Sony Computer Entertainment,1280000,1830000,570000,530000,4200000
Assassin's Creed: Revelations,X360,2011,Action,Ubisoft,2250000,1470000,4000000,430000,4190000000000005
Street Fighter IV,PS3,2009,Fighting,Capcom,22000000,16000000,580000,530000,4190000000000005
FIFA 12,X360,2011,Sports,Electronic Arts,840000,2790000,2000000,530000,4190000000000005
Teenage Mutant Ninja Turtles,NES,1989,Action,Palcom,3380000,440000,310000,4000000,4170000
Excitebike,NES,1984,Racing,Nintendo,24000000,480000,1570000,7000000,4160000
Frogger,PS,1997,Action,Hasbro Interactive,3790000,270000,0,110000,4160000
Madden NFL 2003,PS2,2002,Sports,Electronic Arts,3360000,210000,1000000,560000,4139999.9999999995
Watch Dogs,PS4,2014,Action,Ubisoft,1400000,1860000,110000,770000,4139999.9999999995
Half-Life,PC,1997,Shooter,Vivendi Games,43000000,0,9000000,0,4120000
