tier	vehicleTitle	hp	dmgPerShot	dpm	accuracy	aimTime	enginePowerDensity	speed	viewRange
8	VK_168.01_(P)	1700	440	1760	0,4	2,7	9,52	20	400
8	Löwe	1650	320	1600	0,33	2,86	11,11	35	400
8	VK_75.01_(K)	1600	490	1651	0,39	2,7	12	30	380
8	Ferdinand	1500	240	2360	0,32	2,3	9,1	30	370
8	Jagdpanther_II	1150	240	2400	0,32	2,3	12,56	55	360
8	Rhm.-Borsig_Waffenträger	1100	490	2556	0,35	2,3	8,73	35	360
8	Kanonenjagdpanzer_105	1050	390	1950	0,32	1,8	19,23	70	360
8	Rheinmetall_Skorpion_G	1150	490	2409	0,3	2,1	17	60	360
8	8,8_cm_Pak_43_Jagdtiger	1500	240	2823	0,31	1,8	10,05	38	390
8	Rheinmetall_Skorpion	1150	490	2409	0,3	2,1	17	60	360
8	M26_Pershing	1350	115	1642	0,43	2,3	13,81	48	390
8	T26E4_SuperPershing	1500	240	1800	0,38	2,3	14,24	40,2	390
8	T69	1350	150	1933	0,38	2,3	13,57	51,5	400
8	AMBT	1300	360	1800	0,38	2,7	18,06	40	380
8	ASTRON_Rex_105_mm	1300	320	1920	0,43	2	14,52	52	390
8	T42	1350	280	1846	0,33	2	14,8	51,5	400
8	T95E2	1500	240	1920	0,36	2	15,17	56	400
8	M46_Patton_KR	1450	240	1945	0,38	2,2	18,41	48,3	390
8	T25_Pilot_Number_1	1450	240	1846	0,36	2	14,2	55	390
8	TL-1_LPC	1400	280	1909	0,38	2,3	18,01	50	400
8	T34	1500	400	1600	0,35	3,2	14,28	35	380
8	T32	1400	240	1894	0,38	2,3	13,21	35	380
8	M-III-Y	1400	240	1800	0,41	2,3	13,65	40	380
8	M-IV-Y	1500	360	1911	0,4	2,5	18,09	45	380
8	T77	1450	360	1472	0,37	2,7	16,33	48	370
8	M6A2E1	1550	320	1614	0,4	2,1	14,34	29	380
8	Chrysler_K_GF	1500	320	1900	0,36	1,9	20	35	380
8	T26E5	1500	240	2000	0,38	2,3	15,17	40,2	390
8	T26E5_Patriot	1500	240	2000	0,38	2,3	15,17	40,2	390
8	T34_B	1500	400	1600	0,35	3,2	14,28	35	380
8	Chrysler_K	1500	320	1900	0,36	1,9	20	35	380
8	M54_Renegade	1500	360	2117	0,38	2,5	16,15	45	400
8	T28	1500	240	2086	0,35	1,7	11,31	22	370
8	T28_Prototype	1150	240	1920	0,36	1,7	10,21	28	380
8	TS-5	1500	400	2823	0,44	1,8	12,5	26	370
8	Type_59	1300	250	1898	0,35	2	18,06	60	380
8	Type_59_G	1300	250	1898	0,35	2	18,06	60	380
8	T-34-2	1300	160	2133	0,42	2,3	15,72	56	370
8	59-Patton	1400	240	1920	0,36	1,9	17,05	50	400
8	T-34-3	1400	390	1746	0,42	2,5	14,65	50	380
8	122_TM	1400	400	1371	0,33	2,3	15,47	50	370
8	WZ-111	1550	390	1872	0,42	2,8	13,48	50	380
8	110	1450	390	1671	0,48	3,4	11,22	40	350
8	112	1500	390	1857	0,44	3	12,61	45	380
8	WZ-111_Alpine_Tiger	1550	390	1872	0,42	2,8	13,48	50	380
8	WZ-111-1G_FT	1000	390	2752	0,38	2,9	12,36	35	370
8	WZ-120-1G_FT	1100	440	2693	0,37	2,9	16,11	50	380
8	AltProto_AMX_30	1250	300	1800	0,36	2,5	24,29	65	380
8	Bat.-Châtillon_Bourrasque	1250	360	1800	0,42	3,5	25,77	62	390
8	Lorraine_40_t	1300	300	1655	0,38	2,7	21,25	60	380
8	M4A1_Revalorisé	1400	390	1828	0,35	2,4	15,71	40	390
8	AMX_Chasseur_de_chars	1400	240	1972	0,34	1,8	35,29	57	390
8	AMX_50_100	1400	240	1776	0,38	3	11,71	51	380
8	AMX_65_t	1570	240	2000	0,38	2,5	12,15	35	350
8	AMX_M4_mle._49_Liberté	1500	300	1747	0,36	2,9	14,29	40	370
8	Somua_SM	1450	300	1956	0,4	2,4	12,5	37	370
8	AMX_M4_mle._49	1500	300	1747	0,36	2,9	14,29	40	370
8	FCM_50_t	1500	240	2117	0,36	2,3	23,05	51	400
8	AMX_AC_mle._48	1150	240	2285	0,34	1,7	11,56	50	370
8	AMX_Canon_d'assaut_105	1000	390	2034	0,3	2	26,79	55	360
8	Centurion_Mk._I	1350	140	1999	0,34	1,9	14,17	50	380
8	Chieftain/T95	1400	240	1920	0,36	2,2	17	42	400
8	FV4202	1400	230	1725	0,33	2,3	15,63	50	390
8	Centurion_Mk._5/1_RAAC	1400	230	1840	0,33	2,3	18,63	50	400
8	Chimera	1400	440	1703	0,36	2,5	15,95	50	380
8	Caernarvon	1500	150	2000	0,34	2,3	10,98	34,3	370
8	Caliban	1500	850	2040	0,58	4,1	18,44	33	370
8	Charlemagne	1500	440	1580	0,44	3,5	16,67	35	380
8	Caernarvon_Action_X	1500	230	2338	0,32	2,3	14,62	36,3	380
8	Gonsalo	1500	440	1760	0,45	3,2	21,11	37	380
8	AT_15	1450	150	2500	0,32	1,7	8,34	20	370
8	Charioteer	1050	230	2090	0,37	2,5	19,85	52	370
8	GSOR_1008	1200	320	1505	0,34	2,3	14,66	60	370
8	Turtle_Mk._I	1400	330	2911	0,36	1,9	13,33	20	370
8	STA-1	1350	240	1756	0,38	2,3	14,82	45	380
8	STA-2	1420	240	1920	0,35	1,9	19,12	55	400
8	O-Ho	1700	300	1714	0,41	3,1	9,17	25	380
8	TVP_VTU_Koncept	1350	220	2129	0,37	2,3	18,18	50	370
8	Škoda_T_27	1350	240	1565	0,38	2,2	22,5	50	380
8	TNH_105/1000	1450	320	1600	0,4	2,9	14,36	50	360
8	Škoda_T_56	1500	460	1936	0,42	3	13,54	35	370
8	ShPTK-TVP_100	1150	250	2777	0,3	1,3	21,88	55	370
8	UDES_14_Alt_5	1400	240	1920	0,37	2	23,43	55	390
8	Strv_81	1450	230	1840	0,33	2,3	17,72	50	400
8	Primo_Victoria	1450	230	1840	0,33	2,3	17,72	50	400
8	Lansen_C	1350	320	2086	0,38	2,5	28,39	50	380
8	Emil_I	1400	320	2006	0,39	3,2	11,6	50	360
8	EMIL_1951	1400	360	1825	0,4	3	15,17	45	360
8	Bofors_Tornvagn	1600	400	1600	0,44	2,3	11,63	32	360
8	UDES_03	1000	240	2028	0,35	3	24,96	70	350
8	Strv_S1	1000	390	2294	0,4	3	16,36	50	350
8	CS-53	1200	300	1500	0,4	2,5	16,8	50	370
8	CS-52_LIS	1300	320	2000	0,36	2,3	19,69	50	380
8	50TP_prototyp	1500	440	1859	0,4	3	14,33	35	380
8	53TP_Markowskiego	1400	320	2064	0,4	2,1	13,97	40	360
8	P.44_Pantera	1300	240	1800	0,35	2,2	15,79	60	370
8	Progetto_M35_mod._46	1400	240	2000	0,33	2,1	18,63	55	390
8	Progetto_CC55_mod._54	1400	320	1476	0,39	2,7	13,03	45	360
8	Bisonte_C45	1400	360	1800	0,42	2,7	12,46	50	380
8	SMV_CC-67	1260	320	1645	0,42	2,6	13,84	35	350
8	SMV_CC-64_Vipera	1300	400	2000	0,44	3	11,72	30	360
