,breed,image_path
35,silky terrier,Images/n02097658-silky_terrier/n02097658_10020.jpg
36,soft,Images/n02098105-soft-coated_wheaten_terrier/n02098105_1062.jpg
37,West Highland white terrier,Images/n02098286-West_Highland_white_terrier/n02098286_1015.jpg
38,Lhasa,Images/n02098413-Lhasa/n02098413_12198.jpg
39,flat,Images/n02099267-flat-coated_retriever/n02099267_1272.jpg
40,curly,Images/n02099429-curly-coated_retriever/n02099429_1068.jpg
41,golden retriever,Images/n02099601-golden_retriever/n02099601_100.jpg
42,Labrador retriever,Images/n02099712-Labrador_retriever/n02099712_1254.jpg
43,Chesapeake Bay retriever,Images/n02099849-Chesapeake_Bay_retriever/n02099849_1212.jpg
44,German short,Images/n02100236-German_short-haired_pointer/n02100236_1258.jpg
45,vizsla,Images/n02100583-vizsla/n02100583_10249.jpg
46,English setter,Images/n02100735-English_setter/n02100735_10114.jpg
47,Irish setter,Images/n02100877-Irish_setter/n02100877_1201.jpg
48,Gordon setter,Images/n02101006-Gordon_setter/n02101006_1016.jpg
49,Brittany spaniel,Images/n02101388-Brittany_spaniel/n02101388_1517.jpg
50,clumber,Images/n02101556-clumber/n02101556_1116.jpg
51,English springer,Images/n02102040-English_springer/n02102040_1147.jpg
52,Welsh springer spaniel,Images/n02102177-Welsh_springer_spaniel/n02102177_1028.jpg
53,cocker spaniel,Images/n02102318-cocker_spaniel/n02102318_10020.jpg
54,kuvasz,Images/n02104029-kuvasz/n02104029_1138.jpg
55,schipperke,Images/n02104365-schipperke/n02104365_1151.jpg
56,groenendael,Images/n02105056-groenendael/n02105056_1018.jpg
57,briard,Images/n02105251-briard/n02105251_1588.jpg
58,kelpie,Images/n02105412-kelpie/n02105412_1078.jpg
59,Old English sheepdog,Images/n02105641-Old_English_sheepdog/n02105641_1019.jpg
60,collie,Images/n02106030-collie/n02106030_10377.jpg
61,Border collie,Images/n02106166-Border_collie/n02106166_1128.jpg
62,Rottweiler,Images/n02106550-Rottweiler/n02106550_1033.jpg
63,German shepherd,Images/n02106662-German_shepherd/n02106662_10858.jpg
64,miniature pinscher,Images/n02107312-miniature_pinscher/n02107312_1716.jpg
65,Greater Swiss Mountain dog,Images/n02107574-Greater_Swiss_Mountain_dog/n02107574_1019.jpg
66,Bernese mountain dog,Images/n02107683-Bernese_mountain_dog/n02107683_1175.jpg
67,Appenzeller,Images/n02107908-Appenzeller/n02107908_1426.jpg
68,boxer,Images/n02108089-boxer/n02108089_1031.jpg
69,bull mastiff,Images/n02108422-bull_mastiff/n02108422_1013.jpg
70,Tibetan mastiff,Images/n02108551-Tibetan_mastiff/n02108551_1104.jpg
71,Saint Bernard,Images/n02109525-Saint_Bernard/n02109525_10446.jpg
72,Eskimo dog,Images/n02109961-Eskimo_dog/n02109961_1032.jpg
73,malamute,Images/n02110063-malamute/n02110063_1058.jpg
74,Siberian husky,Images/n02110185-Siberian_husky/n02110185_10175.jpg
75,pug,Images/n02110958-pug/n02110958_10842.jpg
76,Great Pyrenees,Images/n02111500-Great_Pyrenees/n02111500_1149.jpg
77,Pomeranian,Images/n02112018-Pomeranian/n02112018_10174.jpg
78,chow,Images/n02112137-chow/n02112137_10430.jpg
79,keeshond,Images/n02112350-keeshond/n02112350_10239.jpg
80,Brabancon griffon,Images/n02112706-Brabancon_griffon/n02112706_1041.jpg
81,Pembroke,Images/n02113023-Pembroke/n02113023_11091.jpg
82,Cardigan,Images/n02113186-Cardigan/n02113186_10475.jpg
83,toy poodle,Images/n02113624-toy_poodle/n02113624_1582.jpg
84,miniature poodle,Images/n02113712-miniature_poodle/n02113712_1036.jpg
85,standard poodle,Images/n02113799-standard_poodle/n02113799_1207.jpg
86,Mexican hairless,Images/n02113978-Mexican_hairless/n02113978_1069.jpg
87,dingo,Images/n02115641-dingo/n02115641_10395.jpg
88,Japanese spaniel,Images/n02085782-Japanese_spaniel/n02085782_1059.jpg
89,Rhodesian ridgeback,Images/n02087394-Rhodesian_ridgeback/n02087394_10351.jpg
90,papillon,Images/n02086910-papillon/n02086910_1449.jpg
91,toy terrier,Images/n02087046-toy_terrier/n02087046_1577.jpg
92,Blenheim spaniel,Images/n02086646-Blenheim_spaniel/n02086646_1002.jpg
93,bloodhound,Images/n02088466-bloodhound/n02088466_1015.jpg
94,Irish wolfhound,Images/n02090721-Irish_wolfhound/n02090721_1002.jpg
95,Ibizan hound,Images/n02091244-Ibizan_hound/n02091244_1030.jpg
96,Scottish deerhound,Images/n02092002-Scottish_deerhound/n02092002_11087.jpg
97,Norfolk terrier,Images/n02094114-Norfolk_terrier/n02094114_1230.jpg
98,Kerry blue terrier,Images/n02093859-Kerry_blue_terrier/n02093859_10.jpg
99,Australian terrier,Images/n02096294-Australian_terrier/n02096294_1299.jpg
100,standard schnauzer,Images/n02097209-standard_schnauzer/n02097209_1.jpg
101,Sussex spaniel,Images/n02102480-Sussex_spaniel/n02102480_142.jpg
102,Irish water spaniel,Images/n02102973-Irish_water_spaniel/n02102973_1066.jpg
103,malinois,Images/n02105162-malinois/n02105162_1357.jpg
104,Bouvier des Flandres,Images/n02106382-Bouvier_des_Flandres/n02106382_1048.jpg
105,komondor,Images/n02105505-komondor/n02105505_1018.jpg
106,Doberman,Images/n02107142-Doberman/n02107142_10647.jpg
107,EntleBucher,Images/n02108000-EntleBucher/n02108000_1111.jpg
108,Great Dane,Images/n02109047-Great_Dane/n02109047_11472.jpg
109,Leonberg,Images/n02111129-Leonberg/n02111129_1153.jpg
110,affenpinscher,Images/n02110627-affenpinscher/n02110627_10439.jpg
111,basenji,Images/n02110806-basenji/n02110806_1019.jpg
112,Newfoundland,Images/n02111277-Newfoundland/n02111277_10237.jpg
113,Samoyed,Images/n02111889-Samoyed/n02111889_10950.jpg
114,dhole,Images/n02115913-dhole/n02115913_1067.jpg
115,African hunting dog,Images/n02116738-African_hunting_dog/n02116738_10469.jpg
116,English foxhound,Images/n02089973-English_foxhound/n02089973_2.jpg
117,otterhound,Images/n02091635-otterhound/n02091635_699.jpg
118,Shetland sheepdog,Images/n02105855-Shetland_sheepdog/n02105855_142.jpg
119,French bulldog,Images/n02108915-French_bulldog/n02108915_225.jpg
