Breed,height_low_cm,height_high_cm,weight_low_kg,weight_high_kg,Classification,obey,reps_lower,reps_upper,Person,Dog,Is_person,image_path,audio_path,power_dB
english_foxhound,56.0,64.0,30.0,32.0,average_working_obedience_intelligence,50%,26.0,40.0,,,,Images/n02089973-English_foxhound/n02089973_2.jpg,,
english_setter,59.0,69.0,21.0,37.0,above_average_working_dogs,70%,16.0,25.0,[],"[{'xtl': '2.00', 'ytl': '3.00', 'xbr': '495.00', 'ybr': '319.00'}]",False,Images/n02100735_10114.jpg,,
german_shepherd,56.0,67.0,35.0,41.0,brightest_dogs,95%,1.0,4.0,,,,Images/n02106662-German_shepherd/n02106662_10858.jpg,,
german_short,51.0,69.0,23.0,37.0,,,,,,,,Images/n02100236-German_short-haired_pointer/n02100236_1258.jpg,,
german_wirehaired_pointer,56.0,67.0,28.0,32.0,average_working_obedience_intelligence,50%,26.0,40.0,,,,,,
giant_schnauzer,64.0,72.0,32.0,35.0,above_average_working_dogs,70%,16.0,25.0,[],"[{'xtl': '180.00', 'ytl': '10.00', 'xbr': '398.00', 'ybr': '338.00'}]",False,Images/n02097130_1032.jpg,,
golden_retriever,54.0,61.0,25.0,35.0,brightest_dogs,95%,1.0,4.0,[],"[{'xtl': '36.00', 'ytl': '17.00', 'xbr': '350.00', 'ybr': '253.00'}]",False,Images/n02099601_100.jpg,,
gordon_setter,59.0,69.0,21.0,37.0,above_average_working_dogs,70%,16.0,25.0,[],"[{'xtl': '45.00', 'ytl': '15.00', 'xbr': '529.00', 'ybr': '492.00'}]",False,Images/n02101006_1016.jpg,,
greyhound,69.0,77.0,28.0,32.0,average_working_obedience_intelligence,50%,26.0,40.0,,,,,,
irish_setter,64.0,69.0,28.0,32.0,above_average_working_dogs,70%,16.0,25.0,,,,Images/n02100877-Irish_setter/n02100877_1201.jpg,,
komondor,68.0,91.0,37.0,62.0,,,,,,,,Images/n02105505-komondor/n02105505_1018.jpg,,
labrador_retriever,54.0,61.0,25.0,37.0,brightest_dogs,95%,1.0,4.0,,,,Images/n02099712-Labrador_retriever/n02099712_1254.jpg,,
old_english_sheepdog,51.0,61.0,28.0,30.0,fair_working_obedience_intelligence,30%,41.0,80.0,,,,Images/n02105641-Old_English_sheepdog/n02105641_1019.jpg,,
poodle_standard,39.0,64.0,21.0,21.0,,,,,,,,,,
rhodesian_ridgeback,61.0,69.0,32.0,39.0,average_working_obedience_intelligence,50%,26.0,40.0,,,,Images/n02087394-Rhodesian_ridgeback/n02087394_10351.jpg,,
scottish_deerhound,72.0,82.0,35.0,50.0,average_working_obedience_intelligence,50%,26.0,40.0,,,,Images/n02092002-Scottish_deerhound/n02092002_11087.jpg,/content/lay-sobaki-porodyi-kolli-25610.wav,88.42
spinone_italiano,59.0,72.0,30.0,37.0,,,,,,,,,,
tibetan_mastiff,61.0,67.0,64.0,78.0,,,,,"[{'xtl': '1.00', 'ytl': '28.00', 'xbr': '333.00', 'ybr': '329.00'}]","[{'xtl': '304.00', 'ytl': '131.00', 'xbr': '500.00', 'ybr': '329.00'}]",True,Images/n02108551_7523.jpg,,
weimaraner,64.0,69.0,32.0,39.0,excellent_working_dogs,85%,5.0,15.0,,,,Images/n02092339-Weimaraner/n02092339_1331.jpg,,
airdale_terrier,56.0,61.0,21.0,21.0,,,,,,,,,,
american_staffordshire_terrier,44.0,49.0,19.0,23.0,above_average_working_dogs,70%,16.0,25.0,[],"[{'xtl': '166.00', 'ytl': '78.00', 'xbr': '500.00', 'ybr': '319.00'}]",False,Images/n02093428_10896.jpg,,
american_water_spaniel,39.0,46.0,12.0,21.0,average_working_obedience_intelligence,50%,26.0,40.0,,,,,,
australian_cattle_dog,44.0,51.0,16.0,21.0,brightest_dogs,95%,1.0,4.0,,,,,,
australian_shepherd,46.0,59.0,19.0,28.0,average_working_obedience_intelligence,50%,26.0,40.0,,,,,,
basset_hound,36.0,36.0,19.0,23.0,lowest_degree_of_working_obedience_intelligence,,81.0,100.0,,,,,,
bearded_collie,51.0,56.0,19.0,28.0,above_average_working_dogs,70%,16.0,25.0,,,,,,
border_collie,49.0,54.0,19.0,19.0,brightest_dogs,95%,1.0,4.0,[],"[{'xtl': '63.00', 'ytl': '3.00', 'xbr': '498.00', 'ybr': '326.00'}]",False,Images/n02106166_1128.jpg,,
brittany,44.0,54.0,14.0,19.0,excellent_working_dogs,85%,5.0,15.0,,,,,,
bull_dog,31.0,41.0,23.0,28.0,,,,,,,,,,
bull_terrier,54.0,56.0,23.0,32.0,fair_working_obedience_intelligence,30%,41.0,80.0,,,,,,
canaan_dog,49.0,61.0,16.0,25.0,,,,,,,,,,
chinese_shar_pei,46.0,51.0,21.0,25.0,average_working_obedience_intelligence,50%,26.0,40.0,,,,,,
chow,49.0,56.0,21.0,25.0,,,,,,,,Images/n02112137-chow/n02112137_10430.jpg,,
cocker_spaniel,39.0,41.0,10.0,13.0,excellent_working_dogs,85%,5.0,15.0,,,,Images/n02102318-cocker_spaniel/n02102318_10020.jpg,,
cocker_spaniel,39.0,44.0,12.0,16.0,excellent_working_dogs,85%,5.0,15.0,,,,Images/n02102318-cocker_spaniel/n02102318_10020.jpg,,
dalmatian,49.0,59.0,21.0,32.0,above_average_working_dogs,70%,16.0,25.0,,,,,,
english_springer,51.0,51.0,21.0,25.0,,,,,,,,Images/n02102040-English_springer/n02102040_1147.jpg,,
field_spaniel,46.0,46.0,16.0,23.0,above_average_working_dogs,70%,16.0,25.0,,,,,,
flat,56.0,59.0,28.0,32.0,,,,,,,,Images/n02099267-flat-coated_retriever/n02099267_1272.jpg,,
finnish_spitz,39.0,51.0,15.0,16.0,average_working_obedience_intelligence,50%,26.0,40.0,,,,,,
harrier,49.0,54.0,19.0,28.0,,,,,,,,,,
ibizan_hound,56.0,74.0,20.0,25.0,average_working_obedience_intelligence,50%,26.0,40.0,,,,Images/n02091244-Ibizan_hound/n02091244_1030.jpg,,
irish_terrier,46.0,49.0,12.0,13.0,average_working_obedience_intelligence,50%,26.0,40.0,,,,Images/n02093991-Irish_terrier/n02093991_114.jpg,,
irish_water_spaniel,26.0,59.0,21.0,30.0,excellent_working_dogs,85%,5.0,15.0,,,,Images/n02102973-Irish_water_spaniel/n02102973_1066.jpg,,
keeshond,44.0,49.0,16.0,23.0,excellent_working_dogs,85%,5.0,15.0,,,,Images/n02112350-keeshond/n02112350_10239.jpg,,
kerry_blue_terrier,44.0,54.0,14.0,21.0,above_average_working_dogs,70%,16.0,25.0,,,,Images/n02093859-Kerry_blue_terrier/n02093859_10.jpg,,
norwegian_elkhound,49.0,51.0,19.0,28.0,above_average_working_dogs,70%,16.0,25.0,,,,Images/n02091467-Norwegian_elkhound/n02091467_1315.jpg,,
nova_scotia_duck_tolling_retriever,44.0,54.0,16.0,23.0,,,,,,,,,,
petit_basset_griffon_vendeen,34.0,39.0,14.0,19.0,,,,,,,,,,
pharaoh_hound,54.0,64.0,21.0,25.0,above_average_working_dogs,70%,16.0,25.0,,,,,,
plott_hound,51.0,61.0,21.0,25.0,,,,,,,,,,
pointer,54.0,61.0,20.0,30.0,average_working_obedience_intelligence,50%,26.0,40.0,,,,,,
polish_lowland_sheepdog,41.0,51.0,14.0,16.0,,,,,,,,,,
portuguese_water_dog,51.0,59.0,20.0,28.0,above_average_working_dogs,70%,16.0,25.0,,,,,,
redbone,54.0,69.0,23.0,32.0,,,,,,,,Images/n02090379-redbone/n02090379_1006.jpg,,
saluki,59.0,72.0,16.0,32.0,average_working_obedience_intelligence,50%,26.0,40.0,,,,Images/n02091831-Saluki/n02091831_1036.jpg,,
samoyed,49.0,61.0,23.0,30.0,above_average_working_dogs,70%,16.0,25.0,,,,Images/n02111889-Samoyed/n02111889_10950.jpg,,
siberian_husky,51.0,59.0,19.0,28.0,average_working_obedience_intelligence,50%,26.0,40.0,"[{'xtl': '157.00', 'ytl': '23.00', 'xbr': '500.00', 'ybr': '369.00'}]","[{'xtl': '23.00', 'ytl': '132.00', 'xbr': '336.00', 'ybr': '237.00'}]",True,Images/n02110185_5624.jpg,/content/lay-sobaki-eskimosskaya-layka-35389.wav,80.11
soft-coated_wheaten_terrier,46.0,51.0,16.0,21.0,average_working_obedience_intelligence,50%,26.0,40.0,,,,,,
staffordshire_bull_terrier,36.0,41.0,11.0,13.0,average_working_obedience_intelligence,50%,26.0,40.0,,,,,,
standard_schnauzer,44.0,49.0,15.0,15.0,excellent_working_dogs,85%,5.0,15.0,,,,Images/n02097209-standard_schnauzer/n02097209_1.jpg,,
sussex_spaniel,39.0,41.0,19.0,21.0,,,,,,,,Images/n02102480-Sussex_spaniel/n02102480_142.jpg,,
vizsla,122.0,168.0,10.0,12.0,excellent_working_dogs,85%,5.0,15.0,,,,Images/n02100583-vizsla/n02100583_10249.jpg,,
welsh_springer_spaniel,41.0,49.0,16.0,21.0,above_average_working_dogs,70%,16.0,25.0,,,,Images/n02102177-Welsh_springer_spaniel/n02102177_1028.jpg,,
wirehaired_pointing_griffon,51.0,61.0,21.0,28.0,average_working_obedience_intelligence,50%,26.0,40.0,,,,,,
american_eskimo,23.0,49.0,12.0,14.0,,,,,,,,,,
australian_terrier,26.0,26.0,5.0,7.0,above_average_working_dogs,70%,16.0,25.0,[],"[{'xtl': '1.00', 'ytl': '14.00', 'xbr': '306.00', 'ybr': '371.00'}]",False,Images/n02096294_1299.jpg,,
basenji,44.0,44.0,10.0,10.0,lowest_degree_of_working_obedience_intelligence,,81.0,100.0,"[{'xtl': '373.00', 'ytl': '381.00', 'xbr': '724.00', 'ybr': '732.00'}, {'xtl': '40.00', 'ytl': '45.00', 'xbr': '371.00', 'ybr': '769.00'}, {'xtl': '366.00', 'ytl': '469.00', 'xbr': '431.00', 'ybr': '563.00'}, {'xtl': '7.00', 'ytl': '472.00', 'xbr': '108.00', 'ybr': '714.00'}, {'xtl': '705.00', 'ytl': '496.00', 'xbr': '770.00', 'ybr': '773.00'}]","[{'xtl': '295.00', 'ytl': '570.00', 'xbr': '736.00', 'ybr': '957.00'}]",True,Images/n02110806_1019.jpg,,
beagle,34.0,41.0,9.0,14.0,lowest_degree_of_working_obedience_intelligence,,81.0,100.0,,,,Images/n02088364-beagle/n02088364_11130.jpg,,
bedlington_terrier,39.0,41.0,9.0,11.0,average_working_obedience_intelligence,50%,26.0,40.0,"[{'xtl': '0.00', 'ytl': '0.00', 'xbr': '82.00', 'ybr': '185.00'}, {'xtl': '352.00', 'ytl': '43.00', 'xbr': '473.00', 'ybr': '223.00'}, {'xtl': '177.00', 'ytl': '0.00', 'xbr': '255.00', 'ybr': '100.00'}]","[{'xtl': '84.12', 'ytl': '49.06', 'xbr': '442.30', 'ybr': '364.90'}]",True,Images/n02093647_1081.jpg,,
bichon_frise,25.0,30.0,5.0,9.0,average_working_obedience_intelligence,50%,26.0,40.0,,,,,,
border_terrier,31.0,39.0,6.0,7.0,above_average_working_dogs,70%,16.0,25.0,[],"[{'xtl': '86.00', 'ytl': '97.00', 'xbr': '446.00', 'ybr': '318.00'}]",False,Images/n02093754_1062.jpg,,
boston_terrier,36.0,39.0,7.0,12.0,average_working_obedience_intelligence,50%,26.0,40.0,,,,,,
brussels_griffon,18.0,21.0,3.0,6.0,,,,,,,,,,
cairn,23.0,26.0,7.0,7.0,,,,,,,,Images/n02096177-cairn/n02096177_10698.jpg,,
cardigan,26.0,31.0,12.0,16.0,,,,,,,,Images/n02113186-Cardigan/n02113186_10475.jpg,,
cavalier_king_charles_spaniel,26.0,39.0,7.0,10.0,average_working_obedience_intelligence,50%,26.0,40.0,,,,,,
coton_de_tulear,,,,,,,,,,,,,,
dachshund,18.0,26.0,8.0,15.0,average_working_obedience_intelligence,50%,26.0,40.0,,,,,,
dandie_dinmont,46.0,61.0,4.0,5.0,,,,,,,,Images/n02096437-Dandie_Dinmont/n02096437_1129.jpg,,
english_toy_spaniel,26.0,26.0,5.0,7.0,,,,,,,,,,
fox_terrier_‰ыт_smooth,34.0,41.0,7.0,10.0,,,,,,,,,,
fox_terrier_‰ыт_wirehair,34.0,41.0,7.0,10.0,,,,,,,,,,
french_bulldog,28.0,31.0,8.0,13.0,fair_working_obedience_intelligence,30%,41.0,80.0,[],"[{'xtl': '66.00', 'ytl': '18.00', 'xbr': '446.00', 'ybr': '346.00'}]",False,Images/n02108915_225.jpg,,
german_pinscher,41.0,49.0,12.0,16.0,,,,,,,,,,
glen_imaal_terrier,36.0,36.0,16.0,17.0,,,,,,,,,,
lakeland_terrier,34.0,36.0,7.0,8.0,fair_working_obedience_intelligence,30%,41.0,80.0,,,,Images/n02095570-Lakeland_terrier/n02095570_1031.jpg,,
manchester_terrier_(standard),39.0,41.0,8.0,9.0,,,,,,,,,,
poodle_miniature,26.0,39.0,10.0,10.0,,,,,,,,,,
pug,26.0,28.0,7.0,10.0,fair_working_obedience_intelligence,30%,41.0,80.0,,,,Images/n02110958-pug/n02110958_10842.jpg,,
puli,41.0,44.0,14.0,15.0,above_average_working_dogs,70%,16.0,25.0,,,,,,
schipperke,26.0,34.0,6.0,9.0,excellent_working_dogs,85%,5.0,15.0,,,,Images/n02104365-schipperke/n02104365_1151.jpg,/content/lay-malenkoy-sobaki-shpits-35392.wav,81.29
scottish_terrier,26.0,31.0,9.0,10.0,fair_working_obedience_intelligence,30%,41.0,80.0,,,,,,
sealyham_terrier,31.0,31.0,9.0,10.0,fair_working_obedience_intelligence,30%,41.0,80.0,,,,Images/n02095889-Sealyham_terrier/n02095889_10.jpg,,
shetland_sheepdog,34.0,41.0,7.0,10.0,brightest_dogs,95%,1.0,4.0,"[{'xtl': '207.00', 'ytl': '60.00', 'xbr': '371.00', 'ybr': '361.00'}, {'xtl': '122.00', 'ytl': '40.00', 'xbr': '267.00', 'ybr': '357.00'}]","[{'xtl': '192.08', 'ytl': '117.70', 'xbr': '373.30', 'ybr': '239.70'}]",True,Images/n02105855_6281.jpg,,
shiba_inu,34.0,41.0,7.0,14.0,average_working_obedience_intelligence,50%,26.0,40.0,,,,,,
shih,21.0,28.0,5.0,8.0,,,,,,,,Images/n02086240-Shih-Tzu/n02086240_1011.jpg,,
silky_terrier,23.0,26.0,4.0,5.0,,,,,,,,Images/n02097658-silky_terrier/n02097658_10020.jpg,,
skye_terrier,26.0,26.0,12.0,12.0,fair_working_obedience_intelligence,30%,41.0,80.0,,,,,,
tibetan_spaniel,26.0,26.0,5.0,7.0,average_working_obedience_intelligence,50%,26.0,40.0,,,,,,
tibetan_terrier,36.0,44.0,10.0,14.0,fair_working_obedience_intelligence,30%,41.0,80.0,,,,Images/n02097474-Tibetan_terrier/n02097474_1328.jpg,,
welsh_terrier,39.0,39.0,10.0,10.0,average_working_obedience_intelligence,50%,26.0,40.0,,,,,,
west_highland_white_terrier,28.0,28.0,6.0,7.0,average_working_obedience_intelligence,50%,26.0,40.0,,,,Images/n02098286-West_Highland_white_terrier/n02098286_1015.jpg,,
whippet,46.0,56.0,13.0,14.0,average_working_obedience_intelligence,50%,26.0,40.0,,,,Images/n02091134-whippet/n02091134_10219.jpg,,
affenpinscher,23.0,31.0,4.0,6.0,above_average_working_dogs,70%,16.0,25.0,[],"[{'xtl': '28.00', 'ytl': '0.00', 'xbr': '290.00', 'ybr': '333.00'}]",False,Images/n02110627_10439.jpg,,
chihuahua,16.0,23.0,1.0,3.0,fair_working_obedience_intelligence,30%,41.0,80.0,[],"[{'xtl': '86.00', 'ytl': '35.00', 'xbr': '362.00', 'ybr': '374.00'}]",False,Images/n02085620_11258.jpg,,
chinese_crested,28.0,34.0,3.0,6.0,fair_working_obedience_intelligence,30%,41.0,80.0,,,,,,
italian_greyhound,31.0,39.0,3.0,5.0,fair_working_obedience_intelligence,30%,41.0,80.0,,,,Images/n02091032-Italian_greyhound/n02091032_10314.jpg,,
japanese_chin,21.0,28.0,2.0,5.0,fair_working_obedience_intelligence,30%,41.0,80.0,,,,,,
maltese,21.0,26.0,2.0,3.0,fair_working_obedience_intelligence,30%,41.0,80.0,,,,,,
manchester_terrier_(toy),26.0,31.0,3.0,4.0,,,,,,,,,,
papillon,21.0,28.0,3.0,5.0,brightest_dogs,95%,1.0,4.0,,,,Images/n02086910-papillon/n02086910_1449.jpg,,
pomeranian,31.0,31.0,2.0,4.0,excellent_working_dogs,85%,5.0,15.0,,,,Images/n02112018-Pomeranian/n02112018_10174.jpg,,
toy_poodle,26.0,26.0,5.0,5.0,,,,,,,,Images/n02113624-toy_poodle/n02113624_1582.jpg,,
toy_fox_terrier,26.0,26.0,2.0,4.0,,,,,,,,,,
yorkshire_terrier,21.0,21.0,2.0,4.0,above_average_working_dogs,70%,16.0,25.0,,,,Images/n02094433-Yorkshire_terrier/n02094433_10126.jpg,,
poodle,,,,,brightest_dogs,95%,1.0,4.0,,,,,,
doberman_pinscher,,,,,brightest_dogs,95%,1.0,4.0,,,,,,
pembroke_welsh_corgi,,,,,excellent_working_dogs,85%,5.0,15.0,,,,,,
miniature_schnauzer,,,,,excellent_working_dogs,85%,5.0,15.0,,,,Images/n02097047-miniature_schnauzer/n02097047_1260.jpg,,
english_springer_spaniel,,,,,excellent_working_dogs,85%,5.0,15.0,,,,,,
belgian_shepherd_dog_(tervuren),,,,,excellent_working_dogs,85%,5.0,15.0,,,,,,
german_shorthaired_pointer,,,,,excellent_working_dogs,85%,5.0,15.0,,,,,,
flat-coated_retriever,,,,,excellent_working_dogs,85%,5.0,15.0,,,,,,
english_cocker_spaniel,,,,,excellent_working_dogs,85%,5.0,15.0,,,,,,
belgian_malinois,,,,,excellent_working_dogs,85%,5.0,15.0,,,,,,
cardigan_welsh_corgi,,,,,excellent_working_dogs,85%,5.0,15.0,,,,,,
airedale_terrier,,,,,above_average_working_dogs,70%,16.0,25.0,,,,,,
manchester_terrier,,,,,above_average_working_dogs,70%,16.0,25.0,,,,,,
cairn_terrier,,,,,above_average_working_dogs,70%,16.0,25.0,,,,,,
australian_silky_terrier,,,,,above_average_working_dogs,70%,16.0,25.0,,,,,,
miniature_pinscher,,,,,above_average_working_dogs,70%,16.0,25.0,,,,Images/n02107312-miniature_pinscher/n02107312_1716.jpg,,
clumber_spaniel,,,,,above_average_working_dogs,70%,16.0,25.0,,,,,,
norwich_terrier,,,,,above_average_working_dogs,70%,16.0,25.0,,,,Images/n02094258-Norwich_terrier/n02094258_1036.jpg,,
fox_terrier_(smooth),,,,,average_working_obedience_intelligence,50%,26.0,40.0,,,,,,
curly_coated_retriever,,,,,average_working_obedience_intelligence,50%,26.0,40.0,,,,,,
king_charles_spaniel,,,,,average_working_obedience_intelligence,50%,26.0,40.0,,,,,,
otterhound,,,,,average_working_obedience_intelligence,50%,26.0,40.0,"[{'xtl': '0.92', 'ytl': '1.91', 'xbr': '49.92', 'ybr': '172.91'}, {'xtl': '50.86', 'ytl': '1.32', 'xbr': '99.86', 'ybr': '172.32'}]","[{'xtl': '26.52', 'ytl': '31.12', 'xbr': '119.30', 'ybr': '126.10'}]",True,Images/n02091635_1177.jpg,,
jack_russell_terrier,,,,,average_working_obedience_intelligence,50%,26.0,40.0,,,,,,
havanese,,,,,average_working_obedience_intelligence,50%,26.0,40.0,,,,,,
alaskan_malamute,,,,,average_working_obedience_intelligence,50%,26.0,40.0,,,,,,
wire_fox_terrier,,,,,average_working_obedience_intelligence,50%,26.0,40.0,,,,,,
norfolk_terrier,,,,,fair_working_obedience_intelligence,30%,41.0,80.0,,,,Images/n02094114-Norfolk_terrier/n02094114_1230.jpg,,
griffon_bruxellois,,,,,fair_working_obedience_intelligence,30%,41.0,80.0,,,,,,
dandie_dinmont_terrier,,,,,fair_working_obedience_intelligence,30%,41.0,80.0,,,,,,
petit_basset_griffon_vend̩en,,,,,fair_working_obedience_intelligence,30%,41.0,80.0,,,,,,
lhasa_apso,,,,,fair_working_obedience_intelligence,30%,41.0,80.0,,,,,,
shih_tzu,,,,,lowest_degree_of_working_obedience_intelligence,,81.0,100.0,,,,,,
pekingese,,,,,lowest_degree_of_working_obedience_intelligence,,81.0,100.0,,,,,,
chow_chow,,,,,lowest_degree_of_working_obedience_intelligence,,81.0,100.0,,,,,,
bulldog,,,,,lowest_degree_of_working_obedience_intelligence,,81.0,100.0,,,,,,
pembroke,,,,,,,,,"[{'xtl': '107.00', 'ytl': '50.00', 'xbr': '343.00', 'ybr': '383.00'}]","[{'xtl': '34.00', 'ytl': '262.00', 'xbr': '315.00', 'ybr': '432.00'}]",True,Images/n02113023_3181.jpg,,
dingo,,,,,,,,,"[{'xtl': '347.20', 'ytl': '105.49', 'xbr': '473.49', 'ybr': '369.20'}, {'xtl': '1.00', 'ytl': '0.00', 'xbr': '194.30', 'ybr': '370.00'}]","[{'xtl': '123.60', 'ytl': '178.10', 'xbr': '349.14', 'ybr': '372.00'}]",True,Images/n02115641_9302.jpg,,
maltese_dog,,,,,,,,,,,,Images/n02085936-Maltese_dog/n02085936_10273.jpg,,
pekinese,,,,,,,,,,,,Images/n02086079-Pekinese/n02086079_10603.jpg,,
basset,,,,,,,,,,,,Images/n02088238-basset/n02088238_10005.jpg,,
bluetick,,,,,,,,,,,,Images/n02088632-bluetick/n02088632_109.jpg,,
black,,,,,,,,,,,,Images/n02089078-black-and-tan_coonhound/n02089078_1151.jpg,,
walker_hound,,,,,,,,,,,,Images/n02089867-Walker_hound/n02089867_1133.jpg,,
staffordshire_bullterrier,,,,,,,,,,,,Images/n02093256-Staffordshire_bullterrier/n02093256_11023.jpg,,
