Динозавр;Отряд;Семейство;Эпоха;Таз
dinosaurus#Ланьчжоузавр;dinosaurus#Орнитоподы;;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Магнозавр;dinosaurus#Тероподы;dinosaurus#Мегалозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Макрогрифозавр;dinosaurus#Орнитоподы;;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Нанькания;dinosaurus#Тероподы;dinosaurus#Овирапториды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Неймонгозавр;dinosaurus#Тероподы;dinosaurus#Теризинозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Олоротитан;dinosaurus#Орнитоподы;dinosaurus#Гадрозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Паразавролоф;dinosaurus#Орнитоподы;dinosaurus#Гадрозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Пахиринозавр;dinosaurus#Цератопсы;dinosaurus#Цератопсиды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Пахицефалозавр;dinosaurus#Пахицефалозавры;dinosaurus#Пахицефалозавриды;;dinosaurus#Ящеротазовый
dinosaurus#Платеозавр;dinosaurus#Завроподы;dinosaurus#Платеозавриды;;dinosaurus#Ящеротазовый
dinosaurus#Пробактрозавр;dinosaurus#Орнитоподы;;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Раджазавр;dinosaurus#Тероподы;dinosaurus#Абелизавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Рахиолизавр;dinosaurus#Цератозавры;dinosaurus#Абелизавриды;;dinosaurus#Птицетозовый
dinosaurus#Таларурус;dinosaurus#Анкилозавры;dinosaurus#Анкилозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Танистрофеи;dinosaurus#Анкилозавры;dinosaurus#Анкилозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Тарбозавр;dinosaurus#Тероподы;dinosaurus#Тираннозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Тираннозавр;dinosaurus#Тероподы;dinosaurus#Тираннозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Фукуивенатор;dinosaurus#Тероподы;dinosaurus#Тираннозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Фукуизавр;dinosaurus#Орнитоподы;dinosaurus#Гадрозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Хуаянозавр;dinosaurus#Стегозавры;dinosaurus#Стегозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Ценагнатазия;dinosaurus#Тероподы;dinosaurus#Caenagnathidae;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Цяньчжоузавр;dinosaurus#Тероподы;dinosaurus#Тираннозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Эдмонтозавр;dinosaurus#Орнитоподы;dinosaurus#Гадрозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Эдмонтония;dinosaurus#Анкилозавры;dinosaurus#Нодозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Этоникс;dinosaurus#Завроподоморфы;dinosaurus#Завроподоморфы;dinosaurus#Поздняя_юра;dinosaurus#Птицетозовый
dinosaurus#Achero1raptor;dinosaurus#Тероподы;dinosaurus#Дромеозавриды;dinosaurus#Ранний_мел;dinosaurus#Ящеротазовый
dinosaurus#Acrotho1lus;dinosaurus#Пахецелозавры;dinosaurus#Пахицефалозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Adelolop1hus;dinosaurus#Орнитоподы;dinosaurus#Гадрозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Adeopappo1saurus;dinosaurus#Завроподоморфы;dinosaurus#Завроподоморфы;dinosaurus#Ранний_мел;dinosaurus#Птицетозовый
dinosaurus#Agujacerat1ops;dinosaurus#Цератопсы;dinosaurus#Цератопсиды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Ajkaceratop1s;dinosaurus#Цератопсы;dinosaurus#Цератопсиды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Gan1zhousaurus;dinosaurus#Тероподы;dinosaurus#Овирапториды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Garg1oyleosaurus;dinosaurus#Анкилозавры;dinosaurus#Нодозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Genyo1dectes;dinosaurus#Тероподы;dinosaurus#Ceratosauridae;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Halszk1araptor;dinosaurus#Тероподы;dinosaurus#Дромеозавриды;dinosaurus#Ранний_мел;dinosaurus#Ящеротазовый
dinosaurus#Huaxiao1saurus_aigahtens;dinosaurus#Орнитоподы;dinosaurus#Гадрозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Indosuch1us;dinosaurus#Тероподы;dinosaurus#Абелизавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Jainosaur1us;dinosaurus#Завроподы;dinosaurus#Завроподоморфы;dinosaurus#Ранний_мел;dinosaurus#Птицетозовый
dinosaurus#Jaklapalli1saurus;dinosaurus#Завроподоморфы;dinosaurus#Завроподоморфы;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#J1eyawati;dinosaurus#Орнитоподы;;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Ji1nyunpelta;dinosaurus#Анкилозавры;dinosaurus#Анкилозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Kay1entavenator;dinosaurus#Тероподы;;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Mach1airasaurus;dinosaurus#Тероподы;dinosaurus#Овирапториды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Macro1collum;dinosaurus#Завроподоморфы;dinosaurus#Завроподоморфы;dinosaurus#Ранний_мел;dinosaurus#Птицетозовый
dinosaurus#Magnap1aulia;dinosaurus#Орнитоподы;dinosaurus#Гадрозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Morella1don;dinosaurus#Орнитоподы;;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#N1ambalia;dinosaurus#Завроподоморфы;dinosaurus#Завроподоморфы;dinosaurus#Ранний_мел;dinosaurus#Птицетозовый
dinosaurus#Na1nosaurus;dinosaurus#Орнитоподы;;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Nan1shiungosaurus;dinosaurus#Тероподы;dinosaurus#Теризинозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Nato1venator;dinosaurus#Тероподы;dinosaurus#Дромеозавриды;dinosaurus#Ранний_мел;dinosaurus#Ящеротазовый
dinosaurus#Ojoce1ratops;dinosaurus#Цератопсы;dinosaurus#Цератопсиды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Pararh1abdodon;dinosaurus#Орнитоподы;dinosaurus#Гадрозавриды;;dinosaurus#Ящеротазовый
dinosaurus#Qantass1aurus_intrepidus;dinosaurus#Орнитоподы;;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Qiaowanl1ong;dinosaurus#Завроподы;;dinosaurus#Ранний_мел;dinosaurus#Птицетозовый
dinosaurus#Sahaliyan1ia;dinosaurus#Орнитоподы;dinosaurus#Гадрозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#А1вимим;dinosaurus#Тероподы;;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Аг1илизавр;dinosaurus#Орнитоподы;dinosaurus#Гадрозавриды;dinosaurus#средняя_юра;dinosaurus#Птицетозовый
dinosaurus#Агу1стиния;dinosaurus#Завроподы;dinosaurus#Завроподоморфы;dinosaurus#Ранний_мел;dinosaurus#Птицетозовый
dinosaurus#Адаз1авр;dinosaurus#Тероподы;dinosaurus#Дромеозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Адама1нтизавр;dinosaurus#Завроподоморфы;dinosaurus#Завроподоморфы;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Акаина1цефалус;dinosaurus#Анкилозавры;dinosaurus#Анкилозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Акрокан1тозавр;dinosaurus#Тероподы;dinosaurus#Кархародонтозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#А1лиорам;dinosaurus#Тероподы;dinosaurus#Тираннозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Ал1лозавр;dinosaurus#Тероподы;dinosaurus#Аллозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Аль1балофозаурус;dinosaurus#Цератопсы;;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Альб1ертадромеус;dinosaurus#Тероподы;dinosaurus#Тесцелозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Альбе1ртацератопс;dinosaurus#Цератопсы;dinosaurus#Цератопсиды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Альбе1ртозавр;dinosaurus#Тероподы;dinosaurus#Тираннозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Альбе1ртоник;dinosaurus#Тероподы;dinosaurus#Альваресзавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Альби1нукус;dinosaurus#Тероподы;dinosaurus#Альваресзавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Аляск1ацефале;dinosaurus#Пахицефалозавры;dinosaurus#Пахицефалозавриды;;dinosaurus#Ящеротазовый
dinosaurus#Ахилл1езавр;dinosaurus#Тероподы;dinosaurus#Альваресзавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Ахшис1лепелта;dinosaurus#Анкилозавры;dinosaurus#Анкилозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Балау1р;dinosaurus#Тероподы;;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Баньц1зи;dinosaurus#Тероподы;dinosaurus#Овирапториды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Башан1озавр;dinosaurus#Стегозавры;dinosaurus#Стегозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Бетас1учус;dinosaurus#Тероподы;dinosaurus#Тесцелозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Бицен1тенария;dinosaurus#Тероподы;dinosaurus#Тесцелозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Бэмби1раптор;dinosaurus#Тероподы;dinosaurus#Дромеозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Гадро1завр;dinosaurus#Тероподы;dinosaurus#Гадрозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Гаспа1ринизавра;dinosaurus#Орнитоподы;dinosaurus#Гадрозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Гасто1ния;dinosaurus#Орнитоподы;dinosaurus#Гадрозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Датон1глонг;dinosaurus#Орнитоподы;;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Дейно1них;dinosaurus#Тероподы;dinosaurus#Дромеозавриды;dinosaurus#Ранний_мел;dinosaurus#Ящеротазовый
dinosaurus#Жираф1фатитан;dinosaurus#Завроподы;dinosaurus#Брахиозавриды;dinosaurus#Поздняя_юра;dinosaurus#Ящеротазовый
dinosaurus#Завро1лофы;dinosaurus#Орнитоподы;dinosaurus#Гадрозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Завро1рнитолест;dinosaurus#Тероподы;dinosaurus#Дромеозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Игуан1одон;dinosaurus#Орнитоподы;dinosaurus#Iguanodontidae;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Камар1азавр;dinosaurus#Завроподы;dinosaurus#Camarasauridae;dinosaurus#Ранний_мел;dinosaurus#Ящеротазовый
dinosaurus#Канар1диа;dinosaurus#Орнитоподы;dinosaurus#Гадрозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Канса1йгнат;dinosaurus#Тероподы;dinosaurus#Дромеозавриды;dinosaurus#Ранний_мел;dinosaurus#Ящеротазовый
dinosaurus#Карно1тавр;dinosaurus#Тероподы;dinosaurus#Абелизавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Карха1родонтозавр;dinosaurus#Тероподы;dinosaurus#Кархародонтозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Кауди1птерикс;dinosaurus#Тероподы;dinosaurus#Caudipterygidae;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Кентр1озавр;dinosaurus#Стегозавры;dinosaurus#Стегозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Кербе1розавр;dinosaurus#Орнитоподы;dinosaurus#Гадрозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Ламбе1озавр;dinosaurus#Орнитоподы;dinosaurus#Гадрозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Ланьч1жоузавр;dinosaurus#Орнитоподы;;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Магно1завр;dinosaurus#Тероподы;dinosaurus#Мегалозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Макро1грифозавр;dinosaurus#Орнитоподы;;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Наньк1ания;dinosaurus#Тероподы;dinosaurus#Овирапториды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Неймо1нгозавр;dinosaurus#Тероподы;dinosaurus#Теризинозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Олоро1титан;dinosaurus#Орнитоподы;dinosaurus#Гадрозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Параз1авролоф;dinosaurus#Орнитоподы;dinosaurus#Гадрозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Пахир1инозавр;dinosaurus#Цератопсы;dinosaurus#Цератопсиды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Пахиц1ефалозавр;dinosaurus#Пахицефалозавры;dinosaurus#Пахицефалозавриды;;dinosaurus#Ящеротазовый
dinosaurus#Плате1озавр;dinosaurus#Завроподы;dinosaurus#Платеозавриды;;dinosaurus#Ящеротазовый
dinosaurus#Проба1ктрозавр;dinosaurus#Орнитоподы;;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Раджа1завр;dinosaurus#Тероподы;dinosaurus#Абелизавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Рахио1лизавр;dinosaurus#Цератозавры;dinosaurus#Абелизавриды;;dinosaurus#Птицетозовый
dinosaurus#Талар1урус;dinosaurus#Анкилозавры;dinosaurus#Анкилозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Танис1трофеи;;;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Тарбо1завр;dinosaurus#Тероподы;dinosaurus#Тираннозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Тиран1нозавр;dinosaurus#Тероподы;dinosaurus#Тираннозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Фукуив1енатор;dinosaurus#Тероподы;;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Фукуиз1авр;dinosaurus#Орнитоподы;;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Хуаяно1завр;dinosaurus#Стегозавры;;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Ценагн1атазия;dinosaurus#Тероподы;dinosaurus#Caenagnathidae;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
