_id,name,gender,born,origin,death,status,culture,religion,titles/0,titles/1,titles/2,titles/3,titles/4,titles/5,titles/6,house,father,mother,spouse/0,children/0,siblings/0,siblings/1,lovers/0,lovers/1,seasons/0,seasons/1,seasons/2,seasons/3,seasons/4,seasons/5,seasons/6,seasons/7,actor,siblings/2,siblings/3,spouse/1,children/1,children/2,children/3,titles/7,spouse/2,children/4,children/5,children/6,children/7,siblings/4,siblings/5,siblings/6,siblings/7,lovers/2,lovers/3
17,Robin Arryn,male,289 AC,King's Landing,,alive,Andal,The Sevens,Lord of the Eyrie,Defender of the Vale,Warden of the East,,,,,Arryn,Jon Arryn,Lisa Tully,,,,,,,1,4,5,6,8,,,,Lino Facioli,,,,,,,,,,,,,,,,,,
18,Yohn Royce,male,,Runestone,,alive,Andal,The Sevens,Lord of Runestone,,,,,,,Royce,,,,Robar Royce,,,,,4,5,6,7,8,,,,Rupert Vansittart,,,,Waymar Royce,,,,,,,,,,,,,,
19,Tywin Lannister,male,234 AC,Casterly Rock,301 AC,deceased,Andal,The Sevens,Lord of Casterly Rock,Lord Paramount of the Westerlands,Warden of the West,Shield of Lannisport,Hand of the King,Protector of the Realm,Savior of the City,Lannister,Tytos Lannister,Jeyne Marbrand,Joanna Lannister,Jaime Lannister,Kevan Lannister,,,,1,2,3,4,5,,,,Charles Dance,,,,Cersei Lannister,Tyrion Lannister,,,,,,,,,,,,,
20,Kevan Lannister,male,,Casterly Rock,303 AC,deceased,Andal,The Sevens,Ser,Hand of the King,Protector of the Realm,,,,,Lannister,Tytos Lannister,Jeyne Marbrand,,Lancel Lannister,Tywin Lannister,,,,1,2,5,6,,,,,Ian Gelder,,,,Martyn Lannister,Willern Lannister,,,,,,,,,,,,,
21,Lancel Lannister,male,,Casterly Rock,303 AC,deceased,Andal,The Sevens,Ser,,,,,,,Lannister,Kevan Lannister,,,,Martyn Lannister,Willern Lannister,Cersei Lannister,,1,2,5,6,,,,,Eugene Simon,,,,,,,,,,,,,,,,,,
22,Tyrion Lannister,male,266 AC,Casterly Rock,,alive,Andal,The Sevens,Lord of Casterly Rock,Lord Paramount of the Westerlands,Warden of the West,Hand of the Queen,Master of Coin,Hand of the King,,Lannister,Tywin Lannister,Joanna Lannister,Sansa Stark,,Cersei Lannister,Jaime Lannister,Shae,,1,2,3,4,5,6,7,8,Peter Dinklage,,,,,,,,,,,,,,,,,,
23,Jaime Lannister,male,262 AC,Casterly Rock,,alive,Andal,The Sevens,Lord Commander of the Kingsguard,,,,,,,Lannister,Tywin Lannister,Joanna Lannister,,Joffrey Lannister,Cersei Lannister,Tyrion Lannister,Cersei Lannister,,1,2,3,4,5,6,7,8,Nikolaj Coster-Waldau,,,,Myrcella Lannister,Tommen Lannister,,,,,,,,,,,,,
24,Cersei Lannister,female,262 AC,Casterly Rock,,alive,Andal,The Sevens,Queen of the Andals and the First Men,Protector of the Seven Kingdoms,Lady of Casterly Rock,Lady Paramount of the Westerlands,Wardeness of the West,Queen Mother,Queen Regent,Lannister,Tywin Lannister,Joanna Lannister,Robert Baratheon,Joffrey Lannister,Jaime Lannister,Tyrion Lannister,Lancel Lannister,Jaime Lannister,1,2,3,4,5,6,7,8,Lena Headey,,,,Myrcella Lannister,Tommen Lannister,,Queen Consort,,,,,,,,,,,
25,Joffrey Lannister,male,282 AC,King's Landing,301 AC,deceased,Andal,The Sevens,King of the Andals and the First Men,Lord of the Seven Kingdoms,Protector of the Realm,Lord of Storm's End,Lord Paramount of the Stormlands,,,Lannister,Jaime Lannister,Cersei Lannister,Margaery Tyrell,,Myrcella Lannister,Tommen Lannister,,,1,2,3,4,,,,,Jack Gleeson,,,,,,,,,,,,,,,,,,
26,Myrcella Lannister,female,283 AC,King's Landing,302 AC,deaceased,Andal,The Sevens,Princess,,,,,,,Lannister,Jaime Lannister,Cersei Lannister,,,Joffrey Lannister,Tommen Lannister,Trystane Martell,,1,2,5,6,,,,,Nell Tiger Free,,,,,,,,,,,,,,,,,,
27,Tommen Lannister,male,287 AC,King's Landing,303 AC,deceased,Andal,The Sevens,King of the Andals and the First Men,Lord of the Seven Kingdoms,Protector of the Realm,Lord of Storm's End,Lord Paramount of the Stormlands,,,Lannister,Jaime Lannister,Cersei Lannister,Margaery Tyrell,,Joffrey Lannister,Myrcella Lannister,,,1,2,4,5,6,,,,Dean-Charles Chapman,,,,,,,,,,,,,,,,,,
28,Robert Baratheon,male,,Storm's End,298 AC,alive,Andal,The Sevens,King of the Andals and the First Men,Lord of the Seven Kingdoms,Protector of the Realm,Lord of Storm's End,Lord Paramount of the Stormlands,,,Baratheon,Steffon Baratheon,Cassana Estermont,Cersei Lannister,Gendry,Stannis Baratheon,Renly Baratheon,,,1,,,,,,,,Mark Addy,,,,,,,,,,,,,,,,,,
29,Renly Baratheon,male,,Storm's End,299 AC,deceased,Andal,The Sevens,King of the Andals and the First Men,Lord of the Seven Kingdoms,Protector of the Realm,Lord of Storm's End,Lord Paramount of the Stormlands,Master of Laws,,Baratheon,Steffon Baratheon,Cassana Estermont,Margaery Tyrell,,Stannis Baratheon,Robert Baratheon,Loras Tyrell,,1,2,,,,,,,Gethin Anthony,,,,,,,,,,,,,,,,,,
30,Stannis Baratheon,male,,Storm's End,302 AC,deceased,Andal,R'hllor,King of the Andals and the First Men,Lord of the Seven Kingdoms,Protector of the Realm,Lord of Storm's End,Lord Paramount of the Stormlands,Lord of Dragonstone,Master of Ships,Baratheon,Steffon Baratheon,Cassana Estermont,Selyse Florent,Shireen Baratheon,Robert Baratheon,Renly Baratheon,Melisandre,,2,3,4,5,,,,,Stephen Dillane,,,,Petyr Baratheon,Tommard Baratheon,Edric Baratheon,,,,,,,,,,,,
31,Selyse Florent,female,,Brighwater Keep,302 AC,deceased,Andal,R'hllor,Queen Consort,,,,,,,Florent,,,Selyse Florent,Shireen Baratheon,Imry Florent,Axell Florent,,,2,3,4,5,,,,,Tara Fitzgerald,,,,Petyr Baratheon,Tommard Baratheon,Edric Baratheon,,,,,,,,,,,,
32,Shireen Baratheon,female,287 AC,Dragonstone,302 AC,deceased,Andal,,Princess,,,,,,,Baratheon,Stannis Baratheon,Selyse Florent,,,Petyr Baratheon,Tommard Baratheon,,,3,4,5,,,,,,Kerry Ingram,Edric Baratheon,,,,,,,,,,,,,,,,,
33,Olenna Tyrell,female,,The Arbor,304 AC,deceased,Andal,The Sevens,,,,,,,,Tyrell,,,Luthor Tyrell,Mace Tyrell,Viola Redwyne,,,,3,4,5,6,7,,,,Diana Rigg,,,,,,,,,,,,,,,,,,
34,Mace Tyrell,male,,Highgarden,303 AC,deceased,Andal,The Sevens,Lord of Highgarden,Lord Paramount of the Reach,Warden of the South,Master of Ships,Master of Coin,Hand of the King,,Tyrell,Luthor Tyrell,Olenna Redwyne,Alerie Hightower,Loras Tyrell,,,,,4,5,6,,,,,,Roger Ashton-Griffiths,,,,Margaery Tyrell,,,,,,,,,,,,,,
35,Loras Tyrell,male,,Highgarden,303 AC,deceased,Andal,The Sevens,Ser,Lord Commander of the Kingsguard,,,,,,Tyrell,Mace Tyrell,Alerie Hightower,,,Margaery Tyrell,,Renly Baratheon,Olyvar,1,2,3,4,5,6,,,Finn Jones,,,,,,,,,,,,,,,,,,
36,Margaery Tyrell,female,,Highgarden,303 AC,deceased,Andal,The Sevens,Queen Consort,,,,,,,Tyrell,Mace Tyrell,Alerie Hightower,Renly Baratheon,,Loras Tyrell,,,,2,3,4,5,6,,,,Natalie Dormer,,,Joffrey Lannister,,,,,Tommen Lannister,,,,,,,,,,
37,Balon Greyjoy,male,,Pyke,303 AC,deceased,Ironborn,Drowned God,King of the Iron Islands,King of Salt and Rock,Son of the Sea Wind,Lord Reaper of Pyke,Lord of the Iron Islands,,,Greyjoy,,,Alannys Harlaw,Rodrik Greyjoy,Euron Greyjoy,Aeron Greyjoy,,,2,3,6,,,,,,Patrick Malahide,,,,Maron Greyjoy,Theon Greyjoy,Yara Greyjoy,,,,,,,,,,,,
38,Euron Greyjoy,male,,Pyke,,alive,Ironborn,Drowned God,King of the Iron Islands,King of Salt and Rock,Son of the Sea Wind,Lord Reaper of Pyke,,,,Greyjoy,Balon Greyjoy,,Alannys Harlaw,,Balon Greyjoy,Aeron Greyjoy,,,6,7,8,,,,,,Pilou Asbæk,,,,,,,,,,,,,,,,,,
39,Theon Greyjoy,male,281 AC,Pyke,,alive,Ironborn,Drowned God,,,,,,,,Greyjoy,Balon Greyjoy,Alannys Harlaw,,,Rodrik Greyjoy,Maron Greyjoy,,,1,2,3,4,5,6,7,8,Alfie Allen,Yara Greyjoy,,,,,,,,,,,,,,,,,
40,Yara Greyjoy,female,281 AC,Pyke,,alive,Ironborn,Drowned God,Queen of the Iron Islands,Queen of Salt and Rock,Daughter of the Sea Wind,Lady Reaper of Pyke,,,,Greyjoy,Balon Greyjoy,Alannys Harlaw,,,Rodrik Greyjoy,Maron Greyjoy,,,2,3,4,6,7,8,,,Gemma Whelan,Theon Greyjoy,,,,,,,,,,,,,,,,,
41,Doran Martell,male,,Sunspear,303 AC,deceased,Dornish,The Sevens,Prince of Dorne,Lord of Sunspear,,,,,,Martell,,,,Trystane Martell,Oberyn Martell,Elia Martell,,,5,6,,,,,,,Alexander Siddig,,,,,,,,,,,,,,,,,,
42,Oberyn Martell,male,,Sunspear,301 AC,deceased,Dornish,The Sevens,Prince,,,,,,,Martell,,,,Obara Sand,Doran Martell,Elia Martell,Ellaria Sand,,4,,,,,,,,Pedro Pascal,,,,Nymeria Sand,Tyene Sand,Sarella Sand,,,Elia Sand,Obella Sand,Dorea Sand,Loreza Sand,,,,,,
43,Trystane Martell,male,,Sunspear,303 AC,deceased,Dornish,The Sevens,Prince,,,,,,,Martell,Doran Martell,,,,,,Myrcella Lannister,,5,6,,,,,,,Toby Sebastian,,,,,,,,,,,,,,,,,,
44,Ellaria Sand,female,,Hellholt,,alive,Dornish,The Sevens,Prince,,,,,,,Uller,,,,Tyene Sand,,,Oberyn Martell,,4,5,6,7,,,,,Indira Varma,,,,Obella Sand,Dorea Sand,Loreza Sand,,,,,,,,,,,,
45,Obara Sand,female,,Dorne,304 AC,deceased,Dornish,The Sevens,,,,,,,,Martell,Oberyn Martell,,,,Obara Sand,Nymeria Sand,,,5,6,7,,,,,,Keisha Castle-Hughes,Tyene Sand,Sarella Sand,,,,,,,,,,,Elia Sand,Obella Sand,Dorea Sand,Loreza Sand,,
46,Nymeria Sand,female,,Dorne,304 AC,deceased,Dornish,The Sevens,,,,,,,,Martell,Oberyn Martell,,,,Obara Sand,Nymeria Sand,,,5,6,7,,,,,,Jessica Henwick,Tyene Sand,Sarella Sand,,,,,,,,,,,Elia Sand,Obella Sand,Dorea Sand,Loreza Sand,,
47,Tyene Sand,female,,Dorne,304 AC,deceased,Dornish,The Sevens,,,,,,,,Martell,Oberyn Martell,Ellaria Sand,,,Obara Sand,Nymeria Sand,,,5,6,7,,,,,,Rosabell Laurenti Sellers,Tyene Sand,Sarella Sand,,,,,,,,,,,Elia Sand,Obella Sand,Dorea Sand,Loreza Sand,,
48,Randyll Tarly,male,,Horn Hill,304 AC,deceased,Andal,The Sevens,Lord of Horn Hill,,,,,,,Tarly,,,Melessa Florent,Dickon Tarly,,,,,6,7,,,,,,,James Faulkner,,,,Samwell Tarly,Talla Tarly,,,,,,,,,,,,,
49,Dickon Tarly,male,,Horn Hill,304 AC,deceased,Andal,The Sevens,,,,,,,,Tarly,Randyll Tarly,Melessa Florent,,,Sammwell Tarly,Talla Tarly,,,6,7,,,,,,,Tom Hopper,,,,,,,,,,,,,,,,,,
50,Samwell Tarly,male,280 AC,Horn Hill,,alive,Andal,Old Gods,,,,,,,,Tarly,Randyll Tarly,Melessa Florent,,,Dickon Tarly,Talla Tarly,Gilly,,1,2,3,4,5,6,7,8,John Bradley,,,,,,,,,,,,,,,,,,
51,Jeor Mormont,male,280 AC,Bear Island,300 AC,deceased,Northmen,Old Gods,Lord of Bear Island,Lord Commander of the Night's Watch,,,,,,Mormont,,,,,Maege Mormont,,,,1,2,3,,,,,,James Cosmo,,,,,,,,,,,,,,,,,,
52,Jorah Mormont,male,280 AC,Bear Island,,alive,Northmen,Old Gods,Lord of Bear Island,Ser,,,,,,Mormont,Jeor Mormont,,Lynesse Hightower,,,,,,1,2,3,4,5,6,7,8,Iain Glen,,,,,,,,,,,,,,,,,,
53,Petyr Baelish,male,,Baelish Castle,304 AC,deceased,Andal,Drowned God,Lord Protector of the Vale,Lord of Harrenhal,Master of Coin,,,,,Baelish,,,Lysa Tully,,,,,,1,2,3,4,5,6,7,,Aidan Gillen,,,,,,,,,,,,,,,,,,
54,Davos Seaworth,male,,King's Landing,304 AC,deceased,Andal,,Hand of the King,Ser,,,,,,Seaworth,,,Marya Seaworth,Matthos Seaworth,,,,,2,3,4,5,6,7,8,,Liam Cunningham,,,,,,,,,,,,,,,,,,
55,Brienne of Tarth,female,,Evenfall Hall,,alive,Andal,The Sevens,Kingsguard,,,,,,,Tarth,Selwyn Tarth,,Marya Seaworth,Matthos Seaworth,,,,,2,3,4,5,6,7,8,,Gwendoline Christie,,,,,,,,,,,,,,,,,,
56,Sandor Clegane,male,,Clegane's Keep,,alive,Andal,,Kingsguard,,,,,,,Clegane,,,,,Gregor Clegane,,,,1,2,3,4,6,7,8,,Rory McCann,,,,,,,,,,,,,,,,,,
57,Varys,male,,Lys,,alive,Lysene,,Master of Whisperers,,,,,,,,,,,,,,,,1,2,3,4,6,7,8,,Conleth Hill,,,,,,,,,,,,,,,,,,
58,Bronn,male,,,,alive,Andal,,Ser,Commander of the City Watch,,,,,,,,,,,,,,,1,2,3,4,6,7,8,,Jerome Flyn,,,,,,,,,,,,,,,,,,
59,Melisandre,female,97 AC,Asshai,,alive,Asshai'i,R'hllor,,,,,,,,,,,,,,,Stannis Baratheon,,1,2,3,4,,,,,Carice van Houten,,,,,,,,,,,,,,,,,,
60,Ramsay Bolton,male,,The DreadFort,303 AC,deceased,Northmen,Old Gods,Lord of the Dreadfort,Lord of Winterfell,Lord Paramount of the North,Warden of the North,,,,Bolton,Roose Bolton,The Miller's Wife,Sansa Stark,,,,Myranda,Violet,3,4,5,6,,,,,Iwan Rheon,,,,,,,,,,,,,,,,,Tansy,Kira
61,Roose Bolton,male,,The DreadFort,303 AC,deceased,Northmen,Old Gods,Lord of the Dreadfort,Lord of Winterfell,Lord Paramount of the North,Warden of the North,,,,Bolton,,,Walda Frey,Ramsay Bolton,,,,,2,3,4,5,6,,,,Michael McElhatton,,,,,,,,,,,,,,,,,,
62,Missandei,female,,Naath,,alive,Naathi,,,,,,,,,,,,,,,,Grey Worm,,3,4,5,6,7,8,,,Nathalie Emmanuel,,,,,,,,,,,,,,,,,,
63,Grey Worm,female,,Summer Isles,,alive,Summer Islander,,,,,,,,,,,,,,,,Missandei,,3,4,5,6,7,8,,,Jacob Anderson,,,,,,,,,,,,,,,,,,
64,Gilly,female,,Craster's Keep,,alive,Free Folk,,,,,,,,,,,,,Sam,,,Samwell Tarly,,2,3,4,5,6,7,8,,Hannah Murray,,,,,,,,,,,,,,,,,,
65,Ygritte,female,,Beyond the Wall,301 AC,deceased,Free Folk,,,,,,,,,,,,,,,,Jon Snow,,2,3,4,,,,,,Rose Leslie,,,,,,,,,,,,,,,,,,
66,Tormund,male,,Beyond the Wall,,alive,Free Folk,,,,,,,,,,,,,,,,,,3,4,5,6,7,8,,,Kristofer Hivju,,,,,,,,,,,,,,,,,,
67,Shae,female,276 AC,Lorath,301 AC,deceased,Lorathi,,,,,,,,,,,,,,,,Tyrion Lannister,Tywin Lannister,3,4,5,6,7,8,,,Sibel Kekilli,,,,,,,,,,,,,,,,,,
68,Jaqen H'ghar,male,,Braavos,,alive,Braavosi,Many-Faced God,,,,,,,,,,,,,,,,,1,2,5,6,,,,,Tom Wlaschiha,,,,,,,,,,,,,,,,,,
69,Drogo,male,,Vaes Dothrak,298 AC,deceased,Dothraki,Great Stallion,Khal,,,,,,,,Bharbo,,Daenerys Targaryen,Rhaego,,,,,1,2,,,,,,,Jason Momoa,,,,,,,,,,,,,,,,,,
70,Daario Naharis,male,,Tyrosh,,alive,Tyroshi,,Regent of the Bay of Dragons,,,,,,,,,,,,,,Daenerys Targaryen,,3,4,5,6,,,,,Michiel Huisman,,,,,,,,,,,,,,,,,,
71,Gendry,male,,King's Landing,,alive,Andal,The Sevens,,,,,,,,,Robert Baratheon,,,,,,,,1,2,3,7,8,,,,Joe Dempsie,,,,,,,,,,,,,,,,,,
72,High Sparrow,male,,King's Landing,303 AC,deceased,Andal,The Sevens,High Septon,,,,,,,,,,,,,,,,5,6,,,,,,,Jonathan Pryce,,,,,,,,,,,,,,,,,,
73,Talisa Maegyr,female,,Volantis,300 AC,deceased,Volantene,The Sevens,Queen Consort,,,,,,,,,,Robb Stark,,,,,,2,3,,,,,,,Oona Chaplin,,,,,,,,,,,,,,,,,,
74,The Night King,male,~12 000 BC,Beyond the Wall,,alive,White Walkers,,,,,,,,,,,,,,,,,,4,5,6,7,8,,,,Vladimir Furdik,,,,,,,,,,,,,,,,,,
75,Rhaegar Targaryen,male,,King's Landing,281 AC,Deceased,Valyrian,The Sevens,Prince of Dragonstone,,,,,,,Targaryen,Aerys II Targaryen,Rhaella Targaryen,Elia Martell,Rhaenys Targaryen,Viserys Targaryen,Daenerys Targaryen,,,7,,,,,,,,Wilf Scolding,,,,Aegon Targaryen,,,,,,,,,,,,,,
76,Lyanna Mormont,female,292 AC,Bear Island,,alive,Northmen,Old Gods,Lady of Bear Island,,,,,,,Mormont,,Maege Mormont,,,,,,,6,7,8,,,,,,Bella Ramsey,,,,,,,,,,,,,,,,,,
