white_player;white_elo;black_player;black_elo;result;moves;site;date;slug;id;format;eco
Rapport, Richard;2702;Sindarov, Javokhir;2704.0;0-1;22;Mumbai;2025-12-18;rapport-sindarov-r5.3-mumbai-2025-12-18;10598837;3;D02
Nakamura, Hikaru;2732;Anand, Viswanathan;2727.0;1/2-1/2;52;Mumbai;2025-12-18;nakamura-anand-r5.3-mumbai-2025-12-18;10598688;3;A09
Artemiev, Vladislav;2727;Keymer, Vincent;2640.0;1/2-1/2;36;Mumbai;2025-12-18;artemiev-keymer-r5.3-mumbai-2025-12-18;10598687;3;A07
Dominguez Perez, Leinier;2703;Praggnanandhaa, Rameshbabu;2663.0;1-0;51;Mumbai;2025-12-18;dominguez-perez-praggnanandhaa-r5.2-mumbai-2025-12-18;10598678;3;B12
Gukesh, Dommaraju;2692;Caruana, Fabiano;2751.0;1-0;40;Mumbai;2025-12-18;gukesh-caruana-r5.2-mumbai-2025-12-18;10598677;3;C55
Erigaisi, Arjun Kumar;2714;Giri, Anish;2685.0;1-0;25;Mumbai;2025-12-18;erigaisi-giri-r5.2-mumbai-2025-12-18;10598672;3;D43
Vachier Lagrave, Maxime;2730;Firouzja, Alireza;2754.0;0-1;52;Mumbai;2025-12-18;vachier-lagrave-firouzja-r5.1-mumbai-2025-12-18;10598665;3;B84
So, Wesley;2702;Wei, Yi;2751.0;1/2-1/2;31;Mumbai;2025-12-18;so-wei-r5.1-mumbai-2025-12-18;10598661;3;B92
Mamedyarov, Shakhriyar;2707;Vidit, Santosh Gujrathi;2650.0;1/2-1/2;35;Mumbai;2025-12-18;mamedyarov-vidit-r5.1-mumbai-2025-12-18;10598660;3;A22
Vidit, Santosh Gujrathi;2650;Sindarov, Javokhir;2704.0;0-1;81;Mumbai;2025-12-17;vidit-sindarov-r4.3-mumbai-2025-12-17;10598509;3;E94
Firouzja, Alireza;2754;Anand, Viswanathan;2727.0;1-0;46;Mumbai;2025-12-17;firouzja-anand-r4.3-mumbai-2025-12-17;10598507;3;C26
Wei, Yi;2751;Keymer, Vincent;2640.0;1-0;34;Mumbai;2025-12-17;wei-keymer-r4.3-mumbai-2025-12-17;10598505;3;B12
Erigaisi, Arjun Kumar;2714;So, Wesley;2702.0;0-1;56;Mumbai;2025-12-17;erigaisi-so-r4.2-mumbai-2025-12-17;10598499;3;D30
Dominguez Perez, Leinier;2703;Mamedyarov, Shakhriyar;2707.0;1/2-1/2;34;Mumbai;2025-12-17;dominguez-perez-mamedyarov-r4.2-mumbai-2025-12-17;10598498;3;C42
Gukesh, Dommaraju;2692;Vachier Lagrave, Maxime;2730.0;1/2-1/2;39;Mumbai;2025-12-17;gukesh-vachier-lagrave-r4.2-mumbai-2025-12-17;10598495;3;D35
Caruana, Fabiano;2751;Nakamura, Hikaru;2732.0;1/2-1/2;58;Mumbai;2025-12-17;caruana-nakamura-r4.1-mumbai-2025-12-17;10598487;3;C42
Giri, Anish;2685;Artemiev, Vladislav;2727.0;1/2-1/2;34;Mumbai;2025-12-17;giri-artemiev-r4.1-mumbai-2025-12-17;10598486;3;C55
Praggnanandhaa, Rameshbabu;2663;Rapport, Richard;2702.0;1/2-1/2;44;Mumbai;2025-12-17;praggnanandhaa-rapport-r4.1-mumbai-2025-12-17;10598484;3;A48
Praggnanandhaa, Rameshbabu;2663;Mamedyarov, Shakhriyar;2707.0;1/2-1/2;64;Mumbai;2025-12-16;praggnanandhaa-mamedyarov-r3.3-mumbai-2025-12-16;10598373;3;D02
Caruana, Fabiano;2751;Vachier Lagrave, Maxime;2730.0;0-1;55;Mumbai;2025-12-16;caruana-vachier-lagrave-r3.3-mumbai-2025-12-16;10598371;3;B91
Giri, Anish;2685;So, Wesley;2702.0;1/2-1/2;33;Mumbai;2025-12-16;giri-so-r3.3-mumbai-2025-12-16;10598368;3;C45
Wei, Yi;2751;Artemiev, Vladislav;2727.0;1/2-1/2;34;Mumbai;2025-12-16;wei-artemiev-r3.2-mumbai-2025-12-16;10598366;3;C24
Firouzja, Alireza;2754;Nakamura, Hikaru;2732.0;1-0;41;Mumbai;2025-12-16;firouzja-nakamura-r3.2-mumbai-2025-12-16;10598365;3;D20
Vidit, Santosh Gujrathi;2650;Rapport, Richard;2702.0;0-1;27;Mumbai;2025-12-16;vidit-rapport-r3.2-mumbai-2025-12-16;10598362;3;A40
Anand, Viswanathan;2727;Gukesh, Dommaraju;2692.0;1-0;45;Mumbai;2025-12-16;anand-gukesh-r3.1-mumbai-2025-12-16;10598359;3;B41
Keymer, Vincent;2640;Erigaisi, Arjun Kumar;2714.0;1/2-1/2;38;Mumbai;2025-12-16;keymer-erigaisi-r3.1-mumbai-2025-12-16;10598358;3;A05
Sindarov, Javokhir;2704;Dominguez Perez, Leinier;2703.0;1-0;42;Mumbai;2025-12-16;sindarov-dominguez-perez-r3.1-mumbai-2025-12-16;10598357;3;A35
Erigaisi, Arjun Kumar;2714;Wei, Yi;2751.0;1/2-1/2;59;Mumbai;2025-12-15;erigaisi-wei-r2.3-mumbai-2025-12-15;10598208;3;E10
Gukesh, Dommaraju;2692;Firouzja, Alireza;2754.0;0-1;39;Mumbai;2025-12-15;gukesh-firouzja-r2.3-mumbai-2025-12-15;10598207;3;A37
Dominguez Perez, Leinier;2703;Vidit, Santosh Gujrathi;2650.0;1/2-1/2;32;Mumbai;2025-12-15;dominguez-perez-vidit-r2.3-mumbai-2025-12-15;10598205;3;C53
Praggnanandhaa, Rameshbabu;2663;Sindarov, Javokhir;2704.0;0-1;51;Mumbai;2025-12-15;praggnanandhaa-sindarov-r2.2-mumbai-2025-12-15;10598200;3;C55
Caruana, Fabiano;2751;Anand, Viswanathan;2727.0;1-0;37;Mumbai;2025-12-15;caruana-anand-r2.2-mumbai-2025-12-15;10598195;3;C83
Vachier Lagrave, Maxime;2730;Nakamura, Hikaru;2732.0;0-1;49;Mumbai;2025-12-15;vachier-lagrave-nakamura-r2.1-mumbai-2025-12-15;10598189;3;C42
Mamedyarov, Shakhriyar;2707;Rapport, Richard;2702.0;1-0;33;Mumbai;2025-12-15;mamedyarov-rapport-r2.1-mumbai-2025-12-15;10598186;3;E26
So, Wesley;2702;Artemiev, Vladislav;2727.0;1/2-1/2;30;Mumbai;2025-12-15;so-artemiev-r2.1-mumbai-2025-12-15;10598184;3;C55
Wang, Hao;2663;Ding, Liren;2747.0;1/2-1/2;72;Shenzhen;2025-12-15;wang-ding-r4.4-shenzhen-2025-12-15;10598183;3;C53
Ding, Liren;2747;Wang, Hao;2663.0;1/2-1/2;14;Shenzhen;2025-12-15;ding-wang-r4.3-shenzhen-2025-12-15;10598180;3;D37
Wang, Hao;2663;Ding, Liren;2747.0;1/2-1/2;91;Shenzhen;2025-12-15;wang-ding-r4.2-shenzhen-2025-12-15;10598178;3;A07
Ding, Liren;2747;Wang, Hao;2663.0;1-0;26;Shenzhen;2025-12-15;ding-wang-r4.1-shenzhen-2025-12-15;10598176;3;D37
Rapport, Richard;2702;Dominguez Perez, Leinier;2703.0;1/2-1/2;57;Mumbai;2025-12-14;rapport-dominguez-perez-r1.3-mumbai-2025-12-14;10598167;3;A00
Artemiev, Vladislav;2727;Erigaisi, Arjun Kumar;2714.0;1/2-1/2;35;Mumbai;2025-12-14;artemiev-erigaisi-r1.3-mumbai-2025-12-14;10598166;3;A06
Nakamura, Hikaru;2732;Gukesh, Dommaraju;2692.0;1/2-1/2;34;Mumbai;2025-12-14;nakamura-gukesh-r1.3-mumbai-2025-12-14;10598165;3;B40
Sindarov, Javokhir;2704;Mamedyarov, Shakhriyar;2707.0;0-1;45;Mumbai;2025-12-14;sindarov-mamedyarov-r1.2-mumbai-2025-12-14;10598161;3;C53
Keymer, Vincent;2640;So, Wesley;2702.0;1/2-1/2;36;Mumbai;2025-12-14;keymer-so-r1.2-mumbai-2025-12-14;10598160;3;A07
Anand, Viswanathan;2727;Vachier Lagrave, Maxime;2730.0;0-1;34;Mumbai;2025-12-14;anand-vachier-lagrave-r1.2-mumbai-2025-12-14;10598159;3;C92
Wei, Yi;2751;Giri, Anish;2685.0;1-0;53;Mumbai;2025-12-14;wei-giri-r1.1-mumbai-2025-12-14;10598154;3;C26
Firouzja, Alireza;2754;Caruana, Fabiano;2751.0;1-0;32;Mumbai;2025-12-14;firouzja-caruana-r1.1-mumbai-2025-12-14;10598153;3;B35
Firouzja, Alireza;2754;Caruana, Fabiano;2751.0;1-0;32;Mumbai;2025-12-14;firouzja-caruana-r1.1-mumbai-2025-12-14;10598153;3;B35
Jiang, Haochen;2331;Ding, Liren;2747.0;0-1;90;Shenzhen;2025-12-14;jiang-ding-r3.4-shenzhen-2025-12-14;10597928;3;C65
Ding, Liren;2747;Jiang, Haochen;2331.0;0-1;34;Shenzhen;2025-12-14;ding-jiang-r3.3-shenzhen-2025-12-14;10597925;3;D37
Jiang, Haochen;2331;Ding, Liren;2747.0;0-1;55;Shenzhen;2025-12-14;jiang-ding-r3.2-shenzhen-2025-12-14;10597923;3;C67
Ding, Liren;2747;Jiang, Haochen;2331.0;1-0;62;Shenzhen;2025-12-14;ding-jiang-r3.1-shenzhen-2025-12-14;10597922;3;D37
Bu, Xiangzhi;2587;Ding, Liren;2747.0;1/2-1/2;43;Shenzhen;2025-12-13;bu-ding-r2.4-shenzhen-2025-12-13;10597497;3;A46
Ding, Liren;2747;Bu, Xiangzhi;2587.0;1-0;37;Shenzhen;2025-12-13;ding-bu-r2.3-shenzhen-2025-12-13;10597493;3;A15
Bu, Xiangzhi;2587;Ding, Liren;2747.0;1/2-1/2;29;Shenzhen;2025-12-13;bu-ding-r2.2-shenzhen-2025-12-13;10597489;3;A46
Ding, Liren;2747;Bu, Xiangzhi;2587.0;1/2-1/2;34;Shenzhen;2025-12-13;ding-bu-r2.1-shenzhen-2025-12-13;10597485;3;A15
Nihal, Sarin;2701;Abdisalimov, Abdimalik;2561.0;1-0;28;Tashkent;2025-12-12;nihal-abdisalimov-r9-tashkent-2025-12-12;10597111;1;C00
Yakubboev, Nodirbek;2564;Fedoseev, Vladimir1;2752.0;0-1;49;Khankendi;2025-12-11;yakubboev-fedoseev-r10-khankendi-2025-12-11;10597065;2;E12
Suleymanli, Aydin Elshan;2584;Nepomniachtchi, Ian;2801.0;0-1;37;Khankendi;2025-12-11;suleymanli-nepomniachtchi-r10-khankendi-2025-12-11;10597063;2;B51
Vokhidov, Shamsiddin;2641;Nihal, Sarin;2701.0;0-1;51;Tashkent;2025-12-11;vokhidov-nihal-r8-tashkent-2025-12-11;10597060;1;C64
Fedoseev, Vladimir1;2752;Suleymanli, Aydin Elshan;2584.0;1-0;40;Khankendi;2025-12-11;fedoseev-suleymanli-r9-khankendi-2025-12-11;10597057;2;D45
Nepomniachtchi, Ian;2801;Tabatabaei, Mohammad Amin;2565.0;1-0;49;Khankendi;2025-12-11;nepomniachtchi-tabatabaei-r9-khankendi-2025-12-11;10597056;2;D36
Nepomniachtchi, Ian;2801;Fedoseev, Vladimir1;2752.0;1/2-1/2;50;Khankendi;2025-12-11;nepomniachtchi-fedoseev-r8-khankendi-2025-12-11;10597052;2;C42
Fedoseev, Vladimir1;2752;Tabatabaei, Mohammad Amin;2565.0;1-0;57;Khankendi;2025-12-11;fedoseev-tabatabaei-r7-khankendi-2025-12-11;10597047;2;D37
Mamedov, Rauf;2612;Nepomniachtchi, Ian;2801.0;1/2-1/2;28;Khankendi;2025-12-11;mamedov-nepomniachtchi-r7-khankendi-2025-12-11;10597043;2;C42
Nepomniachtchi, Ian;2801;Yakubboev, Nodirbek;2564.0;1-0;62;Khankendi;2025-12-11;nepomniachtchi-yakubboev-r6-khankendi-2025-12-11;10597042;2;C55
Fedoseev, Vladimir1;2752;Mamedov, Rauf;2612.0;1/2-1/2;18;Khankendi;2025-12-11;fedoseev-mamedov-r6-khankendi-2025-12-11;10597040;2;D32
Nepomniachtchi, Ian;2801;Suleymanli, Aydin Elshan;2584.0;0-1;69;Khankendi;2025-12-11;nepomniachtchi-suleymanli-r5-khankendi-2025-12-11;10597039;2;C88
Fedoseev, Vladimir1;2752;Yakubboev, Nodirbek;2564.0;1-0;29;Khankendi;2025-12-11;fedoseev-yakubboev-r5-khankendi-2025-12-11;10597037;2;D37
Suleymanli, Aydin Elshan;2584;Fedoseev, Vladimir1;2752.0;1/2-1/2;70;Khankendi;2025-12-11;suleymanli-fedoseev-r4-khankendi-2025-12-11;10597035;2;C50
Tabatabaei, Mohammad Amin;2565;Nepomniachtchi, Ian;2801.0;1/2-1/2;69;Khankendi;2025-12-11;tabatabaei-nepomniachtchi-r4-khankendi-2025-12-11;10597034;2;C42
Fedoseev, Vladimir1;2752;Nepomniachtchi, Ian;2801.0;0-1;30;Khankendi;2025-12-11;fedoseev-nepomniachtchi-r3-khankendi-2025-12-11;10597031;2;E06
Nepomniachtchi, Ian;2801;Mamedov, Rauf;2612.0;1-0;55;Khankendi;2025-12-11;nepomniachtchi-mamedov-r2-khankendi-2025-12-11;10597028;2;B30
Tabatabaei, Mohammad Amin;2565;Fedoseev, Vladimir1;2752.0;0-1;36;Khankendi;2025-12-11;tabatabaei-fedoseev-r2-khankendi-2025-12-11;10597027;2;B11
Mamedov, Rauf;2612;Fedoseev, Vladimir1;2752.0;1/2-1/2;19;Khankendi;2025-12-11;mamedov-fedoseev-r1-khankendi-2025-12-11;10597025;2;C44
Yakubboev, Nodirbek;2564;Nepomniachtchi, Ian;2801.0;1-0;40;Khankendi;2025-12-11;yakubboev-nepomniachtchi-r1-khankendi-2025-12-11;10597024;2;A14
Yakubboev, Nodirbek;2558;Fedoseev, Vladimir1;2740.0;1/2-1/2;56;Khankendi;2025-12-10;yakubboev-fedoseev-r10-khankendi-2025-12-10;10597016;3;A13
Suleymanli, Aydin Elshan;2533;Nepomniachtchi, Ian;2762.0;1/2-1/2;10;Khankendi;2025-12-10;suleymanli-nepomniachtchi-r10-khankendi-2025-12-10;10597013;3;C43
Fedoseev, Vladimir1;2740;Suleymanli, Aydin Elshan;2533.0;1-0;52;Khankendi;2025-12-10;fedoseev-suleymanli-r9-khankendi-2025-12-10;10597010;3;D45
Nihal, Sarin;2701;Daneshvar, Bardiya;2600.0;1-0;91;Tashkent;2025-12-10;nihal-daneshvar-r7-tashkent-2025-12-10;10597009;1;A07
Nepomniachtchi, Ian;2762;Tabatabaei, Mohammad Amin;2579.0;1/2-1/2;16;Khankendi;2025-12-10;nepomniachtchi-tabatabaei-r9-khankendi-2025-12-10;10597006;3;D41
Nepomniachtchi, Ian;2762;Fedoseev, Vladimir1;2740.0;1-0;41;Khankendi;2025-12-10;nepomniachtchi-fedoseev-r8-khankendi-2025-12-10;10596999;3;C42
Fedoseev, Vladimir1;2740;Tabatabaei, Mohammad Amin;2579.0;1/2-1/2;52;Khankendi;2025-12-10;fedoseev-tabatabaei-r7-khankendi-2025-12-10;10596993;3;D32
Mamedov, Rauf;2610;Nepomniachtchi, Ian;2762.0;1/2-1/2;27;Khankendi;2025-12-10;mamedov-nepomniachtchi-r7-khankendi-2025-12-10;10596990;3;C42
Nepomniachtchi, Ian;2762;Yakubboev, Nodirbek;2558.0;1/2-1/2;34;Khankendi;2025-12-10;nepomniachtchi-yakubboev-r6-khankendi-2025-12-10;10596988;3;C83
Fedoseev, Vladimir1;2740;Mamedov, Rauf;2610.0;1/2-1/2;14;Khankendi;2025-12-10;fedoseev-mamedov-r6-khankendi-2025-12-10;10596986;3;D14
Nepomniachtchi, Ian;2762;Suleymanli, Aydin Elshan;2533.0;1-0;57;Khankendi;2025-12-09;nepomniachtchi-suleymanli-r5-khankendi-2025-12-09;10596979;3;B81
Fedoseev, Vladimir1;2740;Yakubboev, Nodirbek;2558.0;0-1;50;Khankendi;2025-12-09;fedoseev-yakubboev-r5-khankendi-2025-12-09;10596978;3;D37
Suleymanli, Aydin Elshan;2533;Fedoseev, Vladimir1;2740.0;0-1;49;Khankendi;2025-12-09;suleymanli-fedoseev-r4-khankendi-2025-12-09;10596975;3;C43
Tabatabaei, Mohammad Amin;2579;Nepomniachtchi, Ian;2762.0;1/2-1/2;42;Khankendi;2025-12-09;tabatabaei-nepomniachtchi-r4-khankendi-2025-12-09;10596973;3;C42
Fedoseev, Vladimir1;2740;Nepomniachtchi, Ian;2762.0;1/2-1/2;39;Khankendi;2025-12-09;fedoseev-nepomniachtchi-r3-khankendi-2025-12-09;10596967;3;D37
Madaminov, Mukhiddin;2552;Nihal, Sarin;2701.0;1-0;81;Tashkent;2025-12-09;madaminov-nihal-r6-tashkent-2025-12-09;10596962;1;C65
Nepomniachtchi, Ian;2762;Mamedov, Rauf;2610.0;1/2-1/2;34;Khankendi;2025-12-09;nepomniachtchi-mamedov-r2-khankendi-2025-12-09;10596952;3;B53
Tabatabaei, Mohammad Amin;2579;Fedoseev, Vladimir1;2740.0;0-1;32;Khankendi;2025-12-09;tabatabaei-fedoseev-r2-khankendi-2025-12-09;10596951;3;C42
Yakubboev, Nodirbek;2558;Nepomniachtchi, Ian;2762.0;0-1;38;Khankendi;2025-12-09;yakubboev-nepomniachtchi-r1-khankendi-2025-12-09;10596947;3;A14
Mamedov, Rauf;2610;Fedoseev, Vladimir1;2740.0;1/2-1/2;23;Khankendi;2025-12-09;mamedov-fedoseev-r1-khankendi-2025-12-09;10596946;3;C67
Vachier Lagrave, Maxime;2734;Erdogmus, Yagiz Kaan;2658.0;1/2-1/2;21;Monaco;2025-12-08;vachier-lagrave-erdogmus-r6-monaco-2025-12-08;10596939;1;C42
Nihal, Sarin;2701;Sargsyan, Shant;2665.0;1-0;52;Tashkent;2025-12-08;nihal-sargsyan-r5-tashkent-2025-12-08;10596931;1;A46
Adams, Michael;2629;Dominguez Perez, Leinier;2703.0;1/2-1/2;34;London;2025-12-07;adams-dominguez-perez-r10-london-2025-12-07;10596856;3;C65
Firouzja, Alireza;2754;Kovchan, Alexander;2463.0;1-0;35;London;2025-12-07;firouzja-kovchan-r10-london-2025-12-07;10596855;3;A41
Abdusattorov, Nodirbek;2717;Theodorou, Nikolas;2581.0;0-1;49;London;2025-12-07;abdusattorov-theodorou-r10-london-2025-12-07;10596854;3;B32
Dominguez Perez, Leinier;2703;Siva Mahadevan;2241.0;1-0;31;London;2025-12-07;dominguez-perez-siva-r9-london-2025-12-07;10596789;3;C92
