ID,READER,MINUTES,SUBSET,PROJ.,BOOK ID,CH. TITLE,PROJECT TITLE,GENRE
12312,254,4.37,train-clean-100,3399,8166,Chapter 1.LVIII.A prophetical Riddle,"Gargantua and Pantagruel, Book I",Fantasy / Sci-Fi
12359,2911,4.2,train-clean-100,3406,14293,"""Fit for Drink""",Complete Book of Cheese,Non-fiction
12529,3830,1.07,train-clean-100,3415,29543,11 - Hunting for Another Home Site,Ox-Team Days on the Oregon Trail,Non-fiction
12530,3830,9.79,train-clean-100,3415,29543,12 - Cruising About on Puget Sound,Ox-Team Days on the Oregon Trail,Non-fiction
12531,3830,6.44,train-clean-100,3415,29543,13 - Moving from the Columbia To Puget Sound,Ox-Team Days on the Oregon Trail,Non-fiction
12535,3830,6.71,train-clean-100,3415,29543,17 - Finding My People,Ox-Team Days on the Oregon Trail,Non-fiction
12761,5778,10.79,train-clean-100,3423,7882,24 - Chapter 24,Life of Kit Carson,Non-fiction
13006,4297,10.12,train-clean-100,3440,2158,"Ch 05: ""No One Knows Anything About Him""",Prime Minister,Fiction
13009,4297,14.92,train-clean-100,3440,2158,Ch 08: The Beginning of a New Career,Prime Minister,Fiction
13260,3947,11.62,train-clean-100,3466,4540,16 - Chapter 16,In His Steps,Fiction
13262,3947,10.81,train-clean-100,3466,4540,18 - Chapter 18,In His Steps,Fiction
14133,5339,10.6,train-clean-100,3503,4537,17 - The Engagement,Sylvia's Lovers,Fiction
14134,5339,14.53,train-clean-100,3503,4537,18 - Rejected Warnings,Sylvia's Lovers,Fiction
14187,4160,6.86,train-clean-100,3505,11128,08 - Chapter 08 - A Suspicious Accident,Red Thumb Mark,Mystery / Crime
15045,2911,6.23,train-clean-100,3560,6933,Intro. pt 01: Native Tribes: Divisions,Jesuits in North America in the 17th Century,Fiction
15084,2911,3.03,train-clean-100,3560,6933,"Ch 34: The End,",Jesuits in North America in the 17th Century,Fiction
15220,4340,21.97,train-clean-100,3569,3795,13 - Somebody Runs Away,Under the Lilacs,Children / Juvenile
15663,4362,25.18,train-clean-100,3592,326,04 - A Perilous Night on Shasta's Summit,Steep Trails,Non-fiction
15666,4397,5.98,train-clean-100,3592,326,07 - A Great Storm in Utah,Steep Trails,Non-fiction
15668,4397,9.0,train-clean-100,3592,326,09 - Mormon Lilies,Steep Trails,Non-fiction
15678,4397,10.07,train-clean-100,3592,326,19 - People and Towns of Puget Sound,Steep Trails,Non-fiction
15787,5688,9.3,train-clean-100,3597,1000010,"04 - Part 2, Section 2",Autobiography of Cockney Tom,Unknown
16026,4680,7.65,train-clean-100,3608,135,Bk 08 Ch 04,Miserables Vol. 4,Fiction
16041,4680,8.89,train-clean-100,3608,135,Bk 13 Ch 01-02,Miserables Vol. 4,Fiction
16042,4680,8.6,train-clean-100,3608,135,Bk 13 Ch 03-04,Miserables Vol. 4,Fiction
16882,4406,13.41,train-clean-100,3653,851,01 - part 1,Narrative of the Captivity and Restoration of Mrs. Mary Rowlandson,Fiction
16883,4406,11.71,train-clean-100,3653,851,02 - part 2,Narrative of the Captivity and Restoration of Mrs. Mary Rowlandson,Fiction
17498,4481,11.41,train-clean-100,3683,16566,01 - Prefatory; The Doyles are Astonished,Aunt Jane's Nieces Abroad,Children / Juvenile
17499,4481,11.15,train-clean-100,3683,16566,02 - Uncle John Makes Plans,Aunt Jane's Nieces Abroad,Children / Juvenile
17506,1447,7.22,train-clean-100,3683,16566,09 - Count Ferralti,Aunt Jane's Nieces Abroad,Children / Juvenile
17507,4195,7.97,train-clean-100,3683,16566,10 - The Road to Amalfi,Aunt Jane's Nieces Abroad,Children / Juvenile
18515,5163,10.54,train-clean-100,3724,6987,14 - The Island of Marken,Five Little Peppers Abroad,Children / Juvenile
19187,4640,7.7,train-clean-100,3762,135,Bk 1 Ch 2-3,Miserables Vol. 5,Fiction
19188,4640,8.07,train-clean-100,3762,135,Bk 1 Ch 4,Miserables Vol. 5,Fiction
19189,4640,9.29,train-clean-100,3762,135,Bk 1 Ch 5-6,Miserables Vol. 5,Fiction
19192,5514,9.77,train-clean-100,3762,135,Bk 1 Ch 12-13,Miserables Vol. 5,Fiction
19193,5514,7.62,train-clean-100,3762,135,Bk 1 Ch 14-15,Miserables Vol. 5,Fiction
19215,5652,11.22,train-clean-100,3762,135,Bk 5 Ch 6,Miserables Vol. 5,Fiction
19218,5393,12.77,train-clean-100,3762,135,Bk 6 Ch 1,Miserables Vol. 5,Fiction
19219,5393,12.45,train-clean-100,3762,135,Bk 6 Ch 2,Miserables Vol. 5,Fiction
19396,5192,6.65,train-clean-100,3767,1079,Chapter 38-42,"Life and Opinions of Tristram Shandy, Gentleman, Vol. 4",Fiction
19397,5192,17.49,train-clean-100,3767,1079,Chapter 43,"Life and Opinions of Tristram Shandy, Gentleman, Vol. 4",Fiction
19401,3699,5.74,train-clean-100,3767,1079,Chapter 58-59,"Life and Opinions of Tristram Shandy, Gentleman, Vol. 4",Fiction
19402,3699,6.56,train-clean-100,3767,1079,Chapter 60-63,"Life and Opinions of Tristram Shandy, Gentleman, Vol. 4",Fiction
20016,4898,9.59,train-clean-100,3788,17189,01 - Christmas Revived,"Autumn Leaves, Original Pieces in Prose and Verse",Poetry / Short Form
21625,32,3.97,train-clean-100,3844,6754,01 - A Queer Place to Live,Tale of Brownie Beaver,Children / Juvenile
21631,32,4.55,train-clean-100,3844,6754,07 - A Newfangled Newspaper,Tale of Brownie Beaver,Children / Juvenile
21634,32,3.98,train-clean-100,3844,6754,10 - A Holiday,Tale of Brownie Beaver,Children / Juvenile
22176,4859,5.83,train-clean-100,3859,2600,Chapter 15,"War and Peace, Book 15: 1812-1813",Children / Juvenile
24512,5390,10.52,train-clean-100,3926,30908,Chapter 9 - The Destruction of Jerusalem,Bible in Its Making,Non-fiction
24741,5456,2.99,train-clean-100,3935,3800,"2-05-Part II, Propositions 16 to 20",Ethics,Non-fiction
25898,4830,12.19,train-clean-100,3982,26041,06- Madam Cluck and her Family,Aunt Jo's Scrapbag,Children / Juvenile
25904,4830,11.86,train-clean-100,3982,26041,12- My May-Day Among Curious Birds and Beasts,Aunt Jo's Scrapbag,Children / Juvenile
25947,5049,25.08,train-clean-100,3985,3050,03 - The Spanish-American War: The Rough Riders at Guasimas,Notes of a War Correspondent,Fiction
26100,1970,7.44,train-clean-100,3990,22781,The Answer,32 Caliber,Fiction
26870,4859,5.67,train-clean-100,4016,2600,Chapter 08,"War and Peace, Book 16: First Epilogue 1813-1820",Children / Juvenile
27670,4853,8.24,train-clean-100,4043,22215,Chapter 3,Frozen Pirate,Fantasy / Sci-Fi
27671,4853,9.02,train-clean-100,4043,22215,Chapter 4,Frozen Pirate,Fantasy / Sci-Fi
27760,254,6.72,train-clean-100,4045,13437,Vanka,Best Russian Short Stories,Poetry / Short Form
28415,1970,8.48,train-clean-100,4064,19087,12 - In Jerusalem,King Nobody Wanted,Non-fiction
28433,3235,11.75,train-clean-100,4066,22409,07 - Going to Nome,Woman Who Went to Alaska,Non-fiction
28452,3235,7.79,train-clean-100,4066,22409,26 - Good-bye to Golovin Bay,Woman Who Went to Alaska,Non-fiction
28461,4898,15.53,train-clean-100,4067,7345,04 - The Stickeen River,Travels in Alaska,Non-fiction
29116,3607,10.25,train-clean-100,4097,3178,35 - Chapter 35,Gilded Age,Fiction
29340,4859,8.86,train-clean-100,4104,2600,Chapter 02,"War and Peace, Book 17: Second Epilogue",Children / Juvenile
29405,5022,8.98,train-clean-100,4107,3634,06 - The Return of the Portfolio,Guilty River,Fiction
29411,5022,16.14,train-clean-100,4107,3634,12 - Warned for the Last Time!,Guilty River,Fiction
29413,4853,7.78,train-clean-100,4107,3634,14 - Gloody Settles the Account,Guilty River,Fiction
30096,5390,7.2,train-clean-100,4131,10359,01 - Uncle John's Farm,Aunt Jane's Nieces at Millville,Children / Juvenile
30102,5390,7.48,train-clean-100,4131,10359,07 - Louise scents a mystery,Aunt Jane's Nieces at Millville,Children / Juvenile
33406,5104,13.37,train-clean-100,4260,24811,"13 - Part II, Eric the Red",Viking Tales,Poetry / Short Form
33407,5104,11.67,train-clean-100,4260,24811,"14 - Part II, Leif and His New Land",Viking Tales,Poetry / Short Form
34599,6209,8.55,train-clean-100,4314,12587,"031 - Part I, Book the Third, Chapter III - A Burden Makes a Rough Road Rougher",Man Who Laughs,Fiction
34600,6209,7.98,train-clean-100,4314,12587,"032 - Part I, Book the Third, Chapter IV - Another Form of Desert",Man Who Laughs,Fiction
34601,6209,8.5,train-clean-100,4314,12587,"033 - Part I, Book the Third, Chapter V - Misanthropy Plays its Pranks",Man Who Laughs,Fiction
34605,6147,9.08,train-clean-100,4314,12587,"037 - Part II, Book the First, Chapter III - The Duchess Josiana",Man Who Laughs,Fiction
34606,6147,7.27,train-clean-100,4314,12587,"038 - Part II, Book the First, Chapter IV - The Leader of Fashion",Man Who Laughs,Fiction
34607,6147,8.7,train-clean-100,4314,12587,"039 - Part II, Book the First, Chapter V - Queen Anne",Man Who Laughs,Fiction
34644,7178,17.3,train-clean-100,4314,12587,"076 - Part II, Book the Fifth, Chapter I - The Durability of Fragile Things",Man Who Laughs,Fiction
34645,7178,7.81,train-clean-100,4314,12587,"077 - Part II, Book the Fifth, Chapter II - The Waif Knows Its Own Course",Man Who Laughs,Fiction
34655,6385,7.75,train-clean-100,4314,12587,"087 - Part II, Book the Seventh, Chapter II - The Resemblance of a Palace to a Wood",Man Who Laughs,Fiction
34669,6385,7.63,train-clean-100,4314,12587,"101 - Conclusion, Chapter I - A Watch-Dog may be a Guardian Angel",Man Who Laughs,Fiction
35690,5750,5.42,train-clean-100,4356,10800,"30 - Partition 2, Section 4 , Member 1, Subsection 1",Anatomy of Melancholy Volume 2,Poetry / Short Form
36616,2764,8.29,train-clean-100,4385,2488,02 - Pros and Cons,Twenty Thousand Leagues Under the Sea (Version 2),Fantasy / Sci-Fi
36617,2764,7.83,train-clean-100,4385,2488,03 - As Master Wishes,Twenty Thousand Leagues Under the Sea (Version 2),Fantasy / Sci-Fi
36619,2764,9.07,train-clean-100,4385,2488,05 - At Random!,Twenty Thousand Leagues Under the Sea (Version 2),Fantasy / Sci-Fi
39173,5463,13.65,train-clean-100,4471,2860,"21 - Why Puck, the Pony, Was Beaten",Framley Parsonage,Fiction
39174,5463,11.35,train-clean-100,4471,2860,22 - Hogglestock Parsonage,Framley Parsonage,Fiction
39621,5561,6.94,train-clean-100,4485,2609,07 - Parry,Vicomte De Bragelonne,Fiction
39921,5163,13.03,train-clean-100,4490,24874,Why Mr. Cropper Changed His Mind,"Lucy Maud Montgomery Short Stories, 1902 to 1903",Poetry / Short Form
39938,5652,13.82,train-clean-100,4491,22775,The General Methods of Psychotherapy,Psychotherapy,Non-fiction
39947,1355,22.31,train-clean-100,4491,22775,Psychotherapy and The Community,Psychotherapy,Non-fiction
41232,5688,15.88,train-clean-100,4545,13610,28 Appendix A: The Influence of Menstruation on the Position of Women,"Studies in the Psychology of Sex, Volume One",Non-fiction
41611,587,6.96,train-clean-100,4557,17811,11 - Worries and Plans,"Grace Harlowe's Junior Year at High School; or, Fast Friends in the Sororities",Children / Juvenile
41615,5561,9.19,train-clean-100,4557,17811,"15 - A Would-Be ""Lark""","Grace Harlowe's Junior Year at High School; or, Fast Friends in the Sororities",Children / Juvenile
41616,5561,7.73,train-clean-100,4557,17811,16 - The Juniors Forever,"Grace Harlowe's Junior Year at High School; or, Fast Friends in the Sororities",Children / Juvenile
41619,587,6.53,train-clean-100,4557,17811,19 - The Try Out,"Grace Harlowe's Junior Year at High School; or, Fast Friends in the Sororities",Children / Juvenile
41997,6081,8.62,train-clean-100,4570,4071,14,Monsieur Lecoq Part 1: The Inquiry,Mystery / Crime
41998,6081,8.96,train-clean-100,4570,4071,15,Monsieur Lecoq Part 1: The Inquiry,Mystery / Crime
42010,6081,7.53,train-clean-100,4570,4071,27,Monsieur Lecoq Part 1: The Inquiry,Mystery / Crime
43301,5678,6.5,train-clean-100,4617,14021,"07 - Book 1 - The Advent: Chapter 3, Part 1",Lord of the World,Fantasy / Sci-Fi
43302,5678,9.78,train-clean-100,4617,14021,"08 - Book 1 - The Advent: Chapter 3, Part 2",Lord of the World,Fantasy / Sci-Fi
43303,5678,8.83,train-clean-100,4617,14021,"09 - Book 1 - The Advent: Chapter 3, Part 3",Lord of the World,Fantasy / Sci-Fi
47198,5703,13.72,train-clean-100,4763,9746,02 Chapter II,Ashiel Mystery - A Detective Story,Mystery / Crime
47212,5703,11.38,train-clean-100,4763,9746,16 Chapter XVI,Ashiel Mystery - A Detective Story,Mystery / Crime
47246,3699,7.42,train-clean-100,4765,17780,Amos Barton - 04,Scenes of Clerical Life,Fiction
47824,118,15.47,train-clean-100,4784,10869,13 - The Amazing Meeting in the Shadows of the Old Courtyard - part 1,Abandoned Room,Mystery / Crime
48608,5808,13.3,train-clean-100,4813,3438,35 - Three Hundred and Forty-seventh Night to Three Hundred and Fiftieth Night,"Book of A Thousand Nights and a Night (Arabian Nights), Volume 04",Children / Juvenile
48852,5867,23.63,train-clean-100,4820,4599,54 - The Second Visit to the Guestwick Bridge,Small House at Allington,Fiction
54007,6078,11.24,train-clean-100,5023,1751,05 - Ill-Luck and the Fiddler,Twilight Land,Children / Juvenile
54013,6078,13.78,train-clean-100,5023,1751,11 - The Fruit of Happiness,Twilight Land,Children / Juvenile
54108,587,11.72,train-clean-100,5031,1839,Chapter XV,Other Things Being Equal,Fiction
54425,5808,11.86,train-clean-100,5053,17854,14 - Frankenstein,Sport of the Gods,Fiction
54535,5778,11.03,train-clean-100,5058,32628,25 - James McNeill Whistler,Child's Book of American Biography,Non-fiction
55211,6000,13.56,train-clean-100,5084,362,A Girl and a Bit of Lowestoft,Miss Billy's Decision,Fiction
56165,6064,8.3,train-clean-100,5121,34944,10 - A Sophomore,"Brenda, Her School and Her Club",Children / Juvenile
56168,6064,7.92,train-clean-100,5121,34944,13 - Great Expectations,"Brenda, Her School and Her Club",Children / Juvenile
57158,5789,8.46,train-clean-100,5163,5118,15 - Volume I Chapter 15,American Senator,Fiction
57195,5789,8.56,train-clean-100,5163,5118,52 - Volume II Chapter 25,American Senator,Fiction
57446,6476,19.0,train-clean-100,5171,13015,"The Eta Maiden and the Hatamoto, part 2",Tales of Old Japan,Children / Juvenile
58161,5456,5.81,train-clean-100,5208,18734,"Diamond Wedding, The","Wit and Humor of America, Vol 03",Poetry / Short Form
59157,7148,8.83,train-clean-100,5244,12600,08 - Ch.5.i - Keats: 1. The Biography,Old and New Masters,Fiction
59171,7402,10.65,train-clean-100,5244,12600,22 - Ch.16 - Mr Bernard Shaw,Old and New Masters,Fiction
61334,6531,21.46,train-clean-100,5317,16653,21 - Chapter 17: The Hebrews in Assyrian Historical fiction,Myths of Babylonia and Assyria,Fantasy / Sci-Fi
61803,6836,9.04,train-clean-100,5326,35587,099 - Attempted Murder and Suicide.,Headless Horseman - A Strange Tale of Texas,Fiction
61804,6836,8.56,train-clean-100,5326,35587,100 - Joy.,Headless Horseman - A Strange Tale of Texas,Fiction
62014,5456,2.52,train-clean-100,5333,19323,The Woman Who Married an Owl,"Wit and Humor of America, Vol 05",Poetry / Short Form
62043,5456,8.44,train-clean-100,5333,19323,A Bully Boat and a Brag Captain,"Wit and Humor of America, Vol 05",Poetry / Short Form
62554,6529,13.33,train-clean-100,5350,1268,47 - Volume III Chapter 5,Mysterious Island (version 2),Fantasy / Sci-Fi
62556,6529,11.71,train-clean-100,5350,1268,49 - Volume III Chapter 7,Mysterious Island (version 2),Fantasy / Sci-Fi
63821,6563,11.14,train-clean-100,5397,20064,"Peter Force, Printer",Captains of Industry,Non-fiction
65536,6367,17.34,train-clean-100,5458,24876,In the Old Valley,"Lucy Maud Montgomery Short Stories, 1905-1906",Poetry / Short Form
66172,6437,10.51,train-clean-100,5487,1948,09 - I Become an R. M. C.,Story of a Bad Boy,Children / Juvenile
66173,6437,14.58,train-clean-100,5487,1948,10 - I Fight Conway,Story of a Bad Boy,Children / Juvenile
67153,3242,8.25,train-clean-100,5517,21959,03 - Letter 3,Letters from a Self-Made Merchant to His Son,Fiction
67168,3242,7.98,train-clean-100,5517,21959,18 - Letter 18,Letters from a Self-Made Merchant to His Son,Fiction
68772,6818,11.63,train-clean-100,5579,13110,13 - THE BOOMERANG,Aunt Jane's Nieces at Work,Children / Juvenile
70168,6272,7.31,train-clean-100,5635,12347,11 - Chapter XI,Morgesons,Fiction
70171,6272,9.4,train-clean-100,5635,12347,14 - Chapter XIV,Morgesons,Fiction
70191,6272,8.43,train-clean-100,5635,12347,34 - Chapter XXXIV,Morgesons,Fiction
70653,5789,8.13,train-clean-100,5662,21854,The Inquest,Trent's Last Case (Version 2),Mystery / Crime
72637,4267,7.58,train-clean-100,5754,25493,Durham,Cathedral Courtship,Fiction
74004,6367,7.7,train-clean-100,5801,24877,The Old Fellow's Letter,"Lucy Maud Montgomery Short Stories, 1907-1908",Poetry / Short Form
76047,7067,11.85,train-clean-100,5864,1734,13 - Ch Sixth Sec 6,Secret Places of the Heart,Fiction
76048,7067,13.33,train-clean-100,5864,1734,14 - Ch Seventh Sec 1-3,Secret Places of the Heart,Fiction
76049,6848,8.19,train-clean-100,5864,1734,15 - Ch Seventh Sec 4-6,Secret Places of the Heart,Fiction
76250,4441,8.45,train-clean-100,5874,37039,09 - Bills of Exchange,Red Room,Fiction
76262,4441,7.62,train-clean-100,5874,37039,21 - A Soul Overboard,Red Room,Fiction
76263,4441,8.98,train-clean-100,5874,37039,22 - Hard Times,Red Room,Fiction
76332,6818,13.54,train-clean-100,5878,30905,15 - The Stranger at the Door,Boarded Up House,Children / Juvenile
76549,6836,7.42,train-clean-100,5887,5136,"IV: From the Great Plains to the Atlantic, Part 2","Around the World on a Bicycle, Vol. 1",Non-fiction
77897,7059,7.57,train-clean-100,5943,7502,09 - Chapter 9,Annie Kilburn,Fiction
77900,7059,9.35,train-clean-100,5943,7502,12 - Chapter 12,Annie Kilburn,Fiction
78186,4267,8.64,train-clean-100,5955,24432,"Road to a Woman's Heart, The","Wit and Humor of America, Vol 08",Poetry / Short Form
80680,6925,17.07,train-clean-100,6056,27826,06 - Jackal or Tiger?,Olive Fairy Book,Children / Juvenile
82991,7148,8.13,train-clean-100,6132,2866,02 - Chapter II,"Windsor Castle, Book 1",Fiction
83618,7505,5.18,train-clean-100,6151,19347,17-Chapter 6. Part 2,Myths of the New World,Fantasy / Sci-Fi
86041,7113,25.2,train-clean-100,6228,3282,25 - Rubezahl,Brown Fairy Book,Children / Juvenile
86686,6000,4.48,train-clean-100,6262,35862,12 - King O'Toole and His Goose,Celtic Folk and Fairy Tales,Children / Juvenile
86737,7367,25.13,train-clean-100,6263,1184,Chapter XXXIII - Roman Bandits Part 1,Count of Monte Cristo (version 2),Fiction
86814,7302,9.76,train-clean-100,6263,1184,Chapter CVII - The Lions' Den,Count of Monte Cristo (version 2),Fiction
86815,7302,15.33,train-clean-100,6263,1184,Chapter CVIII - The Judge,Count of Monte Cristo (version 2),Fiction
86964,7226,14.13,train-clean-100,6269,38556,"09 - The Rock River, CHAPTER VII.  Storm-Bound at Erie",Historic Waterways,Non-fiction
86965,7226,10.92,train-clean-100,6269,38556,"10 - The Rock River, CHAPTER VIII. The Last Day Out",Historic Waterways,Non-fiction
88364,7059,8.11,train-clean-100,6329,13029,CHAPTER XVI - CALIFORNIA AND AMERICA,Art of the Moving Picture,Other
90542,7190,16.48,train-clean-100,6419,34468,02 - The Identity of the Final Victim,Christopher Quarles College Professor and Master Detective,Mystery / Crime
90543,7190,8.74,train-clean-100,6419,34468,03 - The Riddle of the Circular Counters,Christopher Quarles College Professor and Master Detective,Mystery / Crime
90848,7402,14.36,train-clean-100,6433,19207,07 - THE LOST HALF-HOUR,Firelight Fairy Book,Children / Juvenile
91083,7278,8.9,train-clean-100,6442,35950,26 - Geo. W. Childs,Lives of Poor Boys Who Became Famous,Non-fiction
91186,7447,9.3,train-clean-100,6448,18284,06 - The Piano and Piano Players,For Every Music Lover,Other
91187,7447,15.94,train-clean-100,6448,18284,07 - The Poetry and Leadership of Chopin,For Every Music Lover,Other
91208,4788,8.22,train-clean-100,6450,15268,His Work in Philosophy,John Stuart Mill; His Life and Works,Non-fiction
92310,7264,7.02,train-clean-100,6499,18018,05 - Chapter 5,Free Press,Mystery / Crime
92314,7264,7.07,train-clean-100,6499,18018,09 - Chapter 9,Free Press,Mystery / Crime
92316,7264,9.32,train-clean-100,6499,18018,11 - Chapter 11,Free Press,Mystery / Crime
92432,7312,5.44,train-clean-100,6502,8642,Letter from Hon. Lewis Cass Jr.,Woman in the Nineteenth Century,Fiction
92939,696,9.5,train-clean-100,6518,25652,Edith Cavell,Treasury of Heroes and Heroines,Other
93314,696,15.61,train-clean-100,6530,39324,"13 The Lover, The Girl and The Onlooker",Literary Sense,Fiction
93938,6454,8.25,train-clean-100,6563,25333,11 The Letters Change Hands Again,Great K. & A. Train-Robbery,Fiction
94904,4788,9.37,train-clean-100,6608,5669,07 - Chapter 4A,Considerations on Representative Government,Non-fiction
96661,6476,6.16,train-clean-100,6675,2395,Part 1 Ch. 4: The Assembling of the Heroes and the Building of the Ships,Golden Fleece and the Heroes Who Lived Before Achilles,Fantasy / Sci-Fi
100289,5750,19.65,train-clean-100,6794,27448,08 - Chapter 8 - The Indian in College and the Professions,Indian To-day,Non-fiction
100429,7517,7.45,train-clean-100,6800,5803,09 - The Pond,Not That It Matters,Non-fiction
100437,7517,8.24,train-clean-100,6800,5803,17 - A Household Book,Not That It Matters,Non-fiction
