Subject,Predicate,Object
http://example.org/lovecraft#Stygian:_Reign_of_the_Old_Ones,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/lovecraft#Work
http://example.org/lovecraft#Cgfthgnmoth,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/lovecraft#DeceasedInMythos
http://example.org/lovecraft#Dark_One_%28Cthulhu_Dark_Ages%29,http://example.org/lovecraft#wasCreatedByC,Stéphane Gesbert
http://example.org/lovecraft#H._P._Lovecrafts_The_Colour_Out_of_Space,http://example.org/lovecraft#hasAnnotation,"Gou Tanabe Gou Tanabe Japanese Kadokawa Corporation Release Date 2015 Media Type Manga is a manga written and illustrated by Gou Tanabe which was published by Kadokawa Corporation in 2015. It is an adaptation of "" The Colour Out of Space "" by Howard Phillips Lovecraft . The manga has not to date been translated by a in into an English- version."
http://example.org/lovecraft#Mindy_Nguyen,http://example.org/lovecraft#ceasedOnC,2020
http://example.org/lovecraft#Bizarre_Adventures_Vol_1_33,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/lovecraft#ComicBooks
http://example.org/lovecraft#Cruelty,http://example.org/lovecraft#hasCountryOfOriginW,United States
http://example.org/lovecraft#H._P._Lovecrafts_Dunwich,http://www.w3.org/2000/01/rdf-schema#label,H. P. Lovecraft's Dunwich
http://example.org/lovecraft#Valley_Beyond_the_Stars,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/lovecraft#ComicBooks
http://example.org/lovecraft#Camp_Sunny,http://example.org/lovecraft#hasAuthorW,http://example.org/lovecraft#Paul_Fricker
http://example.org/lovecraft#Two_Haikus,http://example.org/lovecraft#hasAnnotation,"Michael Balletti English Rogue Planet Press Lovecraftiana Vol 5, Issue 4 date 2021  "" "" is a Lovecraftian short work by Michael Balletti, first published in Vol 5, Issue 4 of the Lovecraftiana zine. As might be deduced from the title, it consists of a pair of haikus, a form of very short poetry which originated in Japan."
http://example.org/lovecraft#Sktai,http://example.org/lovecraft#hasAffiliationC,http://example.org/lovecraft#Cthulhu
http://example.org/lovecraft#The_Worm_of_Urakhu,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/lovecraft#MythosLiterature
http://example.org/lovecraft#The_Keeper_of_the_Key,http://example.org/lovecraft#isInLanguageW,English
http://example.org/lovecraft#Spawn_of_the_Green_Abyss,http://example.org/lovecraft#hasDistinctionC,swell
http://example.org/lovecraft#Tomb_Herd,http://example.org/lovecraft#wasCreatedByC,http://example.org/lovecraft#Ramsey_Campbell
http://example.org/lovecraft#Hear_My_Call,http://example.org/lovecraft#hasAuthorW,http://example.org/lovecraft#Mark_A._Mihalko
http://example.org/lovecraft#Sngac,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/lovecraft#ExtraDimensionalCharacters
http://example.org/lovecraft#The_Experiment,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/lovecraft#OtherAuthors
http://example.org/lovecraft#Tiamat_%28IDW_Comics%29,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/lovecraft#Character
http://example.org/lovecraft#Spider_of_Leng,http://example.org/lovecraft#hasAnnotation,The spiders of leng are sentient cannibalistic creatures in the cthulhu mythos . They first appeared in lovecraft's novella the dream-quest of unknown kadath . The spiders are capable of spinning webs to disable their victims . They also possess a venomous bite of great potency .
http://example.org/lovecraft#The_Plain_of_Sound,http://example.org/lovecraft#isPublishedAsW,Less Welcome Tenants
http://example.org/lovecraft#The_Abominations_Of_Nephren-Ka,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/lovecraft#Work
http://example.org/lovecraft#Silurian,http://example.org/lovecraft#hasAnnotation,"The silurians ( adj : doctor who and the silurians ) are a fictional species created by malcolm hulke for the sci-fi television series doctor who . They are evolutionarily related to the aquatic sea devils, both species being collectively known as earth reptiles ."
http://example.org/lovecraft#The_Chronology_Out_of_Time,http://example.org/lovecraft#hasCountryOfOriginW,United States
http://example.org/lovecraft#hasAlternativeNamesC,http://www.w3.org/2000/01/rdf-schema#label,hasAlternativeNamesC
http://example.org/lovecraft#Krang,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/lovecraft#MythosCharacters
http://example.org/lovecraft#The_Boonieman,http://www.w3.org/2000/01/rdf-schema#label,The Boonieman
http://example.org/lovecraft#The_Horror_at_Oakdeene_and_Others,http://example.org/lovecraft#hasCountryOfOriginW,United States
http://example.org/lovecraft#Evil_Dead_2:_The_Revenge_of_Hitler,http://example.org/lovecraft#hasAuthorW,Ian Edginton
http://example.org/lovecraft#Agnes_Baker,http://example.org/lovecraft#hasAnnotation,Agnes was a waitress at a small-time arkham diner when she fell from the ladder and hit her head . The trauma to her head had unlocked memories of a past life in a strange place called hyperborea . She has since gone on to feature in other arkham horror files lines of cthulhu mythos -related games and fiction .
http://example.org/lovecraft#Cgfthgnmoth,http://www.w3.org/2000/01/rdf-schema#label,Cgfthgnm'o'th
http://example.org/lovecraft#Animiculi,http://example.org/lovecraft#hasAnnotation,"Sociocultural Characteristics Antarctica Great Old Ones / Outer Gods Real World Information First appearance EXP : Beyond the Mountains of Madness Created by Charles and Janyce Engan The are entities created by Charles and Janyce Engan for Chaosium 's Call of Cthulhu tabletop roleplaying game. They made their first appearance in the scenario supplement Beyond the Mountains of Madness in 1999. Description The are severed pieces of a deceased Outer God or Great Old One caught in something called the "" God Trap "", a mystical device located somewhere in the Antarctic . who manage to worm their way out of the God Trap become abraded to the point that they appear to be little more than black opal-like cysts. These cysts can reform into when exposed to heat."
http://example.org/lovecraft#Brian_Yuzna,http://example.org/lovecraft#hasNationalityR,United States
http://example.org/lovecraft#Boojum_%28story%29,http://example.org/lovecraft#wasPublishedOnW,2008
http://example.org/lovecraft#Nahum_Gardner,http://www.w3.org/2000/01/rdf-schema#label,Nahum Gardner
http://example.org/lovecraft#Marc_Laidlaw,http://example.org/lovecraft#hasAnnotation,"Connection to the Mythos Author Birth Date 3 August 1960 Laguna Beach, California, USA United States https://www.marclaidlaw.com/ (born 3 August 1960) is an American author, games writer, and occasional poet and artist. He is perhaps best known for his extensive writing for the Half-Life series of video games by Valve, having been involved with four instalments of the franchise. He has also written a number of Lovecraftian stories, which have been published in anthologies such as Lovecraft Unbound , New Cthulhu: The Recent Weird , New Cthulhu 2: More Recent Weird , and Deepest, Darkest Eden , as well as the fanzine The Cthulhu Codex . Bibliography ""The Vicar of R'lyeh"" (2007) "" Leng "" (2009) External Links at Wikipedia at the Internet Speculative Fiction Database at Goodreads"
http://example.org/lovecraft#Musketeers_vs._Cthulhu,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/lovecraft#GamingSupplements
http://example.org/lovecraft#Cthulhu_Invictus,http://example.org/lovecraft#hasGenreW,Horror
http://example.org/lovecraft#The_Worlds_of_H._P._Lovecraft:_The_Shadow_Over_Innsmouth,http://www.w3.org/2000/01/rdf-schema#label,The Worlds of H. P. Lovecraft: The Shadow Over Innsmouth
http://example.org/lovecraft#Doug_Lyons,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/lovecraft#GamesAndAdaptations
http://example.org/lovecraft#Blood_Will_Have_Its_Season,http://example.org/lovecraft#wasReleasedOnW,August 2009
http://example.org/lovecraft#Call_of_Cthulhu:_Beyond_the_Mountains_of_Madness,http://www.w3.org/2000/01/rdf-schema#label,Call of Cthulhu: Beyond the Mountains of Madness
http://example.org/lovecraft#The_Music_of_Erich_Zann,http://www.w3.org/2000/01/rdf-schema#label,The Music of Erich Zann
http://example.org/lovecraft#Raymond_Dirk,http://www.w3.org/2000/01/rdf-schema#label,Raymond Dirk
http://example.org/lovecraft#Don_DAmmassa,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/lovecraft#Critics
http://example.org/lovecraft#De_Horrore_Cosmico,http://example.org/lovecraft#hasAuthorW,Various
http://example.org/lovecraft#Sherlock_Holmes,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/lovecraft#Character
http://example.org/lovecraft#Cerberus,http://example.org/lovecraft#hasAffiliationC,Olympians (Greek Gods)
http://example.org/lovecraft#League_of_Light,http://example.org/lovecraft#hasNotableMemberO,http://example.org/lovecraft#Cybil
http://example.org/lovecraft#S._Petersens_Field_Guide_to_Lovecraftian_Horrors,http://example.org/lovecraft#hasAuthorW,http://example.org/lovecraft#Lynn_Willis
http://example.org/lovecraft#World_War_Cthulhu:_Europe_Ablaze,http://example.org/lovecraft#wasReleasedOnW,2014
http://example.org/lovecraft#Mollie_L._Burleson,http://example.org/lovecraft#isConnectedToMythosR,Author
http://example.org/lovecraft#Secrets_of_Kenya,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/lovecraft#Ebooks
http://example.org/lovecraft#The_Monster-God_of_Mamurth,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/lovecraft#Work
http://example.org/lovecraft#Yabou,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/lovecraft#OtherSupernaturalBeings
http://example.org/lovecraft#Crypt_of_Cthulhu_Lammas_1982,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/lovecraft#Work
http://example.org/lovecraft#Triffid,http://example.org/lovecraft#madeFirstAppearanceOnC,The Day of the Triffids
http://example.org/lovecraft#The_Storm_Cellar,http://example.org/lovecraft#isPublishedAsW,Madness
http://example.org/lovecraft#Tony_Morgan,http://example.org/lovecraft#hasAlternativeNamesC,The Bounty Hunter
http://example.org/lovecraft#Black_Wings,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/lovecraft#Work
http://example.org/lovecraft#Shuggon,http://example.org/lovecraft#hasAnnotation,"Earth Also known as Altuan (unconfirmed) Altuas (unconfirmed) Continent Created by Lin Carter is an ancient continent created by the late American author Lin Carter for his Cthulhu Mythos works. Overview In the Cthulhu Mythos works of Lin Carter related to Hyperborea , is the ancient continent of the Mesozoic serpent people destroyed in a cataclysm c.65 million B.C.E. which caused the surviving serpent people to migrate to Elder Valusia and aided in the extinction of the dinosaurs. is named in the Necronomicon but goes unnamed in most other texts. It may also be the same as Altuas or Altuan ."
http://example.org/lovecraft#The_Wendigo_%28story%29,http://example.org/lovecraft#hasAuthorW,http://example.org/lovecraft#Algernon_Blackwood
"http://example.org/lovecraft#Gretchens_Wood:_and_Other_Lovecraftian_Tales_of_Terror_in_Columbiana_County,_Ohio",http://example.org/lovecraft#hasCountryOfOriginW,United States
http://example.org/lovecraft#Hyperion_Hotel,http://www.w3.org/2000/01/rdf-schema#label,Hyperion Hotel
http://example.org/lovecraft#Ex_Astoria,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/lovecraft#Work
http://example.org/lovecraft#Nathaire,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/lovecraft#OtherSupernaturalBeings
http://example.org/lovecraft#Cult_of_the_Spider_Queen,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/lovecraft#OtherAuthors
http://example.org/lovecraft#The_Thing_on_the_Roof,http://example.org/lovecraft#hasCountryOfOriginW,United States
http://example.org/lovecraft#Shuma-Gorath,http://example.org/lovecraft#hasAlternativeNamesC,Mr. Tentacles
http://example.org/lovecraft#Hydra_%28short_story%29,http://example.org/lovecraft#isInLanguageW,English
http://example.org/lovecraft#Salem_Hawley_%28series%29,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/lovecraft#MythosLiterature
http://example.org/lovecraft#Gray_Man,http://example.org/lovecraft#madeFirstAppearanceOnC,issue #11
http://example.org/lovecraft#Keeping_it_Under_Wraps,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/lovecraft#OtherAuthors
http://example.org/lovecraft#Quachil_Uttaus,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/lovecraft#MythosCharacters
http://example.org/lovecraft#Chorazin,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/lovecraft#Disambiguations
http://example.org/lovecraft#Houses_Under_the_Sea,http://example.org/lovecraft#hasAnnotation,"Caitlin R. Kiernan English Robinson The Mammoth Book of Best New Horror: Volume 18 date October 2007  """" is a short story by Caitlin R. Kiernan , originally published in the 2007 anthology The Mammoth Book of Best New Horror: Volume 18 . It takes the form of a journalist's reminiscences about his affair with Jacova Angevine, a cult leader who led a mass suicide into the Pacific Ocean . The story was reprinted in Thrillers 2 (2007) and Lovecraft Unbound: Twenty Stories (2009). It was included in Kiernan's collections Two Worlds and In Between: The Best of Caitlin R. Kiernan (2011) and The Very Best of Caitlin R. Kiernan (2019). It is the title story of Kiernan's Lovecraftian collection, : Mythos Tales (2018)."
http://example.org/lovecraft#Fragments_from_the_Journal_of_a_Solitary_Man,http://example.org/lovecraft#isPublishedAsW,Other Pieces
http://example.org/lovecraft#A_Subtler_Magick:_The_Writings_and_Philosophy_of_H._P._Lovecraft,http://example.org/lovecraft#wasReleasedOnW,October 1996
http://example.org/lovecraft#Arkham_Sanitarium_%28Call_of_Cthulhu%29,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/lovecraft#OtherAuthors
http://example.org/lovecraft#Benoni_Phillips,http://example.org/lovecraft#diedOnR,29 August 1852
http://example.org/lovecraft#Ursula_Downs,http://example.org/lovecraft#hasAppearanceC,http://example.org/lovecraft#Eldritch_Horror
http://example.org/lovecraft#The_Best_of_Lovecraftiana,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/lovecraft#Work
http://example.org/lovecraft#Thaumaturgical_Prodigies_in_the_New-England_Canaan,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/lovecraft#MythosLiterature
http://example.org/lovecraft#Fall_of_Cthulhu_Volume_2:_The_Gathering,http://example.org/lovecraft#hasAnnotation,Fall of cthulhu volume 3: the gray man is a comic book omnibus collecting issues 5 - 10 of michael alan nelson's fall of cthulhu series . The overarching plot involves mr. arkham gathering the beings known as the horsemen of nyarlathotep to his service .
http://example.org/lovecraft#The_Studies_of_Dr._Reid,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/lovecraft#OtherAuthors
http://example.org/lovecraft#Dagon_%28Armand_Rosamilia%29,http://example.org/lovecraft#hasGenreW,Weird fiction
http://example.org/lovecraft#Seabury_Quinn,http://example.org/lovecraft#hasBirthplaceR,USA D.C. Washington
http://example.org/lovecraft#Children_of_Sthanee,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/lovecraft#Character
http://example.org/lovecraft#Dreams_of_a_Diseased_Mind,http://example.org/lovecraft#hasAnnotation,"Steve Lines English Tenoka Press In Lovecraft's Shadow date March 2007 "" "" is a short Cthulhu Mythos piece by the late , artist and editor Steve Lines . It was published in Ron Shiflet 's short-lived fanzine In Lovecraft's Shadow by Tenoka Press in March 2007. Overview Part Cthulhu Mythos story, part biography, """" reads as more akin to an 's description, the likes of which frequently precede published works. It gives a fictional account of Lines' childhood, which purportedly included encounters with a Polynesian Cthulhu cult and the government agency Delta Green , as well as sojourns in the Severn Valley and Innsmouth , before describing his real-world pursuits as an adult: mentions include his editorial work, musical achievements, and history as a ."
http://example.org/lovecraft#Cthulhu_Cultus_Issue_11,http://example.org/lovecraft#hasAuthorW,Various
http://example.org/lovecraft#Crypt_of_Cthulhu,http://example.org/lovecraft#hasAnnotation,The crypt of cthulhu was a fanzine devoted to the writings of h. p. lovecraft . It was formally established in 1981 by robert m. price . Lovecraft scholarship was always a mainstay .
http://example.org/lovecraft#The_Second_Wish,http://example.org/lovecraft#wasPublishedOnW,1980
http://example.org/lovecraft#Autophagia,http://example.org/lovecraft#hasAuthorW,http://example.org/lovecraft#Tyler_Omichinski
http://example.org/lovecraft#The_Thing_from_the_Blasted_Heath,http://example.org/lovecraft#wasWrittenOnW,September 1967
http://example.org/lovecraft#The_Plague_of_St._James_Infirmary,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/lovecraft#OtherAuthors
http://example.org/lovecraft#Witch_Fire,http://example.org/lovecraft#hasAuthorW,http://example.org/lovecraft#Scott_T._Goudsward
http://example.org/lovecraft#The_Nameless_City,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/lovecraft#MythosLiterature
http://example.org/lovecraft#Cthulhu_Tales_Vol._2,http://example.org/lovecraft#hasAuthorW,various
http://example.org/lovecraft#The_Terrible_Old_Man,http://example.org/lovecraft#hasGenreW,Horror short story
http://example.org/lovecraft#Carter_%26_Lovecraft,http://example.org/lovecraft#hasAnnotation,"Jonathan L. Howard English Thomas Dunne Books Release Date 2015 317 Followed by After the End of the World is a novel by Jonathan L. Howard , published in 2015 by Thomas Dunne Books, that combines the noir and Cthulhu Mythos genres. The story teams Daniel Carter, a former homicide detective turned PI, with Emily Lovecraft, a Providence bookstore owner and the last descendant of H. P. Lovecraft --whose works turn out to be far from fictional. It was followed by a sequel, After the End of the World ."
http://example.org/lovecraft#The_Worlds_of_H._P._Lovecraft:_The_Lurking_Fear,http://example.org/lovecraft#isInLanguageW,English
http://example.org/lovecraft#Shaklatal,http://example.org/lovecraft#hasAnnotation,"Also known as The Eye of Wicked Sight Amun Great Old Ones First appearance EXP : Utatti Asfet Created by Owen Guthrie Toivo Luick is a fictional entity created by Owen Guthrie and Toivo Luick for Chaosium 's Call of Cthulhu roleplaying game. it made its first appearance in the 1996 scenario supplement Utatti Asfet , where the player characters are tasked with preventing its minions from awakening the creature Description A dark-skinned humanoid horror with tentacles sprouting from its head, and glowing red eyes, was worshiped by the earliest African civilizations as the god Amun. It is said to be the rival of Cthulhu ."
http://example.org/lovecraft#Evan_Dicken,http://example.org/lovecraft#isConnectedToMythosR,Author
http://example.org/lovecraft#The_Children_of_Burma,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/lovecraft#MythosLiterature
http://example.org/lovecraft#A_Thousand_Young,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/lovecraft#OtherAuthors
http://example.org/lovecraft#Howard_Phillips_Lovecraft_%28fictional%29,http://example.org/lovecraft#hasAppearanceC,Providence
http://example.org/lovecraft#Nightmares_%26_Tentacles:_13_Tales_Of_The_Cthulhu_Mythos,http://example.org/lovecraft#isInLanguageW,English
http://example.org/lovecraft#Winfield_Scott_Lovecraft,http://www.w3.org/2000/01/rdf-schema#label,Winfield Scott Lovecraft
http://example.org/lovecraft#Azotharoth,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/lovecraft#MythosCharacters
http://example.org/lovecraft#Nancy_Kilpatrick,http://www.w3.org/2000/01/rdf-schema#label,Nancy Kilpatrick
http://example.org/lovecraft#The_Worlds_of_H._P._Lovecraft_%28series%29,http://example.org/lovecraft#hasGenreW,Weird fiction
http://example.org/lovecraft#Rapture_of_the_Deep_and_Other_Lovecraftian_Tales,http://example.org/lovecraft#wasReleasedOnW,April 2016
http://example.org/lovecraft#The_Children_of_Cthulhu,http://example.org/lovecraft#hasAnnotation,": chilling new tales inspired by h. p. lovecraft is an anthology of horror stories . Edited by benjamin adams and john pelan, it was published by delray/ballantine in 2002 . The cover image is by dave mckean, a british illustrator best known for the covers of neil gaiman's sandman comic book ."
http://example.org/lovecraft#Closure,http://example.org/lovecraft#isPartOfSeriesW,http://example.org/lovecraft#Frank_Nardi
http://example.org/lovecraft#Death,http://example.org/lovecraft#isPublishedAsW,Other Pieces
http://example.org/lovecraft#Matthew_Sanderson,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/lovecraft#GamesAndAdaptations
http://example.org/lovecraft#Baharna,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/lovecraft#Location
http://example.org/lovecraft#Mythos_Collector_Summer_2002,http://example.org/lovecraft#isPartOfSeriesW,http://example.org/lovecraft#Mythos_Collector
http://example.org/lovecraft#Alfred_Jermyn,http://www.w3.org/2000/01/rdf-schema#label,Alfred Jermyn
http://example.org/lovecraft#Armandra,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/lovecraft#Character
http://example.org/lovecraft#Marit_Lage,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/lovecraft#ExtraDimensionalCharacters
http://example.org/lovecraft#Shang,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/lovecraft#MythosCharacters
http://example.org/lovecraft#The_Little_Glass_Bottle,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/lovecraft#MythosLiterature
http://example.org/lovecraft#Within_Stranger_Aeons,http://www.w3.org/2000/01/rdf-schema#label,Within Stranger Aeons
http://example.org/lovecraft#Chorazin_%28location%29,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/lovecraft#Location
http://example.org/lovecraft#More_Annotated_Lovecraft,http://example.org/lovecraft#wasReleasedOnW,August 1999
http://example.org/lovecraft#Lovecraftian_Limerick,http://example.org/lovecraft#hasAnnotation,"Andrew J. Wilson English Genre(s) Humour Wildside Press Weirdbook Annual 2 date February 2019 "" "" is, as it’s name implies, a short poem by Scottish Andrew J. Wilson . Overview The poem namechecks a number of Lovecraftian staples, including Shoggoths , Yog-Sothoth and the Great Race of Yith . History """" was published in the anthology Weirdbook Annual 2 by Wildside Press in 2019."
http://example.org/lovecraft#Nezaral,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/lovecraft#Character
http://example.org/lovecraft#Lord_of_the_Deep,http://example.org/lovecraft#hasAnnotation,The is a malevolent lovecraftian -like entity in the fictional universe of the rifts pencil-and-paper roleplaying game by palladium . It is somewhat similar in function to cthulhu and has some mythos overtones in its description . Some believe that is the originator of the kraken myth of pre-cataclysmic earth .
http://example.org/lovecraft#The_Innsmouth_Covenant,http://example.org/lovecraft#hasCountryOfOriginW,United States
http://example.org/lovecraft#Sonia_H._Greene,http://www.w3.org/2000/01/rdf-schema#label,Sonia H. Greene
http://example.org/lovecraft#Asenath,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/lovecraft#Work
http://example.org/lovecraft#Brotherhood_of_the_Yellow_Sign,http://example.org/lovecraft#hasPurposeO,enter Carcosa.
http://example.org/lovecraft#Futurama_Comics,http://example.org/lovecraft#hasAnnotation,"is the name of the main series of , which includes all Futurama comic issues excluding four crossovers and two special issues, with another special issue simply being a variant cover for ""Monkey Sea, Monkey Doom!"". In February 2017, it was announced that no further issues of would be published in print and all future issues from issue 82 onward would only be released in the Futuramaland app. In the prologue to #49 , Turanga Leela has just come back from a bad date with Cthulhu , one of a series of references to and namechecks of the Mythos in the Futurama series."
http://example.org/lovecraft#Humankind_in_the_Cthulhu_Mythos,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/lovecraft#Character
http://example.org/lovecraft#Stuart_Hartwell,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/lovecraft#MythosCharacters
http://example.org/lovecraft#The_Last_Night_on_Earth,http://example.org/lovecraft#hasCountryOfOriginW,United States
http://example.org/lovecraft#Stephen_Strange,http://example.org/lovecraft#hasAppearanceC,Ascent into Hell . Vampiric Verses
http://example.org/lovecraft#Henry_Wentworth_Akeley,http://example.org/lovecraft#madeFirstAppearanceOnC,http://example.org/lovecraft#The_Whisperer_in_Darkness
http://example.org/lovecraft#E-poh,http://example.org/lovecraft#hasAffiliationC,Zhar
http://example.org/lovecraft#Big_Nasty,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/lovecraft#MythosLiterature
http://example.org/lovecraft#Mythos_Collector_Summer_2002,http://example.org/lovecraft#hasAuthorW,Various
http://example.org/lovecraft#Lair_of_the_Dreamer:_A_Cthulhu_Mythos_Omnibus,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/lovecraft#MythosLiterature
http://example.org/lovecraft#Old_One_%28Buffy%29,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/lovecraft#Character
http://example.org/lovecraft#The_Blue_Canoe,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/lovecraft#Work
http://example.org/lovecraft#The_Thing_on_the_Doorstep_%28DART_production%29,http://example.org/lovecraft#hasCountryOfOriginW,United States
http://example.org/lovecraft#Sarnath,http://example.org/lovecraft#isLocatedAtL,The land of Mnar
http://example.org/lovecraft#Willis_Conover,http://example.org/lovecraft#hasAnnotation,"Willis conover, jr. (18 december 1920 - 17 may 1996) was an american broadcaster and music producer . He corresponded with horror author howard phillips lovecraft at the age of fifteen . Their correspondence has been collected in the volume lovecraft at last ."
http://example.org/lovecraft#David_Warner,http://example.org/lovecraft#hasAnnotation,"David hattersley warner was an english actor who had multiple roles in the cthulhu mythos . He played amos hackshaw in cast a deadly spell and chancellor thayer of miskatonic university in the unnamable ii: the statement of randolph carter . He also performed a great number of characters in the doctor who franchise, both in television and audio plays ."
