#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.MinecraftObjects|ObjectSubtype|ObjectType


#Text=Так, но поскольку вода ближе всего тут, поэтому рядом с водой нет смысла делать выемку.
8-6	398-403	запас	*	NOUN	запас	_	_	
8-7	404-408	воды	*	NOUN	вода	WATER	BLOCK	
8-8	409-413	есть	*	AUX	быть	_	_	
8-9	413-414	.	*	PUNCT	.	_	_	

#Text=Сейчас я вот это хочу убрать.
9-1	415-421	Сейчас	*	ADV	сейчас	_	_	
9-2	422-423	я	*	PRON	я	_	_	
9-3	424-427	вот	*	ADV	вот	_	_	
9-4	428-431	это	*	PRON	это	_	_	
9-5	432-436	хочу	*	VERB	хотеть	_	_	
9-6	437-443	убрать	*	VERB	убирать	ACTION	EVENT	
9-7	443-444	.	*	PUNCT	.	_	_	

#Text=Это он меня прямо бесит.
10-1	445-448	Это	*	PRON	это	_	_	
10-2	449-451	он	*	PRON	он	_	_	
10-3	452-456	меня	*	PRON	я	_	_	
10-4	457-462	прямо	*	ADV	прямо	_	_	
10-5	463-468	бесит	*	VERB	бесить	_	_	
10-6	468-469	.	*	PUNCT	.	_	_	

#Text=Так.
11-1	470-473	Так	*	ADV	так	_	_	
11-2	473-474	.	*	PUNCT	.	_	_	

#Text=Наверное, нет смысла на возвышенности делать грядки.
12-1	475-483	Наверное	*	ADV	наверное	_	_	
12-2	483-484	,	*	PUNCT	,	_	_	
12-3	485-488	нет	*	AUX	нет	_	_	
12-4	489-495	смысла	*	NOUN	смысл	_	_	
12-5	496-498	на	*	ADP	на	_	_	
12-6	499-512	возвышенности	*	NOUN	возвышенность	_	_	
12-7	513-519	делать	*	VERB	делать	_	_	
12-8	520-526	грядки	*	NOUN	грядка	GARDEN	LOCATION	
12-9	526-527	.	*	PUNCT	.	_	_	

#Text=Потом если что переделаем.
13-1	528-533	Потом	*	ADV	потом	_	_	
13-2	534-538	если	*	SCONJ	если	_	_	
13-3	539-542	что	*	PRON	что	_	_	
13-4	543-553	переделаем	*	VERB	переделать	_	_	
13-5	553-554	.	*	PUNCT	.	_	_	

#Text=А, собираем, получается, ростки семян.
14-1	555-556	А	*	CCONJ	а	_	_	
14-2	556-557	,	*	PUNCT	,	_	_	
14-3	558-566	собираем	*	VERB	собирать	ACTION	EVENT	
14-4	566-567	,	*	PUNCT	,	_	_	
14-5	568-578	получается	*	VERB	получаться	_	_	
14-6	578-579	,	*	PUNCT	,	_	_	
14-7	580-586	ростки	*	NOUN	росток	_	_	
14-8	587-592	семян	*	NOUN	семя	SEED	ITEM	
14-9	592-593	.	*	PUNCT	.	_	_	

#Text=Сколько там?
15-1	594-601	Сколько	*	PRON	сколько	_	_	
15-2	602-605	там	*	ADV	там	_	_	
15-3	605-606	?	*	PUNCT	?	_	_	

#Text=Ну, 17 пока хватит.
16-1	607-609	Ну	*	INTJ	ну	_	_	
16-2	609-610	,	*	PUNCT	,	_	_	
16-3	611-613	17	*	NUM	17	_	_	
16-4	614-618	пока	*	ADV	пока	_	_	
16-5	619-625	хватит	*	VERB	хватить	_	_	
16-6	625-626	.	*	PUNCT	.	_	_	

#Text=Хотя нет, маловато.
17-1	627-631	Хотя	*	VERB	хотя	_	_	
17-2	632-635	нет	*	AUX	нет	_	_	
17-3	635-636	,	*	PUNCT	,	_	_	
17-4	637-645	маловато	*	ADJ	мало	_	_	
17-5	645-646	.	*	PUNCT	.	_	_	

#Text=Давай ещё.
18-1	647-652	Давай	*	VERB	давать	_	_	
18-2	653-656	ещё	*	ADV	ещё	_	_	
18-3	656-657	.	*	PUNCT	.	_	_	

#Text=Так, ну вот уже хоть что-то похожее на территорию для огорода.
19-1	658-661	Так	*	ADV	так	_	_	
19-2	661-662	,	*	PUNCT	,	_	_	
19-3	663-665	ну	*	INTJ	ну	_	_	
19-4	666-669	вот	*	ADV	вот	_	_	
19-5	670-673	уже	*	ADV	уже	_	_	
19-6	674-678	хоть	*	PART	хоть	_	_	
19-7	679-685	что-то	*	PRON	что-то	_	_	
19-8	686-693	похожее	*	ADJ	похожий	_	_	
19-9	694-696	на	*	ADP	на	_	_	
19-10	697-707	территорию	*	NOUN	территория	_	_	
19-11	708-711	для	*	ADP	для	_	_	
19-12	712-719	огорода	*	NOUN	огород	GARDEN	LOCATION	
19-13	719-720	.	*	PUNCT	.	_	_	
