finding_id,size,severity,area_ratio,bbox
finding_img_cxr_000028_pneumonia_label,bilateral_lung_roi,normal,0.38931253049721665,"{""height"": 1079, ""width"": 1564, ""x"": 292, ""y"": 246}"
finding_img_cxr_000029_pneumonia_label,bilateral_lung_roi,normal,0.39487754796315006,"{""height"": 1367, ""width"": 1374, ""x"": 251, ""y"": 310}"
finding_img_cxr_000030_pneumonia_label,bilateral_lung_roi,normal,0.39357356944062144,"{""height"": 1125, ""width"": 1228, ""x"": 226, ""y"": 255}"
finding_img_cxr_000031_pneumonia_label,bilateral_lung_roi,normal,0.3903733985597728,"{""height"": 1166, ""width"": 1582, ""x"": 295, ""y"": 265}"
finding_img_cxr_000032_pneumonia_label,bilateral_lung_roi,normal,0.3891143416802515,"{""height"": 811, ""width"": 1198, ""x"": 224, ""y"": 185}"
finding_img_cxr_000033_pneumonia_label,bilateral_lung_roi,normal,0.39023096129837703,"{""height"": 1191, ""width"": 1556, ""x"": 290, ""y"": 271}"
finding_img_cxr_000034_pneumonia_label,bilateral_lung_roi,normal,0.3916844349680171,"{""height"": 727, ""width"": 1000, ""x"": 186, ""y"": 164}"
finding_img_cxr_000035_pneumonia_label,bilateral_lung_roi,normal,0.3930424864556601,"{""height"": 1463, ""width"": 1708, ""x"": 315, ""y"": 332}"
finding_img_cxr_000036_pneumonia_label,bilateral_lung_roi,normal,0.3921591681940266,"{""height"": 860, ""width"": 1064, ""x"": 197, ""y"": 195}"
finding_img_cxr_000037_pneumonia_label,bilateral_lung_roi,normal,0.39213542824674524,"{""height"": 1135, ""width"": 1354, ""x"": 250, ""y"": 258}"
finding_img_cxr_000038_pneumonia_label,bilateral_lung_roi,normal,0.3899288593757881,"{""height"": 800, ""width"": 1068, ""x"": 199, ""y"": 182}"
finding_img_cxr_000039_pneumonia_label,bilateral_lung_roi,normal,0.3920516501409083,"{""height"": 1261, ""width"": 1580, ""x"": 292, ""y"": 286}"
finding_img_cxr_000040_pneumonia_label,bilateral_lung_roi,normal,0.39258202405260473,"{""height"": 1262, ""width"": 1468, ""x"": 271, ""y"": 286}"
finding_img_cxr_000041_pneumonia_label,bilateral_lung_roi,normal,0.39324233465713604,"{""height"": 1117, ""width"": 1296, ""x"": 239, ""y"": 253}"
finding_img_cxr_000042_pneumonia_label,bilateral_lung_roi,normal,0.38669491701062897,"{""height"": 601, ""width"": 1094, ""x"": 206, ""y"": 137}"
finding_img_cxr_000043_pneumonia_label,bilateral_lung_roi,normal,0.39214363392564905,"{""height"": 945, ""width"": 1056, ""x"": 195, ""y"": 215}"
finding_img_cxr_000044_pneumonia_label,bilateral_lung_roi,normal,0.3922239932700184,"{""height"": 909, ""width"": 1048, ""x"": 193, ""y"": 207}"
finding_img_cxr_000045_pneumonia_label,bilateral_lung_roi,normal,0.39009787195833706,"{""height"": 777, ""width"": 1132, ""x"": 211, ""y"": 176}"
finding_img_cxr_000046_pneumonia_label,bilateral_lung_roi,normal,0.3904953145917001,"{""height"": 540, ""width"": 758, ""x"": 141, ""y"": 122}"
finding_img_cxr_000047_pneumonia_label,bilateral_lung_roi,normal,0.3907200740169292,"{""height"": 758, ""width"": 1040, ""x"": 193, ""y"": 172}"
finding_img_cxr_000048_pneumonia_label,bilateral_lung_roi,normal,0.39406147870661135,"{""height"": 738, ""width"": 852, ""x"": 156, ""y"": 167}"
finding_img_cxr_000049_pneumonia_label,bilateral_lung_roi,normal,0.38903733567798243,"{""height"": 798, ""width"": 1228, ""x"": 230, ""y"": 181}"
finding_img_cxr_000050_pneumonia_label,bilateral_lung_roi,normal,0.3911773769866311,"{""height"": 899, ""width"": 1198, ""x"": 222, ""y"": 204}"
finding_img_cxr_000051_pneumonia_label,bilateral_lung_roi,normal,0.38893966365521,"{""height"": 940, ""width"": 1404, ""x"": 262, ""y"": 214}"
finding_img_cxr_000052_pneumonia_label,bilateral_lung_roi,normal,0.39165028126920376,"{""height"": 882, ""width"": 1110, ""x"": 206, ""y"": 200}"
finding_img_cxr_000053_pneumonia_label,bilateral_lung_roi,normal,0.3905691308781577,"{""height"": 873, ""width"": 1214, ""x"": 226, ""y"": 198}"
finding_img_cxr_000054_pneumonia_label,bilateral_lung_roi,normal,0.390245077231991,"{""height"": 987, ""width"": 1416, ""x"": 264, ""y"": 224}"
finding_img_cxr_000055_pneumonia_label,bilateral_lung_roi,normal,0.3908243829575361,"{""height"": 921, ""width"": 1206, ""x"": 224, ""y"": 209}"
finding_img_cxr_000056_pneumonia_label,bilateral_lung_roi,normal,0.3934125816275205,"{""height"": 1193, ""width"": 1228, ""x"": 225, ""y"": 272}"
finding_img_cxr_000057_pneumonia_label,bilateral_lung_roi,normal,0.3914541259757909,"{""height"": 918, ""width"": 1162, ""x"": 215, ""y"": 209}"
finding_img_cxr_000058_pneumonia_label,bilateral_lung_roi,normal,0.394283363742681,"{""height"": 1011, ""width"": 1086, ""x"": 199, ""y"": 229}"
finding_img_cxr_000059_pneumonia_label,bilateral_lung_roi,normal,0.3908371786420567,"{""height"": 1068, ""width"": 1316, ""x"": 244, ""y"": 243}"
finding_img_cxr_000060_pneumonia_label,bilateral_lung_roi,normal,0.3911446997434319,"{""height"": 852, ""width"": 1170, ""x"": 217, ""y"": 193}"
finding_img_cxr_000061_pneumonia_label,bilateral_lung_roi,normal,0.39071168793586536,"{""height"": 1035, ""width"": 1350, ""x"": 251, ""y"": 235}"
finding_img_cxr_000062_pneumonia_label,bilateral_lung_roi,normal,0.38987751898284173,"{""height"": 929, ""width"": 1286, ""x"": 240, ""y"": 211}"
finding_img_cxr_000063_pneumonia_label,bilateral_lung_roi,normal,0.3926917131380027,"{""height"": 1425, ""width"": 1618, ""x"": 298, ""y"": 324}"
finding_img_cxr_000064_pneumonia_label,bilateral_lung_roi,normal,0.3920032260823873,"{""height"": 1002, ""width"": 1292, ""x"": 239, ""y"": 227}"
finding_img_cxr_000065_pneumonia_label,bilateral_lung_roi,normal,0.39221546953994774,"{""height"": 1163, ""width"": 1366, ""x"": 252, ""y"": 265}"
finding_img_cxr_000066_pneumonia_label,bilateral_lung_roi,normal,0.391279771355986,"{""height"": 850, ""width"": 1172, ""x"": 218, ""y"": 192}"
finding_img_cxr_000067_pneumonia_label,bilateral_lung_roi,normal,0.39044822447377936,"{""height"": 794, ""width"": 1052, ""x"": 195, ""y"": 181}"
finding_img_cxr_000068_pneumonia_label,bilateral_lung_roi,normal,0.39109221549370904,"{""height"": 907, ""width"": 1184, ""x"": 220, ""y"": 206}"
finding_img_cxr_000069_pneumonia_label,bilateral_lung_roi,normal,0.39208705004112104,"{""height"": 1037, ""width"": 1205, ""x"": 223, ""y"": 236}"
finding_img_cxr_000070_pneumonia_label,bilateral_lung_roi,normal,0.3902175543885972,"{""height"": 777, ""width"": 1129, ""x"": 211, ""y"": 176}"
finding_img_cxr_000071_pneumonia_label,bilateral_lung_roi,normal,0.3926519823788546,"{""height"": 1084, ""width"": 1326, ""x"": 245, ""y"": 246}"
finding_img_cxr_000072_pneumonia_label,bilateral_lung_roi,normal,0.3891042272454126,"{""height"": 703, ""width"": 1050, ""x"": 196, ""y"": 160}"
finding_img_cxr_000073_pneumonia_label,bilateral_lung_roi,normal,0.3886200137214545,"{""height"": 823, ""width"": 1302, ""x"": 244, ""y"": 187}"
finding_img_cxr_000074_pneumonia_label,bilateral_lung_roi,normal,0.39087546078936014,"{""height"": 759, ""width"": 1068, ""x"": 198, ""y"": 172}"
finding_img_cxr_000075_pneumonia_label,bilateral_lung_roi,normal,0.3904316734664469,"{""height"": 948, ""width"": 1232, ""x"": 229, ""y"": 216}"
finding_img_cxr_000076_pneumonia_label,bilateral_lung_roi,normal,0.39311615154055957,"{""height"": 1234, ""width"": 1420, ""x"": 262, ""y"": 280}"
finding_img_cxr_000077_pneumonia_label,bilateral_lung_roi,normal,0.391175328725449,"{""height"": 1005, ""width"": 1318, ""x"": 244, ""y"": 228}"
finding_img_cxr_000078_pneumonia_label,bilateral_lung_roi,normal,0.39053680247300326,"{""height"": 1059, ""width"": 1344, ""x"": 250, ""y"": 241}"
finding_img_cxr_000079_pneumonia_label,bilateral_lung_roi,normal,0.39273631583356744,"{""height"": 1211, ""width"": 1414, ""x"": 261, ""y"": 275}"
finding_img_cxr_000080_pneumonia_label,bilateral_lung_roi,normal,0.39137220734859673,"{""height"": 740, ""width"": 988, ""x"": 183, ""y"": 168}"
finding_img_cxr_000081_pneumonia_label,bilateral_lung_roi,normal,0.39165203486549194,"{""height"": 1068, ""width"": 1258, ""x"": 233, ""y"": 243}"
finding_img_cxr_000082_pneumonia_label,bilateral_lung_roi,normal,0.3907680652114023,"{""height"": 887, ""width"": 1172, ""x"": 218, ""y"": 201}"
finding_img_cxr_000083_pneumonia_label,bilateral_lung_roi,normal,0.39153195023531684,"{""height"": 1436, ""width"": 1748, ""x"": 324, ""y"": 327}"
finding_img_cxr_000084_pneumonia_label,bilateral_lung_roi,normal,0.39320599886813806,"{""height"": 988, ""width"": 1133, ""x"": 209, ""y"": 224}"
finding_img_cxr_000085_pneumonia_label,bilateral_lung_roi,normal,0.38990844160360816,"{""height"": 871, ""width"": 1320, ""x"": 246, ""y"": 198}"
finding_img_cxr_000086_pneumonia_label,bilateral_lung_roi,normal,0.39023825634816056,"{""height"": 942, ""width"": 1254, ""x"": 233, ""y"": 215}"
finding_img_cxr_000087_pneumonia_label,bilateral_lung_roi,normal,0.3919749321115675,"{""height"": 846, ""width"": 1104, ""x"": 204, ""y"": 192}"
finding_img_cxr_000088_pneumonia_label,bilateral_lung_roi,normal,0.38980812718265057,"{""height"": 784, ""width"": 1138, ""x"": 212, ""y"": 178}"
finding_img_cxr_000089_pneumonia_label,bilateral_lung_roi,normal,0.3916386731491994,"{""height"": 1023, ""width"": 1228, ""x"": 227, ""y"": 233}"
finding_img_cxr_000090_pneumonia_label,bilateral_lung_roi,normal,0.39090300940320727,"{""height"": 959, ""width"": 1164, ""x"": 216, ""y"": 219}"
finding_img_cxr_000091_pneumonia_label,bilateral_lung_roi,normal,0.39384507659990303,"{""height"": 1111, ""width"": 1236, ""x"": 227, ""y"": 252}"
finding_img_cxr_000092_pneumonia_label,bilateral_lung_roi,normal,0.3925505551681596,"{""height"": 1116, ""width"": 1322, ""x"": 244, ""y"": 253}"
finding_img_cxr_000093_pneumonia_label,bilateral_lung_roi,normal,0.3888638412984671,"{""height"": 800, ""width"": 1176, ""x"": 220, ""y"": 182}"
finding_img_cxr_000094_pneumonia_label,bilateral_lung_roi,normal,0.3907628603280777,"{""height"": 1078, ""width"": 1348, ""x"": 250, ""y"": 246}"
finding_img_cxr_000095_pneumonia_label,bilateral_lung_roi,normal,0.393188025783896,"{""height"": 980, ""width"": 1184, ""x"": 218, ""y"": 222}"
finding_img_cxr_000096_pneumonia_label,bilateral_lung_roi,normal,0.39208607741642454,"{""height"": 1289, ""width"": 1462, ""x"": 270, ""y"": 293}"
finding_img_cxr_000097_pneumonia_label,bilateral_lung_roi,normal,0.39110506098288084,"{""height"": 800, ""width"": 982, ""x"": 182, ""y"": 182}"
finding_img_cxr_000098_pneumonia_label,bilateral_lung_roi,normal,0.3891703745053935,"{""height"": 833, ""width"": 1152, ""x"": 215, ""y"": 190}"
finding_img_cxr_000099_pneumonia_label,bilateral_lung_roi,normal,0.389718108185767,"{""height"": 789, ""width"": 1108, ""x"": 207, ""y"": 179}"
