relation_id,relation_type,src_text,tgt_text
rel_txtdoc_0_p1_24,CID,lithium,clonidine
rel_txtdoc_0_p1_24,CID,lithium,neurologic depression
rel_txtdoc_0_p1_24,CID,famotidine,clonidine
rel_txtdoc_0_p1_24,CID,famotidine,neurologic depression
rel_txtdoc_0_p1_24,CID,alpha-methyldopa,nalozone
rel_txtdoc_0_p1_24,CID,alpha-methyldopa,atrial flutter
rel_txtdoc_0_p1_24,CID,alpha-methyldopa,delirium
rel_txtdoc_0_p1_24,CID,lithium,nalozone
rel_txtdoc_0_p1_24,CID,lithium,atrial flutter
rel_txtdoc_0_p1_24,CID,lithium,delirium
rel_txtdoc_0_p1_24,CID,famotidine,nalozone
rel_txtdoc_0_p1_24,CID,famotidine,atrial flutter
rel_txtdoc_0_p1_24,CID,famotidine,delirium
rel_txtdoc_25_p0_34,CID,Lidocaine,cardiac asystole
rel_txtdoc_25_p0_34,CID,Lidocaine,dyskinesia
rel_txtdoc_25_p0_34,CID,Phenobarbital,cardiac asystole
rel_txtdoc_25_p0_34,CID,Phenobarbital,dyskinesia
rel_txtdoc_37_p0_54,CID,Suxamethonium,fasciculations
rel_txtdoc_37_p1_62,CID,Suxamethonium chloride,Fasciculations
rel_txtdoc_37_p1_63,CID,Suxamethonium chloride,fasciculation
rel_txtdoc_37_p1_64,CID,Suxamethonium chloride,fasciculation
rel_txtdoc_37_p1_65,CID,Suxamethonium chloride,Fasciculations
rel_txtdoc_37_p1_66,CID,Suxamethonium chloride,fasciculation
rel_txtdoc_37_p1_67,CID,Suxamethonium chloride,fasciculation
rel_txtdoc_37_p1_69,CID,Sch,Fasciculations
rel_txtdoc_37_p1_70,CID,Sch,fasciculation
rel_txtdoc_37_p1_71,CID,Sch,fasciculation
rel_txtdoc_37_p1_72,CID,Sch,Fasciculations
rel_txtdoc_37_p1_73,CID,Sch,fasciculation
rel_txtdoc_37_p1_74,CID,Sch,fasciculation
rel_txtdoc_37_p1_76,CID,Sch,Fasciculations
rel_txtdoc_37_p1_77,CID,Sch,fasciculation
rel_txtdoc_37_p1_78,CID,Sch,fasciculation
rel_txtdoc_37_p1_79,CID,Sch,Fasciculations
rel_txtdoc_37_p1_80,CID,Sch,fasciculation
rel_txtdoc_37_p1_81,CID,Sch,fasciculation
rel_txtdoc_82_p1_96,CID,scopolamine,overdosage
rel_txtdoc_82_p1_97,CID,hyoscine,overdosage
rel_txtdoc_82_p1_98,CID,scopolamine,overdosage
rel_txtdoc_99_p0_184,CID,lithium,chronic renal failure
rel_txtdoc_99_p1_130,CID,lithium,hypertension
rel_txtdoc_99_p1_131,CID,lithium,hypertension
rel_txtdoc_99_p1_132,CID,lithium,hypertension
rel_txtdoc_99_p1_133,CID,lithium,hypertension
rel_txtdoc_99_p1_134,CID,lithium,hypertension
rel_txtdoc_99_p1_135,CID,lithium,hypertension
rel_txtdoc_99_p1_136,CID,lithium,hypertension
rel_txtdoc_99_p1_137,CID,lithium,hypertension
rel_txtdoc_99_p1_138,CID,lithium,hypertension
rel_txtdoc_99_p1_139,CID,lithium,hypertension
rel_txtdoc_99_p1_140,CID,lithium,hypertension
rel_txtdoc_99_p1_141,CID,lithium,hypertension
rel_txtdoc_99_p1_142,CID,lithium,hypertension
rel_txtdoc_99_p1_143,CID,lithium,hypertension
rel_txtdoc_99_p1_144,CID,lithium,hypertension
rel_txtdoc_99_p1_145,CID,lithium,hypertension
