link_id,mention_text,entity_type,audio_event_type,confidence
mm_audio_link_00046,tardive dystonia,Disease,murmur_absent,0.55
mm_audio_link_00047,Ocular and auditory toxicity,Disease,murmur_absent,0.55
mm_audio_link_00048,Ocular toxicity,Disease,murmur_absent,0.55
mm_audio_link_00049,auditory toxicity,Disease,murmur_absent,0.55
mm_audio_link_00050,audiovisual toxicity,Disease,murmur_absent,0.55
mm_audio_link_00051,visual or auditory toxicity,Disease,murmur_absent,0.55
mm_audio_link_00052,visual toxicity,Disease,murmur_absent,0.55
mm_audio_link_00053,auditory toxicity,Disease,murmur_unknown,0.55
mm_audio_link_00054,Visual toxicity,Disease,murmur_unknown,0.55
mm_audio_link_00055,dyschromatopsy,Disease,murmur_unknown,0.55
mm_audio_link_00056,a loss of visual acuity,Disease,murmur_absent,0.55
mm_audio_link_00057,pigmentary retinal deposits,Disease,murmur_absent,0.55
mm_audio_link_00058,Auditory toxicity,Disease,murmur_absent,0.55
mm_audio_link_00059,neurosensorial hearing loss,Disease,murmur_absent,0.55
mm_audio_link_00060,hearing loss,Disease,murmur_absent,0.55
mm_audio_link_00061,toxicity,Disease,murmur_absent,0.55
mm_audio_link_00062,audiovisual toxicity,Disease,murmur_absent,0.55
mm_audio_link_00063,Myasthenia gravis,Disease,murmur_absent,0.55
mm_audio_link_00064,neuromuscular disease,Disease,murmur_present,0.55
mm_audio_link_00065,quadriplegic,Disease,murmur_present,0.55
mm_audio_link_00066,preeclampsia,Disease,murmur_present,0.55
mm_audio_link_00067,postsynaptic neuromuscular blockade,Disease,murmur_present,0.55
mm_audio_link_00068,paralysis,Disease,murmur_absent,0.55
mm_audio_link_00069,myasthenia gravis,Disease,murmur_absent,0.55
mm_audio_link_00070,disorder of neuromuscular transmission,Disease,murmur_absent,0.55
mm_audio_link_00071,hemorrhagic,Disease,murmur_absent,0.55
mm_audio_link_00072,hemorrhagic cystitis,Disease,murmur_present,0.55
mm_audio_link_00073,cystitis,Disease,murmur_present,0.55
mm_audio_link_00074,bladder damage,Disease,murmur_present,0.55
mm_audio_link_00075,pain,Disease,murmur_present,0.55
mm_audio_link_00076,migraine,Disease,murmur_present,0.55
mm_audio_link_00077,migraine,Disease,murmur_present,0.55
mm_audio_link_00078,migraine,Disease,murmur_present,0.55
mm_audio_link_00079,migraine,Disease,murmur_present,0.55
mm_audio_link_00080,migraine,Disease,murmur_present,0.55
mm_audio_link_00081,migraine,Disease,murmur_present,0.55
mm_audio_link_00082,pain,Disease,murmur_present,0.55
mm_audio_link_00083,migraine,Disease,murmur_present,0.55
