image_id,image_filename,image_abs_path,landmark_id,doc_ids,width,height,bbox_xywh,bbox_status,note
img_isaak_03,Исаакиевский 2.jpg,/Users/annaleo97/Desktop/СРОД/Фото города/Исаакиевский 2.jpg,land_isaak,doc_land_isaak_01;doc_land_isaak_02,2027,1200,"162,144,1703,912",auto_baseline_needs_review,
img_kazan_cathedral_01,Казанский собор 1.jpg,/Users/annaleo97/Desktop/СРОД/Фото города/Казанский собор 1.jpg,land_kazan_cathedral,doc_land_kazan_cathedral_01;doc_land_kazan_cathedral_02,900,600,"72,72,756,456",auto_baseline_needs_review,
img_kazan_cathedral_02,Казанский собор 2.jpg,/Users/annaleo97/Desktop/СРОД/Фото города/Казанский собор 2.jpg,land_kazan_cathedral,doc_land_kazan_cathedral_01;doc_land_kazan_cathedral_02,1000,667,"80,80,840,507",auto_baseline_needs_review,
img_kazan_cathedral_03,Казанский собор 3.jpg,/Users/annaleo97/Desktop/СРОД/Фото города/Казанский собор 3.jpg,land_kazan_cathedral,doc_land_kazan_cathedral_01;doc_land_kazan_cathedral_02,800,561,"64,67,672,426",auto_baseline_needs_review,
img_aurora_01,Крейсер Аврора 1.jpg,/Users/annaleo97/Desktop/СРОД/Фото города/Крейсер Аврора 1.jpg,land_aurora,doc_land_aurora_01;doc_land_aurora_02,540,360,"43,43,454,274",auto_baseline_needs_review,
img_aurora_02,Крейсер Аврора 3.webp,/Users/annaleo97/Desktop/СРОД/Фото города/Крейсер Аврора 3.webp,land_aurora,doc_land_aurora_01;doc_land_aurora_02,500,333,"40,40,420,253",auto_baseline_needs_review,
img_aurora_03,Крейсер Аврора.jpeg,/Users/annaleo97/Desktop/СРОД/Фото города/Крейсер Аврора.jpeg,land_aurora,doc_land_aurora_01;doc_land_aurora_02,400,533,"32,64,336,405",auto_baseline_needs_review,
img_summer_garden_01,Летний сад 1.jpg,/Users/annaleo97/Desktop/СРОД/Фото города/Летний сад 1.jpg,land_summer_garden,doc_land_summer_garden_01;doc_land_summer_garden_02,630,420,"50,50,529,319",auto_baseline_needs_review,
img_summer_garden_02,Летний сад 2.jpg,/Users/annaleo97/Desktop/СРОД/Фото города/Летний сад 2.jpg,land_summer_garden,doc_land_summer_garden_01;doc_land_summer_garden_02,1600,1016,"128,122,1344,772",auto_baseline_needs_review,
img_summer_garden_03,Летний сад 3.jpg,/Users/annaleo97/Desktop/СРОД/Фото города/Летний сад 3.jpg,land_summer_garden,doc_land_summer_garden_01;doc_land_summer_garden_02,1200,812,"96,97,1008,617",auto_baseline_needs_review,
img_summer_garden_04,Летний сад 4.jpg,/Users/annaleo97/Desktop/СРОД/Фото города/Летний сад 4.jpg,land_summer_garden,doc_land_summer_garden_01;doc_land_summer_garden_02,603,377,"48,45,507,287",auto_baseline_needs_review,
img_mariinsky_01,Мариинский театр 1.jpg,/Users/annaleo97/Desktop/СРОД/Фото города/Мариинский театр 1.jpg,land_mariinsky,doc_land_mariinsky_01;doc_land_mariinsky_02,330,247,"26,30,277,188",auto_baseline_needs_review,
img_mariinsky_02,Мариинский театр 2.jpg,/Users/annaleo97/Desktop/СРОД/Фото города/Мариинский театр 2.jpg,land_mariinsky,doc_land_mariinsky_01;doc_land_mariinsky_02,690,445,"55,53,580,338",auto_baseline_needs_review,
img_mariinsky_03,Мариинский театр 3.jpg,/Users/annaleo97/Desktop/СРОД/Фото города/Мариинский театр 3.jpg,land_mariinsky,doc_land_mariinsky_01;doc_land_mariinsky_02,6000,3989,"480,479,5040,3032",auto_baseline_needs_review,
img_bronze_horseman_01,Медный всадник 1.jpg,/Users/annaleo97/Desktop/СРОД/Фото города/Медный всадник 1.jpg,land_bronze_horseman,doc_land_bronze_horseman_01;doc_land_bronze_horseman_02,600,348,"48,42,504,264",auto_baseline_needs_review,
img_bronze_horseman_02,Медный всадник 2.jpg,/Users/annaleo97/Desktop/СРОД/Фото города/Медный всадник 2.jpg,land_bronze_horseman,doc_land_bronze_horseman_01;doc_land_bronze_horseman_02,1140,641,"91,77,958,487",auto_baseline_needs_review,
img_bronze_horseman_03,Медный всадник 3.jpg,/Users/annaleo97/Desktop/СРОД/Фото города/Медный всадник 3.jpg,land_bronze_horseman,doc_land_bronze_horseman_01;doc_land_bronze_horseman_02,2000,1125,"160,135,1680,855",auto_baseline_needs_review,
img_peterhof_palace_01,Петергоф 3.jpg,/Users/annaleo97/Desktop/СРОД/Фото города/Петергоф 3.jpg,land_peterhof_palace,doc_land_peterhof_palace_01;doc_land_peterhof_palace_02,768,549,"61,66,645,417",auto_baseline_needs_review,
img_peterhof_palace_02,Петергоф-2.jpeg,/Users/annaleo97/Desktop/СРОД/Фото города/Петергоф-2.jpeg,land_peterhof_palace,doc_land_peterhof_palace_01;doc_land_peterhof_palace_02,275,183,"22,22,231,139",auto_baseline_needs_review,
img_peterhof_palace_03,Петергоф.jpeg,/Users/annaleo97/Desktop/СРОД/Фото города/Петергоф.jpeg,land_peterhof_palace,doc_land_peterhof_palace_01;doc_land_peterhof_palace_02,450,600,"36,72,378,456",auto_baseline_needs_review,
img_peterpaul_01,Петропавловская крепость 1.jpg,/Users/annaleo97/Desktop/СРОД/Фото города/Петропавловская крепость 1.jpg,land_peterpaul,doc_land_peterpaul_01;doc_land_peterpaul_02,800,533,"64,64,672,405",auto_baseline_needs_review,
img_peterpaul_02,Петропавловская крепость 2.jpg,/Users/annaleo97/Desktop/СРОД/Фото города/Петропавловская крепость 2.jpg,land_peterpaul,doc_land_peterpaul_01;doc_land_peterpaul_02,1200,848,"96,102,1008,644",auto_baseline_needs_review,
img_peterpaul_03,Петропавловская крепость 3.jpg,/Users/annaleo97/Desktop/СРОД/Фото города/Петропавловская крепость 3.jpg,land_peterpaul,doc_land_peterpaul_01;doc_land_peterpaul_02,900,600,"72,72,756,456",auto_baseline_needs_review,
img_rostral_01,Ростральная колонна 1.jpg,/Users/annaleo97/Desktop/СРОД/Фото города/Ростральная колонна 1.jpg,land_rostral,doc_land_rostral_01;doc_land_rostral_02,1138,1470,"91,176,956,1117",auto_baseline_needs_review,
img_rostral_02,Ростральная колонна 2.jpg,/Users/annaleo97/Desktop/СРОД/Фото города/Ростральная колонна 2.jpg,land_rostral,doc_land_rostral_01;doc_land_rostral_02,266,399,"21,48,223,303",auto_baseline_needs_review,
img_rostral_03,Ростральная колонна 3.jpg,/Users/annaleo97/Desktop/СРОД/Фото города/Ростральная колонна 3.jpg,land_rostral,doc_land_rostral_01;doc_land_rostral_02,600,900,"48,108,504,684",auto_baseline_needs_review,
img_smolny_01,Смольный 1.jpg,/Users/annaleo97/Desktop/СРОД/Фото города/Смольный 1.jpg,land_smolny,doc_land_smolny_01;doc_land_smolny_02,1024,553,"82,66,860,420",auto_baseline_needs_review,
img_smolny_02,Смольный 2.jpg,/Users/annaleo97/Desktop/СРОД/Фото города/Смольный 2.jpg,land_smolny,doc_land_smolny_01;doc_land_smolny_02,800,533,"64,64,672,405",auto_baseline_needs_review,
img_smolny_03,Смольный 3.png,/Users/annaleo97/Desktop/СРОД/Фото города/Смольный 3.png,land_smolny,doc_land_smolny_01;doc_land_smolny_02,791,440,"63,53,664,334",auto_baseline_needs_review,
img_spilled_blood_01,Спас на крови 3.jpg,/Users/annaleo97/Desktop/СРОД/Фото города/Спас на крови 3.jpg,land_spilled_blood,doc_land_spilled_blood_01;doc_land_spilled_blood_02,1600,1324,"128,159,1344,1006",auto_baseline_needs_review,
img_spilled_blood_02,Спас-на-крови собор.jpeg,/Users/annaleo97/Desktop/СРОД/Фото города/Спас-на-крови собор.jpeg,land_spilled_blood,doc_land_spilled_blood_01;doc_land_spilled_blood_02,450,600,"36,72,378,456",auto_baseline_needs_review,
img_spilled_blood_03,Спас-на-крови.jpeg,/Users/annaleo97/Desktop/СРОД/Фото города/Спас-на-крови.jpeg,land_spilled_blood,doc_land_spilled_blood_01;doc_land_spilled_blood_02,194,259,"16,31,163,197",auto_baseline_needs_review,
img_ermitage_01,Эрмитаж-2.jpeg,/Users/annaleo97/Desktop/СРОД/Фото города/Эрмитаж-2.jpeg,land_ermitage,doc_land_ermitage_01;doc_land_ermitage_02,331,152,"26,18,278,116",auto_baseline_needs_review,
img_ermitage_02,Эрмитаж-3.jpeg,/Users/annaleo97/Desktop/СРОД/Фото города/Эрмитаж-3.jpeg,land_ermitage,doc_land_ermitage_01;doc_land_ermitage_02,315,160,"25,19,265,122",auto_baseline_needs_review,
img_ermitage_03,Эрмитаж.jpeg,/Users/annaleo97/Desktop/СРОД/Фото города/Эрмитаж.jpeg,land_ermitage,doc_land_ermitage_01;doc_land_ermitage_02,300,168,"24,20,252,128",auto_baseline_needs_review,
