Модальность,Уровень 1,Уровень 2,Уровень 3,Вектор
,кот,descriptions/кот_description_15.txt,ориентальная грациозная стройная гладкая шерсть живость любознательность,descriptions/кот_description_vector_15.txt
,кот,descriptions/кот_description_16.txt,корнишрекс кудрявая волнистая шерсть игривый подвижный,descriptions/кот_description_vector_16.txt
,кот,descriptions/кот_description_17.txt,саванна крупная энергичная пятнистая независимость умный,descriptions/кот_description_vector_17.txt
,кот,descriptions/кот_description_18.txt,бурманская средний размер плотная короткая шерсть преданность нежность,descriptions/кот_description_vector_18.txt
,кот,descriptions/кот_description_19.txt,тойгер мускулистый полосатый мех активный игривый,descriptions/кот_description_vector_19.txt
,кот,descriptions/кот_description_20.txt,хайлендстраит крупная пушистая спокойная независимость,descriptions/кот_description_vector_20.txt
,кот,descriptions/кот_description_21.txt,бирманская изысканная пушистая голубые глаза нежность игривость,descriptions/кот_description_vector_21.txt
,кот,descriptions/кот_description_22.txt,норвежская лесная крупное мощное густая шерсть выносливость независимость,descriptions/кот_description_vector_22.txt
,кот,descriptions/кот_description_23.txt,экзотическая короткая пушистая шерсть спокойный ласковый,descriptions/кот_description_vector_23.txt
,кот,descriptions/кот_description_24.txt,манчжурская левкойская крупное мощное короткая шерсть сила храбрость,descriptions/кот_description_vector_24.txt
,кот,descriptions/кот_description_25.txt,курильский бобтейл компактное энергичное короткая шерсть дикий независимость,descriptions/кот_description_vector_25.txt
,кот,descriptions/кот_description_26.txt,корат изящная короткая шерсть серебристосерый окрас преданность умный,descriptions/кот_description_vector_26.txt
,кот,descriptions/кот_description_27.txt,турецкий ван крупная энергичная короткая шерсть яркие глаза любопытство игривость,descriptions/кот_description_vector_27.txt
,кот,descriptions/кот_description_28.txt,пиксибоб крупное мускулистое короткая пушистая шерсть спокойный ласковый,descriptions/кот_description_vector_28.txt
,кот,descriptions/кот_description_29.txt,донской сфинкс шерсти мускулистый уши нежность ласковость,descriptions/кот_description_vector_29.txt
,кот,descriptions/кот_description_30.txt,японский бобтейл средний размер пушистая шерсть крепкая мордочка преданность выносливость,descriptions/кот_description_vector_30.txt
,курица,descriptions/курица_description_1.txt,маленькие пестрая серого белого коричневого круглая короткий,descriptions/курица_description_vector_1.txt
,курица,descriptions/курица_description_2.txt,крупная пушистые яркорыжая высокая крепкая,descriptions/курица_description_vector_2.txt
,курица,descriptions/курица_description_3.txt,мелкая яркая гордая длинный прямой,descriptions/курица_description_vector_3.txt
,курица,descriptions/курица_description_4.txt,средний густое мягкие пушистые хорошая умеренный,descriptions/курица_description_vector_4.txt
,курица,descriptions/курица_description_5.txt,крупная мощная стоячий пышные,descriptions/курица_description_vector_5.txt
,курица,descriptions/курица_description_6.txt,средний узкий длинный белый яркокрасный,descriptions/курица_description_vector_6.txt
,курица,descriptions/курица_description_7.txt,средний краснокоричневый хорошая высокая,descriptions/курица_description_vector_7.txt
,курица,descriptions/курица_description_8.txt,крупная широкий пушистый различный черный белый коричневый,descriptions/курица_description_vector_8.txt
,курица,descriptions/курица_description_9.txt,средний густой короткий яркий пестрый,descriptions/курица_description_vector_9.txt
,курица,descriptions/курица_description_10.txt,маленький круглый густое пестрый,descriptions/курица_description_vector_10.txt
,курица,descriptions/курица_description_11.txt,крупный мощный длинный крупный выносливый,descriptions/курица_description_vector_11.txt
,курица,descriptions/курица_description_12.txt,средний пышный коричневый яркий,descriptions/курица_description_vector_12.txt
,курица,descriptions/курица_description_13.txt,крупный плотный яркопестрый хороший,descriptions/курица_description_vector_13.txt
,курица,descriptions/курица_description_14.txt,крупный длинный мощный яркий,descriptions/курица_description_vector_14.txt
,курица,descriptions/курица_description_15.txt,средний пестрый яркий пушистый,descriptions/курица_description_vector_15.txt
,курица,descriptions/курица_description_16.txt,крупный голубоватый серый широкий,descriptions/курица_description_vector_16.txt
,курица,descriptions/курица_description_17.txt,средний блестящий черный яркий,descriptions/курица_description_vector_17.txt
,курица,descriptions/курица_description_18.txt,крупный пушистый белый широкий,descriptions/курица_description_vector_18.txt
,курица,descriptions/курица_description_19.txt,маленький пестрый голубоватый серый,descriptions/курица_description_vector_19.txt
,курица,descriptions/курица_description_20.txt,крупный мощный пушистый широкий,descriptions/курица_description_vector_20.txt
,курица,descriptions/курица_description_21.txt,средний пушистый черный круглый,descriptions/курица_description_vector_21.txt
,курица,descriptions/курица_description_22.txt,средний коричневый белый длинный,descriptions/курица_description_vector_22.txt
,курица,descriptions/курица_description_23.txt,средний яркий красночерный густой,descriptions/курица_description_vector_23.txt
,курица,descriptions/курица_description_24.txt,маленький голубоватый серый длинный,descriptions/курица_description_vector_24.txt
,курица,descriptions/курица_description_25.txt,средний голубой пушистый волноватый,descriptions/курица_description_vector_25.txt
,курица,descriptions/курица_description_26.txt,средний коричневый белый длинный,descriptions/курица_description_vector_26.txt
,курица,descriptions/курица_description_27.txt,средний черный коричневый яркий,descriptions/курица_description_vector_27.txt
,курица,descriptions/курица_description_28.txt,средний пестрый чернобелый красный,descriptions/курица_description_vector_28.txt
,курица,descriptions/курица_description_29.txt,средний пушистый длинный голубой,descriptions/курица_description_vector_29.txt
,курица,descriptions/курица_description_30.txt,крупный пестрый чернобелый красный,descriptions/курица_description_vector_30.txt
,корова,descriptions/корова_description_1.txt,высокий удой молочные чернобелая окраска 10 000 литров молока,descriptions/корова_description_vector_1.txt
,корова,descriptions/корова_description_2.txt,высокое содержание жира молоко компактные светлокоричневая окраска,descriptions/корова_description_vector_2.txt
,корова,descriptions/корова_description_3.txt,качественное мясо мраморность черного цвета устойчивы,descriptions/корова_description_vector_3.txt
,корова,descriptions/корова_description_4.txt,популярная мясная краснобелая окраска крепкое телосложение адаптация,descriptions/корова_description_vector_4.txt
,корова,descriptions/корова_description_5.txt,молоко мясо золотистокрасный окрас выносливость продуктивность,descriptions/корова_description_vector_5.txt
,корова,descriptions/корова_description_6.txt,высокое качество говядины красноватозолотистая окраска крепкое телосложение,descriptions/корова_description_vector_6.txt
,корова,descriptions/корова_description_7.txt,быстрый рост высокий выход мяса белый кремовый цвет крупные,descriptions/корова_description_vector_7.txt
,корова,descriptions/корова_description_8.txt,мышечная масса высокий выход мяса светлоголубая окраска двойная мускулатура,descriptions/корова_description_vector_8.txt
,корова,descriptions/корова_description_9.txt,молочное производство высокие удои чернобелая окраска,descriptions/корова_description_vector_9.txt
,корова,descriptions/корова_description_10.txt,устойчива жаре индия красная пятнистая окраска высокое содержание жира,descriptions/корова_description_vector_10.txt
,корова,descriptions/корова_description_11.txt,молочная продуктивность долгий срок жизни серокоричневая окраска,descriptions/корова_description_vector_11.txt
,корова,descriptions/корова_description_12.txt,молочные качества крепкое здоровье краснобелая окраска устойчива заболеваниям,descriptions/корова_description_vector_12.txt
,корова,descriptions/корова_description_13.txt,высококачественное молоко пятнистая окраска крепкое телосложение продуктивность,descriptions/корова_description_vector_13.txt
,корова,descriptions/корова_description_14.txt,высокое содержание жира белка светлокоричневая окраска производство масла,descriptions/корова_description_vector_14.txt
,корова,descriptions/корова_description_15.txt,молоко мясо серокоричневая окраска горные условия,descriptions/корова_description_vector_15.txt
,корова,descriptions/корова_description_16.txt,качественное мясо темнокоричневая окраска выносливость интенсивный откорм,descriptions/корова_description_vector_16.txt
,корова,descriptions/корова_description_17.txt,мелкие универсальные молоко мясо черная красная окраска,descriptions/корова_description_vector_17.txt
,корова,descriptions/корова_description_18.txt,качественное мясо низкое содержание жира белая серая окраска гипертрофия мышц,descriptions/корова_description_vector_18.txt
,корова,descriptions/корова_description_19.txt,выносливость качественное мясо черная белая окраска густая шерсть,descriptions/корова_description_vector_19.txt
,корова,descriptions/корова_description_20.txt,устойчивость жаре болезни красная окраска крупные,descriptions/корова_description_vector_20.txt
,корова,descriptions/корова_description_21.txt,молочная продуктивность выносливость светлосерая окраска суровый климат,descriptions/корова_description_vector_21.txt
,корова,descriptions/корова_description_22.txt,устойчивость жаре сухой климат красная окраска молочные качества,descriptions/корова_description_vector_22.txt
,корова,descriptions/корова_description_23.txt,молочная продуктивность чернопестрая окраска северные регионы,descriptions/корова_description_vector_23.txt
,корова,descriptions/корова_description_24.txt,высокая молочная продуктивность чернобелая окраска адаптация,descriptions/корова_description_vector_24.txt
,корова,descriptions/корова_description_25.txt,высококачественное молоко северные регионы чернопестрая окраска,descriptions/корова_description_vector_25.txt
,корова,descriptions/корова_description_26.txt,устойчивость суровый климат краснокоричневая окраска мясные качества,descriptions/корова_description_vector_26.txt
,корова,descriptions/корова_description_27.txt,горб спине устойчивость жаре молоко мясо различные окрасы,descriptions/корова_description_vector_27.txt
,корова,descriptions/корова_description_28.txt,универсальность крепкое здоровье темнокрасная окраска молоко мясо,descriptions/корова_description_vector_28.txt
,корова,descriptions/корова_description_29.txt,качественное мясо адаптация красная окраска крепкое телосложение,descriptions/корова_description_vector_29.txt
,корова,descriptions/корова_description_30.txt,молочная продуктивность чернобелая окраска средний размер адаптация,descriptions/корова_description_vector_30.txt
,собака,descriptions/собака_description_1.txt,крупная мощное телосложение прямая спина чернобелый окрас,descriptions/собака_description_vector_1.txt
,собака,descriptions/собака_description_2.txt,средний размер крепкое телосложение короткая шерсть черный желтый шоколадный окрас,descriptions/собака_description_vector_2.txt
,собака,descriptions/собака_description_3.txt,крупная плотная шерсть золотистый окрас пушистый хвост,descriptions/собака_description_vector_3.txt
,собака,descriptions/собака_description_4.txt,коренастая морщинистая морда короткая шерсть тигровый белый пятнами окрас,descriptions/собака_description_vector_4.txt
,собака,descriptions/собака_description_5.txt,маленькая компактная гладкая шерсть триколор окрас,descriptions/собака_description_vector_5.txt
,собака,descriptions/собака_description_6.txt,изящная кудрявая шерсть черный белый коричневый серый абрикосовый окрас,descriptions/собака_description_vector_6.txt
,собака,descriptions/собака_description_7.txt,крупная мощная короткая шерсть черный рыжими подпалинами,descriptions/собака_description_vector_7.txt
,собака,descriptions/собака_description_8.txt,маленькая длинная шерсть шелковистая стальной золотистым окрас,descriptions/собака_description_vector_8.txt
,собака,descriptions/собака_description_9.txt,средний размер гладкая шерсть белый черными коричневыми пятнами,descriptions/собака_description_vector_9.txt
,собака,descriptions/собака_description_10.txt,маленькая короткая длинная шерсть любой окрас большие уши крупные глаза,descriptions/собака_description_vector_10.txt
,собака,descriptions/собака_description_11.txt,крепкая мускулистая короткая шерсть палевый тигровый окрас,descriptions/собака_description_vector_11.txt
,собака,descriptions/собака_description_12.txt,элегантная стройная короткая шерсть черный коричневый рыжими подпалинами,descriptions/собака_description_vector_12.txt
,собака,descriptions/собака_description_13.txt,маленькая длинная шерсть любой цвет борода усы большие глаза,descriptions/собака_description_vector_13.txt
,собака,descriptions/собака_description_14.txt,средний размер плотная шерсть чернобелый краснобелый мраморный окрас,descriptions/собака_description_vector_14.txt
,собака,descriptions/собака_description_15.txt,маленькая короткая шерсть светлый черный окрас морщинистая морда круглые глаза,descriptions/собака_description_vector_15.txt
,собака,descriptions/собака_description_16.txt,очень крупная густая шерсть белый рыжими отметинами мощное телосложение,descriptions/собака_description_vector_16.txt
,собака,descriptions/собака_description_17.txt,средний размер густая шерсть мраморный черный красный трехцветный окрас,descriptions/собака_description_vector_17.txt
,собака,descriptions/собака_description_18.txt,маленькая густая шерсть черный белый оранжевый кремовый окрас стоячие уши,descriptions/собака_description_vector_18.txt
,собака,descriptions/собака_description_19.txt,маленькая длинная шерсть черноподпалый рубиновый бленхейм триколор окрас большие глаза,descriptions/собака_description_vector_19.txt
,собака,descriptions/собака_description_20.txt,маленькая короткая шерсть черный тигровый печеночный окрас белые отметины,descriptions/собака_description_vector_20.txt
,собака,descriptions/собака_description_21.txt,средний размер густая шерсть различные окрасы длинные уши,descriptions/собака_description_vector_21.txt
,собака,descriptions/собака_description_22.txt,средний размер короткая шерсть глубокие морщины черный красный кремовый голубой окрас,descriptions/собака_description_vector_22.txt
,собака,descriptions/собака_description_23.txt,крупная мощная плотная шерсть белый рыжий тигровый пятнистый окрас стоячие уши,descriptions/собака_description_vector_23.txt
,собака,descriptions/собака_description_24.txt,средний размер густая шерсть черный серый рыжий белый окрас голубые разноцветные глаза,descriptions/собака_description_vector_24.txt
,собака,descriptions/собака_description_25.txt,очень крупная массивная короткая шерсть палевый абрикосовый тигровый окрас морщинистая морда,descriptions/собака_description_vector_25.txt
,собака,descriptions/собака_description_26.txt,крупная густая шерсть серый черный рыжий окрас стоячие уши,descriptions/собака_description_vector_26.txt
,собака,descriptions/собака_description_27.txt,крупная элегантная длинная шерсть красный махаоновый окрас длинные уши,descriptions/собака_description_vector_27.txt
,собака,descriptions/собака_description_28.txt,средний размер короткая шерсть различные окрасы крепкое телосложение мощные челюсти,descriptions/собака_description_vector_28.txt
,собака,descriptions/собака_description_29.txt,маленькая крепкая короткие лапы длинное тело рыжий черный подпалом палевый трехцветный окрас,descriptions/собака_description_vector_29.txt
,собака,descriptions/собака_description_30.txt,маленькая длинная шерсть золотой белый черный серый окрас выразительные глаза,descriptions/собака_description_vector_30.txt
,осел,descriptions/осел_description_1.txt,средний размер крепкое телосложение прямые ноги серый черная полоса крестообразная отметина,descriptions/осел_description_vector_1.txt
,осел,descriptions/осел_description_2.txt,крупный длинные уши густая шерсть серый темнокоричневый,descriptions/осел_description_vector_2.txt
,осел,descriptions/осел_description_3.txt,средний размер плотная шерсть серый коричневый,descriptions/осел_description_vector_3.txt
,осел,descriptions/осел_description_4.txt,крупный длинные ноги короткая шерсть светлокоричневый серый,descriptions/осел_description_vector_4.txt
,осел,descriptions/осел_description_5.txt,крупный длинные уши густая шерсть черный темнокоричневый,descriptions/осел_description_vector_5.txt
,осел,descriptions/осел_description_6.txt,средний размер гладкая шерсть светлосерый коричневый,descriptions/осел_description_vector_6.txt
,осел,descriptions/осел_description_7.txt,крупный густая шерсть черный темнокоричневый,descriptions/осел_description_vector_7.txt
,осел,descriptions/осел_description_8.txt,крупный короткая шерсть черный серый,descriptions/осел_description_vector_8.txt
,осел,descriptions/осел_description_9.txt,средний размер гладкая шерсть серый коричневый,descriptions/осел_description_vector_9.txt
,осел,descriptions/осел_description_10.txt,крупный плотная шерсть серый коричневый,descriptions/осел_description_vector_10.txt
,осел,descriptions/осел_description_11.txt,средний размер короткая шерсть светлокоричневый серый,descriptions/осел_description_vector_11.txt
,осел,descriptions/осел_description_12.txt,маленький короткая шерсть серый коричневый,descriptions/осел_description_vector_12.txt
,осел,descriptions/осел_description_13.txt,средний размер короткая шерсть серый коричневый,descriptions/осел_description_vector_13.txt
,осел,descriptions/осел_description_14.txt,крупный гладкая шерсть светлокоричневый серый,descriptions/осел_description_vector_14.txt
,осел,descriptions/осел_description_15.txt,средний размер короткая шерсть серый коричневый,descriptions/осел_description_vector_15.txt
,осел,descriptions/осел_description_16.txt,крупный гладкая шерсть светлокоричневый серый,descriptions/осел_description_vector_16.txt
,осел,descriptions/осел_description_17.txt,средний размер короткая шерсть серый коричневый,descriptions/осел_description_vector_17.txt
,осел,descriptions/осел_description_18.txt,крупный плотная шерсть черный темнокоричневый,descriptions/осел_description_vector_18.txt
,осел,descriptions/осел_description_19.txt,средний размер короткая шерсть светлокоричневый серый,descriptions/осел_description_vector_19.txt
,осел,descriptions/осел_description_20.txt,крупный короткая шерсть черный темнокоричневый,descriptions/осел_description_vector_20.txt
,осел,descriptions/осел_description_21.txt,средний размер короткая шерсть серый коричневый,descriptions/осел_description_vector_21.txt
,осел,descriptions/осел_description_22.txt,средний размер плотная шерсть серый коричневый,descriptions/осел_description_vector_22.txt
,осел,descriptions/осел_description_23.txt,средний размер короткая шерсть серый коричневый,descriptions/осел_description_vector_23.txt
,осел,descriptions/осел_description_24.txt,крупный плотная шерсть черный темнокоричневый,descriptions/осел_description_vector_24.txt
,осел,descriptions/осел_description_25.txt,средний размер короткая шерсть серый коричневый,descriptions/осел_description_vector_25.txt
,осел,descriptions/осел_description_26.txt,маленький короткая шерсть серый коричневый,descriptions/осел_description_vector_26.txt
,осел,descriptions/осел_description_27.txt,маленький короткая шерсть серый коричневый,descriptions/осел_description_vector_27.txt
,осел,descriptions/осел_description_28.txt,средний размер короткая шерсть серый коричневый,descriptions/осел_description_vector_28.txt
,осел,descriptions/осел_description_29.txt,средний размер короткая шерсть серый коричневый,descriptions/осел_description_vector_29.txt
,осел,descriptions/осел_description_30.txt,крупный короткая шерсть серый коричневый,descriptions/осел_description_vector_30.txt
,лягушка,descriptions/лягушка_description_1.txt,маленькие белоснежная темные глаза плоское короткие,descriptions/лягушка_description_vector_1.txt
,лягушка,descriptions/лягушка_description_2.txt,яркожелтые глаза зеленоватокоричневая узкое длинные,descriptions/лягушка_description_vector_2.txt
,лягушка,descriptions/лягушка_description_3.txt,крошечная пестрый вытянутый яркие пятна короткие,descriptions/лягушка_description_vector_3.txt
,лягушка,descriptions/лягушка_description_4.txt,крупная плотное широкая зеленоватокоричневая темные полосы,descriptions/лягушка_description_vector_4.txt
,лягушка,descriptions/лягушка_description_5.txt,яркокрасная черные окраска короткие длинные лапки,descriptions/лягушка_description_vector_5.txt
,лягушка,descriptions/лягушка_description_6.txt,маленькая белая яркие оранжевые глаза пузырьковая,descriptions/лягушка_description_vector_6.txt
,лягушка,descriptions/лягушка_description_7.txt,коричневая обрывок тело широкие плавательные лапки,descriptions/лягушка_description_vector_7.txt
,лягушка,descriptions/лягушка_description_8.txt,яркозеленые золотистые глаза широкое плавательные пальцы,descriptions/лягушка_description_vector_8.txt
,лягушка,descriptions/лягушка_description_9.txt,песочнокоричневая мелкие черные глаза плоское длинные,descriptions/лягушка_description_vector_9.txt
,лягушка,descriptions/лягушка_description_10.txt,яркооранжевая черные полосы узкое длинные,descriptions/лягушка_description_vector_10.txt
,лягушка,descriptions/лягушка_description_11.txt,крупная металлически блестящей коричневого массивные лапки,descriptions/лягушка_description_vector_11.txt
,лягушка,descriptions/лягушка_description_12.txt,черная глянцевая короткие передние лапки,descriptions/лягушка_description_vector_12.txt
,лягушка,descriptions/лягушка_description_13.txt,коричневая пятна землистого круглое мощные лапки,descriptions/лягушка_description_vector_13.txt
,лягушка,descriptions/лягушка_description_14.txt,узкое длинные плавательные пальцы мягкая гладкая,descriptions/лягушка_description_vector_14.txt
,лягушка,descriptions/лягушка_description_15.txt,серебристосерая крупные черные глаза мощные широкие,descriptions/лягушка_description_vector_15.txt
,лягушка,descriptions/лягушка_description_16.txt,голубая светлосерые узкое вытянутое глаза,descriptions/лягушка_description_vector_16.txt
,лягушка,descriptions/лягушка_description_17.txt,разноцветные пятна круглые глаза гибкие лапки,descriptions/лягушка_description_vector_17.txt
,лягушка,descriptions/лягушка_description_18.txt,маленькая кремовобелая яркоголубые плавательные мембраны,descriptions/лягушка_description_vector_18.txt
,лягушка,descriptions/лягушка_description_19.txt,коричневая зеленые мелкие округлые пятна,descriptions/лягушка_description_vector_19.txt
,лягушка,descriptions/лягушка_description_20.txt,белая коричневая плоское мелкие черные глаза,descriptions/лягушка_description_vector_20.txt
,лягушка,descriptions/лягушка_description_21.txt,маленькая оранжевые черные зеленые глаза плавательные,descriptions/лягушка_description_vector_21.txt
,лягушка,descriptions/лягушка_description_22.txt,голубоватосерая множество мелких шипов круглые глаза,descriptions/лягушка_description_vector_22.txt
,лягушка,descriptions/лягушка_description_23.txt,кремовобелая яркоголубые глаза плавательные мембраны,descriptions/лягушка_description_vector_23.txt
,лягушка,descriptions/лягушка_description_24.txt,голубоватая желтые глаза плоское широкое,descriptions/лягушка_description_vector_24.txt
,лягушка,descriptions/лягушка_description_25.txt,серебристосерая крупные золотистые глаза мощные широкие,descriptions/лягушка_description_vector_25.txt
,лягушка,descriptions/лягушка_description_26.txt,зеленоватокоричневая черные пятна гладкая блестящая,descriptions/лягушка_description_vector_26.txt
,лягушка,descriptions/лягушка_description_27.txt,золотистожелтая черные глаза плоское широкое,descriptions/лягушка_description_vector_27.txt
,лягушка,descriptions/лягушка_description_28.txt,разноцветные пятнистый мелкие округлые глаза,descriptions/лягушка_description_vector_28.txt
,лягушка,descriptions/лягушка_description_29.txt,зеленоватокоричневая тонкая длинная мордочка плавательные мембраны,descriptions/лягушка_description_vector_29.txt
,лягушка,descriptions/лягушка_description_30.txt,коричневая яркие пятна пушистые глаза,descriptions/лягушка_description_vector_30.txt
,лев,descriptions/лев_description_1.txt,крупный густая красноватожелтая грива мощная морда,descriptions/лев_description_vector_1.txt
,лев,descriptions/лев_description_2.txt,крупный густая коричневожелтая грива пышная,descriptions/лев_description_vector_2.txt
,лев,descriptions/лев_description_3.txt,крупный темная густая пышная голова морда,descriptions/лев_description_vector_3.txt
,лев,descriptions/лев_description_4.txt,крупный яркая золотистожелтая пышная морда,descriptions/лев_description_vector_4.txt
,лев,descriptions/лев_description_5.txt,крупный короткая золотистожелтая густая пышная,descriptions/лев_description_vector_5.txt
,лев,descriptions/лев_description_6.txt,массивный короткая золотистожелтая морда,descriptions/лев_description_vector_6.txt
,лев,descriptions/лев_description_7.txt,крупный короткая золотистожелтая пышная вытянутая,descriptions/лев_description_vector_7.txt
,лев,descriptions/лев_description_8.txt,крупный короткая золотистожелтая пышная морда,descriptions/лев_description_vector_8.txt
,лев,descriptions/лев_description_9.txt,крупный короткая золотистожелтая пышная выразительная,descriptions/лев_description_vector_9.txt
,лев,descriptions/лев_description_10.txt,крупный грациозный короткая золотистожелтая пышная,descriptions/лев_description_vector_10.txt
,лев,descriptions/лев_description_11.txt,крупный короткая золотистожелтая пышная мощная,descriptions/лев_description_vector_11.txt
,лев,descriptions/лев_description_12.txt,крупный короткая золотистожелтая пышная мощная,descriptions/лев_description_vector_12.txt
,лев,descriptions/лев_description_13.txt,крупный мускулистый пышная золотистожелтая,descriptions/лев_description_vector_13.txt
,лев,descriptions/лев_description_14.txt,крупный величественный короткая золотистожелтая раскидистая,descriptions/лев_description_vector_14.txt
,лев,descriptions/лев_description_15.txt,крупный массивный короткая золотистожелтая пышная,descriptions/лев_description_vector_15.txt
,лев,descriptions/лев_description_16.txt,крупный мощный короткая золотистожелтая пышная,descriptions/лев_description_vector_16.txt
,лев,descriptions/лев_description_17.txt,крупный грациозный короткая золотистожелтая пышная,descriptions/лев_description_vector_17.txt
,лев,descriptions/лев_description_18.txt,крупный мощный короткая золотистожелтая пышная,descriptions/лев_description_vector_18.txt
,лев,descriptions/лев_description_19.txt,крупный грациозный короткая золотистожелтая пышная,descriptions/лев_description_vector_19.txt
,лев,descriptions/лев_description_20.txt,крупный мускулистый короткая золотистожелтая пышная,descriptions/лев_description_vector_20.txt
,лев,descriptions/лев_description_21.txt,крупный величественный короткая золотистожелтая раскидистая,descriptions/лев_description_vector_21.txt
,лев,descriptions/лев_description_22.txt,крупный мощный короткая золотистожелтая пышная,descriptions/лев_description_vector_22.txt
,лев,descriptions/лев_description_23.txt,крупный мускулистый короткая золотистожелтая густая,descriptions/лев_description_vector_23.txt
,лев,descriptions/лев_description_24.txt,крупный величественный короткая золотистожелтая разветвленная,descriptions/лев_description_vector_24.txt
,лев,descriptions/лев_description_25.txt,крупный грациозный короткая золотистожелтая раскидистая,descriptions/лев_description_vector_25.txt
,лев,descriptions/лев_description_26.txt,крупный мускулистый короткая золотистожелтая объемная,descriptions/лев_description_vector_26.txt
,лев,descriptions/лев_description_27.txt,крупный грациозный короткая золотистожелтая разветвленная,descriptions/лев_description_vector_27.txt
,лев,descriptions/лев_description_28.txt,крупный величественный короткая золотистожелтая пышная,descriptions/лев_description_vector_28.txt
,лев,descriptions/лев_description_29.txt,крупный мощный короткая золотистожелтая объемная,descriptions/лев_description_vector_29.txt
,лев,descriptions/лев_description_30.txt,крупный величественный короткая золотистожелтая пышная,descriptions/лев_description_vector_30.txt
,обезьяна,descriptions/обезьяна_description_1.txt,крупные черный мех лицо сильные передние,descriptions/обезьяна_description_vector_1.txt
,обезьяна,descriptions/обезьяна_description_2.txt,крупные массивный торс сильные конечности гребень,descriptions/обезьяна_description_vector_2.txt
,обезьяна,descriptions/обезьяна_description_3.txt,длинные красноватый мех руки мордочка выраженный,descriptions/обезьяна_description_vector_3.txt
,обезьяна,descriptions/обезьяна_description_4.txt,длинные короткие тела мех различные оттенки,descriptions/обезьяна_description_vector_4.txt
,обезьяна,descriptions/обезьяна_description_5.txt,средние короткий широко раздвигающиеся ноздри хвост,descriptions/обезьяна_description_vector_5.txt
,обезьяна,descriptions/обезьяна_description_6.txt,длинные темный мех мордочка грациозный взгляд,descriptions/обезьяна_description_vector_6.txt
,обезьяна,descriptions/обезьяна_description_7.txt,маленькие яркий мех глаза пестрые узоры,descriptions/обезьяна_description_vector_7.txt
,обезьяна,descriptions/обезьяна_description_8.txt,узкие длинные хвост мех разнообразных оттенков,descriptions/обезьяна_description_vector_8.txt
,обезьяна,descriptions/обезьяна_description_9.txt,маленькие тонкие конечности длинный хвост серый,descriptions/обезьяна_description_vector_9.txt
,обезьяна,descriptions/обезьяна_description_10.txt,маленькие короткий мех выразительные пятна лицо,descriptions/обезьяна_description_vector_10.txt
,обезьяна,descriptions/обезьяна_description_11.txt,крупные густый мех массивный мордочка уши,descriptions/обезьяна_description_vector_11.txt
,обезьяна,descriptions/обезьяна_description_12.txt,длинные мордочки зубы черные глаза короткие,descriptions/обезьяна_description_vector_12.txt
,обезьяна,descriptions/обезьяна_description_13.txt,длинные шершавые мордочки белые круглые пятна,descriptions/обезьяна_description_vector_13.txt
,обезьяна,descriptions/обезьяна_description_14.txt,длинные изогнутые хвосты мех яркие цветные,descriptions/обезьяна_description_vector_14.txt
,обезьяна,descriptions/обезьяна_description_15.txt,крупные пушистый мех черные глаза белый,descriptions/обезьяна_description_vector_15.txt
,обезьяна,descriptions/обезьяна_description_16.txt,крупные короткий мех выступающие скулы острые,descriptions/обезьяна_description_vector_16.txt
,обезьяна,descriptions/обезьяна_description_17.txt,маленькие пушистый мех сероватобелый лицо глаза,descriptions/обезьяна_description_vector_17.txt
