,complaint_text,Topic,User,TicketId,isClassifiedInto,isRoutedTo,isClassifiedBy
16,xxxx xxxx a sofa love seat table and chairs and was never delivered debit card charged bank says visa denied claim we have no furniture and no money,4,UserID32,Ticket33,FinanceDepartment,FinanceDepartment,LogRegClassifier
17,my card went missing and i didnt realize it until today i checked my email and they said there has been deposits and money taken out again i had in my bank account and its gone,0,UserID34,Ticket35,SalesDepartment,SalesDepartment,LogRegClassifier
18,"chase sent me an email today with the innocuous title  important information regarding changes to your chase account   they often use similar titles for ads and other communications  

in it they force me into binding arbitration  despite that never being something i had agreed to and never being a part of any contract between me and them  

they do include a method to opt out but have no additional information about the consequences  many other people ive seen who have had a similar problem are afraid that chase will close their account if they opt out  and even more egregiously despite chase simply sending an email doing this they require me to mail them a letter with my personal information enclosed in order to opt out 

this is clearly less secure and a massive loss of both my time and money that is clearly being used solely to dissuade people from opting out 

this is blatant malpractice by chase",0,UserID36,Ticket37,SalesDepartment,SalesDepartment,LogRegClassifier
19,"i made a purchase with xxxx xxxx xxxx on in the amount of i was charged twice for this transaction i placed a disputes case with chase bank on when i noticed the charge on my account i called back on sunday about the provisional credit for the charge and again on monday i was told the charge had to post before a provisional credit could be provided i used my debt card on monday then tried to use it again but it would not work i went to chase bank on xxxx xxxx xxxx in xxxx xxxx nevada and was told that my account was closed due to fraudulent activity i was shocked because i had not reported fraud on my account i later found out that i was being accused by the disputes department of placing a fraudulent disputes case for the duplicate charge from xxxx xxxx  xxxx i later contacted xxxx xxxx  xxxx again and was told that they did see a duplicate charge and would credit my account within days i contacted the chase disputes department again on monday xxxxxxxx and explained thaxxxx xxxx xxxx xxxx would credit my account and that i did not like being accused of making a fraudulent disputes claim the escalation manager did not care and told me that chase decision on closing my account was final i had been a customer of chase for xxxx   years my character has been challenged by the disputes agents and i consider this to be detrimental to my character and slander 

i am not seeking to keep my account open with chase but i also do not want chase reporting that they closed my checking account involuntarily 

once again i do not want chase to have the checking account that i had with them being reflecting on any public records as being closed as involuntary closure by chase 

i did nothing wrong by filing a disputes claim for the duplicate charge or any other disputes cases that were filed in the past",4,UserID38,Ticket39,FinanceDepartment,FinanceDepartment,SVMClassifier
20,"jp morgan chase bank please answer the following questions  on xxxxxxxx xxxxxxxxxxxxxxxx xxxxxxxx  xxxxxxxx jpmorgan chase accessed information about me through xxxx xxxx xxxx  xxxx 
what was the valid reason for accessing my personal information through xxxx xxxx xxxx  xxxx 

the chase checking account that was closed recently during xxxxxxxx had a routing or xxxx number of xxxx according to checks and statements provided to me by chase 
xxxx xxxx xxxx showed chase reporting an xxxx routing number of xxxx before and after i had disputed the xxxx number with chase 
why do these two routing numbers not match 

xxxxxxxx i received a response from xxxx xxxx xxxx xxxx to a dispute about information chase was providing on my report dispute case id xxxx the information chase had been submitting was deleted due to disputed info being incomplete inaccurate or unverifiable 
is this true 

once again i have asked questions 

i will send the cfpb copies of the information i have pertaining to the questions in this complaint via us mail which are the xxxx xxxx xxxx xxxx reports ive received 

thank you for your attention and humbly await your response",4,UserID40,Ticket41,FinanceDepartment,FinanceDepartment,SequentialClassifier
21,i am a senior citizen that has been scammed by several companies from xxxx to xxxx i have paid over to these time share companies and they have did nothing at all they were all misleading and i have tried to get a refund from them and my credit card i have been unsucceful i have all the information on every company that i have paid,1,UserID42,Ticket43,TechnicalDepartment,TechnicalDepartment,SVMClassifier
22,"my roommate was stealing my chase debit card and drivers license  pretending to be me and withdrawing money from my account he admitted that he figured out my pin because it happens to be the same as my phone password 

he also admitted that he would sneak into my room while i was sleeping and put the card back before i woke up 

he apologized but says he spent the money i tried to dispute this with chase but they claim that since my debit card pin number was used that they cant prove it wasnt me 

although they advertise that i have fraud protection they refuse to give me my money back 

atm withdrawl  xxxxxxxx  atm withdrawl  xxxxxxxx  atm withdrawl  xxxxxxxx  atm withdrawl  xxxxxxxx  atm withdrawl  xxxxxxxx  atm withdrawl  xxxxxxxx",1,UserID44,Ticket45,TechnicalDepartment,TechnicalDepartment,SVMClassifier
23,i have been trying to do a loan modification with chase and all they do is give me the runaround im mo behind they dont let me make payments i have aens all doc in but always asking more,2,UserID46,Ticket47,TrashDepartment,TrashDepartment,SequentialClassifier
24,"i made a purchase of on xxxxxxxx i made payments of on xxxxxxxx and on xxxxxxxx the minimum payment was the closing date was xxxxxxxx  please see attached statement  that statement  xxxxxxxx  shows that i had an outstanding purchase balance of on xxxxxxxx i have enclosed the previous months statement to show that there were no other purchases prior to the one on xxxxxxxx 
however when i got the xxxx statement it shows that i still have a purchase balance of i have a promotional balance xxxx  in xxxx of in xxxx the promotional balance was a difference of apparently the payment  above the minimum payment required by chase  i thought would be applied to the purchase  was applied to the promotional balance first it is my understanding that once the minimum payment has been met payments in excess of the minimum would be applied to the highest interest rate balance first this is not the first time that chase has skirted us financial law to turn a larger profit i need help in rectifying this problem because my logic fell on deaf ears at chase thank you in advance for your assistance 

respectfully xxxx xxxx xxxx",2,UserID48,Ticket49,TrashDepartment,TrashDepartment,LogRegClassifier
25,"i currently have over xxxx chase ultimate rewards points which are worth at least around months ago  when i tried to access my chase ultimate rewards account  or even activate the bonus on chase freedom  i would get shown this page that says  we are unable to complete your request at this time   image attached as well   xxxx  xxxx at first i thought it was just a temporary error  which isnt uncommon for chase  but after weeks this was still happening so i called customer support they opened a ticket got escalated to their tech team but when i would call back to find out what happened they told me that the case had been closed this happened times and each call has taken a lot of time to explain the situation and verify a bunch of information 

going from ultimaterewardscom and chasecom have the  same result 

im not able to use these points by phone either because the operators for the travel center are not able to access my accountpoints neither 

ive tried every browser both xxxx and xxxx computers and the xxxx chase phone application they all send me to the page that says  we are unable to complete your request at this time  on xxxxxxxx i looked up some people that work in ultimate rewards on xxxx and cold called a vp of customer relations he acted like he was helpful at first and we exchanged some emails he eventually said i can buy a flighthotel using chase sapphire and if i give him the details he will deduct the appropriate points and credit my credit card for the purchase 

long story short he wasnt able to fix anything 

i can see that im still collecting points but i havent been able to access it 

i travel a lot and its become a huge inconvenience that im not able to access these points which i intended to use for travel i need to get this issue resolved asap",1,UserID50,Ticket51,TechnicalDepartment,TechnicalDepartment,SequentialClassifier
26,i tried to send almost at xxxx and the transaction was cancelled due to having no id i was charged but never received the service i was supposed to receive a refund back to my card but it never happened my account has since been closed and im out of almost,4,UserID52,Ticket53,FinanceDepartment,FinanceDepartment,SequentialClassifier
27,"chase is marketing credit cards to those of us with good credit like its going out of style be careful  the marketing is not clear if you already have a swa chase personal card do not apply for the new one online this has sent me through a xxxx triangle wasting my time and therefore money 

it appears in the middle of chase expanded their undisclosed rule to include all cobranded cards not just swa yet the marketing machine continues to ignore this policy and the agents on the phone are not well trained i am contacting the credit bureau bc two of the cards opened are not mine  that is the silver lining here 

however the issue with incessant marketing of their branded cards to customers plus this confusing rule and lack of agent phone training is false advertising the information is still relatively opaque as chase never comments on the rule but multiple reader and community data points suggest denials due to for cards previously exempt 

cfpb staff please help educate consumers and hold the big banks accountable for deceptive trade practices i do not believe this is intentional on chase s part but the second to last agent did encourage me to file a complaint here so be it 

thank you 

xxxx",1,UserID54,Ticket55,TechnicalDepartment,TechnicalDepartment,SequentialClassifier
28,i opened the chasexxxx xxxx rewards credit card at the time i was verbally told that the offer was xxxx rapid reward points and a companion pass after spending  xxxx in the first three months i followed a link provided to open the credit card now they are saying that the offer was over at the time and they have given me a much less valuable signup promotion that doesnt include the companion pass the companion pass was the entire reason we signedup and the reason the card was promoted to me they have informed me that the offer was from jan and that my cc shows approval on the xxxx xxxx the supervisor i spoke to said that they specifically dont send out offer details to confirm your offer when you sign up  thus denying me evidence  but also that they cant fix it without this evidence i feel that their offer and subsequent actions are fraudulent and constitute deceptive practices when i spoke to xxxx they acknowledged that it doesnt seem right but stated that chase is the one who has to authorize the deals so the error was definitely on their end,1,UserID56,Ticket57,TechnicalDepartment,TechnicalDepartment,SequentialClassifier
29,someone called stating i had felony committed under my social security number and name took xxxx out of my checking account to  secure my assets  stating from police department,0,UserID58,Ticket59,SalesDepartment,SalesDepartment,SVMClassifier
30,"i have wired through one of chase branches in xxxx xxxx the exact reinstatement amount of to jpmorgan chase bank in order to removewithdraw their wrongful foreclosure proceedings on my residential property

however the chase executive ms xxxx xxxx and its trustee xxxx xxxx xxxx xxxx are not honoring even their own rules and regulations she wants the total payoff of now in order to remove their wrongful foreclosure proceedings with sales date of at xxxx xxxx on my family resident

she knows i can not prepare xxxx in such a short time thats why i asked for minimum reinstatement amount to avoid foreclosure without resorting to chapter xxxx bankruptcy filing

i appreciate you assistant in bringing jpmorgan chase and its foreclosure trustee xxxx xxxx xxxx xxxx  quality  to their senses and stop harassing my family with their fraudulent default claim as explained in my previous complaint about them on xxxxxxxx

my previous complaint id is xxxx submitted product  mortgage issue wrongful foreclosure

thank you xxxx xxxx tell   xxxx  xxxx email  xxxx xxxx",2,UserID60,Ticket61,TrashDepartment,TrashDepartment,LogRegClassifier
31,"my dispute is for not receiving services listed below   one night at the hotel in xxxx for friday transportation to the hotel for friday private city tour of xxxx for friday xxxx xxxx private tour for friday grand total of reason for not receiving the services was that xxxx cancelled the flight from xxxx to xxxx for mechanical reasons 
i started the process for the of the refund thru xxxx xxxx i was told by xxxx xxxx that i needed to request the refund thru xxxx which i did i requested the refund and was told by xxxx that since i didnt purchase the ticket directly thru them but it was done thru a party i needed to go thru xxxx xxxx i went back to them and was told that they will not refund me 
i then started a dispute with my credit card chase visa for the charges the credit card dispute department closed my dispute saying that the vendor stated that i did receive the services which is not true but my credit card closed the dispute after several attempts by me to reopen the dispute",4,UserID62,Ticket63,FinanceDepartment,FinanceDepartment,SequentialClassifier
32,"i bought a new xxxx xxxx on xxxxxxxx from xxxx xxxx xxxx in xxxx 
i paid the loan in xxxxxxxxbut chase financial never release the title 
i contacted chase several time with no resolution each time they told me they will release it but nothing was done 
now i moved to another state and i can not get the registration in the other state because i do not have the title 
i will be obliged to rent a car since i can not use my car",2,UserID64,Ticket65,TrashDepartment,TrashDepartment,SequentialClassifier
33,"i recently called to ask chase bank why they reported to the credit bureau that i was days late on a payment that was already paid off when i called i got this info  they showed that on the xxxx of i was very late on my bill and owed xxxx to bring this balance down to xxxx and be finished with the bill i paid that amount on the same day the xxxx to being it to xxxx 

they say that i tried to make another payment for later that same day and in a few days that came back as a return payment 

the man on the phone stated to me that if the payment went through then it would have meant that i had a credit on my account for xxxx since i didnt owe anything 

they updated my account with charges and late fees from the return payment that i had no idea of since i thought i paid off the entire amount they reported to the credit bureau that i was days late for not paying what accrued to be the guy representing chase agreed with me that they were in the wrong for charging me the fees and said they would remove them i still have in the negative that they are saying that i owe in the mobile app 

additionally because they reported me being late my credit score dropped points when i called back to ask if they can report that they made a mistake they said i would have to do that on my own i think thats xxxx",2,UserID66,Ticket67,TrashDepartment,TrashDepartment,SequentialClassifier
34,unknown inquire reported on my credit bureau such as xxxx   and xxxx date of company chase auto,3,UserID68,Ticket69,TrashDepartment,TrashDepartment,LogRegClassifier
35,a student loan with chase bank they sold there accounts to xxxx  which now holds my account this happened back in though i have made numerous attempts to contact them they do not respond and they tell me know one works in that department any more so there is no one to contact because of this instead of saying sold on my credit report it shows that i am very behind on payments and it is hurting my credit i have called them and mailed letter and no response,2,UserID70,Ticket71,TrashDepartment,TrashDepartment,LogRegClassifier
36,i preordered an item on xxxxxxxx and paid with a chase credit card the merchant xxxx xxxx gave an estimated product shipment date of  xxxxxxxx  after waiting for this item for a significant amount of time i decided to cancel the order as it did not appear that the item would ever be completed and shipped on xxxxxxxx i requested a refund from the merchant xxxx xxxx on xxxxxxxx the merchant stated that my order was cancelled and the refund would return to the original method of payment in five business days the original method of payment was a chase credit card that i had since closed on xxxxxxxx i sent a secure message to chase requesting that the refund be transferred to one of my open chase cards i also followed up with a phone call that same week and the representative i spoke to informed me that funds that are sent to closed accounts would be sent via check through the mail and could not be transferred to any existing accounts on xxxxxxxx i received a letter from chase indicating that my  disputed charge  would remain on my account and  the merchant is not willing to credit your account  i followed up with a phone call to chase describing that this was a refund not a dispute the representative informed me that they did not have access to closed accounts i explained my previous attempts via phone and message to locate these funds they informed me to try to send a secure message again this time emphasizing that the refund i am looking for is on a closed account and that the previous representative may have looked for the refund on a different account on xxxxxxxx i sent another secure message with this information as well as the emails i received from the merchant about the refund  see attachment   on xxxxxxxx i received a letter from chase with similar language about  the merchant is not willing to credit your account  and  we consider the charge valid based on the results of our research   see attachment  on xxxxxxxx i followed up with the merchant xxxx xxxx requesting an alternate way to receive this refund given that my credit card company apparently can not locate the funds on xxxxxxxx the merchant provided a screenshot with their records that the funds had been refunded  see attachment  this was my last exchange trying to resolve this between the credit card or the merchant,4,UserID72,Ticket73,FinanceDepartment,FinanceDepartment,LogRegClassifier
37,in several transactions on my chase checking account was fraudulent so i filed a report with chase instead of helping me chase closed all my accounts and refused to have a banking relationship with me from then on then chase froze all my money for a month and eventually sent me a balance after i had filed a complaint with cfpb now a month later chase tries to collect in debt that i have no idea where it came from chase said the balance was a result of a fraudulent transaction that chase decided that i was responsible for,0,UserID74,Ticket75,SalesDepartment,SalesDepartment,LogRegClassifier
38,"on we purchased a service with xxxx xxxx xxxx xxxx  also known as xxxx   xxxx xxxx xxxx by xxxx xxxx  for our group of people to go to various islands and snorkeling activities out of xxxx the bases of the dispute is that xxxx xxxx xxxx xxxx took us to island only and did not follow thru with the itinerary that had been planned out most of the conversation was over the phone at the end of the day with much confusion xxxx xxxx xxxx xxxx charged my card for services not rendered this is the cause of the dispute i tried dealing with xxxx xxxx xxxx xxxx and they were not budging on refunding us partial payment due to not following the itinerary that had been planned so i then went to my credit card chase sapphire dispute department to resolve the issue after many many phone calls and months of dealing with this dispute our credit card has sided with xxxx xxxx xxxx xxxx word over ours on what went on that day basically xxxx xxxx xxxx xxxx has continuously lied about the events that day and even said they gave us a credit which was also another lie i have spent so much time on this and can not believe that we as customers with a very good history have to deal with our credit card on this level 

there was another large group lead by xxxx xxxx on this excursion who also felt they were not given what was promised that group also disputed the charges and was refunded the money by their credit card company 

on the attached pdf pages give details of what went wrong that day",1,UserID76,Ticket77,TechnicalDepartment,TechnicalDepartment,SequentialClassifier
