System;Cluster;Planet/Object;Action;Available
;;Hunidor;N/A;0
;Cacus;Chohe;Land;1
;;Zayarter;Survey;1
;;Faringor;Survey;1
;;Treyarmus;N/A;0
;;Xamarri;N/A;0
;Dis;Klensal;Land;1
;;Nearrum;Survey;1
;;Raysha;Survey;1
;;Asteroid;Survey;1
;;Gremar;N/A;0
;;Jartar;N/A;0
;Farinata;MSV Ontario;Land;1
;;Juntauma;Survey;1
;;Nepneu;Survey;1
;;Asteroid;Survey;1
;;Tunshagon;N/A;0
Voyager Cluster;Amazon;Agebinium;Land;1
;;Sonedma;Survey;1
;;Sybin;Survey;1
;;Tremar;Survey;1
;;Derneuca;N/A;0
;Yangtze;Binthu;Land;1
;;Dregir;Survey;1
;;Alrumter;Survey;1
;;Patajiri;Survey;1
;;Renshato;N/A;0
;Columbia;Nepheron;Land;1
;;Ontaheter;Survey;1
;;Gromar;Survey;1
;;Clojiia;N/A;0
Maroon Sea;Caspian;MSV Cornucopia;Land;1
;;Clotanca;Survey;1
;;Farnuri;Survey;1
;;Antida;Survey;1
;;Almarcrux;N/A;0
;Vostok;Nodacrux;Land;1
;;Pataiton;Survey;1
;;Asteroid;Survey;1
;;Clomarthu;N/A;0
;;Alko;N/A;0
;Matano;Chasca;Land;1
;;Supay;Survey;1
;;Asteroid;Survey;1
;;Asteroid;Survey;1
;;Inti;N/A;0
;;Apo;N/A;0
;;Illapa;N/A;0
Styx Theta;Acheron;Altahe;Land;1
;;Grosalgen;Survey;1
;;Asteroid;Survey;1
;;Imaneya;N/A;0
;;Farthorl;N/A;0
;Erebus;Nepmos;Land;1
;;Quaji;Survey;1
;;Wermani;Survey;1
;;Chofen;N/A;0
Hawking Eta;Century;Presrop;Land;1
;;Canctra;Survey;1
;;Tharopto;Survey;1
;;Asteroid;Survey;1
;;Tamahera;N/A;0
;;Klendagon;N/A;0
Kepler Verge;Herschel;MSV Fedele;Land;1
;;Asteroid;Survey;1
;;Clobaka;N/A;0
;;Tungel;N/A;0
;;Matol;N/A;0
;;Clugon;N/A;0
;Newton;Ontarom;Land;1
;;Klencory;Survey;1
;;Juncro;Survey;1
;;Sesmose;N/A;0
Armstrong Nebula;Hong;Casbin;Land;1
;;Matar;Survey;1
;;Treagir;Survey;1
;;Theshaca;N/A;0
;;Pomal;N/A;0
;Vamshi;Maji;Land;1
;;Pregel;Survey;1
;;Almos;N/A;0
;Tereshkova;Antibaar;Land;1
;;Patamalrus;Survey;1
;;Thegeuse;Survey;1
;;Asteroid;Survey;1
;;Hunsalra;N/A;0
;;Solmarlon;N/A;0
;;Mawinor;N/A;0
;Gagarin;Rayingri;Land;1
;;Junthor;Survey;1
;;Antirumgon;Survey;1
;;Pressha;N/A;0
;;Sogelrus;N/A;0
;Grissom;Solcrum;Land;1
;;Benda;Survey;1
;;Zaherux;Survey;1
;;Asteroid;Survey;1
;;Notanban;N/A;0
Sentry Omega;Hoc;Virmire;Mission;1
Serpent Nebula;Widow;The Citadel;Hub;1
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
