,books,clusters,embedding1,embedding2
42,book:Quantum_Night,cluster1,1.0245633,0.09266962
43,book:A_Clash_of_Kings,cluster5,-0.5595969,-0.20791925
44,book:Inglorious_Empire,cluster0,0.7742261,-0.053581573
45,book:Isaac_Asimov's_Caliban,cluster3,-1.1944598,-0.4435938
46,book:Benny_Shaw,cluster1,0.5823292,0.24160941
47,book:How_Steeple_Sinderby_Wanderers_Won_the_F.A._Cup,cluster2,0.9788773,0.9482357
48,book:Lone_Survivor_(book),cluster3,-1.0719993,0.2010472
49,book:Vibora!,cluster1,0.9921039,0.27734485
50,book:Special_Delivery_(novel),cluster3,-0.7572635,-0.07922358
51,book:The_Courts_of_Chaos,cluster0,0.3682185,-0.40795395
52,book:Carrie_(novel),cluster3,-0.9597795,0.049286727
53,book:The_Glass_Lake,cluster1,0.61307913,0.20439035
54,book:Jhereg,cluster3,-1.1791037,-0.39323425
55,book:Cloud's_Rider,cluster0,0.36504412,-0.58450204
56,book:When_You_Are_Engulfed_in_Flames,cluster3,-0.92002666,-0.2670594
57,book:Take_Back_Your_Government,cluster3,-1.0254376,-0.02196696
58,book:A_History_of_the_World_in_10½_Chapters,cluster4,-0.5907539,0.9271116
59,book:Cosmopolis_(novel),cluster0,0.31358337,-0.19250396
60,book:An_Autobiography_(Nehru),cluster5,-0.1976929,0.72959864
61,book:Spring_(novel),cluster5,-0.22460473,0.6169164
62,book:Sometimes_the_Magic_Works,cluster1,1.152702,-0.49741548
63,book:Finding_Moon,cluster1,1.0564297,0.097199574
64,book:The_Mighty_Warriors,cluster3,-1.0459877,-0.34204614
65,book:Next_(Crichton_novel),cluster3,-1.3287807,-0.073668055
66,book:Restoree,cluster3,-1.0645399,-0.3908699
67,"book:Girl,_Interrupted",cluster0,0.37558874,-0.39925247
68,book:The_Priests_of_Psi,cluster0,0.25754452,-0.4260617
69,book:The_House_on_East_88th_Street,cluster1,2.3029847,-0.9324039
70,book:Conspiracies_(novel),cluster0,0.30669713,-0.50803876
71,book:Agent_to_the_Stars,cluster0,0.60397416,-0.25628933
72,book:The_Realms_of_the_Gods,cluster3,-1.1447072,-0.12982306
73,book:The_Fires_of_Spring,cluster3,-1.0042205,-0.27822864
74,book:On_Numbers_and_Games,cluster3,-0.6522115,-0.36264038
75,book:Ruins_(novel),cluster3,-1.26067,-0.17681935
76,book:Big_Nate_Goes_for_Broke,cluster3,-1.1310986,0.12954074
77,book:Monsoon_(novel),cluster1,1.7881151,0.038701694
78,book:Opus_200,cluster3,-1.0558206,-0.44433725
79,book:The_Bath_Fugues,cluster1,0.837008,-0.13260566
80,book:The_Valley_of_Horses,cluster3,-1.0691291,0.059788216
81,book:The_Hand_of_Oberon,cluster0,0.40455922,-0.3966396
82,book:The_Back_of_the_Turtle,cluster1,0.8860482,0.07464835
83,book:A_Theory_of_Justice,cluster3,-1.1754786,-0.33963543
84,book:The_Hot_Zone,cluster3,-0.73372465,-0.1260337
85,book:The_Selfish_Gene,cluster2,0.8232344,0.97553843
86,book:ABBA_ABBA,cluster2,0.5980492,0.86462164
87,book:The_Social_Conquest_of_Earth,cluster0,0.3692828,-0.14545213
88,book:Swords_and_Crowns_and_Rings,cluster1,0.699175,0.009685869
89,book:Down_and_Out_in_Purgatory:_The_Collected_Stories_of_Tim_Powers,cluster3,-1.1942782,-0.2908506
90,book:The_Hand_of_Zei,cluster3,-0.9245134,-0.24499667
91,book:The_Rainbow_Stories,cluster1,0.8910587,0.12540469
92,book:Over_the_Hills_and_Far_Away_(short_story_collection),cluster3,-0.8585367,-0.058976885
93,book:The_Tin_Princess,cluster5,-0.6143128,0.21110705
94,book:Slaves_of_Spiegel,cluster0,0.41763803,-0.42057392
95,book:The_Black_Company_(novel),cluster3,-1.2107713,-0.058018144
96,book:Artemis_Fowl_and_the_Time_Paradox,cluster3,-1.0421187,0.24384436
97,book:NOS4A2,cluster0,0.2671728,-0.35451096
98,book:The_Sparrow_(novel),cluster3,-1.2563031,-1.0770969e-05
99,book:The_Great_Unraveling,cluster3,-0.9697934,-0.0065413387
100,book:The_Flanders_Panel,cluster1,0.7943416,0.21306889
101,book:The_Andromeda_Strain,cluster0,0.30671477,-0.4612581
102,book:The_Gate_House,cluster3,-1.0013012,-0.14116625
103,book:A_Perfect_Peace,cluster1,1.5840518,0.28922138
104,book:Sword_of_Chaos,cluster3,-1.0939987,-0.33146507
105,book:My_French_Whore,cluster0,0.40772328,-0.3583841
106,book:Dark_Valley_Destiny,cluster3,-1.0934832,-0.5367837
107,book:Dark_Age_Ahead,cluster3,-0.8626179,-0.29064003
108,book:30_Days_of_Night:_Immortal_Remains,cluster3,-1.2031528,0.036665086
109,book:Radetzky_March_(novel),cluster1,1.1792539,-0.17211907
110,book:Kaboom_(book),cluster3,-1.1193105,-0.26674217
111,book:Not_Safe_After_Dark,cluster5,-0.5383716,0.3513412
112,book:Escape_Attempt,cluster0,0.6257844,-0.019498348
113,book:Brimstone_(Parker_novel),cluster0,0.49501163,-0.583528
114,book:Wards_of_Faerie,cluster3,-0.9847757,-0.2585321
115,book:Water_Sleeps,cluster3,-1.1945602,-0.16524515
116,book:Flow_Chart_(poem),cluster1,1.1460245,-0.2810659
117,book:Anastasia_Has_the_Answers,cluster3,-0.6725879,-0.38572827
118,book:The_Transall_Saga,cluster0,0.1325289,-0.121239096
119,book:Shadows_Linger,cluster3,-1.3399307,-0.16454408
120,book:Dark_Matter_and_the_Dinosaurs,cluster3,-0.9982933,0.01796616
121,book:My_Own_Words,cluster3,-0.69649035,-0.2773713
122,book:The_Art_of_Drowning,cluster0,0.4397602,-0.6200497
123,book:Seven_Little_Australians,cluster1,0.94598037,0.13353306
124,book:The_Swimming-Pool_Library,cluster4,-0.56184316,1.0555153
125,book:Escape_from_Earth,cluster3,-1.1321081,-0.22897486
126,book:A_Grave_Talent,cluster3,-1.1358273,-0.13757488
127,book:The_Merchant_Princes,cluster3,-1.2758842,0.1131894
128,book:Farthing_(novel),cluster3,-0.9780719,-0.12403508
129,book:Downright_Dencey,cluster5,-0.16291063,-0.035638742
130,book:The_End_of_Power,cluster0,0.5773392,-0.82700473
131,book:Economics_Does_Not_Lie,cluster3,-0.49116787,-0.19258583
132,book:Exam_Warriors,cluster5,0.19026676,0.31573716
133,"book:Letters_to_Family,_Friends,_and_Editors",cluster3,-0.9869429,-0.13028264
134,book:SPQR:_A_History_of_Ancient_Rome,cluster4,-0.936508,0.6842856
135,book:Moab_Is_My_Washpot,cluster1,0.8043898,0.15510997
136,book:Killshot_(novel),cluster0,0.34512898,-0.24194194
137,book:A_Wizard_Alone,cluster3,-1.0781587,0.12326755
138,book:Boy_Meets_Girl_(novel),cluster3,-0.92244154,-0.3755242
139,book:Solaris_(novel),cluster3,-0.8534692,0.13304155
140,book:The_Dragon_Lord,cluster0,0.7216705,-0.9208886
141,book:The_Population_Bomb,cluster0,0.49752715,-0.34153122
142,book:The_Wasp_Factory,cluster2,0.67186016,0.74244595
143,book:Carrion_Comfort,cluster0,0.7548842,0.049003858
144,book:The_Twelfth_Card,cluster3,-1.0375746,0.090451635
145,book:Seventh_Heaven_(poetry_collection),cluster0,0.54349357,-0.7339786
146,book:Free_Amazons_of_Darkover,cluster3,-1.2754239,-0.19346839
147,book:Ghost_Story_(Straub_novel),cluster0,0.6468068,0.12039824
148,book:Running_Before_the_Wind,cluster0,0.39804074,-0.56464225
149,book:Reheated_Cabbage,cluster3,-0.9617957,0.23710601
150,book:The_Best_of_Poul_Anderson,cluster3,-1.1183912,-0.21415912
151,book:The_Many_Worlds_of_Poul_Anderson,cluster0,0.6534661,0.15688244
152,book:Luther:_The_Calling,cluster4,-0.72269404,0.8433492
153,book:And_the_Walls_Came_Tumbling_Down,cluster1,0.99271435,0.10246263
154,book:The_Day_of_the_Jackal,cluster4,-0.7775157,0.9532696
155,book:La_reina_de_América,cluster1,0.9272219,0.02276363
156,book:Vengeance_(Jonas_book),cluster3,-1.0705638,-0.20086516
157,book:The_Sugar_Girls,cluster2,1.0210298,0.9464358
158,book:A_Killing_Kindness,cluster4,-0.6071524,1.2672085
159,book:Justinian_(novel),cluster0,0.88597935,-0.13318218
160,book:Emerald_Star,cluster4,-0.6536832,1.1185249
161,book:The_Phantom_Tollbooth,cluster3,-0.969765,-0.13294053
162,book:The_Cat_Who_Walks_Through_Walls,cluster3,-1.1720613,-0.32944804
163,book:Naked_Conversations,cluster3,-0.8653548,-0.13377789
164,book:So_You_Want_to_Be_a_Wizard,cluster3,-1.0703856,-0.13893239
165,book:There's_a_Girl_in_My_Hammerlock,cluster5,-0.38824022,0.20426165
166,book:Billion-Dollar_Brain,cluster4,-0.7788235,0.7824457
167,book:It's_a_Long_Story:_My_Life,cluster0,0.4420793,-0.22774129
168,book:Archangel_(Harris_novel),cluster4,-0.47098505,1.1914315
169,book:Seeds_of_Yesterday,cluster3,-1.1816514,-0.07090039
170,book:Xiccarph,cluster3,-0.8759075,-0.15528452
171,"book:Full_Dark,_No_Stars",cluster0,0.30543137,-0.40984854
172,book:The_Principal_Upanishads,cluster5,0.3070176,0.3030721
173,book:Cold_Copper_Tears,cluster0,0.20652601,-0.1989165
174,"book:The_Wehrmacht:_History,_Myth,_Reality",cluster0,0.5155602,-0.44329324
175,book:Wings_of_the_Falcon,cluster3,-1.2681547,0.100560494
176,book:Skellig,cluster2,0.340079,0.75388706
177,book:The_Tale_of_the_Body_Thief,cluster3,-1.0299999,-0.107924476
178,book:The_Goblin_Master's_Grimoire,cluster3,-0.9214361,-0.19765432
179,book:The_Wolfen,cluster5,-0.39103407,0.12507218
180,book:Firefox_(novel),cluster4,-0.89957845,0.79221827
181,book:Conrad's_Fate,cluster2,0.41130567,0.6055982
182,book:The_Sorcerer's_Ship,cluster0,0.36434045,-0.45652923
183,book:The_Spare_Room,cluster1,0.73640764,0.009115168
184,book:Pleading_Guilty,cluster3,-1.1219794,-0.24846493
185,book:The_Kreutzer_Sonata,cluster5,-0.57839054,0.383122
186,book:Nobody_Lives_for_Ever,cluster2,0.7216854,0.9198115
187,book:Command_Authority,cluster0,0.3080358,-0.12791462
188,book:An_Unusual_Angle,cluster5,-0.6977463,0.19676283
189,book:The_Pretender_(Animorphs),cluster0,0.3829535,-0.6007333
190,book:Faded_Steel_Heat,cluster0,0.44905365,-0.072060496
191,book:The_Last_Detective_(book),cluster1,0.92939365,0.28240207
192,book:Pictures_from_the_Water_Trade,cluster1,0.8022012,-0.09564432
193,book:Ten_Big_Ones,cluster0,0.3266331,-0.05061833
194,book:Greasy_Lake_&_Other_Stories,cluster0,0.5313419,-0.6966274
195,book:Miramar_(novel),cluster5,-0.80201733,0.2327457
196,book:Adrian_Mole:_From_Minor_to_Major,cluster2,0.40843442,0.6126696
197,book:Are_You_Dave_Gorman%3F,cluster2,0.9817426,1.0041431
198,book:The_English_Patient,cluster2,0.6635952,0.3231693
199,book:A_Book_of_Milliganimals,cluster2,1.087323,1.0161039
200,book:Icon_(novel),cluster4,-0.28657743,1.1986263
201,book:The_Willows_at_Christmas,cluster3,-0.95365137,-0.057030827
202,book:Twisted_City_(book),cluster1,0.86954874,0.12538244
203,book:Return_to_Killybegs,cluster5,-0.11329155,0.02649279
204,book:Sea_Change_(Parker_novel),cluster3,-1.0319071,-0.12170668
205,book:PostCapitalism,cluster4,-0.010856139,1.3926314
206,book:Imagine_(book),cluster4,-0.2012116,1.113348
207,"book:Will_Grayson,_Will_Grayson",cluster0,0.23725961,-0.29410383
208,book:Far_from_Medina,cluster1,1.4573627,-0.19895078
209,book:The_Right_Side_of_History,cluster3,-0.87814045,-0.15906414
210,book:Big_Girl_(novel),cluster0,0.5622299,-0.7015241
211,book:Capitalism_and_Freedom,cluster3,-1.1023387,-0.14439161
212,book:Unknown_Man_No._89,cluster1,0.62261,0.33934233
213,book:Shōgun_(novel),cluster2,1.1643467,0.74091613
214,book:The_Early_Fears,cluster0,0.25813106,-0.4505065
215,book:Dragon's_Fire,cluster0,0.30831295,-0.45997548
216,book:The_Decay_of_the_Angel,cluster1,1.0205616,-0.14935166
217,book:Taxi_(book),cluster5,-0.5223493,0.12920845
218,book:Persistence_of_Memory,cluster3,-1.1377548,0.001134553
219,book:Hundred-Dollar_Baby,cluster3,-1.0317856,0.10060725
220,book:The_Wizard's_Dilemma,cluster3,-1.2530392,-0.09195694
221,book:Curse_of_the_Ruins,cluster0,0.32082295,-0.33401558
222,book:Spadework,cluster5,-0.61115247,0.30016726
223,book:Mindkiller,cluster0,0.44170266,-0.5767682
224,book:Nightmares_&_Dreamscapes,cluster3,-1.3410412,-0.36521658
225,book:Raising_Hell_(book),cluster3,-0.9628719,-0.276885
226,book:The_Macdermots_of_Ballycloran,cluster2,1.0269254,1.0262887
227,book:Bite_Me:_A_Love_Story,cluster0,0.45287117,-0.39511615
228,book:To_Light_a_Candle,cluster0,0.628203,0.0216449
229,book:Mr._Vertigo,cluster0,0.28783342,-0.3414183
230,book:Misery_(novel),cluster3,-1.1886413,-0.113647774
231,book:The_Robber_Bride,cluster5,-0.60341585,0.20595956
232,book:A_Night_to_Remember_(book),cluster3,-0.8707604,-0.29333577
233,book:Odd_Apocalypse,cluster0,0.2846248,-0.09335818
234,book:The_Crippled_Tree,cluster2,0.98593426,0.9899008
235,book:Rahul_Dravid:_Timeless_Steel,cluster1,0.63119465,0.16443154
236,book:The_Secrets_of_My_Life,cluster3,-0.7553517,-0.38344008
237,book:Tokyo:_A_View_of_the_City,cluster1,2.8629715,-0.08734664
238,book:My_Life_in_Dog_Years,cluster3,-1.0171437,-0.4390456
239,book:The_Road_to_the_Churchyard,cluster1,1.3371817,-0.22145203
240,book:Think:_A_Compelling_Introduction_to_Philosophy,cluster2,0.75205255,0.8718909
241,book:Tender_Loving_Rage,cluster0,0.5741199,-0.58351606
242,book:The_Shadowcatchers,cluster1,1.9944603,-0.25053248
243,book:The_Exception_to_the_Rulers,cluster5,-0.61090016,0.18937716
244,book:Operating_Systems:_Design_and_Implementation,cluster1,1.3548151,0.26014587
245,book:The_Silver_Chair,cluster2,0.8632971,0.87434524
246,book:The_Farming_of_Bones,cluster3,-1.0104432,0.32856748
247,book:Foundation_(Asimov_novel),cluster3,-1.072068,-0.3182346
248,book:Motown_and_Didi,cluster3,-0.96084803,-0.3325009
249,book:A_Cook's_Tour_(book),cluster3,-1.0927234,-0.1297837
250,book:Wolf_Moon_(novel),cluster3,-0.9234481,-0.107235394
251,book:Abraham_Lincoln's_World,cluster3,-0.6313811,-0.36554974
252,book:The_Tragedy_of_the_Street_of_Flowers,cluster5,-0.5032121,0.27315304
253,book:Lovecraft's_Legacy,cluster3,-1.0900367,-0.27968177
254,book:Slaughterhouse-Five,cluster3,-1.2694777,-0.25234604
255,book:Death_Comes_to_Pemberley,cluster2,0.43497437,0.50040877
256,book:Grey:_Fifty_Shades_of_Grey_as_Told_by_Christian,cluster4,-0.10196233,1.320895
257,book:Straken,cluster3,-1.1619089,-0.23542061
258,book:Elizabeth_Costello,cluster5,-0.84048885,0.3766511
259,book:The_Solar_System_and_Back,cluster3,-1.0392885,-0.29601493
260,book:A_Short_Walk_in_the_Hindu_Kush,cluster2,1.1684954,1.010919
261,book:Miss_Mackenzie,cluster2,1.5972466,1.278421
262,book:The_Managed_Heart,cluster0,0.47837105,-0.64265215
263,book:The_Chinese_State_in_Ming_Society,cluster3,-1.0655625,-0.12343209
264,book:On_the_Trail_of_the_Assassins,cluster0,0.48865056,-0.515779
265,book:Hurok_of_the_Stone_Age,cluster3,-0.97163564,-0.35426572
266,book:%22I%22_Is_for_Innocent,cluster3,-0.997339,-0.28026018
267,book:Hegemony_or_Survival,cluster1,0.6789224,0.24954633
268,book:The_Human_Factor_(novel),cluster4,-0.9227798,0.84563035
269,book:Foundation_and_Earth,cluster0,0.31920144,-0.48437932
270,book:The_Costello_Memoirs,cluster1,0.9695264,0.04374269
271,book:Stars_and_Gods,cluster3,-1.148682,-0.34025696
272,book:The_Magician's_Elephant,cluster0,0.31950992,-0.2297287
273,book:A_Crown_of_Swords,cluster0,0.6744394,-0.21854089
274,book:The_Tiger_in_the_Well,cluster4,-0.86780196,1.0708437
275,book:The_Doors_of_Perception,cluster4,-0.46281308,1.0466834
276,book:Pygmy_(novel),cluster3,-1.0636173,-0.17645891
277,book:The_Three_Stigmata_of_Palmer_Eldritch,cluster3,-1.1215162,-0.2712693
278,book:Call_Sign_Extortion_17,cluster0,0.4252397,-0.666683
279,book:Authority_(novel),cluster0,0.2875131,-0.18438472
280,book:The_Coral_Sea_(book),cluster0,0.6286828,-0.8338575
281,book:Mermaids!,cluster0,0.31454417,-0.37558845
282,book:A_Different_Flesh,cluster3,-1.0948294,-0.3042268
283,book:The_World_Inside,cluster0,0.37910238,-0.50696605
284,book:The_Color_Purple,cluster1,1.3031214,-0.21538271
285,book:The_Disappearing_Dwarf,cluster3,-0.95605177,-0.31137002
286,book:Waking_Up:_A_Guide_to_Spirituality_Without_Religion,cluster3,-1.1208276,-0.03305571
287,book:Arab_and_Jew:_Wounded_Spirits_in_a_Promised_Land,cluster3,-0.6348331,-0.3806799
288,book:Mektig_og_avmektig,cluster5,-0.8135562,0.17800947
289,book:Call_the_Midwife_(book),cluster2,0.54170257,0.6625536
290,book:The_Quantum_Universe,cluster2,0.8791182,0.80970114
291,book:PiHKAL,cluster3,-0.8757461,-0.446473
292,book:Owlknight,cluster3,-1.0280436,-0.15864074
293,book:Volo's_Guide_to_the_Sword_Coast,cluster1,0.9767314,-0.014254726
294,book:Amerika_(novel),cluster5,-0.41870713,-0.08221244
295,book:Soldier_of_Sidon,cluster0,0.36385137,-0.27849492
296,book:Big_Nate:_In_the_Zone,cluster0,0.20990385,-0.21211268
297,book:End_in_Tears,cluster2,1.008543,0.87900984
298,book:Lifespan:_Why_We_Age_–_and_Why_We_Don't_Have_To,cluster0,0.42758125,-0.44514513
299,book:2001:_A_Space_Odyssey_(novel),cluster2,0.6173031,0.7253316
300,book:Shadrach_in_the_Furnace,cluster0,0.68296355,-0.11158122
301,book:Raga_Mala_(book),cluster5,-0.29123834,0.055759475
302,book:Magic_Steps,cluster3,-1.1018944,-0.08888149
303,book:Stormrider,cluster0,0.6008324,0.23534684
304,book:Infectious_Diseases_of_Humans:_Dynamics_and_Control,cluster0,0.70898926,-0.028188651
305,book:Soul_Music_(novel),cluster5,-0.52501017,-0.013321029
306,book:Poseidon's_Arrow,cluster3,-1.0956824,0.0159838
307,book:Queen_of_Demons,cluster0,0.2944519,-0.32574308
308,book:Duluth_(novel),cluster0,0.22522144,-0.31224337
309,book:The_Wandering_Fire,cluster1,0.7582715,0.18912138
310,book:Home_Truths_(novella),cluster4,-0.5773909,0.96997106
311,"book:Blind_Willow,_Sleeping_Woman",cluster5,-0.29515317,0.24122906
312,book:The_Sirian_Experiments,cluster4,-1.0364817,0.48758885
313,book:Shatter_(novel),cluster5,-1.0044051,0.20204055
314,book:Fatima_in_Lucia's_Own_Words,cluster5,-0.26422465,0.39853713
315,book:The_General_in_His_Labyrinth,cluster5,-0.3479387,0.5025886
316,book:Child_of_Fortune,cluster0,0.4986332,-0.54107445
317,book:Post-Scarcity_Anarchism,cluster1,1.3457819,0.119179964
318,book:World_of_Wonders_(novel),cluster1,0.73256946,0.21506912
319,book:Paper_Doll_(novel),cluster0,0.49148914,-0.6043843
320,book:The_Folks_That_Live_on_the_Hill,cluster2,0.67654943,0.8380432
321,book:Be_Careful_What_You_Wish_For_(Archer_novel),cluster2,0.75980854,0.81184864
322,book:Happy_to_Be_Here,cluster0,0.61591744,-0.7750202
323,"book:Thrones,_Dominations",cluster4,-0.8194529,1.08599
324,book:Madame_Two_Swords,cluster0,0.3408232,-0.5652448
325,book:Ilse_Witch,cluster0,0.22988985,-0.24496078
326,book:Delusions_of_Grandma,cluster3,-1.0862297,-0.2604417
327,book:Corduroy_Mansions,cluster4,-0.2617457,1.2385852
328,book:Les_Champs_magnétiques,cluster5,-0.32985896,0.16865417
329,book:The_Covenant_(novel),cluster0,0.32199556,-0.44392288
330,book:Humiliated_and_Insulted,cluster1,1.0537649,-0.12775287
331,"book:Adiós,_Tierra_del_Fuego",cluster5,-0.36531693,0.24518226
332,book:Sahih_al-Bukhari,cluster5,0.22181547,0.15983586
333,book:Rainbow_Six_(novel),cluster0,0.43014863,-0.34354877
334,book:Grizzly_(novel),cluster0,0.47866517,-0.6638431
335,book:Boneshaker_(novel),cluster0,0.34461647,-0.3413297
336,book:Portuguese_Irregular_Verbs,cluster1,0.9397274,0.4310831
337,book:The_Final_Testament_of_the_Holy_Bible,cluster0,0.516368,-0.39840358
338,book:The_Egg_Tree,cluster3,-0.91955113,-0.11180869
339,book:Turtle_in_Paradise,cluster0,0.33375263,-0.3154255
340,book:Wizard_of_the_Pigeons,cluster3,-1.3391116,0.017209956
341,book:The_Thirteen-Gun_Salute,cluster4,-0.66511357,1.0998803
342,book:The_Lost_Prince_(Burnett_novel),cluster2,0.29729974,0.33062986
343,book:The_Oxford_Book_of_Science_Fiction_Stories,cluster4,-0.8242541,0.74566126
344,book:Tom_Brown's_School_Days,cluster4,-0.31860408,1.0621293
345,book:The_Cold_Six_Thousand,cluster3,-1.1953332,0.0077311434
346,book:Linked:_The_New_Science_of_Networks,cluster0,0.34295678,-0.25947124
347,book:Love_Never_Faileth,cluster1,1.6218722,-0.27130193
348,book:Phantoms_(novel),cluster3,-1.2533251,0.26626074
349,book:The_Silly_Chicken,cluster5,-0.6785696,0.3506316
350,book:The_Other_Queen,cluster4,-0.8316403,1.0935965
351,book:In_the_Lake_of_the_Woods,cluster3,-1.1392151,-0.10400058
352,book:The_Namesake_(novel),cluster0,0.4848085,-0.39997503
353,book:Black_Girl_/_White_Girl,cluster0,0.55081254,-0.45226046
354,book:The_Psychopath_Test,cluster2,0.27743682,0.38141522
355,book:The_Minister's_Wooing,cluster3,-0.85366005,0.068797946
356,book:Pictures_of_Your_True_Love,cluster5,-0.38592777,0.047418863
357,book:All_the_Devils_Are_Here,cluster0,0.41478148,-0.43952435
358,book:The_Temple_of_Dawn,cluster5,-0.6158651,0.118607275
359,book:Del-Del,cluster5,-0.6399089,0.0039833407
360,book:The_Dragnet_Solar_Pons_et_al.,cluster5,-0.81126887,0.3865845
361,book:Fallen_(Kate_novel),cluster3,-0.99792993,-0.1714783
362,book:Heaven's_Net_is_Wide,cluster1,0.8268341,0.2417646
363,book:The_General_(Muchamore_novel),cluster4,-0.90505844,0.9324651
364,book:Her_Smoke_Rose_Up_Forever,cluster3,-1.2030241,-0.25612274
365,book:Wolf_of_the_Plains,cluster2,0.9310411,0.91332996
366,book:Imajica,cluster4,-0.8507635,0.84890044
367,book:The_Musician's_Guide_to_Polyrhythms,cluster5,0.2325712,-0.1008654
368,book:Knowledge_and_Decisions,cluster1,1.4791582,-0.24535988
369,book:Blow_Fly_(novel),cluster3,-0.9129358,-0.023074992
370,book:The_Beginning_of_Infinity,cluster2,1.1480116,0.8476674
371,book:Human_Universals,cluster3,-0.8615568,-0.37755036
372,book:That_Summer_(Dessen_novel),cluster3,-1.1278573,-0.40588987
373,book:Buddha_(book),cluster1,0.77756566,0.38839343
374,book:Specters_of_Marx,cluster5,-0.41883492,-0.15574776
375,book:Nameless_Cults_(short_story_collection),cluster0,0.22140306,-0.21147723
376,book:%22Q%22_Is_for_Quarry,cluster3,-0.8998266,-0.19859742
377,book:Crash_(Ballard_novel),cluster4,-0.83524257,1.0841271
378,book:The_Miracle_of_Castel_di_Sangro,cluster0,0.88019115,-0.30514663
379,book:Brown_Girl_in_the_Ring_(novel),cluster0,0.31810343,0.12754148
380,book:Dancing_on_Coral,cluster0,0.5409033,-0.24748598
381,book:Angry_Lead_Skies,cluster3,-1.3265264,0.01899309
382,book:The_Broken_Window,cluster0,0.34640744,-0.12356867
383,book:Xavras_Wyżryn,cluster3,-1.0109408,-0.016749209
384,book:Upland_Outlaws,cluster0,0.40351173,-0.32481405
385,book:Lords_and_Ladies_(novel),cluster1,1.0923078,-0.13305333
386,book:Ponniyin_Selvan,cluster4,-0.8111215,0.78941023
387,book:Fever_Pitch,cluster4,-0.70259523,1.0198733
388,book:Bonaparte_à_Malte,cluster1,1.3004562,-0.42994708
389,book:Islam:_A_Short_History,cluster4,-0.54995185,1.0461866
390,book:Lonesome_Dove,cluster0,0.5509984,-0.57697797
391,book:The_Monster_of_Florence:_A_True_Story,cluster0,0.39085478,-0.5335975
392,book:Mrs._Caliban,cluster3,-0.5832975,0.041229796
393,book:Sing_You_Home,cluster5,-0.31361362,-0.23489855
394,book:Reunion_(Cabot_novel),cluster3,-1.1389778,0.028125275
395,book:Desolation_Island_(novel),cluster4,-0.74793816,0.96762383
396,book:Wicked_(Maguire_novel),cluster0,0.26455593,-0.36642605
397,book:The_Deep_(novella),cluster3,-0.7839342,-0.11144088
